시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 23:01,2026.06.15(월) 05:06,하우 투 메이크 언 아토믹 밤 인 유어 가든|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,6.1,57,34,893,0,
2026.06.13(토) 07:01,2026.06.13(토) 14:00,성세천하: 여제의 탄생 Ⅱ|talk,전체,황해 보고 운 사람 나밖에 없어?? 황해 나무위키 읽어보기 리뷰ㄱㄱ ٩ʕ◕౪◕ʔو,7,35,22,934,2,
2026.06.13(토) 04:21,2026.06.13(토) 07:00,talk,성인,황해 같이 볼 사람~? (잔인한 거 잘 못봄 주의) ٩ʕ◕౪◕ʔو,2.6,47,38,6,0,
2026.06.13(토) 03:17,2026.06.13(토) 04:18,talk,전체,하이염 ٩ʕ◕౪◕ʔو,1,28,21,289,0,
2026.06.10(수) 23:04,2026.06.11(목) 07:48,성세천하: 여제의 탄생 Ⅱ|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,8.7,63,42,887,1,
2026.06.09(화) 23:05,2026.06.10(수) 03:24,오버워치|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,4.3,49,35,495,-1,
2026.06.08(월) 23:03,2026.06.09(화) 09:00,림월드|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,9.9,66,49,854,1,
2026.06.07(일) 23:04,2026.06.08(월) 12:06,괭이갈매기 울 적에 - 문제편|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,13,151,76,2710,4,
2026.06.05(금) 23:00,2026.06.06(토) 09:36,괭이갈매기 울 적에 - 문제편|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,10.6,110,76,2801,18,
2026.06.04(목) 23:02,2026.06.05(금) 07:36,괭이갈매기 울 적에 - 문제편|talk,전체,하잉~ ٩ʕ◕౪◕ʔو,8.6,101,72,1093,21,
2026.06.03(수) 23:02,2026.06.04(목) 07:24,림월드|talk,전체,방갑말이! ٩ʕ◕౪◕ʔو,8.4,49,33,854,-3,
2026.06.01(월) 23:01,2026.06.02(화) 07:48,림월드|talk,전체,방갑마링~! ٩ʕ◕౪◕ʔو,8.8,64,42,1405,1,
2026.05.31(일) 23:02,2026.06.01(월) 06:42,림월드|talk,전체,방갑마링~٩ʕ◕౪◕ʔو,7.7,69,48,638,6,
2026.05.29(금) 23:04,2026.05.30(토) 10:36,림월드|포켓몬스터 하트골드|talk,전체,방갑마링! ٩ʕ◕౪◕ʔو,11.5,54,32,2188,0,
2026.05.28(목) 23:03,2026.05.29(금) 09:18,007 퍼스트 라이트|talk,전체,좋은아침~! ٩ʕ◕౪◕ʔو,10.2,47,33,895,2,
2026.05.27(수) 23:05,2026.05.28(목) 10:00,007 퍼스트 라이트|talk,전체,웅~ 방갑고~ ٩ʕ◕౪◕ʔو,10.9,50,33,571,-2,
2026.05.25(월) 23:03,2026.05.26(화) 06:00,유로 트럭 시뮬레이터 2|talk,전체,방갑~마링 ٩ʕ◕౪◕ʔو,6.9,52,38,1049,1,
2026.05.24(일) 23:00,2026.05.25(월) 09:48,오버워치|포켓몬스터 하트골드|talk,전체,방갑마링! 부힛 ٩ʕ◕౪◕ʔو,10.8,53,33,1806,2,
2026.05.23(토) 09:29,2026.05.23(토) 10:30,talk,전체,파워디지몬( 디지몬 어드벤처 02) 리뷰!ㄷㄷㄷ ٩ʕ◕౪◕ʔو,1,33,28,223,0,
2026.05.23(토) 00:02,2026.05.23(토) 09:24,talk,전체,지고쿠지고쿠;;; ٩ʕ◕౪◕ʔو,9.4,78,52,1465,3,
2026.05.21(목) 23:01,2026.05.22(금) 08:30,talk,전체,방갑마링~ 오늘은 디지몬 보러 왔어여! ٩ʕ◕౪◕ʔو,9.5,73,53,1823,6,
2026.05.20(수) 23:04,2026.05.21(목) 07:48,포켓몬스터 하트골드|talk,전체,방갑방갑마링~ ٩ʕ◕౪◕ʔو,8.7,51,31,838,0,
2026.05.18(월) 23:01,2026.05.19(화) 07:18,오버워치|아웃바운드|talk,전체,방갑말이~ ٩ʕ◕౪◕ʔو,8.3,45,33,376,2,
2026.05.17(일) 23:03,2026.05.18(월) 09:06,오버워치|포켓몬스터 하트골드|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,10,63,41,1169,4,
2026.05.15(금) 23:02,2026.05.16(토) 09:06,포켓몬스터 하트골드|talk,전체,방갑토욜~! ٩ʕ◕౪◕ʔو,10.1,59,39,1625,3,
2026.05.14(목) 23:04,2026.05.15(금) 09:36,포켓몬스터 하트골드|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,10.5,46,31,1483,2,
2026.05.13(수) 23:01,2026.05.14(목) 07:18,포켓몬스터 하트골드|talk,전체,방갑다 도르 ٩ʕ◕౪◕ʔو,8.3,50,36,1073,5,
2026.05.11(월) 23:00,2026.05.12(화) 09:36,종합 게임|오버워치|talk,성인,방갑아침~ ٩ʕ◕౪◕ʔو,10.6,42,26,1057,2,
2026.05.10(일) 23:09,2026.05.11(월) 06:54,종합 게임|talk,성인,"3600팔 감,,, 감사합니닷!!@ ٩ʕ◕౪◕ʔو",7.7,38,31,253,0,
2026.05.08(금) 23:00,2026.05.09(토) 08:54,이환|talk,전체,방가우이~ ٩ʕ◕౪◕ʔو,9.9,135,78,1577,8,
2026.05.07(목) 23:00,2026.05.08(금) 10:06,이환|매지컬 프린세스|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,11.1,77,33,1335,9,
2026.05.06(수) 23:21,2026.05.07(목) 07:30,매지컬 프린세스|파워워시 시뮬레이터 2|talk,전체,방갑마링~! ٩ʕ◕౪◕ʔو,8.1,42,28,577,-1,
2026.05.06(수) 23:03,2026.05.06(수) 23:12,talk,전체,방갑마링~! ٩ʕ◕౪◕ʔو,0.1,14,8,21,0,
2026.05.04(월) 23:06,2026.05.05(화) 10:12,이환|로블록스|talk,전체,방갑어린이날~ ٩ʕ◕౪◕ʔو,11.1,96,55,2497,23,
2026.05.03(일) 23:00,2026.05.04(월) 05:36,이환|talk,전체,뱅갭매릐ㅣㅣ٩ʕ◕౪◕ʔو,6.6,119,60,1747,2,
2026.05.01(금) 23:02,2026.05.02(토) 09:24,이환|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,10.4,147,84,3068,11,
2026.04.30(목) 23:01,2026.05.01(금) 12:54,오버워치|몬길: STAR DIVE|talk,전체,뱅갑마링~ ٩ʕ◕౪◕ʔو,13.9,115,55,2203,8,
2026.04.29(수) 23:02,2026.04.30(목) 06:36,명조:워더링 웨이브|talk,전체,빵갑마링~ ٩ʕ◕౪◕ʔو,7.6,66,34,582,1,
2026.04.27(월) 23:08,2026.04.28(화) 07:06,명조:워더링 웨이브|talk,전체,지각마리 등장! ٩ʕ◕౪◕ʔو;;,8,61,46,1107,1,
2026.04.26(일) 23:00,2026.04.27(월) 10:30,오버워치|리플레이스드|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,11.5,51,34,574,0,
2026.04.25(토) 00:04,2026.04.25(토) 08:12,리플레이스드|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,8.1,60,35,806,-1,
2026.04.23(목) 23:04,2026.04.24(금) 12:42,뱀파이어 크롤러즈: 더 터보 와일드카드 프롬 뱀파이어 서바이버즈|파워워시 시뮬레이터 2|몬길: STAR DIVE|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,13.6,55,38,1660,3,
2026.04.22(수) 23:01,2026.04.23(목) 08:18,몬길: STAR DIVE|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,9.3,98,62,2361,8,
2026.04.20(월) 23:00,2026.04.21(화) 08:00,포장마차 : 한국 길거리 음식 경영시뮬레이터|파워워시 시뮬레이터 2|talk,전체,여어 방갑고~ ٩ʕ◕౪◕ʔو,9,72,45,985,-1,
2026.04.19(일) 23:07,2026.04.20(월) 09:24,프래그마타|유로 트럭 시뮬레이터 2|talk,전체,방갑말이~ ٩ʕ◕౪◕ʔو,10.3,50,33,865,-1,
2026.04.17(금) 23:04,2026.04.18(토) 10:42,프래그마타|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,11.6,55,32,1263,4,
2026.04.17(금) 10:11,2026.04.17(금) 13:00,명조:워더링 웨이브|talk,전체,저녁마리~ ٩ʕ◕౪◕ʔو,2.8,22,16,579,-1,
2026.04.16(목) 23:03,2026.04.17(금) 04:54,몬길: STAR DIVE,전체,대 유 잼 몬 길 ٩ʕ◕౪◕ʔو [몬길: STAR DIVE],5.8,91,83,252,3,
2026.04.16(목) 00:00,2026.04.16(목) 11:36,오버워치|몬길: STAR DIVE|talk,전체,아침마리 등장! ٩ʕ◕౪◕ʔو,11.6,102,48,1038,12,
2026.04.13(월) 23:04,2026.04.14(화) 13:42,명조:워더링 웨이브|오버워치|이스케이프 프롬 타르코프|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,14.6,59,36,1503,0,
2026.04.12(일) 23:02,2026.04.13(월) 09:36,명조:워더링 웨이브|유로 트럭 시뮬레이터 2|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,10.6,235,76,1319,14,
2026.04.10(금) 23:01,2026.04.11(토) 09:36,포켓몬 챔피언스|오버워치|talk,전체,주말마리~ ٩ʕ◕౪◕ʔو,10.6,86,47,2234,7,
2026.04.09(목) 23:03,2026.04.10(금) 08:24,포켓몬 챔피언스|이스케이프 프롬 타르코프|talk,전체,모기5방물린마리~ ٩ʕ◕౪◕ʔو,9.3,105,54,4701,12,
2026.04.08(수) 23:01,2026.04.09(목) 06:24,명조:워더링 웨이브|이스케이프 프롬 타르코프|talk,전체,방갑마링~! ٩ʕ◕౪◕ʔو,7.4,61,45,1041,3,
2026.04.06(월) 23:00,2026.04.07(화) 06:42,명조:워더링 웨이브|유로 트럭 시뮬레이터 2|talk,전체,뱅갭매링~ ٩ʕ◕౪◕ʔو,7.7,65,48,1144,3,
2026.04.05(일) 23:01,2026.04.06(월) 04:54,유로 트럭 시뮬레이터 2|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,5.9,62,40,1000,-3,
2026.04.03(금) 23:00,2026.04.04(토) 09:06,명조:워더링 웨이브|talk,전체,방갑마링~ ٩ʕ◕౪◕ʔو,10.1,71,47,2371,2,
2026.04.02(목) 23:01,2026.04.03(금) 12:12,더 롱 다크|명조:워더링 웨이브|talk,전체,방갑마링! ٩ʕ◕౪◕ʔو,13.2,53,36,1807,0,
2026.03.31(화) 23:00,2026.04.01(수) 04:42,talk,전체,방갑마링습니다~ ٩ʕ◕౪◕ʔو,5.7,41,27,411,-1,
2026.03.30(월) 23:01,2026.03.31(화) 07:12,더 롱 다크|슬레이 더 스파이어 2|talk,전체,방갑마릥~ ٩ʕ◕౪◕ʔو,8.2,54,40,1034,-1,
2026.03.29(일) 23:00,2026.03.30(월) 09:06,더 롱 다크|talk,전체,방갑마링~! ٩ʕ◕౪◕ʔو,10.1,65,48,677,0,
2026.03.27(금) 23:02,2026.03.28(토) 07:36,명조:워더링 웨이브|talk,전체,빙구마링~٩ʕ◕౪◕ʔو,8.6,92,56,1110,2,
2026.03.26(목) 23:01,2026.03.27(금) 13:30,더 롱 다크|talk,전체,붕가마리~ ٩ʕ◕౪◕ʔو,14.5,52,32,1319,1,
2026.03.25(수) 23:00,2026.03.26(목) 08:00,더 롱 다크|talk,전체,방갑마링! ٩ʕ◕౪◕ʔو,9,50,37,1052,2,
2026.03.23(월) 23:08,2026.03.24(화) 05:30,명조:워더링 웨이브|talk,전체,뱅갭매릐~ ٩ʕ◕౪◕ʔو,6.4,61,41,981,4,
2026.03.22(일) 23:02,2026.03.23(월) 04:48,메이플스토리|talk,전체,방갑마링~! 진짜 오늘부터 다이어트함٩ʕ◕౪◕ʔو,5.8,83,55,1846,-19,
2026.03.22(일) 01:18,2026.03.22(일) 13:54,러스트|talk,전체,SSR급 전설의 일욜마리 등장!✨٩ʕ◕౪◕ʔو,12.6,72,35,762,4,
