시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 16:06,2026.06.15(월) 07:36,파이널판타지14,전체,🌊파판6일차 몰래온뉴비,15.5,123,71,3367,8,
2026.06.13(토) 14:02,2026.06.14(일) 04:24,천하제일상거상,전체,🌊사냥은 지금부터야,14.4,189,114,5643,17,
2026.06.12(금) 12:40,2026.06.13(토) 04:30,천하제일상거상|talk,전체,1부 공겜 구룡,15.8,198,106,6668,24,
2026.06.12(금) 10:27,2026.06.12(금) 12:36,파이널판타지14|talk,전체,공겜한다 / 거상 300% / 파판굿즈샀따?,2.1,51,43,855,0,
2026.06.10(수) 11:04,2026.06.10(수) 18:24,천하제일상거상|파이널판타지14|talk,전체,🌊뭐라카노 경벤한다고 ?,7.3,77,64,3789,3,
2026.06.09(화) 11:17,2026.06.10(수) 04:24,천하제일상거상|파이널판타지14|talk,전체,🌊휴뱅 게릴라 / 방송에 미친자가 맞다,17.1,115,73,4686,19,
2026.06.08(월) 08:17,2026.06.09(화) 01:24,천하제일상거상|파이널판타지14|talk,전체,🌊이~~일찍 와따 （＞ε＜）,17.1,129,87,6211,19,
2026.06.06(토) 10:15,2026.06.07(일) 02:30,천하제일상거상|파이널판타지14|talk,전체,🌊 2일동안 23시간 방송한거 실화냐,16.2,137,76,5170,23,
2026.06.05(금) 09:03,2026.06.05(금) 19:54,천하제일상거상|파이널판타지14,전체,🌊 파판14 / 완전 뉴비 (!드롭스),10.8,84,60,3694,14,
2026.06.04(목) 19:16,2026.06.05(금) 01:36,파이널판타지14,전체,🌊 이런게임 처음해요 (!드롭스),6.3,119,70,1247,11,
2026.06.04(목) 13:21,2026.06.04(목) 19:12,파이널판타지14|talk,전체,🌊 휴뱅? 상여자는 그런거 모른다,5.8,71,51,2171,13,
2026.06.04(목) 13:10,2026.06.04(목) 13:18,talk,전체,🌊 휴뱅? 상여자는 그런거 모른다,0.1,26,17,42,0,
2026.06.03(수) 11:47,2026.06.03(수) 16:30,오버워치|talk,성인,🌊 황해보면서 한잔하자 ( ⁰▿⁰ )◞,4.7,56,44,944,4,
