시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 16:00,LIVE,종합 게임|talk,전체,LIVE,7.1,18,14,1819,1,
2026.06.14(일) 16:59,2026.06.15(월) 01:48,엘든 링|종합 게임|talk,전체,[신입 21일] 애들아 잘잤뎌??? /ᐠ.🝦 ̫ 🝦マ,8.8,21,15,3460,2,
2026.06.14(일) 16:00,2026.06.14(일) 16:54,talk,전체,[신입 21일] 애들아 잘잤뎌??? /ᐠ.🝦 ̫ 🝦マ,0.9,16,12,321,1,
2026.06.12(금) 22:00,2026.06.13(토) 06:12,엘든 링|종합 게임|talk,전체,[신입 20일] 이 시간에 우리 같이 있으니까 너무 좋다 설마 나 버리고 잠들 거 아니잖아 그치? 오늘 불금인데 밤새서 놀거자나/ᐠ.🝦 ̫ 🝦マ,8.2,17,11,2225,0,
2026.06.11(목) 16:00,2026.06.12(금) 01:06,엘든 링|종합 게임|talk,성인,[신입 19일] 다들 모여라모여라 여기로 모여라 나에게 모여라 유후~! /ᐠ.🝦 ̫ 🝦マ,9.1,19,14,1675,0,
2026.06.10(수) 16:00,2026.06.11(목) 02:00,엘든 링|종합 게임|talk,성인,[신입 18?] 모두모두 모여라~! 여기로 컴온!!!!!!!!!!!!!!!!!!!!!!!!! /ᐠ.🝦 ̫ 🝦マ,10,26,17,2866,6,
2026.06.09(화) 16:00,2026.06.09(화) 21:36,종합 게임|talk,전체,[신입 16] 내가 바람펴도 너는 절대 피지마~~ 베이비~! /ᐠ.🝦 ̫ 🝦マ,5.6,22,16,2019,2,
2026.06.08(월) 19:59,2026.06.08(월) 23:12,종합 게임|talk,전체,[신입 16] 여우야여우야 헌집 줄게 새집다오~!~! /ᐠ.🝦 ̫ 🝦マ,3.2,19,16,1448,1,
2026.06.07(일) 16:00,2026.06.08(월) 00:36,엘든 링|종합 게임|talk,전체,[신입 14] 여우들 모두 모여!!!!!!!!! /ᐠ.🝦 ̫ 🝦マ,8.6,26,17,2876,3,
2026.06.05(금) 22:00,2026.06.06(토) 06:30,엘든 링|종합 게임|talk,전체,[신입 14] 벌써 10시... 낮잠자고 왔됴 /ᐠ.🝦 ̫ 🝦マ,8.5,26,14,3025,2,
2026.06.04(목) 17:03,2026.06.05(금) 00:00,엘든 링|종합 게임|talk,전체,[신입 14] 내가 먹은 오늘 점심은 멀까요~? /ᐠ.🝦 ̫ 🝦マ,6.9,26,18,1953,2,
2026.06.04(목) 16:00,2026.06.04(목) 17:00,talk,전체,[신입 14] 내가 먹은 오늘 점심은 멀까요~? /ᐠ.🝦 ̫ 🝦マ,1,13,9,329,2,
2026.06.03(수) 16:06,2026.06.04(목) 02:00,미설정|엘든 링|종합 게임|talk,전체,[신입] 다들 모해요옹~?? 나랑 놀쟈 /ᐠ.🝦 ̫ 🝦マ,9.9,24,16,3047,6,
