시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 14:25,2026.06.15(월) 18:24,PUBG: 배틀그라운드|talk,전체,오랜만이다요~~,4,12,7,490,1,
2026.06.06(토) 15:40,2026.06.06(토) 16:24,음악/노래,전체,노래뱅 소통 없어요 예...인사 없어요...노래만 부르고 사라질 예정,0.7,6,5,15,0,
2026.06.03(수) 14:13,2026.06.03(수) 17:18,마인크래프트,전체,히히 마크다,3.1,15,10,217,1,
2026.06.03(수) 12:27,2026.06.03(수) 14:00,talk,성인,히히 다시보기 안 남기고 그냥 얘기!,1.5,12,8,0,0,
2026.06.01(월) 14:25,2026.06.01(월) 19:24,세키로: 섀도우 다이 트와이스|talk,전체,외출을 하니 소비가 늘어난다............,5,17,13,499,0,
2026.05.29(금) 14:06,2026.05.29(금) 20:12,세키로: 섀도우 다이 트와이스|talk,전체,군체 보고 왔어요 스포주의 게임 2시 30분 시작!,6.1,19,12,495,3,
2026.05.27(수) 14:18,2026.05.27(수) 18:36,마인크래프트|PUBG: 배틀그라운드|talk,전체,"출첵 만들었어요 ""별하""",4.3,15,10,535,1,
2026.05.25(월) 12:07,2026.05.25(월) 18:12,마인크래프트|Home: 집으로|talk,전체,외출 좋아 청년,6.1,16,11,592,1,
2026.05.18(월) 14:30,2026.05.18(월) 19:06,마인크래프트|talk|V 라이징,전체,공지) 19일~24일 휴뱅!,4.6,18,14,454,2,
2026.05.16(토) 15:54,2026.05.16(토) 19:30,디바우어|마인크래프트,전체,"협동 공겜! (W. 모아이 속상, 백사령, 졸린날의 하루)",3.6,9,6,114,1,
2026.05.15(금) 15:26,2026.05.15(금) 20:00,마인크래프트|talk,전체,골골골,4.6,18,13,336,0,
2026.05.13(수) 14:29,2026.05.13(수) 19:54,마인크래프트|talk,전체,생패가 무너지면.............,5.4,17,13,596,1,
2026.05.11(월) 14:09,2026.05.11(월) 19:00,마인크래프트|talk,전체,늘어지는 월요일,4.8,16,11,535,4,
2026.05.09(토) 15:59,2026.05.09(토) 18:48,종합 게임|프랫폴|talk,전체,합방 전 노가리,2.8,11,8,91,1,
2026.05.06(수) 21:15,2026.05.06(수) 23:06,마인크래프트,전체,만타 후열이라구요?! 다 함께 원블록 챌린지,1.8,6,4,39,1,
2026.05.06(수) 14:29,2026.05.06(수) 19:30,PUBG: 배틀그라운드|talk,전체,수요일이야!!,5,18,13,615,2,
2026.05.04(월) 14:18,2026.05.04(월) 20:30,마이 리틀 퍼피|talk,전체,아무고토 하고 싶지 않다~,6.2,14,11,594,0,
2026.05.02(토) 15:37,2026.05.02(토) 17:30,스플래툰 3,전체,최소 3두 홍삼 나오면 방종~,1.9,19,12,169,0,
2026.05.01(금) 14:30,2026.05.01(금) 15:36,talk,전체,짧,1.1,12,8,142,0,
2026.04.29(수) 14:30,2026.04.29(수) 21:18,에이리언: 아이솔레이션|PUBG: 배틀그라운드|talk,전체,간만에 공겜~,6.8,19,15,534,4,
2026.04.27(월) 14:29,2026.04.27(월) 18:30,PUBG: 배틀그라운드|talk,전체,골골골,4,18,12,457,3,
2026.04.24(금) 14:31,2026.04.24(금) 19:06,PUBG: 배틀그라운드,전체,배그 중독 배린이 솔큐,4.6,13,9,288,-1,
2026.04.22(수) 14:30,2026.04.22(수) 19:48,바이오하자드 7 레지던트 이블|PUBG: 배틀그라운드|talk,전체,바하7 dlc 하고.......,5.3,17,12,406,2,
2026.04.20(월) 14:37,2026.04.20(월) 19:18,PUBG: 배틀그라운드,전체,튕기면 바하 시참X,4.7,18,13,493,1,
2026.04.18(토) 16:56,2026.04.18(토) 19:00,PUBG: 배틀그라운드,전체,2일차 배린이 시참X,2.1,8,6,165,0,
2026.04.18(토) 16:39,2026.04.18(토) 16:54,PUBG: 배틀그라운드,전체,2일차 배린이 시참X,0.2,6,4,43,1,
2026.04.18(토) 16:02,2026.04.18(토) 16:36,PUBG: 배틀그라운드,전체,배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그배그,0.6,7,5,68,1,
2026.04.17(금) 20:37,2026.04.17(금) 22:48,PUBG: 배틀그라운드,전체,배그 테스트,2.2,7,4,123,0,
2026.04.17(금) 14:44,2026.04.17(금) 19:48,오버워치|PUBG: 배틀그라운드|talk,전체,더워!!!!!!!!!,5.1,22,15,829,1,
2026.04.15(수) 14:55,2026.04.15(수) 19:42,미설정|바이오하자드 7 레지던트 이블,전체,으악,4.8,14,10,388,0,
2026.04.13(월) 14:33,2026.04.13(월) 21:00,바이오하자드 RE:4|talk,전체,햅삐 월요일,6.4,17,12,389,4,
2026.04.10(금) 14:32,2026.04.10(금) 17:36,talk,전체,소설이 너무 재밌는데?!,3.1,14,9,192,0,
2026.04.08(수) 14:46,2026.04.08(수) 18:18,포켓몬 포코피아,전체,잔잔뱅,3.5,11,6,110,0,
2026.04.08(수) 14:30,2026.04.08(수) 14:42,포켓몬 포코피아,전체,잔잔뱅,0.2,3,3,1,0,
2026.04.06(월) 14:31,2026.04.06(월) 19:36,더 포레스트|종합 게임|포켓몬 포코피아|talk,성인,월요일 조아~~,5.1,13,8,38,1,
2026.04.03(금) 14:31,2026.04.03(금) 18:48,더 포레스트|talk,성인,금요일 싫어~,4.3,12,8,7,2,
2026.04.01(수) 16:02,2026.04.01(수) 18:48,포켓몬 포코피아|talk,전체,사실 버미육이었습니다...,2.8,11,8,175,1,
2026.03.30(월) 14:42,2026.03.30(월) 19:00,더 포레스트|talk,성인,이제머함?,4.3,12,9,372,2,
2026.03.29(일) 15:09,2026.03.29(일) 19:36,마인크래프트,전체,[MANTA] 만타서버 우엥 내 세상이 무너진다ㅜㅜㅜ,4.4,8,5,192,0,
2026.03.28(토) 01:10,2026.03.28(토) 02:42,마인크래프트,전체,[MANTA] 만타서버 막보 트라이...!,1.5,6,3,50,0,
2026.03.27(금) 14:06,2026.03.27(금) 19:30,마인크래프트,전체,[MANTA] 만타서버 짧뱅이지 않을까..?,5.4,11,8,348,0,
2026.03.25(수) 20:33,2026.03.25(수) 23:30,두근두근타운|마인크래프트,전체,[MANTA] 만타서버 마지막 이벤 보스래요ㅜ,2.9,11,7,260,0,
2026.03.25(수) 14:30,2026.03.25(수) 18:30,마인크래프트,전체,[MANTA] 만타서버 강한 뇨자,4,14,8,278,0,
2026.03.24(화) 20:00,2026.03.25(수) 03:06,마인크래프트,전체,[MANTA] 만타서버 9시 보스!,7.1,9,6,292,0,
2026.03.24(화) 10:00,2026.03.24(화) 12:06,마인크래프트,전체,[MANTA] 만타서버 점심 먹기 전까지만,2.1,10,6,129,0,
