시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 19:46,LIVE,종합 게임|talk,전체,LIVE,3.3,25,12,1829,1,
2026.06.15(월) 05:55,2026.06.15(월) 07:00,2026 FIFA 북중미 월드컵,전체,나고야인의 일본 응원방,1.1,13,11,497,1,
2026.06.15(월) 00:19,2026.06.15(월) 05:54,미설정|talk,전체,좋은 아침 (3),5.6,10,8,1148,0,
2026.06.14(일) 03:20,2026.06.14(일) 07:18,talk,전체,좋은 아침 (2),4,9,4,1451,0,
2026.06.13(토) 02:59,2026.06.13(토) 07:24,talk,전체,좋은 아침,4.4,14,8,2234,0,
2026.06.11(목) 23:49,2026.06.12(금) 05:18,talk,전체,걸즈 밴드 크라이 8화부터 끝까지,5.5,10,6,1886,0,
2026.06.10(수) 21:56,2026.06.11(목) 04:12,붕괴: 스타레일|talk,전체,좋은 아침 입니다...,6.3,12,6,1677,0,
2026.06.09(화) 17:10,2026.06.10(수) 03:00,붕괴: 스타레일,전체,페나코니 2일차 - 3D멀미가 심한 청년,9.8,12,8,1154,0,
2026.06.08(월) 22:49,2026.06.09(화) 05:00,붕괴: 스타레일,전체,페나코니 1일차,6.2,10,7,799,1,
2026.06.08(월) 00:48,2026.06.08(월) 05:36,붕괴: 스타레일,전체,잠깐킴,4.8,12,8,860,0,
2026.06.03(수) 17:37,2026.06.04(목) 03:06,마법소녀의 마녀재판,전체,마마재 끝까지,9.5,12,9,3858,0,
2026.06.01(월) 18:36,2026.06.03(수) 06:36,종합 게임|코어 키퍼|리그 오브 레전드|발로란트|마법소녀의 마녀재판,전체,잠을 아주 많이 자는 사람,36,15,8,4568,-2,
2026.06.01(월) 00:19,2026.06.01(월) 06:42,종합 게임|발로란트|마법소녀의 마녀재판,전체,잠을 많이 자는 사람,6.4,11,8,1192,1,
2026.05.29(금) 23:12,2026.05.30(토) 03:06,발로란트|마법소녀의 마녀재판|talk,전체,우잉...,3.9,13,9,481,-1,
2026.05.27(수) 23:37,2026.05.28(목) 02:30,종합 게임|워크래프트 3: 리포지드,전체,우잉...,2.9,14,12,336,0,
2026.05.25(월) 18:28,2026.05.27(수) 23:30,종합 게임|리그 오브 레전드|발로란트|마법소녀의 마녀재판|스타크래프트 : 리마스터|워크래프트 3: 리포지드,전체,죽다 살아난 사람,53,15,9,5838,5,
2026.05.24(일) 01:06,2026.05.24(일) 05:24,리그 오브 레전드|워크래프트 3: 리포지드|talk,전체,잠자는 방송,4.3,12,8,831,0,
