시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 01:11,LIVE,패스 오브 엑자일 2,전체,LIVE,12.9,17,8,929,1,
2026.06.14(일) 04:40,2026.06.14(일) 18:24,패스 오브 엑자일 2,전체,[POE2 0.5] 돌개바람 데드아이⚡⚡⚡,13.7,12,5,685,1,
2026.06.12(금) 10:52,2026.06.13(토) 07:12,패스 오브 엑자일 2,전체,[POE2 0.5] 돌개바람 데드아이⚡⚡⚡,20.3,21,8,2456,4,
2026.06.11(목) 12:31,2026.06.12(금) 01:30,패스 오브 엑자일 2,전체,[POE2 0.5] 돌개바람 데드아이⚡⚡⚡,13,78,19,1193,4,
2026.06.10(수) 10:14,2026.06.11(목) 03:54,패스 오브 엑자일 2,전체,[POE2 0.5] 돌개바람 데드아이⚡⚡⚡,17.7,21,7,1002,-1,
2026.06.09(화) 07:46,2026.06.10(수) 03:18,패스 오브 엑자일 2,전체,[POE2 0.5] 돌개바람 데드아이⚡⚡⚡,19.5,23,9,2351,2,
2026.06.08(월) 09:52,2026.06.08(월) 23:12,패스 오브 엑자일 2,전체,[POE2 0.5] 돌개바람 데드아이⚡⚡⚡,13.3,23,7,1513,-1,
2026.06.07(일) 09:36,2026.06.08(월) 02:06,패스 오브 엑자일 2,전체,[POE2 0.5] 돌개바람 데드아이⚡⚡⚡,16.5,21,6,368,-2,
2026.06.06(토) 07:34,2026.06.06(토) 17:42,패스 오브 엑자일 2,전체,[POE2 0.5] 돌개바람 데드아이⚡⚡⚡,10.1,9,6,463,-1,
2026.06.05(금) 11:43,2026.06.06(토) 00:48,패스 오브 엑자일 2,전체,[POE2 0.5] 돌개바람 데드아이⚡⚡⚡,13.1,11,4,154,3,
2026.06.04(목) 07:11,2026.06.05(금) 01:18,패스 오브 엑자일 2,전체,[POE2 0.5] 돌개바람 데드아이⚡⚡⚡,18.1,7,3,431,0,
2026.06.03(수) 03:13,2026.06.03(수) 18:30,패스 오브 엑자일 2,전체,[POE2 0.5] 돌개바람 데드아이⚡⚡⚡,15.3,9,3,330,-1,
2026.06.02(화) 02:58,2026.06.02(화) 18:42,패스 오브 엑자일 2,전체,[POE2 0.5] 돌개바람 데드아이⚡⚡⚡,15.7,8,4,269,1,
2026.06.01(월) 04:04,2026.06.01(월) 18:42,패스 오브 엑자일 2,전체,[POE2 0.5] 돌개바람 데드아이⚡⚡⚡,14.6,10,4,552,-1,
2026.05.31(일) 04:19,2026.05.31(일) 21:00,패스 오브 엑자일 2,전체,[POE2 0.5] 돌개바람 데드아이⚡⚡⚡,16.7,11,5,574,0,
2026.05.29(금) 22:21,2026.05.30(토) 19:00,패스 오브 엑자일 2,전체,[POE2 0.5] 늦잠 잔 사람의 오픈런⚡⚡⚡,20.6,11,5,182,0,
2026.05.29(금) 01:54,2026.05.29(금) 12:18,패스 오브 엑자일 2,전체,[POE2 0.5] 아몰라 데드아이 스타트 연습⚡⚡⚡,10.4,20,13,696,0,
2026.05.28(목) 04:00,2026.05.28(목) 12:00,패스 오브 엑자일 2,전체,[POE2 0.5] 데드아이 아마존 테스트⚡⚡⚡,8,13,7,281,1,
2026.05.27(수) 00:52,2026.05.27(수) 14:42,패스 오브 엑자일 2,전체,[POE2 0.5] 하는김에 제대로 일단 공부하기!!⚡⚡⚡,13.8,15,9,420,0,
2026.05.26(화) 02:41,2026.05.26(화) 13:48,패스 오브 엑자일 2,전체,[POE2 0.5] 돌개바람을 다시 꺼내보자⚡⚡⚡,11.1,17,9,426,-2,
2026.05.25(월) 04:23,2026.05.25(월) 11:24,디아블로 4: 증오의 군주,전체,[디아블로4] 드루이드 연구소⚡⚡⚡,7,11,7,260,0,
2026.05.22(금) 04:05,2026.05.22(금) 11:36,디아블로 4: 증오의 군주,전체,[디아블로4] 드루이드 연구소⚡⚡⚡,7.5,20,13,259,1,
2026.05.20(수) 04:12,2026.05.20(수) 16:00,디아블로 4: 증오의 군주,전체,[디아블로4] 변성 변성 변성⚡⚡⚡,11.8,18,11,591,0,
2026.05.18(월) 14:29,2026.05.19(화) 08:24,디아블로 4: 증오의 군주,전체,[디아블로4] 무기말고 다른데도 축성 해야됩니다⚡⚡⚡,17.9,32,13,571,2,
2026.05.17(일) 07:23,2026.05.17(일) 17:54,디아블로 4: 증오의 군주,전체,[디아블로4] 드루이드연구소⚡⚡⚡,10.5,18,10,685,0,
2026.05.16(토) 05:37,2026.05.16(토) 15:18,디아블로 4: 증오의 군주,전체,[디아블로4] 전쟁계획 10등급 찍어보자⚡⚡⚡,9.7,25,15,445,0,
2026.05.14(목) 10:27,2026.05.14(목) 21:00,디아블로 4: 증오의 군주,전체,[디아블로4] 플래너 정비 및 파밍⚡⚡⚡,10.5,20,11,209,4,
2026.05.13(수) 09:20,2026.05.14(목) 00:54,디아블로 4: 증오의 군주,전체,[디아블로4] 플래너 정비 및 파밍⚡⚡⚡,15.6,27,11,524,1,
2026.05.11(월) 10:56,2026.05.11(월) 22:18,디아블로 4: 증오의 군주,전체,[디아블로4] 온몸 비틀기 드루이드 등반⚡⚡⚡,11.4,26,14,237,2,
2026.05.10(일) 11:27,2026.05.11(월) 01:12,디아블로 4: 증오의 군주,전체,[디아블로4]파밍이 답이다.⚡⚡⚡,13.7,33,16,753,1,
2026.05.09(토) 06:14,2026.05.09(토) 21:24,디아블로 4: 증오의 군주,전체,[디아블로4]파밍이 답이다.⚡⚡⚡,15.2,26,15,469,1,
2026.05.07(목) 07:34,2026.05.07(목) 17:48,디아블로 4: 증오의 군주,전체,[디아블로4] 신화 문양 파밍 후 등반시작⚡⚡⚡,10.2,19,11,477,1,
2026.05.06(수) 04:27,2026.05.06(수) 17:48,디아블로 4: 증오의 군주,전체,[디아블로4]동물농장 드루이드⚡⚡⚡,13.3,17,11,512,2,
2026.05.05(화) 15:36,2026.05.05(화) 18:06,디아블로 4: 증오의 군주,전체,[디아블로4]동물농장 드루이드⚡⚡⚡,2.5,10,7,44,-1,
2026.05.05(화) 08:20,2026.05.05(화) 15:30,디아블로 4: 증오의 군주,전체,[디아블로4]동물농장 드루이드⚡⚡⚡,7.2,15,10,184,0,
2026.05.04(월) 04:20,2026.05.04(월) 23:18,디아블로 4: 증오의 군주,전체,[디아블로4]파밍이 맛있다.⚡⚡⚡,19,58,17,574,8,
2026.05.03(일) 02:01,2026.05.03(일) 17:00,디아블로 4: 증오의 군주,전체,[디아블로4] 두배씩만 강해지자 ⚡⚡⚡,15,25,16,622,2,
2026.05.02(토) 01:57,2026.05.02(토) 17:18,디아블로 4: 증오의 군주,전체,[디아블로4] 드루이드 연구 ⚡⚡⚡,15.3,26,15,551,2,
2026.04.30(목) 23:43,2026.05.01(금) 17:00,디아블로 4: 증오의 군주,전체,[디아블로4] 드루이드 연구 ⚡⚡⚡,17.3,24,16,711,7,
2026.04.29(수) 23:57,2026.04.30(목) 14:12,디아블로 4: 증오의 군주,전체,[디아블로4] 번폭은 신이다⚡⚡⚡⚡⚡,14.2,34,19,548,5,
