시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 01:30,2026.06.15(월) 08:54,포켓몬 챔피언스|talk,전체,저챗 방송,7.4,40,23,3721,9,
2026.06.14(일) 08:00,2026.06.14(일) 12:18,talk,전체,저챗 방송,4.3,29,22,1890,4,
2026.06.12(금) 21:59,2026.06.12(금) 23:06,talk,성인,저챗 방송,1.1,21,16,549,1,
2026.06.12(금) 01:30,2026.06.12(금) 07:06,미제사건은 끝내야 하니까|talk,전체,저챗 방송,5.6,27,16,2059,0,
2026.06.11(목) 01:12,2026.06.11(목) 07:36,나는 아르바이트생이다!!|숲속의 작은 마녀|talk,전체,저챗 방송,6.4,28,19,3634,2,
2026.06.08(월) 01:44,2026.06.08(월) 04:00,talk,전체,저챗 방송,2.3,39,27,1534,1,
2026.06.08(월) 01:29,2026.06.08(월) 01:42,talk,전체,저챗 방송,0.2,20,17,91,0,
2026.06.07(일) 08:30,2026.06.07(일) 14:36,talk,성인,저챗 방송,6.1,49,30,3057,5,
2026.06.06(토) 17:57,2026.06.06(토) 23:06,종합 게임|talk,전체,저챗 방송,5.1,22,15,2484,-2,
2026.06.05(금) 19:31,2026.06.06(토) 00:24,명조:워더링 웨이브|명일방주|talk,전체,저챗 방송,4.9,23,16,1879,0,
2026.06.05(금) 01:30,2026.06.05(금) 06:30,talk,전체,저챗 방송,5,56,40,4086,3,
2026.06.01(월) 01:30,2026.06.01(월) 04:48,talk,전체,저챗 방송,3.3,25,21,2175,2,
2026.05.31(일) 07:28,2026.05.31(일) 14:06,음악/노래|talk,전체,저챗 방송,6.6,70,45,4288,5,
2026.05.30(토) 08:31,2026.05.30(토) 16:18,음악/노래|talk,전체,저챗 방송,7.8,71,40,6613,17,
2026.05.29(금) 13:28,2026.05.29(금) 19:00,명조:워더링 웨이브|talk,전체,저챗 방송,5.5,24,17,2134,5,
2026.05.28(목) 18:30,2026.05.29(금) 01:48,앙빅|포켓몬 챔피언스|talk,전체,저챗 방송,7.3,27,20,4258,3,
2026.05.26(화) 19:59,2026.05.27(수) 00:48,종합 게임|talk,전체,저챗 방송,4.8,20,15,2317,-2,
2026.05.25(월) 01:30,2026.05.25(월) 07:42,앙빅|숲속의 작은 마녀|talk,전체,저챗 방송,6.2,36,25,3238,3,
2026.05.24(일) 00:00,2026.05.24(일) 06:48,포켓몬 챔피언스|씰체인: 콜 오브 블러드|명일방주|talk,전체,저챗 방송,6.8,39,26,4462,0,
2026.05.23(토) 06:59,2026.05.23(토) 14:06,명조:워더링 웨이브|talk,전체,저챗 방송,7.1,50,33,3316,2,
2026.05.21(목) 06:59,2026.05.21(목) 11:54,명조:워더링 웨이브|talk,전체,저챗 방송,4.9,36,27,2300,3,
2026.05.20(수) 15:49,2026.05.20(수) 21:30,명조:워더링 웨이브|음악/노래|talk,전체,저챗 방송,5.7,44,27,7760,2,
2026.05.19(화) 00:29,2026.05.19(화) 07:42,당신과 그녀와 그녀의 사랑|talk,전체,저챗 방송,7.2,40,28,5119,3,
2026.05.18(월) 01:09,2026.05.18(월) 13:00,팰월드|매지컬 프린세스|talk,전체,큐티뽀짝 도이님과 합방,11.8,52,30,7480,4,
2026.05.18(월) 00:47,2026.05.18(월) 01:06,talk,전체,큐티뽀짝 도이님과 합방,0.3,36,24,295,1,
2026.05.17(일) 01:46,2026.05.17(일) 06:00,talk,전체,일라 술 좀 취함,4.2,45,29,2758,3,
2026.05.16(토) 04:58,2026.05.16(토) 11:00,명조:워더링 웨이브,전체,명조 뉴비,6,61,41,3261,10,
2026.05.16(토) 00:00,2026.05.16(토) 03:42,명조:워더링 웨이브|명일방주|talk,전체,저챗 방송,3.7,34,21,2713,2,
