시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 09:34,LIVE,오버워치|talk,전체,LIVE,4.5,18,11,497,4,
2026.06.14(일) 08:58,2026.06.14(일) 15:30,오버워치,전체,오늘 키스데이라던데..' 3'💛 (˶• ▿ •˶),6.5,19,14,497,2,
2026.06.13(토) 09:09,2026.06.13(토) 15:30,오버워치|talk,전체,오늘은 오버워치로 힐링 할까해요 (˶• ▿ •˶),6.3,15,11,998,1,
2026.06.12(금) 09:45,2026.06.12(금) 15:36,명조:워더링 웨이브|talk,전체,아 배부르다! (˶• ▿ •˶),5.8,15,9,1019,1,
2026.06.11(목) 08:51,2026.06.11(목) 16:12,명조:워더링 웨이브|talk,전체,호에엥 (˶• ▿ •˶),7.3,20,14,991,8,
2026.06.08(월) 09:18,2026.06.08(월) 16:06,오버워치|talk,전체,오늘도 능능한 하루 (˶• ▿ •˶),6.8,18,12,1010,1,
2026.06.07(일) 09:29,2026.06.07(일) 15:54,이환|talk,전체,녹는당 (˶• ▿ •˶),6.4,28,16,1464,8,
2026.06.06(토) 09:37,2026.06.06(토) 15:42,이환|talk,전체,꼼지락 (˶• ▿ •˶),6.1,21,14,1502,2,
2026.06.05(금) 09:15,2026.06.05(금) 16:18,이환|talk,전체,슬라임 도비가 왔어용 (˶• ▿ •˶),7,45,24,2447,18,
2026.05.31(일) 10:02,2026.05.31(일) 15:48,이환|talk,전체,호에에엥 살려줭 (˶• ▿ •˶),5.8,19,13,1174,4,
2026.05.30(토) 10:08,2026.05.30(토) 17:30,구스 구스 덕|talk,전체,뇨뇨뇨 (˶• ▿ •˶),7.4,14,9,682,9,
2026.05.28(목) 19:21,2026.05.29(금) 02:30,마인크래프트,전체,[예이아] 바삭팝콘 처럼 내 멘탈도 바사삭! (˶• ▿ •˶),7.1,18,11,1082,4,
2026.05.28(목) 11:05,2026.05.28(목) 19:18,마인크래프트|talk,전체,[바삭팝콘X도비애오] 팝콘팔이 소녀가 왔어요! 구매링크는 고정메세지 확인! (˶• ▿ •˶),8.2,23,13,1631,2,
2026.05.28(목) 10:00,2026.05.28(목) 11:00,talk,전체,이따가 8시에 바삭팝콘 광고합니다!(리방할거임) (˶• ▿ •˶),1,16,10,260,0,
2026.05.25(월) 10:02,2026.05.26(화) 02:00,마인크래프트,전체,[예이아] 다 못캐면 벌칙: 풀트키고 링피트 최고난이도 1시간. (˶• ▿ •˶),16,15,10,1750,10,
2026.05.24(일) 09:59,2026.05.24(일) 18:06,마인크래프트,전체,[예이아] 벌칙: 풀트키고 링피트 최고난이도 1시간. (˶• ▿ •˶),8.1,18,12,1288,6,
2026.05.23(토) 09:59,2026.05.23(토) 18:18,마인크래프트|talk,전체,힘차게 등장(?) (˶• ▿ •˶),8.3,15,10,1007,0,
2026.05.22(금) 10:00,2026.05.22(금) 15:54,친구모아 아일랜드 두근두근 라이프|talk,전체,느에에에엥 (˶• ▿ •˶),5.9,14,10,1061,0,
2026.05.21(목) 09:49,2026.05.21(목) 17:06,서브노티카 2|talk,전체,오늘은 섭노티카2 하는날~(w. 꼰쮸나) (˶• ▿ •˶),7.3,17,11,1075,0,
2026.05.20(수) 12:38,2026.05.20(수) 16:54,오버워치|talk,전체,크흐흐흐...꼬질이 등장 (˶• ▿ •˶),4.3,17,11,1074,3,
2026.05.20(수) 09:55,2026.05.20(수) 12:36,talk,전체,크흐흐흐...꼬질이 등장 (˶• ▿ •˶),2.7,15,12,663,0,
2026.05.18(월) 09:55,2026.05.18(월) 17:00,이환|talk,전체,날씨가 점점 더워 (˶• ▿ •˶),7.1,17,11,956,0,
2026.05.17(일) 09:57,2026.05.17(일) 18:42,프래그마타|talk,전체,뀨 (˶• ▿ •˶),8.7,15,10,1010,0,
2026.05.16(토) 09:49,2026.05.16(토) 16:54,오버워치|친구모아 아일랜드 두근두근 라이프|talk,전체,오늘도 비몽사몽 김도비 (˶• ▿ •˶),7.1,14,10,801,-1,
2026.05.15(금) 09:40,2026.05.15(금) 17:06,이환|talk,성인,최고 업적: 새끼발톱 절반 날려먹기. (˶• ▿ •˶),7.4,23,15,908,2,
2026.05.11(월) 08:36,2026.05.11(월) 13:54,이환|talk,전체,오늘은 짧뱅! 나 일해야 돼 (˶• ▿ •˶),5.3,26,17,1165,5,
2026.05.10(일) 08:26,2026.05.10(일) 15:36,이환|친구모아 아일랜드 두근두근 라이프|talk,전체,지금 너무 능능해요 (˶• ▿ •˶),7.2,21,14,1174,3,
2026.05.09(토) 09:00,2026.05.09(토) 16:42,이환|talk,전체,오늘은 저댄으로 건강 챙기는날(?) (˶• ▿ •˶),7.7,21,14,1038,3,
2026.05.08(금) 08:58,2026.05.08(금) 16:06,이환|talk,전체,조오오올려어어어 (˶• ▿ •˶),7.1,22,15,1259,6,
2026.05.07(목) 08:52,2026.05.07(목) 16:36,이환|친구모아 아일랜드 두근두근 라이프|talk,전체,방금 일어난 사람 (˶• ▿ •˶),7.7,17,12,860,2,
2026.05.04(월) 08:23,2026.05.04(월) 15:54,이환|talk,전체,왔썹~ (˶• ▿ •˶),7.5,24,17,1983,7,
2026.05.03(일) 08:55,2026.05.03(일) 16:06,종합 게임|오버워치|친구모아 아일랜드 두근두근 라이프|talk,전체,느에엥 (˶• ▿ •˶),7.2,15,10,435,3,
2026.05.02(토) 09:05,2026.05.02(토) 17:42,인사이드|친구모아 아일랜드 두근두근 라이프|talk,전체,오늘은 인사이드 하는 날! (˶• ▿ •˶),8.6,15,10,981,1,
2026.05.01(금) 06:53,2026.05.01(금) 15:18,종합 게임|친구모아 아일랜드 두근두근 라이프,전체,노동절 친모아에서 커마 노동중 (˶• ▿ •˶),8.4,16,10,608,1,
2026.04.30(목) 08:10,2026.04.30(목) 15:18,종합 게임|친구모아 아일랜드 두근두근 라이프,전체,친구모아 아일랜드 첫 시작 (˶• ▿ •˶),7.1,20,13,449,1,
2026.04.29(수) 03:38,2026.04.29(수) 09:12,이환,전체,이환 오픈런 가보즈아ㅏㅏㅏ!!!!(tmi: 나 스위치 구매완!) (˶• ▿ •˶),5.6,14,9,566,0,
2026.04.27(월) 08:34,2026.04.27(월) 16:12,붉은사막|talk,전체,스위치2... 격하게 사고싶다. (˶• ▿ •˶),7.6,25,18,1205,0,
2026.04.26(일) 08:47,2026.04.26(일) 16:06,붉은사막|talk,전체,냉면먹고와써요 (˶• ▿ •˶),7.3,33,20,942,12,
2026.04.25(토) 08:17,2026.04.25(토) 14:42,프래그마타|talk,전체,밍기적밍기적밍기적밍기적밍기적밍기적 (˶• ▿ •˶),6.4,19,12,967,0,
2026.04.24(금) 07:57,2026.04.24(금) 14:42,오버워치|talk,전체,데구르르르 (˶• ▿ •˶),6.7,17,11,518,2,
2026.04.23(목) 08:37,2026.04.23(목) 14:42,마비노기 모바일|프래그마타|talk,전체,능능 (˶• ▿ •˶),6.1,19,13,1215,2,
