시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 17:59,2026.06.14(일) 23:54,원신|젠레스 존 제로,전체,8시 원신 동아리 심화반,5.9,63,31,2336,6,
2026.06.12(금) 18:18,2026.06.12(금) 21:54,친구모아 아일랜드 두근두근 라이프,전체,무인도에서 사랑을 추구하면 안되는 걸까,3.6,23,20,1341,1,
2026.06.11(목) 17:58,2026.06.11(목) 23:00,링 피트 어드벤처|음악/노래,전체,1부 노래뱅 / 2부 링피트,5,28,22,2936,0,
2026.06.10(수) 17:56,2026.06.10(수) 19:12,링 피트 어드벤처,전체,5분만 뛰어도 힘든 사람의 링피트 도전기,1.3,23,18,633,0,
2026.06.09(화) 17:59,2026.06.09(화) 23:06,이환|스타크래프트 : 리마스터,전체,핑크퍼스의 악마,5.1,51,34,1847,2,
2026.06.08(월) 17:58,2026.06.08(월) 23:54,원신|스타크래프트 : 리마스터,전체,원신 맵 파먹는 날,5.9,45,31,2541,3,
2026.06.07(일) 18:01,2026.06.07(일) 23:30,친구모아 아일랜드 두근두근 라이프,전체,친구모아 아일랜드: 내 요리를 먹어라,5.5,26,23,1872,-2,
2026.06.04(목) 20:06,2026.06.04(목) 22:54,이환,전체,남의 집 불법 침입 해보기,2.8,35,25,834,0,
2026.06.04(목) 18:06,2026.06.04(목) 20:00,이환,전체,라크리모사 스킨 사버렸어요 헤헷,1.9,27,22,853,-1,
2026.06.03(수) 18:19,2026.06.04(목) 00:12,이환,전체,오라 달콤한 라크리모사여!!,5.9,35,27,2153,-1,
2026.06.02(화) 17:39,2026.06.02(화) 21:18,붕괴: 스타레일|젠레스 존 제로,전체,스타레일 4.3 개척임무 같이보기,3.6,29,21,1357,1,
2026.05.31(일) 18:14,2026.06.01(월) 00:24,원신,전체,8시 원신 동아리 심화반,6.2,49,32,1589,6,
2026.05.29(금) 18:01,2026.05.29(금) 21:24,친구모아 아일랜드 두근두근 라이프,전체,노예 모아 아일랜드 가쟈!,3.4,29,22,990,0,
2026.05.28(목) 18:06,2026.05.28(목) 22:36,젠레스 존 제로,전체,오늘에야 말로 시즌 1을 끝내러 왔다,4.5,29,20,935,-1,
2026.05.27(수) 17:58,2026.05.27(수) 21:18,이환,전체,헤테로 시티의 범죄자 꿈나무,3.3,37,28,955,2,
2026.05.26(화) 17:58,2026.05.26(화) 23:30,원신|스타크래프트 : 리마스터,전체,원신 맵 파먹기 달려!!!,5.5,42,30,1966,0,
2026.05.24(일) 17:52,2026.05.24(일) 23:54,원신,전체,7시 원신 동아리 (요즘 원신 너무 재밋숨),6,47,34,1548,7,
2026.05.22(금) 18:03,2026.05.22(금) 21:00,이환|붕괴: 스타레일,전체,오늘은 내가 헤테로 고인물,2.9,33,25,789,1,
2026.05.21(목) 21:04,2026.05.21(목) 21:30,원신|종합 게임,전체,나 티바트 주민인데 할 게 너무 많다...,0.4,23,22,217,0,
2026.05.21(목) 17:33,2026.05.21(목) 21:00,원신,전체,나 티바트 주민인데 할 게 너무 많다...,3.4,38,29,1492,1,
2026.05.20(수) 17:46,2026.05.21(목) 01:12,원신,전체,나 너무 설레,7.4,33,26,1395,3,
2026.05.19(화) 17:52,2026.05.20(수) 00:18,친구모아 아일랜드 두근두근 라이프,전체,시청자 연애 시키기 프로젝트,6.4,32,24,2548,0,
2026.05.18(월) 18:00,2026.05.18(월) 23:30,친구모아 아일랜드 두근두근 라이프,전체,시청자를 섬에 가두자,5.5,29,24,2159,1,
2026.05.15(금) 18:01,2026.05.15(금) 22:18,친구모아 아일랜드 두근두근 라이프,전체,시청자를 섬에 가두자,4.3,30,23,1683,3,
