시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.05.24(일) 23:01,2026.05.25(월) 15:24,오버워치|이스케이프 더 백룸|talk,전체,흠,16.4,25,12,1890,4,
2026.05.24(일) 00:20,2026.05.24(일) 12:42,오버워치|talk,전체,노방종 고향 갑니다. [올해 마지막 밥똥옵 연휴 3일 프로젝트],12.4,25,14,645,4,
2026.05.23(토) 00:47,2026.05.23(토) 10:42,종합 게임|오버워치|talk,전체,ㅎㅇㅎㅇㅎㅇㅎㅇㅎㅇㅎㅇ,9.9,27,13,552,2,
2026.05.17(일) 00:13,2026.05.17(일) 14:24,종합 게임|오버워치|그림자 복도 2: 비의 수국|디렉티브 8020|talk,전체,ㅎㅇ,14.2,25,15,1019,4,
2026.05.09(토) 23:33,2026.05.10(일) 11:48,악의|그림자 복도|오버워치|바이오하자드 레퀴엠|talk,전체,나 왔당 !,12.2,30,17,1346,4,
2026.05.09(토) 09:52,2026.05.09(토) 11:18,그림자 복도|talk,전체,서프라이즈~,1.4,18,14,224,-1,
2026.05.09(토) 00:51,2026.05.09(토) 07:48,그림자 복도|오버워치|talk,전체,.,6.9,33,14,833,4,
2026.05.04(월) 00:37,2026.05.04(월) 05:54,그림자 복도,전체,서프라이즈~,5.3,23,12,560,1,
2026.05.03(일) 00:41,2026.05.03(일) 13:00,검은 신화: 오공|그림자 복도|talk,전체,뚱이의 큰 결심,12.3,40,20,1428,-2,
2026.05.02(토) 01:29,2026.05.02(토) 15:12,그림자 복도|오버워치|talk,전체,왔소,13.7,44,23,1600,3,
2026.04.25(토) 23:37,2026.04.26(일) 12:00,재앙|talk,전체,AI랑 싸우고 온 사람,12.4,29,15,2182,4,
