시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 12:01,2026.06.14(일) 14:06,인슈라오디드,전체,٩(๑>ꇴ< ๑)و,2.1,7,6,92,0,
2026.06.13(토) 12:00,2026.06.13(토) 14:12,인슈라오디드,전체,◝(◕ᗜ◕)◜,2.2,9,7,166,0,
2026.06.12(금) 11:59,2026.06.12(금) 15:36,인슈라오디드,전체,ԅ(‹o›Д‹o›ԅ),3.6,12,9,370,1,
2026.06.10(수) 12:01,2026.06.10(수) 14:12,인슈라오디드,전체,٩(ˊᗜˋ*)و ʸᵉᵃʰᵎᵎ,2.2,7,5,150,1,
2026.06.07(일) 12:00,2026.06.07(일) 14:06,두근두근타운|인슈라오디드,전체,자기전짧뜌타,2.1,12,6,47,0,
2026.06.06(토) 11:59,2026.06.06(토) 18:36,두근두근타운|인슈라오디드,전체,일단 음.. ! 탑을 찾아 가 !,6.6,10,8,597,0,
2026.06.05(금) 11:59,2026.06.05(금) 18:42,메이플스토리|인슈라오디드,전체,[루나 | 6일차 ] 보스를 잡기위한 준비 ! (๑ゝω·)ﾉ🔥,6.7,14,10,698,0,
2026.06.03(수) 11:32,2026.06.03(수) 13:30,메이플스토리,전체,[루나 | 6일차 ] 보스를 잡기위한 준비 ! (๑ゝω·)ﾉ🔥,2,9,6,116,1,
2026.05.31(일) 12:00,2026.05.31(일) 14:00,메이플스토리,전체,[루나 | 4일차 ] 리버스탑 끝내고 만다 (부들부들 🔥,2,12,10,156,0,
2026.05.30(토) 11:58,2026.05.30(토) 14:00,메이플스토리,전체,[루나 | 4일차 ] 리버스탑 끝내고 만다 (부들부들 🔥,2,13,9,421,0,
2026.05.29(금) 11:59,2026.05.29(금) 14:24,메이플스토리|talk,전체,[루나 | 3일차] 아앙 ?,2.4,15,12,239,0,
2026.05.24(일) 12:01,2026.05.24(일) 14:00,메이플스토리,전체,이게 다 뭐람 ヽ(´ー｀)┌ [루나 | 2일차],2,16,11,242,1,
2026.05.23(토) 12:01,2026.05.23(토) 14:00,메이플스토리|talk,전체,뫄,2,16,11,134,0,
2026.05.22(금) 12:01,2026.05.22(금) 14:00,인슈라오디드,전체,나만 죽어 ? 나만 억울해 ?,2,14,10,156,0,
2026.05.20(수) 11:59,2026.05.20(수) 14:00,인슈라오디드,전체,[복귀] 인슈라오디드 | 오늘은 무리 없이 2시간만,2,16,10,180,0,
2026.05.11(월) 09:48,2026.05.11(월) 11:12,두근두근타운,성인,회색갈기로 다시 태어난 나는 페일룬을 방랑한다,1.4,16,11,0,0,
2026.04.26(일) 10:10,2026.04.26(일) 11:30,붉은사막,성인,회색갈기로 다시 태어난 나는 페일룬을 방랑한다,1.3,11,7,0,0,
2026.04.24(금) 04:43,2026.04.24(금) 07:42,붉은사막,성인,페일룬에 공격형 투자로 맞겨놓은 금괴자 자꾸 줄어서 너무 괴로워,3,10,7,0,0,
2026.04.14(화) 11:30,2026.04.14(화) 15:42,붉은사막,성인,🌵୧(๑•̀ᗝ•́)૭ 🍃💚,4.2,11,8,0,0,
2026.04.14(화) 06:30,2026.04.14(화) 08:18,붉은사막,성인,🌵୧(๑•̀ᗝ•́)૭ 🍃💚,1.8,10,6,0,0,
2026.04.13(월) 13:48,2026.04.13(월) 16:24,붉은사막,성인,🌵୧(๑•̀ᗝ•́)૭ 🍃💚,2.6,9,7,0,0,
2026.04.10(금) 01:00,2026.04.10(금) 03:36,붉은사막,성인,🌵୧(๑•̀ᗝ•́)૭ 🍃💚,2.6,12,9,0,0,
2026.04.09(목) 05:43,2026.04.09(목) 14:30,붉은사막,성인,🌵୧(๑•̀ᗝ•́)૭ 🍃💚,8.8,11,8,0,0,
2026.04.08(수) 12:34,2026.04.08(수) 14:54,붉은사막,성인,🌵୧(๑•̀ᗝ•́)૭ 🍃💚,2.3,10,7,0,0,
2026.04.07(화) 07:51,2026.04.07(화) 16:36,붉은사막,성인,🌵୧(๑•̀ᗝ•́)૭ 🍃💚,8.7,13,9,0,0,
2026.04.06(월) 08:23,2026.04.06(월) 17:12,붉은사막,성인,040626,8.8,13,9,0,0,
2026.04.05(일) 06:13,2026.04.05(일) 17:54,붉은사막,성인,040526,11.7,11,7,0,0,
2026.04.04(토) 14:18,2026.04.04(토) 19:00,붉은사막,전체,붉은사막 (인데 사막을 본 적이 없어) 040426 피자를 주문해버린 정말 큰 고양이 ₍^꜆. ̫.꜀ྀི^₎ʃ,4.7,10,8,249,-1,
2026.04.04(토) 08:14,2026.04.04(토) 12:24,두근두근타운,전체,#원양어선 #파워노동 #저챗 #두요일 #무지개,4.2,8,7,267,0,
2026.04.03(금) 15:22,2026.04.03(금) 18:12,붉은사막,성인,사막을 본 적이 없어 (๑ ° ⤙ ° ๑),2.8,6,5,0,0,
2026.04.03(금) 02:01,2026.04.03(금) 02:54,두근두근타운,성인,사막을 본적이 없어서 30분만 뜌타 (๑ ° ⤙ ° ๑),0.9,7,5,0,0,
2026.04.02(목) 06:34,2026.04.02(목) 16:06,종합 게임|붉은사막,성인,두근두근타운 \040226,9.5,15,10,0,0,
2026.04.01(수) 11:01,2026.04.01(수) 18:42,붉은사막|두근두근타운,전체,🏜️사막의 정말 큰 고양이 ૮₍ ´ ꒳ `₎ა🌵,7.7,11,7,403,0,
2026.04.01(수) 06:05,2026.04.01(수) 08:54,두근두근타운,전체,나는 노동을 할테니 너는 팔로우를 누르거라,2.8,16,10,133,0,
2026.03.30(월) 11:50,2026.03.30(월) 15:30,붉은사막,성인,🌵사막의 뚠뚠🏝️정말 큰 고양이 ૮₍ ´ ꒳ `₎ა🏜️뚠뚠,3.7,15,11,0,0,
2026.03.30(월) 00:09,2026.03.30(월) 03:36,붉은사막|두근두근타운,성인,잠깐 들어와바 (๑•̀ㅂ•́)و 팔로우를 누르면 기뻐 (내가,3.4,12,7,78,1,
2026.03.29(일) 06:24,2026.03.29(일) 16:06,붉은사막,성인,잠깐 들어와바 (๑•̀ㅂ•́)و 팔로우를 누르면 기뻐 (내가,9.7,16,11,0,0,
2026.03.28(토) 05:57,2026.03.28(토) 15:30,붉은사막|두근두근타운,성인,잠깐 들어와바바 (๑•̀ㅂ•́)و 팔로우를 누르면 기뻐 (내가,9.5,14,11,196,0,
