시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.11(목) 08:22,2026.06.11(목) 09:24,마인크래프트,전체,골골대는 목요일,1,8,5,139,0,
2026.06.10(수) 07:35,2026.06.10(수) 09:42,용사 30,전체,발 빠른게 장점인 용사 이야기,2.1,16,13,695,0,
2026.06.08(월) 07:29,2026.06.08(월) 09:36,용사 30,전체,아아... 여름이 시작된건가.......,2.1,11,9,288,0,
2026.06.04(목) 07:46,2026.06.04(목) 09:54,그레이브야드 키퍼,전체,오늘 왜이렇게습해 날힘들게해,2.1,16,10,193,0,
2026.06.02(화) 07:51,2026.06.02(화) 09:06,마인크래프트|그레이브야드 키퍼,전체,오늘 왜이렇게더워 날힘들게해,1.2,10,7,231,0,
2026.06.01(월) 07:31,2026.06.01(월) 09:48,림월드,전체,월요일은 힘들어~,2.3,13,9,257,-1,
2026.05.29(금) 07:53,2026.05.29(금) 10:00,다크 팰즈: 더 퍼스트 플로어|마인크래프트,전체,다크 팰즈 무 슨게임임.???....,2.1,14,7,283,0,
2026.05.27(수) 07:33,2026.05.27(수) 08:42,다크 팰즈: 더 퍼스트 플로어,전체,다크 팰즈 무 슨게임임.???....,1.1,14,10,120,0,
2026.05.26(화) 08:58,2026.05.26(화) 10:00,마인크래프트,전체,그녀는 수면이 필요해요,1,7,6,46,0,
2026.05.22(금) 07:42,2026.05.22(금) 10:06,림월드,전체,그녀는 수면이 필요해요,2.4,12,9,127,0,
2026.05.20(수) 07:36,2026.05.20(수) 10:00,림월드,전체,그녀는 수면이 필요해요,2.4,19,14,345,0,
2026.05.15(금) 07:26,2026.05.15(금) 09:30,마인크래프트,전체,엔더드래곤이랑 xx 하는 방송 5회차,2.1,15,11,391,0,
2026.05.13(수) 07:36,2026.05.13(수) 10:00,마인크래프트,전체,엔더드래곤이랑 xx 하는 방송 4회차,2.4,13,9,376,1,
2026.05.12(화) 07:33,2026.05.12(화) 09:30,마인크래프트,전체,엔더드래곤이랑 xx 하는 방송 3회차,1.9,17,12,411,0,
2026.05.11(월) 07:29,2026.05.11(월) 09:36,마인크래프트,전체,엔더드래곤이랑 xx 하는 방송 2회차,2.1,13,10,393,0,
2026.05.06(수) 07:36,2026.05.06(수) 10:00,미설정|마인크래프트,전체,뇨롱...,2.4,12,8,332,0,
2026.05.04(월) 07:33,2026.05.04(월) 09:24,림월드,전체,내일은 안 쉬는 날!,1.8,8,6,342,0,
2026.04.30(목) 07:44,2026.04.30(목) 09:54,림월드|60 세컨드!,전체,뇌가 녹아내릴거같은 목요일,2.2,11,9,212,1,
2026.04.29(수) 07:43,2026.04.29(수) 09:24,림월드|60 세컨드!,전체,뇌가 녹아내릴거같은 수요일,1.7,10,8,214,0,
2026.04.27(월) 07:31,2026.04.27(월) 10:00,림월드,전체,뇌가 녹아내릴거같은 월요일,2.5,13,9,345,1,
2026.04.23(목) 07:32,2026.04.23(목) 09:48,스택랜드,전체,뚜방뚜방,2.3,14,10,395,0,
2026.04.22(수) 07:45,2026.04.22(수) 10:00,종합 게임|스택랜드,성인,너구리 기어나오다,2.2,12,9,78,0,
2026.04.15(수) 07:39,2026.04.15(수) 09:42,종합 게임,성인,졸릴때까지 하는 날~♡2일차,2,10,7,0,0,
2026.04.14(화) 07:32,2026.04.14(화) 10:00,종합 게임,성인,졸릴때까지 하는 날~♡,2.5,10,7,0,0,
2026.04.09(목) 07:49,2026.04.09(목) 10:00,종합 게임|림월드,성인,왜 아직도 목요일임?,2.2,11,9,16,0,
2026.04.08(수) 07:32,2026.04.08(수) 09:54,종합 게임|림월드,전체,왜 아직도 수요일임?,2.4,11,8,182,2,
2026.04.07(화) 08:49,2026.04.07(화) 09:36,talk,전체,뭐하지 ㄷㄷㄷ,0.8,7,6,215,0,
2026.04.01(수) 07:31,2026.04.01(수) 10:12,드라플라인,전체,용딸이,2.7,16,10,156,1,
2026.03.31(화) 04:44,2026.03.31(화) 06:30,talk,전체,동숲,1.8,20,13,481,0,
2026.03.26(목) 07:30,2026.03.26(목) 09:30,종합 게임,전체,드래곤 길들이기,2,8,6,145,1,
2026.03.25(수) 07:35,2026.03.25(수) 10:00,테라리아,전체,긴급블럭,2.4,12,7,169,0,
2026.03.23(월) 07:41,2026.03.23(월) 10:00,테라리아,전체,베비뇽이귀여워,2.3,14,9,399,0,
2026.03.19(목) 07:51,2026.03.19(목) 09:48,종합 게임|슬레이 더 스파이어,전체,fork road,1.9,12,8,168,0,
2026.03.17(화) 07:34,2026.03.17(화) 08:48,림월드,전체,목 아파서 쉬엄쉬엄,1.2,10,8,228,0,
2026.03.16(월) 07:37,2026.03.16(월) 09:48,러비쉬,전체,라비쉬 라비쉬 응쓰겟싸 야스코 야스코,2.2,11,8,207,0,
2026.03.13(금) 07:31,2026.03.13(금) 10:00,림월드,전체,도루마무!! 나의 주민들을 살려줘!!,2.5,9,6,165,0,
2026.03.11(수) 07:30,2026.03.11(수) 09:30,테라리아,전체,찐 진짜 레알 파이널 마지막 라스트 최후의 업데이트ㄷㄷㄷㄷ,2,10,6,130,0,
2026.03.08(일) 04:13,2026.03.08(일) 07:54,림월드,전체,한번도 안 해본 무능한 지휘관3,3.7,13,10,530,0,
2026.03.06(금) 07:44,2026.03.06(금) 10:00,림월드,전체,한번도 안 해본 무능한 지휘관,2.3,10,6,151,0,
2026.03.05(목) 06:31,2026.03.05(목) 09:54,림월드,전체,한번도 안 해본 무능한 지휘관,3.4,11,8,243,0,
2026.03.04(수) 07:41,2026.03.04(수) 10:00,종합 게임,전체,쓰레기 용사,2.3,9,6,230,0,
2026.02.26(목) 07:40,2026.02.26(목) 10:18,크로우 컨트리,전체,어제 하던 공포게임 이어서,2.6,7,5,223,0,
2026.02.24(화) 07:34,2026.02.24(화) 10:00,종합 게임|크로우 컨트리,전체,어제 하던 공포게임 이어서,2.4,12,9,339,0,
2026.02.23(월) 07:30,2026.02.23(월) 10:00,종합 게임,전체,몇일만이야,2.5,13,10,311,0,
2026.02.11(수) 07:32,2026.02.11(수) 09:48,종합 게임|러비쉬,전체,뇨롱한 수요일,2.3,11,8,359,0,
2026.02.06(금) 07:42,2026.02.06(금) 09:48,슬레이 더 스파이어,전체,잔잔한 그묘일,2.1,10,8,216,0,
2026.02.04(수) 07:44,2026.02.04(수) 09:48,더 롱 다크|종합 게임,전체,응슷응,2.1,15,10,323,0,
2026.02.02(월) 07:44,2026.02.02(월) 09:42,종합 게임,전체,응슷응,2,19,11,450,0,
2026.01.30(금) 07:39,2026.01.30(금) 08:06,종합 게임|그림/아트,전체,낙서뱅,0.4,9,7,100,0,
