시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 11:16,LIVE,종합 게임,성인,LIVE,2.8,9,6,0,0,
2026.06.13(토) 06:16,2026.06.13(토) 14:12,종합 게임|talk,성인,나는 언젠가 더치를 제낄 날을 꿈꾼다. [Red Dead Redemption 2],7.9,10,6,56,-1,
2026.06.10(수) 11:11,2026.06.10(수) 14:00,talk,전체,비공식 고민상담소,2.8,12,9,546,1,
2026.06.08(월) 11:12,2026.06.08(월) 16:00,종합 게임,성인,필요한 살인만. [Red Dead Redemption 2],4.8,9,7,0,0,
2026.06.06(토) 14:00,2026.06.06(토) 15:42,종합 게임,성인,착쁜놈. [Red Dead Redemption 2],1.7,11,9,0,0,
2026.06.06(토) 06:07,2026.06.06(토) 13:54,종합 게임|talk,성인,방송키고 화장하는 놈,7.8,10,6,81,0,
2026.06.03(수) 06:36,2026.06.03(수) 16:06,종합 게임,성인,나쁜놈 옆에 나쁜놈 옆에 나쁜놈[Red Dead Redemption 2],9.5,9,7,0,1,
2026.06.02(화) 14:24,2026.06.02(화) 17:42,종합 게임,성인,레데리는 초반 2시간만 참으면 갓겜이래 [Red Dead Redemption 2],3.3,9,6,3,-1,
2026.06.02(화) 11:39,2026.06.02(화) 14:18,talk,전체,벌써 6월..???,2.6,12,9,731,0,
2026.06.02(화) 11:19,2026.06.02(화) 11:36,talk,전체,벌써 6월..???,0.3,7,7,30,0,
2026.05.30(토) 11:03,2026.05.30(토) 16:06,리그 오브 레전드|talk,전체,목소리 반절 찾았다,5,12,9,610,0,
2026.05.28(목) 11:50,2026.05.28(목) 14:18,talk,전체,마이크 없이 고독한 방,2.5,10,7,623,0,
2026.05.23(토) 06:15,2026.05.23(토) 18:06,종합 게임|talk,전체,어떤ㅅㄲ가 휴일 아침부터 망치질을 쳐 해서,11.8,15,10,1031,0,
2026.05.20(수) 11:09,2026.05.20(수) 16:06,종합 게임|리그 오브 레전드,전체,참을성을 길러주는 게임. [Graveyard Keeper],4.9,8,5,135,0,
2026.05.18(월) 11:08,2026.05.18(월) 16:12,종합 게임|talk,전체,워료일.,5.1,10,8,245,-1,
2026.05.16(토) 06:13,2026.05.16(토) 13:00,리그 오브 레전드|talk,전체,피곤한 주말~,6.8,11,7,985,5,
2026.05.13(수) 12:54,2026.05.13(수) 15:30,리그 오브 레전드,전체,지옥으로 돌아왔다.,2.6,9,7,231,0,
2026.05.13(수) 12:18,2026.05.13(수) 12:48,리그 오브 레전드,전체,지옥으로 돌아왔다.,0.5,9,8,71,0,
2026.05.13(수) 11:18,2026.05.13(수) 12:12,리그 오브 레전드|talk,전체,수요일~,0.9,8,6,188,0,
2026.05.11(월) 11:35,2026.05.11(월) 15:12,리그 오브 레전드|talk,전체,월요일은 피곤해~,3.6,12,8,365,0,
2026.05.08(금) 11:04,2026.05.08(금) 18:30,종합 게임|talk,전체,밥 먹고 짱구보러 가요~!,7.4,12,9,447,0,
2026.05.05(화) 07:14,2026.05.05(화) 13:36,종합 게임|talk,전체,으린이날,6.4,11,8,217,0,
2026.05.04(월) 11:02,2026.05.04(월) 17:42,종합 게임|talk,전체,오모리,6.7,12,7,482,-1,
2026.05.02(토) 06:14,2026.05.02(토) 14:12,이환|talk,전체,토요일 토코모,8,13,9,1278,1,
2026.04.30(목) 11:52,2026.04.30(목) 19:42,종합 게임|talk,전체,지각해서 미안해!!!!!!!!!!,7.8,9,6,754,-1,
2026.04.27(월) 11:21,2026.04.27(월) 16:36,종합 게임,전체,아이돌 지망하는 번따녀 [인조이],5.2,11,7,389,1,
2026.04.25(토) 06:42,2026.04.25(토) 14:42,종합 게임|talk,전체,잠을 더 자고 싶다..,8,12,8,720,2,
2026.04.22(수) 11:14,2026.04.22(수) 15:30,리그 오브 레전드|talk,전체,모든일이 수울수울 풀리는 수요일,4.3,9,5,678,1,
2026.04.20(월) 10:46,2026.04.20(월) 12:30,talk,전체,뱅요일 정하는 날~,1.7,8,6,268,0,
2026.04.18(토) 07:07,2026.04.18(토) 12:18,리그 오브 레전드|talk,전체,아 주말이라니,5.2,10,7,754,1,
2026.04.15(수) 12:13,2026.04.15(수) 16:06,종합 게임,전체,선녀같은 나무꾼 [ 팀버 러쉬 ],3.9,9,6,480,0,
2026.04.14(화) 12:29,2026.04.14(화) 16:18,종합 게임|talk,전체,"딱 말한다, 오늘 뭐 할지 계획 없다.",3.8,12,8,687,1,
2026.04.14(화) 12:10,2026.04.14(화) 12:24,talk,전체,"딱 말한다, 오늘 뭐 할지 계획 없다.",0.2,8,5,32,0,
2026.04.11(토) 06:38,2026.04.11(토) 12:30,마비노기 모바일|talk,전체,방송정리 쓰고 혼자만 본 사람,5.9,11,7,956,1,
2026.04.09(목) 12:13,2026.04.09(목) 14:48,talk,전체,조용히 떠들다 갑니단,2.6,8,5,476,0,
2026.04.06(월) 12:14,2026.04.06(월) 16:48,용과 같이 8,전체,14장. 진짜 최종 [용과같이8],4.6,10,8,474,0,
2026.04.04(토) 11:10,2026.04.04(토) 20:00,용과 같이 8,전체,14장. 사이비 패는 전야쿠자의 이복형아를 패는 전야쿠자 [용과같이8],8.8,10,6,563,-1,
2026.04.04(토) 06:25,2026.04.04(토) 09:30,마비노기 모바일,전체,숙제 1시간 컷하고 간다.,3.1,15,9,560,0,
2026.04.02(목) 12:21,2026.04.02(목) 18:00,용과 같이 8,전체,제12.5장. 하와이 안녕~ [용과같이8],5.6,9,6,248,0,
2026.03.30(월) 12:17,2026.03.30(월) 17:30,용과 같이 8,전체,제13장. 사이비 잡는 야쿠자 [용과같이8],5.2,13,10,515,1,
2026.03.28(토) 11:47,2026.03.28(토) 19:12,용과 같이 8,전체,제12장. 사이비 잡는 야쿠자 [용과같이8],7.4,15,10,639,0,
2026.03.28(토) 06:30,2026.03.28(토) 10:54,마비노기 모바일,전체,1주년 업뎃 얼마나 대단할까~?!ㅎㅎㅎ[모비노기]-던컨,4.4,10,7,664,2,
2026.03.27(금) 12:43,2026.03.27(금) 18:30,용과 같이 8,전체,제11장. 일단 비키니 입고 싸워 [용과같이8],5.8,14,9,728,0,
2026.03.23(월) 12:09,2026.03.23(월) 17:00,용과 같이 8,전체,제10장. 빼앗긴 소녀를 찾아서 [용과같이8],4.8,13,9,362,0,
2026.03.21(토) 10:42,2026.03.21(토) 16:12,용과 같이 8,전체,제9장. 사이버렉카와 사이비 [용과같이8],5.5,12,7,571,1,
2026.03.21(토) 06:45,2026.03.21(토) 09:42,마비노기 모바일,전체,아직도 이걸 해? [모비노기]-던컨,2.9,13,9,443,0,
2026.03.19(목) 12:10,2026.03.19(목) 17:30,용과 같이 8,전체,제8장. 사이비한테 쫓기는 엄마를 찾는 버려진 아들 [용과같이8],5.3,11,8,541,0,
2026.03.16(월) 10:23,2026.03.16(월) 16:36,용과 같이 8,전체,제7장. 사이비 다니던 어머니 [용과같이8],6.2,14,10,686,1,
2026.03.14(토) 11:11,2026.03.14(토) 14:24,용과 같이 8,전체,제6장. 엄마는 못 찾고 친구만 찾는 치반이 [용과같이8],3.2,12,8,295,0,
2026.03.14(토) 07:23,2026.03.14(토) 10:36,마비노기 모바일,전체,숨만 쉬어도 짜증나는 상태,3.2,14,10,667,-2,
2026.03.13(금) 12:45,2026.03.13(금) 19:12,용과 같이 8|talk,전체,으아ㅏㅏㅏ그묘일!!!!,6.4,11,8,596,0,
2026.03.11(수) 09:38,2026.03.11(수) 15:12,용과 같이 8,전체,알고보니 키류와 마지막 하와이 여행 [용과같이8],5.6,10,7,375,-2,
2026.03.07(토) 07:44,2026.03.07(토) 12:54,용과 같이 8,전체,엄마 찾아 하와이 [용과같이8],5.2,13,9,665,-1,
2026.03.07(토) 06:23,2026.03.07(토) 07:42,마비노기 모바일,전체,모비노기 딸깍 숙제하면서 화장하기,1.3,17,10,158,0,
2026.03.06(금) 12:45,2026.03.06(금) 17:30,용과 같이 8|talk,전체,돌돌야(돌고돌아 야쿠자),4.7,12,8,642,0,
2026.03.05(목) 12:08,2026.03.05(목) 17:30,용과 같이 8|talk,전체,죽다 살아났따,5.4,15,10,1027,1,
2026.03.01(일) 07:09,2026.03.01(일) 18:18,리그 오브 레전드|talk,전체,눈뜨니까 방송할 시간이네,11.1,14,9,1431,5,
2026.02.28(토) 06:10,2026.02.28(토) 19:12,종합 게임|마비노기 모바일|talk,전체,모비노기는 레이드만 하고 튐,13,10,6,1139,0,
2026.02.26(목) 12:09,2026.02.26(목) 16:24,리그 오브 레전드|talk,전체,반갑습니다,4.2,12,8,966,0,
2026.02.21(토) 06:30,2026.02.21(토) 12:54,리그 오브 레전드|마비노기 모바일|talk,전체,배가 아야야,6.4,17,9,916,2,
2026.02.20(금) 12:11,2026.02.20(금) 18:12,리그 오브 레전드|talk,전체,그묘일이다내일주말이다야호,6,10,7,649,0,
2026.02.18(수) 07:11,2026.02.18(수) 13:24,리그 오브 레전드,전체,새복많이받고 왔찌?,6.2,11,8,515,2,
2026.02.14(토) 10:52,2026.02.14(토) 13:30,리그 오브 레전드,전체,증바람 증~말 재밌어~,2.6,12,8,200,0,
2026.02.14(토) 06:26,2026.02.14(토) 10:42,마비노기 모바일|talk,전체,앙농항셍영,4.3,13,8,412,-1,
2026.02.13(금) 11:57,2026.02.13(금) 17:48,리그 오브 레전드|talk,전체,증~말 오랜만 롤 하는 날,5.8,17,10,989,1,
2026.02.11(수) 12:44,2026.02.11(수) 19:12,용과 같이 7 빛과 어둠의 행방 International,전체,뻐꾸기새끼 참교육 ~엔딩까지,6.5,11,8,317,2,
2026.02.10(화) 11:30,2026.02.10(화) 17:48,용과 같이 7 빛과 어둠의 행방 International|talk,전체,"1차:참깨라면, 2차 소보루빵",6.3,12,9,693,0,
2026.02.07(토) 06:17,2026.02.07(토) 14:30,마비노기 모바일|용과 같이 7 빛과 어둠의 행방 International,전체,아직도 모비노기 하는 사람 있나?,8.2,13,9,687,0,
2026.02.05(목) 12:46,2026.02.05(목) 19:06,용과 같이 7 빛과 어둠의 행방 International,전체,흑화한 도련님 혼내주자!(게임 내용입니다),6.3,12,9,469,0,
2026.02.04(수) 12:06,2026.02.04(수) 18:48,용과 같이 7 빛과 어둠의 행방 International,전체,중국인을 구하자!(게임 내용입니다),6.7,12,9,683,-1,
2026.02.04(수) 12:02,2026.02.04(수) 12:06,용과 같이 7 빛과 어둠의 행방 International,전체,중국인을 구하자!(게임 내용입니다),0.1,9,9,23,0,
2026.02.04(수) 11:44,2026.02.04(수) 12:00,용과 같이 7 빛과 어둠의 행방 International,전체,중국인을 구하자!(게임 내용입니다),0.3,6,5,16,0,
2026.02.03(화) 11:43,2026.02.03(화) 18:42,용과 같이 7 빛과 어둠의 행방 International|talk,전체,밥부터 먹고.,7,13,10,776,0,
2026.01.31(토) 13:35,2026.01.31(토) 17:54,용과 같이 7 빛과 어둠의 행방 International,전체,"전 소프 직원, 현 제과점 바지사장",4.3,12,9,343,1,
2026.01.31(토) 06:44,2026.01.31(토) 10:00,마비노기 모바일,전체,모비노기는 계속 하는 게 제일 어려워..[던컨],3.3,12,8,231,0,
2026.01.29(목) 11:39,2026.01.29(목) 20:12,용과 같이 7 빛과 어둠의 행방 International,성인,"전 야쿠자, 현 소프 직원",8.5,15,11,453,0,
2026.01.28(수) 11:35,2026.01.28(수) 18:42,용과 같이 7 빛과 어둠의 행방 International,성인,테토녀의 조직이었던 거지 생활,7.1,16,12,0,0,
2026.01.27(화) 11:46,2026.01.27(화) 18:00,종합 게임|talk,성인,그녀를 보내고 왔습니다..,6.2,11,8,293,0,
