시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.05.20(수) 14:56,2026.05.20(수) 17:18,음악/노래|talk,전체,졸업 방송,2.4,27,20,752,-3,
2026.05.16(토) 12:54,2026.05.16(토) 16:42,종합 게임|talk,전체,종합게임 다이얼로그 하는 날~!,3.8,8,5,383,-1,
2026.05.14(목) 19:54,2026.05.14(목) 23:06,블루 아카이브|talk,성인,블루아카이브라는 것을 한 번 해볼까 하는데요.....!(찍먹),3.2,30,21,579,2,
2026.05.07(목) 19:57,2026.05.07(목) 20:12,talk,전체,공지 방송,0.2,7,6,6,0,
2026.05.06(수) 12:57,2026.05.06(수) 16:24,오버워치|talk,전체,오버어치 하는 날 ~ ! ~ !,3.4,10,6,278,0,
2026.05.02(토) 10:59,2026.05.02(토) 16:12,명조:워더링 웨이브|그림/아트,전체,명조 3장 3막 에이메스 보는 날 !!!,5.2,181,63,920,12,
2026.05.01(금) 12:59,2026.05.01(금) 16:42,그림/아트,전체,(영도10원) 그림뱅~,3.7,11,6,200,2,
2026.04.29(수) 12:58,2026.04.29(수) 15:06,음악/노래|talk,전체,데뷔 300일 축하해줄 백설기 구해욧 (무료 노래뱅/ 2시부터 룰렛),2.1,18,12,154,3,
2026.04.25(토) 12:56,2026.04.25(토) 16:36,talk,전체,바로 오늘! 백야 생일 파티에 초대합니다♡ 와줘서 고마워...! 축하해줘서고마워!!!!,3.7,20,13,533,1,
2026.04.24(금) 21:54,2026.04.25(토) 00:54,talk,전체,!! 백야 ''''☆생일☆''''' 대기방 !!,3,9,5,477,1,
2026.04.23(목) 18:58,2026.04.23(목) 21:42,talk,전체,짧게 이것저것 배 카 ㅇ_ㅇ !,2.7,11,7,434,0,
2026.04.19(일) 12:59,2026.04.19(일) 14:18,talk,전체,1시간만 나한테 죠... 생존 신고 ㅇ_ㅇ!,1.3,15,10,359,0,
2026.04.16(목) 17:58,2026.04.16(목) 20:12,talk,전체,짧저챗을 쪼ㄱㅡㅁ....!,2.2,13,8,436,1,
2026.04.12(일) 19:52,2026.04.12(일) 22:24,종합 게임|talk,전체,저녁의 백하 ㅎ-ㅎ,2.5,10,7,304,0,
2026.04.12(일) 19:28,2026.04.12(일) 19:48,talk,전체,저녁의 백하 ㅎ-ㅎ,0.3,7,4,43,-1,
2026.04.10(금) 12:29,2026.04.10(금) 15:54,talk,전체,몸살 배갸 살아서 돌아옴 =ㅅ=,3.4,11,8,679,0,
2026.04.05(일) 12:56,2026.04.05(일) 15:54,명조:워더링 웨이브|talk,전체,명조 3장 2막을 마저 달려 볼까요 띠띠빵빵,3,15,7,147,0,
2026.04.04(토) 12:59,2026.04.04(토) 16:36,그림/아트,전체,(영도 20원) 그저 가볍게 얘기하며 백설기를 그리는 작업 방송 ㅇ_ㅇ,3.6,13,9,454,0,
2026.04.03(금) 12:58,2026.04.03(금) 16:18,명조:워더링 웨이브,전체,명조 뉴?비 벌써 3장 진입!!!!,3.3,10,7,227,0,
2026.04.01(수) 12:58,2026.04.01(수) 15:42,talk,전체,데뷔뱅) 안녕하세요.....?,2.7,12,9,423,0,
2026.03.29(일) 12:50,2026.03.29(일) 16:00,그림/아트,전체,(영도20원) 그림뱅..... 일찍 와써 원래 사랑하는 쪽이 먼저 오는 거임 o_<,3.2,15,10,353,0,
2026.03.28(토) 12:58,2026.03.28(토) 17:18,명조:워더링 웨이브,전체,명조해요 명조 (᎔˘꒳˘᎔),4.3,16,10,190,2,
2026.03.27(금) 12:57,2026.03.27(금) 16:30,음악/노래|talk,전체,아뇽하세요 좋은 백하입니다....//,3.5,21,14,333,6,
2026.03.25(수) 16:57,2026.03.25(수) 20:12,명조:워더링 웨이브|talk,전체,저챗 쪼금 하다가 오랜만에 명조...!,3.2,12,8,205,0,
