시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.13(토) 23:12,2026.06.14(일) 04:48,마비노기 모바일,전체,근사한 일요일,5.6,17,12,544,1,
2026.06.12(금) 12:05,2026.06.12(금) 22:18,슈퍼 오토 펫츠|용과 같이 0: 맹세의 장소|talk,성인,그렇다. 얀다는 어제보다 늦게왔다.,10.2,20,13,425,2,
2026.06.11(목) 11:49,2026.06.11(목) 20:24,용과 같이 0: 맹세의 장소|talk,성인,히호,8.6,17,14,217,0,
2026.06.10(수) 11:52,2026.06.10(수) 21:18,용과 같이 0: 맹세의 장소|talk,성인,호호호이,9.4,17,14,283,0,
2026.06.09(화) 11:19,2026.06.09(화) 21:36,종합 게임|용과 같이 0: 맹세의 장소|talk,성인,하이호이,10.3,19,14,523,0,
2026.06.07(일) 09:29,2026.06.07(일) 14:42,마비노기 모바일,전체,미지근한 저녁,5.2,19,14,853,0,
2026.06.06(토) 10:19,2026.06.06(토) 20:48,종합 게임|talk,전체,휴방슨,10.5,18,13,1152,0,
2026.06.05(금) 11:09,2026.06.05(금) 22:24,종합 게임|talk,전체,ㅎㅇㅎㅇ,11.2,25,16,1034,0,
2026.06.04(목) 11:19,2026.06.04(목) 20:48,종합 게임|talk,전체,밀과 보리가 자란다~,9.5,23,16,1458,0,
2026.06.03(수) 10:49,2026.06.03(수) 20:12,미설정|이스 Ⅷ: 라크리모사 오브 다나|종합 게임|talk,전체,안냐소~,9.4,18,14,1201,1,
2026.06.02(화) 10:46,2026.06.02(화) 21:06,이스 Ⅷ: 라크리모사 오브 다나|종합 게임|talk,전체,ㅎㅇ,10.3,21,14,1338,0,
2026.05.31(일) 06:30,2026.05.31(일) 13:18,마비노기 모바일,전체,반가운 일요일,6.8,15,12,822,1,
2026.05.29(금) 10:54,2026.05.29(금) 21:00,미설정|고전 게임|종합 게임|친구모아 아일랜드 두근두근 라이프|talk,전체,ㅎㅇ,10.1,21,13,1404,1,
2026.05.28(목) 10:48,2026.05.28(목) 21:00,종합 게임|새티스팩토리|talk,전체,ㅎㅇ,10.2,17,12,1403,1,
2026.05.27(수) 10:37,2026.05.27(수) 19:48,종합 게임|talk,전체,ㅎㅇ,9.2,16,11,1698,0,
2026.05.26(화) 10:45,2026.05.26(화) 19:00,스트레이|talk,전체,ㅎㅇ,8.2,17,13,1012,0,
2026.05.23(토) 23:49,2026.05.24(일) 03:48,마비노기 모바일,전체,인터넷 상태가 구려서.. 반복알림 미안합니다..,4,24,17,421,1,
2026.05.23(토) 23:44,2026.05.23(토) 23:48,마비노기 모바일,전체,저희 영업합니다,0.1,8,8,21,0,
2026.05.23(토) 22:48,2026.05.23(토) 23:42,마비노기 모바일,전체,씐나는 아침,0.9,9,7,31,0,
2026.05.23(토) 06:08,2026.05.23(토) 08:00,음악/노래,전체,코노뱅 테스트 2트,1.9,6,4,191,0,
2026.05.22(금) 10:10,2026.05.22(금) 18:06,종합 게임|슈퍼 오토 펫츠|talk,전체,그냥 기분 좋은날,7.9,15,11,746,0,
2026.05.21(목) 12:48,2026.05.21(목) 21:30,종합 게임|talk,전체,조금씩 일찍오기 1일차,8.7,22,11,445,0,
2026.05.20(수) 13:43,2026.05.20(수) 23:36,종합 게임|포켓몬 포코피아|talk,전체,10시 45분의 얀다,9.9,17,9,538,-1,
2026.05.19(화) 11:38,2026.05.19(화) 20:42,나인 솔즈|talk,전체,드디어 기어나온 김얀다,9.1,18,9,787,-1,
2026.05.18(월) 03:02,2026.05.18(월) 04:06,음악/노래,전체,테스트겸 노래방,1.1,6,4,83,0,
2026.05.16(토) 23:36,2026.05.17(일) 05:00,마비노기 모바일,전체,저희 영업합니다,5.4,17,12,613,1,
2026.05.15(금) 12:20,2026.05.15(금) 22:00,고전 게임|파이널 판타지 2|talk,전체,금욧스,9.7,28,16,1212,0,
2026.05.14(목) 11:21,2026.05.14(목) 21:00,고전 게임|talk,전체,머겨일,9.6,18,12,1115,2,
2026.05.13(수) 11:39,2026.05.13(수) 21:18,고전 게임|talk,전체,수욧쓰,9.6,24,15,1510,0,
2026.05.12(화) 10:23,2026.05.12(화) 19:36,고전 게임|포켓몬 포코피아|talk,전체,건방진 화요일,9.2,20,14,839,0,
2026.05.10(일) 14:56,2026.05.10(일) 17:54,포켓몬 포코피아,전체,수면치료실,3,13,10,438,1,
2026.05.10(일) 05:48,2026.05.10(일) 09:42,데모 게임|종합 게임|talk,전체,(국산1인개발) 깐츄리 슬라임,3.9,13,8,413,0,
2026.05.09(토) 02:47,2026.05.09(토) 08:42,마비노기 모바일,전체,던컨의 어쩌구 영감님,5.9,14,10,643,0,
2026.05.08(금) 12:01,2026.05.08(금) 19:48,종합 게임|talk,전체,어쩌구 저쩌구,7.8,15,12,553,0,
2026.05.07(목) 11:17,2026.05.07(목) 20:12,매지컬 프린세스|talk,전체,건방진 목요일,8.9,16,13,1058,-1,
2026.05.06(수) 11:48,2026.05.06(수) 21:00,매지컬 프린세스|talk,전체,탄탄탄 탄탄탄 탄탄탄탄탄탄탄,9.2,13,10,1466,1,
2026.05.05(화) 11:08,2026.05.05(화) 19:48,데모 게임|친구모아 아일랜드 두근두근 라이프|talk,전체,탄탄탄탄탄탄,8.7,18,12,953,1,
2026.05.04(월) 11:21,2026.05.04(월) 14:30,종합 게임|talk,전체,일단 오늘 휴방이긴한데 깨고 쉴 예정,3.1,16,11,840,0,
