시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 21:44,LIVE,로보토미 코퍼레이션,전체,LIVE,0.5,7,5,55,0,
2026.06.14(일) 20:58,2026.06.15(월) 01:06,성세천하: 여제의 탄생 Ⅱ|talk,전체,카페 TAM,4.1,17,10,1020,0,
2026.06.13(토) 21:32,2026.06.14(일) 00:36,윈드로즈,전체,잡초해적단 이어서.. [윈드로즈],3.1,14,9,164,0,
2026.06.12(금) 21:49,2026.06.13(토) 00:30,성세천하: 여제의 탄생 Ⅱ,전체,황후가 되다...! [성세천하2],2.7,14,9,1084,0,
2026.06.11(목) 22:17,2026.06.12(금) 01:24,성세천하: 여제의 탄생 Ⅱ,전체,비샤~~! [성세천하2],3.1,14,11,751,0,
2026.06.10(수) 21:47,2026.06.11(목) 01:18,성세천하: 여제의 탄생 Ⅱ,전체,갑작 발표 뭐야!! 반드시 하자 [성세천하2],3.5,13,9,514,0,
2026.06.04(목) 20:53,2026.06.04(목) 23:36,피코 파크|프로미넌스 포커|talk,전체,크파 코피,2.7,12,7,354,0,
2026.06.03(수) 21:55,2026.06.04(목) 01:48,림버스 컴퍼니,성인,이 게임 너무 궁금했다..!,3.9,18,13,30,2,
2026.06.02(화) 22:00,2026.06.03(수) 00:00,갓 오브 워|종합 게임,성인,안녕하세요?,2,14,11,205,0,
2026.06.01(월) 21:52,2026.06.02(화) 00:24,갓 오브 워,전체,"올림푸스 금쪽이, 아트레우스",2.5,13,7,335,-1,
2026.05.31(일) 21:02,2026.06.01(월) 00:42,윈드로즈,전체,바람장미 -4화- (W.아주모 베리오 Chief하랑),3.7,17,12,183,0,
2026.05.31(일) 20:42,2026.05.31(일) 21:00,윈드로즈,전체,바람장미 -4화- (W.아주모 베리오 Chief하랑),0.3,8,7,33,0,
2026.05.31(일) 09:45,2026.05.31(일) 11:06,록맨|바우-와우 배틀|talk,전체,난 아침형 인간,1.3,13,11,374,0,
2026.05.30(토) 20:40,2026.05.31(일) 00:00,구스 구스 덕,전체,"거위거위 오리 [대규모합방] 멤버 : 인지상지형,갭준,쿠메핑,준단,정수파리,페쿠,물랑임,김어제,춘구,도비애오,나태한와쨩",3.3,13,9,287,5,
2026.05.29(금) 21:55,2026.05.29(금) 23:18,갓 오브 워|talk,전체,자~,1.4,14,10,233,0,
2026.05.28(목) 20:53,2026.05.29(금) 00:18,갓 오브 워,전체,정상 올라왔더니 이 산이 아니래..,3.4,17,9,788,0,
2026.05.26(화) 22:45,2026.05.27(수) 00:30,갓 오브 워,전체,ㅎ ㅏ 하 ㅏ하하하,1.7,17,10,380,-1,
2026.05.25(월) 20:50,2026.05.25(월) 23:48,갓 오브 워,전체,갓 오브 빡,3,18,14,651,0,
2026.05.24(일) 19:08,2026.05.25(월) 00:06,갓 오브 워|talk,전체,CAFE,5,18,14,1093,0,
2026.05.22(금) 21:33,2026.05.22(금) 23:54,뱀파이어 크롤러즈: 더 터보 와일드카드 프롬 뱀파이어 서바이버즈,전체,뱀파이어 카드게임?,2.4,13,9,454,0,
2026.05.20(수) 21:02,2026.05.20(수) 23:54,갓 오브 워|인왕 3,전체,꿀밤 때리러 가자~,2.9,16,11,375,0,
2026.05.20(수) 16:45,2026.05.20(수) 19:24,인왕 3,전체,꿀밤 때리러 가자~,2.6,14,10,397,0,
2026.05.19(화) 21:38,2026.05.20(수) 00:18,윈드로즈,전체,슈퍼 잡초 해적단 (배없찐),2.7,14,9,223,0,
2026.05.18(월) 20:37,2026.05.19(화) 00:24,업 앤 다운,전체,똥겜의 냄새가 난다,3.8,16,11,1263,2,
2026.05.17(일) 20:34,2026.05.18(월) 01:54,인왕 3|talk,전체,카페탐방!,5.3,15,11,1004,0,
2026.05.15(금) 21:59,2026.05.16(토) 00:18,인왕 3,전체,3 왕 인,2.3,13,10,490,1,
