시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.12(금) 04:03,2026.06.12(금) 04:18,talk,전체,ㅇㅅㅇㄱ,0.2,5,5,36,0,
2026.06.12(금) 00:56,2026.06.12(금) 04:00,2026 FIFA 북중미 월드컵,전체,월드컵 같이보자,3.1,9,7,373,0,
2026.06.07(일) 00:10,2026.06.07(일) 03:18,선켄 엔진,전체,큰 돈 언제 벌어보나,3.1,19,14,99,0,
2026.05.31(일) 23:58,2026.06.01(월) 03:12,선켄 엔진,전체,낚시나 하면서,3.2,11,8,172,0,
2026.05.30(토) 04:48,2026.05.30(토) 10:00,종합 게임,전체,ㅇㅅㅇㄱ,5.2,15,13,839,0,
2026.05.27(수) 05:59,2026.05.27(수) 09:24,선켄 엔진|talk,전체,으스스한 선박 수리 시뮬레이션,3.4,20,14,796,0,
2026.05.22(금) 02:10,2026.05.22(금) 06:24,선켄 엔진|종합 게임,전체,비오는 날 스캐빈저,4.2,13,8,257,0,
2026.05.20(수) 09:54,2026.05.20(수) 13:42,종합 게임,전체,비오는 날 스캐빈저,3.8,21,15,677,0,
2026.05.19(화) 07:12,2026.05.19(화) 11:48,종합 게임,전체,스캐빈저,4.6,18,11,769,0,
2026.05.17(일) 03:50,2026.05.17(일) 08:24,종합 게임,전체,미스테리 실종사건 - 스캐빈저,4.6,20,13,472,0,
2026.05.15(금) 01:21,2026.05.15(금) 06:06,종합 게임,전체,스캐빈저,4.7,15,9,1104,0,
2026.05.13(수) 06:21,2026.05.13(수) 11:24,종합 게임,전체,스캐빈저,5,23,16,700,1,
2026.05.11(월) 03:55,2026.05.11(월) 08:18,종합 게임,전체,스캐빈저,4.4,18,11,414,0,
2026.05.09(토) 08:48,2026.05.09(토) 12:48,종합 게임,전체,스캐빈저,4,23,16,434,0,
2026.05.07(목) 23:07,2026.05.08(금) 05:18,종합 게임,전체,스캐빈저,6.2,17,11,851,1,
2026.05.06(수) 11:38,2026.05.06(수) 17:54,종합 게임,전체,ㅇㅅㅇㄱ,6.3,17,13,1292,0,
2026.05.03(일) 00:00,2026.05.03(일) 02:42,talk,전체,벌써 후회중,2.7,14,10,683,0,
2026.05.01(금) 06:24,2026.05.01(금) 10:30,데이즈,전체,헬로,4.1,19,14,835,0,
2026.04.30(목) 12:25,2026.04.30(목) 20:06,데이즈,전체,캬 이게 얼마만의 데이즈야,7.7,23,17,2114,0,
2026.04.29(수) 10:00,2026.04.29(수) 17:54,종합 게임,전체,ㅇㅅㅇㄱ,7.9,14,10,958,0,
2026.04.27(월) 04:08,2026.04.27(월) 11:12,림월드,전체,누나들 사랑을 한몸에 받으며 귀하게 자라고 있는,7.1,15,8,136,1,
2026.04.25(토) 12:10,2026.04.25(토) 18:30,림월드,전체,RPG림월드인데 내 캐릭터만 움직이는 wasd 모드를 곁들인,6.3,11,6,321,0,
2026.04.24(금) 09:28,2026.04.24(금) 18:06,림월드|프랫폴,전체,댕댕이 구하러 가자,8.6,17,11,562,0,
2026.04.23(목) 11:38,2026.04.23(목) 17:12,림월드,전체,내 캐릭터만 움직일 수 있는 wasd 모드,5.6,21,15,290,0,
2026.04.22(수) 11:09,2026.04.22(수) 17:06,종합 게임,전체,ㅇㅅㅇㄱ,5.9,10,6,552,0,
2026.04.21(화) 03:32,2026.04.21(화) 09:06,에어본 엠파이어|스탈크래프트 X,전체,새가 왜 안날고 비행기 타고다니지?,5.6,14,10,215,0,
2026.04.21(화) 03:22,2026.04.21(화) 03:24,에어본 엠파이어,전체,새가 왜 안날고 비행기 타고다니지?,0,1,1,0,0,
2026.04.19(일) 08:36,2026.04.19(일) 15:42,스탈크래프트 X,전체,마크 그래픽인데 스토커와 타르코프를 곁들인,7.1,13,9,518,0,
2026.04.17(금) 03:07,2026.04.17(금) 09:12,종합 게임|레디 오어 낫,성인,본 대장은 절대 침착하게 임무를 수행한다!,6.1,13,8,285,0,
2026.04.16(목) 11:04,2026.04.16(목) 14:54,종합 게임,전체,ㅇㅅㅇㄱ,3.8,11,8,265,0,
2026.04.15(수) 11:00,2026.04.15(수) 16:24,종합 게임,전체,ㅇㅅㅇㄱ,5.4,13,8,567,-1,
2026.04.13(월) 11:03,2026.04.13(월) 16:30,그레이브야드 키퍼,전체,묘지기 저챗,5.4,20,12,642,0,
2026.04.13(월) 02:54,2026.04.13(월) 10:06,그레이브야드 키퍼,전체,묘지기 출근,7.2,16,12,880,0,
2026.04.12(일) 09:39,2026.04.12(일) 14:06,종합 게임,전체,꼼짝마 손들어 움직이든 안움직이든 쏜다,4.4,13,10,597,0,
2026.04.11(토) 17:08,2026.04.11(토) 22:18,그레이브야드 키퍼,전체,묘지기1,5.2,12,9,445,0,
2026.04.11(토) 05:27,2026.04.11(토) 13:36,종합 게임|그레이브야드 키퍼,전체,토요일 생존,8.1,18,12,455,0,
2026.04.10(금) 04:24,2026.04.10(금) 10:18,더 스포터: 디그 오어 다이,전체,땅굴을 파도파도 끝이안나 - 더 스포터: 디그오어다이,5.9,15,10,1266,0,
2026.04.09(목) 01:31,2026.04.09(목) 09:18,더 스포터: 디그 오어 다이,전체,땅파면 금이나오는 주유소라니? - 더 스포터: 디그오어다이,7.8,15,11,723,-1,
2026.04.08(수) 04:46,2026.04.08(수) 11:06,더 스포터: 디그 오어 다이,전체,폐주유소에서 낮에는 땅파고 밤에는 좀비막고 - 더 스포터,6.3,16,8,220,0,
2026.04.07(화) 11:46,2026.04.07(화) 16:54,종합 게임,전체,이번엔 말 탈 수 있으려나? - 좀비생존게임 휴머니츠,5.1,9,6,72,0,
2026.04.06(월) 10:54,2026.04.06(월) 16:36,종합 게임,전체,ㅇㅅㅇㄱ,5.7,16,13,455,1,
2026.04.04(토) 10:31,2026.04.04(토) 16:54,프로젝트 좀보이드,전체,생존하러 왔습니다,6.4,8,5,423,0,
2026.04.03(금) 09:06,2026.04.03(금) 13:30,라코인: 코인 푸셔 로그라이크|프로젝트 좀보이드,전체,코인 다 뿌셔!!!,4.4,10,6,167,0,
2026.04.02(목) 18:22,2026.04.02(목) 20:18,프로젝트 좀보이드,전체,[🔇🎙️] 잠이 안와서 잠깐.. 차량관리 레벨작 좀,1.9,7,6,26,0,
2026.04.02(목) 08:00,2026.04.02(목) 18:00,종합 게임|프로젝트 좀보이드,전체,전설배낭도 찾고 말도 찾고 좀비백신도 만들어야해,10,17,11,810,1,
2026.04.01(수) 13:25,2026.04.01(수) 18:00,프로젝트 좀보이드,전체,전설의 배낭과 함께라면!,4.6,11,6,125,0,
2026.04.01(수) 08:19,2026.04.01(수) 12:42,프로젝트 좀보이드,전체,요즘 프좀 왜 이렇게 업데이트 열심히하지?,4.4,15,9,136,0,
2026.03.30(월) 10:57,2026.03.30(월) 17:42,종합 게임,전체,ㅇㅅㅇㄱ,6.7,11,7,338,0,
2026.03.29(일) 01:06,2026.03.29(일) 11:30,룬스케이프: 드래곤와일즈,전체,마법배우고 드래곤 잡으면서 생존하는 게임,10.4,9,5,342,0,
2026.03.27(금) 02:37,2026.03.27(금) 12:30,룬스케이프: 드래곤와일즈,전체,마법배우고 드래곤 잡으면서 생존하는 게임,9.9,14,10,440,0,
2026.03.26(목) 08:55,2026.03.26(목) 16:00,룬스케이프: 드래곤와일즈,전체,마법배우고 드래곤 잡으면서 생존하는 게임,7.1,13,9,414,0,
2026.03.25(수) 10:18,2026.03.25(수) 19:12,종합 게임,전체,데모게임 찍먹,8.9,9,6,879,0,
2026.03.23(월) 00:55,2026.03.23(월) 08:18,팀버본,전체,오아시스 맵 완전 개꿀,7.4,10,7,439,2,
2026.03.22(일) 07:54,2026.03.22(일) 14:00,팀버본,전체,쉬었음 비버,6.1,11,7,510,0,
2026.03.20(금) 08:40,2026.03.20(금) 14:24,팀버본,전체,붉은비버,5.7,11,6,455,1,
2026.03.20(금) 04:37,2026.03.20(금) 08:18,종합 게임,전체,ㅇㅅㅇㄱ,3.7,7,4,570,0,
2026.03.19(목) 08:37,2026.03.19(목) 16:24,종합 게임,전체,긁!,7.8,14,9,967,0,
2026.03.18(수) 03:42,2026.03.18(수) 10:18,팀버본,전체,갓대앰- 댐을 잘 건설해야 댐,6.6,16,11,387,0,
2026.03.17(화) 03:12,2026.03.17(화) 10:48,팀버본,전체,똥물 튀긴다 조심해!!! 도망쳐,7.6,18,11,1285,0,
2026.03.16(월) 15:18,2026.03.16(월) 17:24,팀버본,전체,깨달아 버렸다,2.1,12,9,139,0,
2026.03.16(월) 07:19,2026.03.16(월) 14:36,팀버본,전체,비버들의 낙원,7.3,14,10,842,0,
2026.03.15(일) 10:42,2026.03.15(일) 17:00,팀버본,전체,[뉴비 비버 벌목단] 오염 조류???????????,6.3,10,6,715,0,
2026.03.15(일) 01:49,2026.03.15(일) 08:06,팀버본,전체,뉴비 비버단 가즈아,6.3,13,7,388,0,
2026.03.13(금) 07:09,2026.03.13(금) 13:36,림월드,전체,(중세림월드) 세로와 5살 연상 작가눈나,6.4,13,8,399,0,
2026.03.12(목) 08:26,2026.03.12(목) 17:24,림월드,전체,(중세림월드) 중세림월드가 어렵다고요? 트롤을 키우시면 됩니다,9,19,11,749,0,
2026.03.11(수) 10:46,2026.03.11(수) 16:00,림월드,전체,(중세림월드) 세모 네모 그리고 동그라미?,5.2,13,9,443,0,
2026.03.09(월) 03:44,2026.03.09(월) 11:24,림월드,전체,(중세림월드) 우리 '세로' 여친 만들어줘야지,7.7,18,10,451,0,
2026.03.08(일) 04:49,2026.03.08(일) 11:06,림월드,전체,(중세림월드) 곧 터지기 직전,6.3,19,11,437,1,
2026.03.07(토) 01:44,2026.03.07(토) 11:36,림월드,전체,너무 잘 살고 있는 미디블 림월드 ㅎ,9.9,16,12,909,2,
