시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 10:51,LIVE,미설정|리그 오브 레전드|명조:워더링 웨이브,전체,LIVE,3.2,15,10,440,0,
2026.06.14(일) 00:41,2026.06.14(일) 14:00,미설정|종합 게임|리그 오브 레전드|리밋 제로 브레이커스|그림/아트,전체,즐거운 주말 되세용,13.3,13,8,1710,0,
2026.06.12(금) 10:41,2026.06.12(금) 14:30,미설정|리그 오브 레전드,전체,커피안마시기0일차,3.8,15,9,408,0,
2026.06.10(수) 11:31,2026.06.10(수) 13:48,미설정|리그 오브 레전드|명조:워더링 웨이브,전체,오늘도 화이팅!.....ㅇㅅㅇ,2.3,12,8,315,0,
2026.06.09(화) 13:02,2026.06.09(화) 13:18,명조:워더링 웨이브,전체,오늘은 화요일.....ㅇㅅㅇ,0.3,9,8,24,0,
2026.06.09(화) 11:37,2026.06.09(화) 13:00,명조:워더링 웨이브,전체,오늘은 화요일.....ㅇㅅㅇ,1.4,14,10,347,0,
2026.06.08(월) 12:16,2026.06.08(월) 14:30,미설정|리그 오브 레전드|명조:워더링 웨이브,전체,루시뽑기.....ㅇㅅㅇ,2.2,11,8,261,0,
2026.06.07(일) 13:37,2026.06.07(일) 15:24,리그 오브 레전드|명조:워더링 웨이브|이스케이프 프롬 타르코프,전체,잠시 몰래 방송..,1.8,8,6,155,0,
2026.06.07(일) 01:17,2026.06.07(일) 08:48,미설정|리그 오브 레전드|이스케이프 프롬 타르코프,전체,와앙 일요일이닷,7.5,17,12,760,1,
2026.06.06(토) 03:12,2026.06.06(토) 06:30,미설정|그림/아트|이스케이프 프롬 타르코프,전체,토요방송,3.3,7,5,568,1,
2026.06.05(금) 12:25,2026.06.05(금) 14:54,리그 오브 레전드|명조:워더링 웨이브,전체,주말이당!,2.5,12,9,512,0,
