시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 11:28,2026.06.14(일) 16:24,종합 게임,전체,몬스터카드김치 할 사람 빨리오셈 (조금 할거임),4.9,14,9,199,2,
2026.06.10(수) 11:14,2026.06.10(수) 16:18,종합 게임|리그 오브 레전드,전체,솔랭은 명상이다.,5.1,12,7,85,0,
2026.06.08(월) 13:46,2026.06.08(월) 18:06,종합 게임,전체,새로운 카드 그리고 덱 만들기 (몬스터카드),4.3,22,16,457,3,
2026.06.01(월) 04:38,2026.06.01(월) 07:48,메이플스토리,전체,메이플 숙제하기 (*숙제의 기준이 조금 다를 수 있습니다*),3.2,12,8,215,0,
2026.05.31(일) 07:35,2026.05.31(일) 11:00,종합 게임|PUBG: 배틀그라운드,전체,한달에 방송 한번하는 미친 스트리머 (왜 아무도 나랑 배그 안해주냐고!!!!!!!!!!!!!!!!!!!! / 치킨 먹을때까지 하기),3.4,15,10,321,-1,
2026.05.17(일) 10:04,2026.05.17(일) 12:24,talk,전체,2주년 기념 용과 베이킹 방송 w.그 카르텔,2.3,37,31,709,0,
2026.05.14(목) 10:58,2026.05.14(목) 15:12,이스케이프 더 백룸,전체,"저에요님,... 너무 무서운 곳을 탈출해야 하는거 아닌가요........................................",4.2,10,7,245,2,
2026.05.14(목) 06:46,2026.05.14(목) 08:48,이터널 리턴,전체,퇴근하고 잠자고 힐링하러 왔다 아무도 날 막지 못하셈,2,6,4,185,0,
2026.05.12(화) 10:56,2026.05.12(화) 14:48,트레저 헌터,전체,"보물을 훔치는 레드드래곤 카르텔 (w. 후카, 루카, 쮸니)",3.9,9,6,109,0,
2026.05.04(월) 11:31,2026.05.04(월) 14:42,talk,전체,2주년 기념 베이킹 준비 방송(9시 시작)을 준비하는 방송,3.2,20,14,517,1,
2026.04.29(수) 15:23,2026.04.29(수) 17:48,이터널 리턴|메이플스토리,전체,가횟 아티스트 김제로 (별 거 안함),2.4,10,7,336,0,
2026.04.27(월) 13:17,2026.04.27(월) 15:48,프래그마타,전체,요즘 냉동인간마냥 잠을 잤어요 [프레그마타 - 2],2.5,10,8,150,1,
2026.04.21(화) 13:44,2026.04.21(화) 16:48,프래그마타,전체,로봇과 소녀가 나오는데 어찌 사랑하지 않으리오 [프래그마타],3.1,14,10,175,0,
2026.04.19(일) 11:52,2026.04.19(일) 15:18,피크,전체,닿지 못할 영광에 다가가는 어리석은 유사동물들 (w. 저에요1998 <<< 핫섹시가이),3.4,13,6,176,0,
2026.04.16(목) 10:59,2026.04.16(목) 14:48,피크,전체,[PEAK] 다시 한번 정상을 향하여! (w. 저에요1998 <<< 이상한사람),3.8,13,8,153,0,
2026.04.14(화) 12:00,2026.04.14(화) 15:12,피크|talk,전체,오랜만에 저녁방송,3.2,15,11,196,0,
