시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 21:22,2026.06.15(월) 00:00,talk|디제이맥스 리스펙트 V,전체,머 뭐뭐뭣 키스데이???,2.6,15,11,474,0,
2026.06.13(토) 20:00,2026.06.13(토) 22:24,마비노기 모바일|talk|디제이맥스 리스펙트 V,전체,잘 다녀왔습니다,2.4,20,12,276,0,
2026.06.12(금) 14:01,2026.06.12(금) 19:42,데드 바이 데이라이트|마비노기 모바일|디제이맥스 리스펙트 V,전체,쉿 몰래 게임하러옴..!,5.7,16,10,734,1,
2026.06.11(목) 22:03,2026.06.12(금) 01:30,마비노기 모바일|디제이맥스 리스펙트 V,전체,나왔슈...,3.4,17,10,781,1,
2026.06.10(수) 21:38,2026.06.11(목) 00:24,마비노기 모바일|talk|디제이맥스 리스펙트 V,전체,조금 졸리긴한데요 일단 와써요 ;ㅅ;,2.8,19,12,431,1,
2026.06.07(일) 15:04,2026.06.07(일) 18:36,마비노기 모바일|디제이맥스 리스펙트 V,전체,안녕칭구들 딱딱이 아가씨야,3.5,24,17,569,2,
2026.06.06(토) 15:20,2026.06.07(일) 00:00,마비노기 모바일|talk|디제이맥스 리스펙트 V,전체,별로 안아픕니다.,8.7,21,13,1938,1,
2026.06.03(수) 22:00,2026.06.04(목) 03:12,마비노기 모바일|디제이맥스 리스펙트 V,전체,맨날 똑같은거 하는 애,5.2,16,12,966,3,
2026.06.02(화) 21:30,2026.06.03(수) 01:24,마비노기 모바일|디제이맥스 리스펙트 V,전체,훔훔..저왔어요..훔훔...,3.9,18,12,897,0,
2026.06.01(월) 21:30,2026.06.02(화) 00:00,마비노기 모바일|talk|디제이맥스 리스펙트 V,전체,안녕하시5,2.5,12,9,378,0,
2026.05.31(일) 20:30,2026.06.01(월) 02:54,마비노기 모바일|talk|디제이맥스 리스펙트 V,전체,늙고 어쩌구 병든사람,6.4,24,14,1473,-1,
2026.05.30(토) 16:13,2026.05.30(토) 20:06,마비노기 모바일|디제이맥스 리스펙트 V,전체,안녕하세욧?!?!?!?!?!?!!!!!!,3.9,22,16,867,2,
2026.05.26(화) 03:22,2026.05.26(화) 09:00,마비노기 모바일|talk|디제이맥스 리스펙트 V,전체,잔잔 새벽ㅎ..,5.6,20,12,1059,2,
2026.05.24(일) 19:02,2026.05.24(일) 23:30,마비노기 모바일|디제이맥스 리스펙트 V,전체,후에에에에엥 ㅠㅠㅠ후에에에에엥 ㅠㅠㅠ후에에에에엥 ㅠㅠㅠ,4.5,22,18,1176,2,
2026.05.24(일) 17:13,2026.05.24(일) 19:00,디제이맥스 리스펙트 V,전체,후에에에에엥 ㅠㅠㅠ후에에에에엥 ㅠㅠㅠ후에에에에엥 ㅠㅠㅠ,1.8,22,16,327,0,
2026.05.23(토) 05:16,2026.05.23(토) 08:42,마비노기 모바일,전체,비방일때만 대박터지는 사람임니다...ㅠ.ㅠ,3.4,42,16,787,1,
2026.05.20(수) 21:44,2026.05.21(목) 00:30,마비노기 모바일|talk|디제이맥스 리스펙트 V,전체,안녕하세요? 지각생입니다.,2.8,14,10,591,-1,
2026.05.19(화) 18:59,2026.05.19(화) 23:12,마비노기 모바일|talk|디제이맥스 리스펙트 V,전체,방금일어나서 갱댱히 차분한 사람,4.2,16,12,855,1,
2026.05.18(월) 13:18,2026.05.18(월) 18:30,발로란트|마비노기 모바일|디제이맥스 리스펙트 V,전체,머엉...,5.2,16,9,570,12,
2026.05.17(일) 21:41,2026.05.18(월) 01:48,마비노기 모바일|talk|디제이맥스 리스펙트 V,전체,죄는 미워하되 털은 미워하지마라..,4.1,18,12,903,1,
