시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 09:04,2026.06.14(일) 15:42,철권 8|talk,전체,비와서 습하고 더워...,6.6,12,8,237,-1,
2026.06.13(토) 09:56,2026.06.13(토) 19:24,블러드 스테인드: 리추얼 오브 더 나이트|철권 8|talk,전체,뭘잘못먹었는지컨디션이매우몹시많이좋지않은상태,9.5,13,8,366,0,
2026.06.12(금) 10:53,2026.06.12(금) 18:42,블러드 스테인드: 리추얼 오브 더 나이트|talk,전체,손목 아파서 쉬었음 철권,7.8,8,6,164,0,
2026.06.11(목) 09:03,2026.06.11(목) 14:42,블러드 스테인드: 리추얼 오브 더 나이트|철권 8|talk,전체,ㄹㅎㄹㅎ,5.6,11,8,409,0,
2026.06.10(수) 08:59,2026.06.10(수) 19:06,블러드 스테인드: 리추얼 오브 더 나이트|철권 8|talk,전체,ㄹㅎㄹㅎ,10.1,15,9,482,1,
2026.06.09(화) 08:58,2026.06.09(화) 19:42,종합 게임|철권 8|talk,전체,ㅀㅀ,10.7,14,8,400,1,
2026.06.07(일) 09:02,2026.06.07(일) 14:24,종합 게임|talk,전체,ㄹㅎㄹㅎ,5.4,9,6,247,-1,
2026.06.06(토) 09:05,2026.06.06(토) 18:42,종합 게임|철권 8|talk,전체,즐거운 주말 되세요~!,9.6,16,7,195,0,
2026.06.05(금) 10:57,2026.06.05(금) 18:42,종합 게임|talk,전체,ㅀㅀ,7.7,10,6,262,0,
2026.06.04(목) 08:59,2026.06.04(목) 15:00,종합 게임|철권 8|talk,전체,ㄹㅎㄹㅎ,6,14,7,310,0,
2026.06.03(수) 08:58,2026.06.03(수) 19:24,종합 게임|철권 8|talk,전체,ㄹㅎㄹㅎ,10.4,16,8,230,2,
2026.06.02(화) 09:02,2026.06.02(화) 19:06,종합 게임|철권 8|talk,전체,ㅘ... 여름이다,10.1,16,9,636,0,
2026.05.31(일) 10:01,2026.05.31(일) 15:54,종합 게임|철권 8|talk,전체,몸에 좋은 거 먹으면 배탈 나는 사람,5.9,14,9,470,0,
2026.05.30(토) 09:04,2026.05.30(토) 19:00,종합 게임|철권 8|talk,전체,ㄹㅎㄹㅎ,9.9,17,9,451,1,
2026.05.29(금) 10:55,2026.05.29(금) 20:06,종합 게임|talk,전체,즐거운 주말 되세요~!,9.2,11,8,671,0,
2026.05.28(목) 09:02,2026.05.28(목) 14:24,철권 8|talk,전체,ㄹㅎㄹㅎ,5.4,20,10,1791,1,
2026.05.27(수) 09:32,2026.05.27(수) 19:30,종합 게임|철권 8,전체,그저 피곤,10,15,8,356,-1,
2026.05.27(수) 08:55,2026.05.27(수) 09:24,talk,전체,그저 피곤,0.5,4,3,55,0,
2026.05.26(화) 09:04,2026.05.26(화) 19:06,종합 게임|철권 8|talk,전체,숙취 살짝 첨가,10,15,9,465,0,
2026.05.24(일) 09:05,2026.05.24(일) 14:24,철권 8|talk,전체,ㅀㅀ,5.3,16,10,537,-1,
2026.05.23(토) 09:00,2026.05.23(토) 19:30,종합 게임|철권 8|talk,전체,ㄹㅎㄹㅎ,10.5,13,9,837,0,
2026.05.22(금) 10:59,2026.05.22(금) 19:18,파이널 판타지 6|talk,전체,즐거운 주말 되세요~,8.3,11,7,777,0,
2026.05.21(목) 09:00,2026.05.21(목) 14:48,파이널 판타지 6|철권 8|talk,전체,요즘 잠을 못 자네...,5.8,12,7,147,0,
2026.05.20(수) 09:00,2026.05.20(수) 19:54,파이널 판타지 6|철권 8|talk,전체,뭔비가하루종일내려,10.9,13,9,730,0,
2026.05.19(화) 09:48,2026.05.19(화) 18:24,파이널 판타지 6|철권 8|talk,전체,조금만 돌아다녀도 힘드네,8.6,15,9,658,0,
2026.05.17(일) 09:05,2026.05.17(일) 14:42,철권 8|talk,전체,ㄹㅎㄹㅎ,5.6,16,9,651,0,
2026.05.16(토) 09:20,2026.05.16(토) 19:24,파이널 판타지 6|철권 8|talk,전체,즐거운 주말 되세요!,10.1,17,11,972,1,
2026.05.16(토) 09:03,2026.05.16(토) 09:06,talk,전체,즐거운 주말 되세요!,0,2,2,0,0,
2026.05.15(금) 10:57,2026.05.15(금) 19:24,파이널 판타지 6|철권 8|talk,전체,잠을 못자서 피곤한,8.4,15,10,462,0,
2026.05.14(목) 09:04,2026.05.14(목) 15:12,뱀파이어 크롤러즈: 더 터보 와일드카드 프롬 뱀파이어 서바이버즈|철권 8|talk,전체,개더움,6.1,13,8,336,0,
2026.05.13(수) 09:06,2026.05.13(수) 19:42,뱀파이어 크롤러즈: 더 터보 와일드카드 프롬 뱀파이어 서바이버즈|철권 8|talk,전체,큰일났다 모기 잡았다....,10.6,17,8,1010,0,
2026.05.12(화) 09:03,2026.05.12(화) 19:36,뱀파이어 크롤러즈: 더 터보 와일드카드 프롬 뱀파이어 서바이버즈|talk,성인,ㄹㅎㄹㅎ,10.5,13,8,343,0,
2026.05.10(일) 08:59,2026.05.10(일) 15:00,철권 8|talk,전체,ㄹㅎㄹㅎ,6,20,11,362,0,
2026.05.09(토) 09:02,2026.05.09(토) 19:18,뱀파이어 크롤러즈: 더 터보 와일드카드 프롬 뱀파이어 서바이버즈|철권 8|talk,전체,더버라,10.3,17,10,585,0,
2026.05.08(금) 10:58,2026.05.08(금) 19:06,뱀파이어 크롤러즈: 더 터보 와일드카드 프롬 뱀파이어 서바이버즈|철권 8|talk,전체,즐거운 주말 되세요~!,8.1,16,10,470,2,
2026.05.07(목) 11:06,2026.05.07(목) 14:54,철권 8,전체,밥 먹으니 졸림,3.8,19,12,211,1,
2026.05.06(수) 09:00,2026.05.06(수) 20:12,파이널 판타지 5|철권 8|talk,전체,ㅀㅀ,11.2,23,10,765,1,
2026.05.05(화) 09:03,2026.05.05(화) 19:06,파이널 판타지 5|talk,전체,쉬었음 철권,10,12,8,527,0,
2026.05.03(일) 09:02,2026.05.03(일) 14:00,철권 8|talk,전체,카즈야 우승!! 낭만 지려따리,5,21,12,384,0,
2026.05.02(토) 09:03,2026.05.02(토) 19:12,파이널 판타지 5|철권 8|talk,전체,ㄹㅎㄹㅎ,10.1,14,8,576,0,
2026.05.01(금) 11:02,2026.05.01(금) 18:54,파이널 판타지 5|철권 8|talk,전체,ㅀㅀ,7.9,31,12,770,1,
2026.04.30(목) 09:00,2026.04.30(목) 14:42,파이널 판타지 5|철권 8|talk,전체,4월의 마지막,5.7,21,13,589,1,
2026.04.29(수) 09:00,2026.04.29(수) 18:54,레벨 데빌|파이널 판타지 5|철권 8|talk,성인,ㄹㅎㄹㅎ,9.9,14,10,595,1,
2026.04.28(화) 10:49,2026.04.28(화) 17:54,종합 게임|파이널 판타지 4|talk,성인,곱창집에서 먹은 생간 때문에 몸이 맛탱이가 간듯,7.1,11,7,249,0,
2026.04.26(일) 09:01,2026.04.26(일) 15:00,철권 8|talk,전체,봄 어디갔어!!!,6,20,11,519,0,
2026.04.25(토) 09:06,2026.04.25(토) 19:12,파이널 판타지 4|철권 8|talk,전체,덥다,10.1,21,12,650,0,
2026.04.24(금) 10:50,2026.04.24(금) 19:18,파이널 판타지 4|talk,전체,즐거운 주말 되세요!!,8.5,10,8,205,0,
2026.04.23(목) 09:04,2026.04.23(목) 14:54,파이널 판타지 4|talk,전체,ㄹㅎㄹㅎ,5.8,10,6,228,0,
2026.04.22(수) 09:02,2026.04.22(수) 12:54,철권 8|talk,전체,ㄹㅎㄹㅎ,3.9,17,10,161,1,
2026.04.21(화) 09:17,2026.04.21(화) 18:42,큐브 이스케이프: 패러독스|철권 8|talk,전체,ㄹㅎㄹㅎ,9.4,23,12,717,1,
2026.04.19(일) 09:04,2026.04.19(일) 14:00,종합 게임|파이널 판타지 3|talk,전체,손목 아파 쉬었음 철권,4.9,14,10,686,0,
2026.04.18(토) 09:05,2026.04.18(토) 19:00,파이널 판타지 3|철권 8|talk,전체,즐거운 주말 되세요!!,9.9,17,8,397,0,
2026.04.17(금) 10:04,2026.04.17(금) 19:18,파이널 판타지 3|철권 8|talk,전체,선선하니 좋네~~~,9.2,17,9,462,1,
2026.04.16(목) 09:00,2026.04.16(목) 14:54,파이널 판타지 3|철권 8|talk,전체,ㅀㅀ,5.9,12,8,349,0,
2026.04.15(수) 09:03,2026.04.15(수) 19:30,파이널 판타지 3|철권 8|talk,전체,더운데?,10.4,21,11,551,0,
2026.04.13(월) 14:59,2026.04.13(월) 22:42,종합 게임,전체,[슈로대알파외전] 찐막?,7.7,16,7,410,0,
2026.04.12(일) 09:02,2026.04.12(일) 21:36,종합 게임|talk,전체,안녕하소!!,12.6,11,8,687,1,
2026.04.11(토) 09:01,2026.04.11(토) 19:12,종합 게임|철권 7|철권 8|talk,전체,ㅀㅀ,10.2,22,10,1027,1,
2026.04.10(금) 08:58,2026.04.10(금) 18:42,종합 게임|철권 8|talk,전체,즐거운 주말 되세요!!,9.7,13,7,636,0,
2026.04.09(목) 08:59,2026.04.09(목) 19:48,종합 게임|철권 8|talk,전체,[슈로대알파외전] 넘나 어려운것,10.8,21,10,474,1,
2026.04.08(수) 09:02,2026.04.08(수) 20:12,종합 게임|철권 8|talk,전체,ㄹㅎㄹㅎ,11.2,19,11,783,1,
2026.04.07(화) 09:01,2026.04.07(화) 17:48,종합 게임|talk,전체,숙취로 인한 쉬었음 철권,8.8,9,5,344,0,
2026.04.05(일) 09:03,2026.04.05(일) 20:06,종합 게임|철권 8|talk,전체,ㄹㅎㄹㅎ,11,19,10,521,0,
2026.04.04(토) 09:06,2026.04.04(토) 20:12,종합 게임|철권 8|talk,전체,급나힘들땐얼박사!!,11.1,16,8,665,0,
2026.04.03(금) 10:58,2026.04.03(금) 20:06,종합 게임|talk,전체,캠이 왔는데 뭔가 맘에 안든다....,9.1,12,8,406,0,
2026.04.02(목) 09:08,2026.04.02(목) 14:48,종합 게임|철권 8|talk,전체,방종하고캠설정하다열처받아서캠주문한나,5.7,14,7,291,0,
2026.04.01(수) 09:02,2026.04.01(수) 19:06,종합 게임|철권 8|talk,전체,건든게없는데세팅설정이바뀐거같지...,10.1,21,9,532,2,
2026.03.31(화) 10:40,2026.03.31(화) 19:24,종합 게임|철권 8,전체,캠이 고장났다.....,8.7,15,8,524,0,
2026.03.31(화) 09:54,2026.03.31(화) 10:18,철권 8,전체,캠이 고장났다.....,0.4,11,9,29,0,
2026.03.31(화) 09:24,2026.03.31(화) 09:42,talk,전체,ㄹㅎㄹㅎ,0.3,3,2,0,0,
2026.03.29(일) 09:04,2026.03.29(일) 15:00,철권 8|talk,전체,ㄹㅎㄹㅎ,5.9,20,14,493,0,
2026.03.28(토) 09:04,2026.03.28(토) 19:48,종합 게임|철권 8|talk,전체,덥다,10.7,20,10,683,0,
2026.03.27(금) 10:58,2026.03.27(금) 20:00,종합 게임|철권 8|talk,전체,ㄹㅎㄹㅎ,9,15,9,571,0,
2026.03.26(목) 09:03,2026.03.26(목) 14:18,철권 8|talk,전체,ㄹㅎㄹㅎ,5.2,16,10,375,0,
2026.03.25(수) 09:03,2026.03.25(수) 16:48,파이널 판타지 2|철권 8|talk,전체,더워진다... 뭔가 날라다닌다...,7.7,14,9,844,0,
