시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.13(토) 15:33,2026.06.14(일) 03:42,종합 게임,전체,[파라노마사이트 인어의 저주] *종합게임 늙쮸버* ~인어는 눈물이 없기에 더욱 고통 스럽다.~(유입/맞팔/훈수/공략/고민상담),12.1,11,7,428,4,
2026.06.06(토) 16:46,2026.06.07(일) 05:18,종합 게임,전체,[콜옵 모던 워페어3 2023] *종합게임 늙쮸버* ~나라와 겨레 위해 바친 이 목숨 죽어도 살아서 끝이 없으리 바다에 어여쁜 넋들이 향기롭구나~(유입/맞팔/훈수/공략/고민상담),12.5,10,8,596,0,
2026.06.05(금) 20:39,2026.06.06(토) 03:06,종합 게임|talk,전체,[콜옵 모던 워페어3 2023] *종합게임 늙쮸버* ~신고! 얼라이스 스머는 원포원 부대의 지휘관으로 임명 되었음을 알린다! 이상!~ (신입/유입/맞팔/훈수/공략/시참/고민상담),6.4,11,7,281,0,
2026.06.02(화) 18:29,2026.06.02(화) 21:42,종합 게임,전체,[콜 오브 듀티 모던 워페어2 2022] *종합게임 늙쮸버* ~엔딩은 봐야지 기냐 안기냐 그래유 안그래유 겨 안겨~ (신입/유입/맞팔/훈수/공략/시참/고민상담) 환영!ㅕ,3.2,14,11,476,-1,
2026.06.01(월) 21:34,2026.06.02(화) 05:48,종합 게임,전체,[콜 오브 듀티 모던 워페어2 리부트] *종합게임 늙쮸버* ~두두두두 빵뺭뻥뼝뽕뿅뿡쁑쁭삥~ (신입/유입/맞팔/훈수/공략/시참/고민상담) 환영!!!,8.2,14,10,792,0,
2026.05.30(토) 16:45,2026.05.31(일) 05:06,종합 게임|007 퍼스트 라이트,전체,[007 퍼스트 라이트] *종합게임 늙쮸버* ~이것은 내가 최고의 007 요원이 되기까지의 이야기 이다.~ (신입/유입/맞팔/훈수/공략/시참/고민상담) 환영!!!,12.3,13,9,798,3,
2026.05.29(금) 18:30,2026.05.30(토) 04:24,007 퍼스트 라이트,전체,"[007 퍼스트 라이트] *종합게임 늙쮸버* ~얼드, 제임스 얼드. 뽀득한 막걸리 젓지 말고 흔들어서~ (신입/유입/맞팔/훈수/공략/시참/고민상담) 환영!!!",9.9,11,8,301,1,
2026.05.26(화) 21:52,2026.05.27(수) 03:54,점프 킹 퀘스트|종합 게임,전체,[점프킹 퀘스트] *점프+소울+멀티??? 점프킹에 소울을 곁들인* ~다시 돌아온 얼프킹의 이야기~ (신입/유입/맞팔/훈수/공략/시참/고민상담) 환영!!!,6,11,8,363,2,
2026.05.23(토) 20:21,2026.05.24(일) 07:42,고전 게임|종합 게임|talk,전체,[토크토크] *종합게임 늙쮸버* ~무지개 타고 내려왔나 바람타고 날아 왔나 호호호호 초초초초~ (신입/유입/맞팔/훈수/공략/시참/고민상담) 환영!!!,11.3,18,9,465,3,
2026.05.22(금) 19:17,2026.05.23(토) 03:42,종합 게임|talk,전체,[토크토크] *종합게임 늙쮸버* ~밖에 나가면 시원한데 방안은 덥다. 어쩌라는 거징~ (신입/유입/맞팔/훈수/공략/시참/고민상담) 환영!,8.4,11,9,293,1,
2026.05.21(목) 17:59,2026.05.21(목) 21:12,고전 게임,전체,[형사 가제트 매드 타임 파티] *종합게임 늙쮸버* ~나와라 가제트 만능얼싄~ (신입/유입/맞팔/훈수/공략/시참/고민상담) 환영!!!,3.2,14,10,285,1,
2026.05.16(토) 18:48,2026.05.17(일) 04:36,고전 게임|종합 게임|talk,전체,[닭도리탕] *종합게임 늙쮸버* ~난...ㄱ ㅏ끔 국물을 흘린 ㄷ ㅏ.... ㄱ ㅏ끔은 국물을 흘리는 ㄴ ㅐ가 별루 다.~ (유입/맞팔/훈수/공략/시참/고민상담) 환영~,9.8,16,9,375,1,
2026.05.15(금) 17:09,2026.05.16(토) 04:24,종합 게임|talk,전체,[디렉티브 8020] *종합게임 늙쮸버* ~2020 우주의 원더키디가 원조임~ (유입/맞팔/훈수/공략/시참/고민상담) 환영~,11.2,11,9,471,2,
