시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 11:30,LIVE,종합 게임|전략적 팀 전투 : 우주의 신들|talk,성인,LIVE,2.6,13,10,32,0,
2026.06.13(토) 11:45,2026.06.13(토) 17:36,리그 오브 레전드|리틀 나이트메어 3|talk,성인,하이하이용,5.8,19,14,416,1,
2026.06.12(금) 11:29,2026.06.12(금) 17:00,종합 게임|리그 오브 레전드|talk,성인,하이하이용,5.5,25,15,535,0,
2026.06.11(목) 11:45,2026.06.11(목) 16:12,종합 게임|리그 오브 레전드|talk,성인,하이하이용,4.4,18,12,88,-1,
2026.06.09(화) 11:45,2026.06.09(화) 18:06,리그 오브 레전드|talk,전체,가뭄이야!!,6.3,13,10,442,0,
2026.06.08(월) 11:44,2026.06.08(월) 17:18,종합 게임|리그 오브 레전드|talk,전체,하이하이용,5.6,20,13,952,0,
2026.06.06(토) 11:00,2026.06.06(토) 18:00,리그 오브 레전드|림월드|talk,성인,밤낮 조짓네 이거,7,16,11,584,0,
2026.06.05(금) 11:45,2026.06.05(금) 23:12,종합 게임|림월드|talk,전체,하이하이용,11.4,21,13,1398,0,
2026.06.04(목) 11:44,2026.06.04(목) 19:06,림월드|talk,전체,안녕하세용,7.4,19,13,1497,0,
2026.06.02(화) 11:45,2026.06.02(화) 20:00,종합 게임|림월드|talk,전체,끄아아아악,8.2,16,11,1307,0,
2026.06.01(월) 11:40,2026.06.01(월) 15:30,종합 게임|리그 오브 레전드|talk,전체,하이하이용,3.8,20,15,648,0,
2026.05.30(토) 11:30,2026.05.30(토) 17:36,종합 게임|리그 오브 레전드|림월드|할로우 나이트: 실크송|클로버핏|히어로즈 오브 더 스톰|브로테이토|팀파이트 매니저 2|그라운디드 2|talk,전체,오늘은 뭘할ㄲ,6.1,18,14,1838,0,
