시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 09:29,LIVE,이환|talk,전체,LIVE,4,45,33,1016,-1,
2026.06.14(일) 08:59,2026.06.14(일) 17:18,삼 2|talk,전체,🍀₍ᐢ｡•ᴗ•｡ᐢ₎ ... 그날이 오고야 말아써..으아아..,8.3,35,27,2814,-1,
2026.06.13(토) 09:12,2026.06.13(토) 15:12,이환|talk,성인,🍀₍ᐢ｡•ᴗ•｡ᐢ₎ 시간이 왜케 빠름..?,6,45,26,1071,3,
2026.06.12(금) 09:01,2026.06.12(금) 18:12,talk,전체,🍀₍ᐢ｡•ᴗ•｡ᐢ₎ 오늘은 12금 다음주는 19금,9.2,33,27,2648,1,
2026.06.11(목) 08:58,2026.06.11(목) 16:06,이환|talk,전체,🍀블태식이가 살아돌아와따,7.1,56,31,2342,5,
2026.06.09(화) 09:02,2026.06.09(화) 15:06,이환|talk,전체,🍀오늘도 고생해써잇,6.1,33,25,1554,4,
2026.06.08(월) 09:02,2026.06.08(월) 14:06,오버워치|talk,전체,🍀분명 오늘 일찍 일어났는데 왜 정신을 차리고 보니 시간이,5.1,35,25,873,1,
2026.06.06(토) 09:02,2026.06.06(토) 15:36,이환|talk,전체,🍀주말이두앙 우아아아앙,6.6,44,33,2324,1,
2026.06.05(금) 09:07,2026.06.05(금) 19:36,talk,전체,🍀뱅온전 마이크 나가서 식겁한 사람,10.5,42,31,2807,4,
2026.06.04(목) 08:53,2026.06.04(목) 16:30,에코|talk,전체,🍀운석이 오늘 떨어지더라도 난 요리를 하게쒀,7.6,32,24,1171,1,
2026.06.03(수) 08:38,2026.06.03(수) 17:24,에코|talk,전체,🍀 운석 막아야하는데 늦잠을 자버린 사람 'ㅡ')/,8.8,27,20,581,-1,
2026.06.02(화) 09:01,2026.06.02(화) 17:12,에코|talk,전체,🍀저챗하다가 2부 에코 테스트 예정'ㅡ')/,8.2,29,24,1014,1,
2026.06.01(월) 07:32,2026.06.01(월) 15:00,프로젝트 좀보이드|talk,전체,🍀뀨포칼립스 오늘부터 시작 예정 도키도키,7.5,35,27,620,3,
2026.05.30(토) 09:00,2026.05.30(토) 14:42,talk,전체,🍀이제... 소리.. 안지를거야...'-`...8시부터 영도데이,5.7,38,28,1666,-1,
2026.05.29(금) 09:01,2026.05.29(금) 14:06,언젠가는 도착해|talk,전체,🍀ㅎ_ㅎ설거지하다 손 다친사람,5.1,27,22,1377,0,
2026.05.28(목) 09:01,2026.05.28(목) 15:00,이환|talk,전체,🍀𐔌՞･·･՞𐦯 벌써 목요일이양,6,39,28,2489,0,
2026.05.27(수) 09:30,2026.05.27(수) 14:36,악의|데드 애즈 디스코|talk,전체,🍀𐔌՞･·･՞𐦯 공겜하는 날은 왜케 빨리올가..,5.1,32,27,1274,-1,
2026.05.26(화) 09:01,2026.05.26(화) 14:30,이환|talk,전체,🍀𐔌՞･·･՞𐦯 날이 점점 더워진댜,5.5,44,33,2257,3,
2026.05.25(월) 09:21,2026.05.25(월) 18:00,림버스 컴퍼니|talk,전체,🍀일요일같은 월요일,8.6,48,27,2894,5,
2026.05.25(월) 08:59,2026.05.25(월) 09:12,talk,전체,🍀일요일같은 월요일,0.2,18,10,69,0,
2026.05.23(토) 10:02,2026.05.23(토) 15:18,이환|talk,전체,🍀컨디션 관리를 해야한다 '-`,5.3,33,21,1287,1,
2026.05.22(금) 10:01,2026.05.22(금) 18:48,talk,전체,🍀잠만 자고 일어났는데 왜 시간이..?,8.8,34,26,2457,-2,
2026.05.21(목) 09:01,2026.05.22(금) 00:00,림버스 컴퍼니|talk,전체,🍀벌써 목요일이당,15,69,38,3793,9,
2026.05.20(수) 09:00,2026.05.20(수) 14:42,림버스 컴퍼니|talk,전체,🍀날씨가 점점 더워진다아..,5.7,46,29,1097,1,
2026.05.19(화) 09:01,2026.05.19(화) 15:18,이환|talk,전체,🍀(੭•̀ᵕ•̀)੭ 벌써 19일이야? 시간 빠르다잇,6.3,28,22,1008,-1,
2026.05.18(월) 09:00,2026.05.18(월) 15:12,이환|언젠가는 도착해|talk,전체,🍀(੭•̀ᵕ•̀)੭ 월월월월월월,6.2,53,34,2409,8,
2026.05.17(일) 08:58,2026.05.17(일) 13:48,명조:워더링 웨이브|이터널 리턴|talk,전체,🍀(੭•̀ᵕ•̀)੭ 보리가 속썩인다,4.8,26,18,372,1,
2026.05.15(금) 09:02,2026.05.15(금) 14:36,talk,성인,🍀불금 (੭•̀ᵕ•̀)੭ 벌칙 촉각슈트 영도,5.6,36,29,131,0,
