시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 06:00,LIVE,패스 오브 엑자일 2,전체,LIVE,7.6,23,15,1582,2,
2026.06.14(일) 06:03,2026.06.14(일) 15:12,패스 오브 엑자일 2,전체,dtd,9.1,33,18,1680,-2,
2026.06.13(토) 06:19,2026.06.13(토) 17:18,패스 오브 엑자일 2,전체,거쥐가 되어버린 나,11,31,17,1404,-1,
2026.06.11(목) 10:59,2026.06.11(목) 18:42,종합 게임|패스 오브 엑자일 2,전체,공사 수박,7.7,22,14,1008,0,
2026.06.10(수) 05:58,2026.06.10(수) 14:42,패스 오브 엑자일 2,전체,느저서 미안,8.7,22,15,1470,0,
2026.06.09(화) 04:59,2026.06.09(화) 13:24,패스 오브 엑자일 2,전체,왔다 그 시간이,8.4,27,16,1212,1,
2026.06.08(월) 04:01,2026.06.08(월) 11:00,크라임 씬 클리너|패스 오브 엑자일 2,전체,머 달라진거 업냐능,7,23,16,880,0,
2026.06.07(일) 03:59,2026.06.07(일) 12:00,패스 오브 엑자일 2,전체,gdgdgd,8,23,18,1466,1,
2026.06.06(토) 04:08,2026.06.06(토) 14:24,패스 오브 엑자일 2,전체,gdgdgd,10.3,30,18,1522,-1,
2026.06.04(목) 02:57,2026.06.04(목) 10:00,랜치 시뮬레이터: 빌드|헌트|팜|라이브러리안: 타이디 업 더 아케인 라이브러리!|패스 오브 엑자일 2,전체,은주짱~~~ 야~호,7,16,12,487,0,
2026.06.03(수) 03:00,2026.06.03(수) 09:42,패스 오브 엑자일 2,전체,동물원 야호,6.7,28,20,1183,0,
2026.06.02(화) 10:31,2026.06.02(화) 18:42,패스 오브 엑자일 2,전체,"나만의 작은 동물원,,",8.2,29,18,1192,2,
2026.06.01(월) 13:02,2026.06.01(월) 20:00,패스 오브 엑자일 2,전체,"나만의 작은 동물원,,",7,27,16,572,0,
2026.05.31(일) 04:00,2026.05.31(일) 18:54,패스 오브 엑자일 2,전체,나 동물원 차릴 수 잇을가,14.9,26,18,1331,4,
2026.05.29(금) 19:46,2026.05.30(토) 12:54,패스 오브 엑자일 2,전체,"3시에 일어났는데,,,,,, ,,, ,,, ,,,,,,,,,",17.1,37,21,1297,2,
2026.05.28(목) 09:26,2026.05.28(목) 23:48,종합 게임|메이플스토리 월드|패스 오브 엑자일 2,전체,ㅎㅇㅎㅇ,14.4,28,11,1013,0,
2026.05.27(수) 09:20,2026.05.28(목) 00:06,고로고아|오버워치|메이플스토리 월드|패스 오브 엑자일 2,전체,"몬힝,,,,,,,,,,,,,,,,,,,,,,,,,",14.8,29,14,1376,2,
2026.05.26(화) 08:56,2026.05.26(화) 22:18,메이플스토리 월드|패스 오브 엑자일 2,전체,보스하고 표이,13.4,28,16,1740,1,
2026.05.25(월) 07:28,2026.05.25(월) 17:36,메이플스토리 월드|패스 오브 엑자일 2,전체,라샷 엑트 밀만함니가? / 2부 메이플 플래닛,10.1,22,14,1037,0,
2026.05.25(월) 02:59,2026.05.25(월) 07:24,패스 오브 엑자일|패스 오브 엑자일 2,전체,라샷 너프 됫대 엑트 밀만함니가?,4.4,23,17,495,-1,
2026.05.24(일) 09:01,2026.05.24(일) 16:30,메이플스토리 월드|패스 오브 엑자일 2,전체,체인소맨 보신ㄴ분,7.5,22,13,983,-2,
2026.05.23(토) 02:51,2026.05.23(토) 16:00,메이플스토리 월드|패스 오브 엑자일 2,전체,캐졸림,13.1,31,14,1943,1,
2026.05.21(목) 08:53,2026.05.22(금) 04:00,메이플스토리 월드,전체,몬힝,19.1,71,20,3532,7,
2026.05.20(수) 01:01,2026.05.20(수) 15:06,메이플스토리 월드,전체,ㅇㅅㅇ,14.1,22,12,2533,2,
2026.05.19(화) 01:02,2026.05.19(화) 14:54,메이플스토리 월드,전체,히히 집이라능,13.9,41,18,1967,5,
2026.05.18(월) 23:57,2026.05.19(화) 00:36,메이플스토리 월드,전체,히히 집이라능,0.6,12,8,166,0,
2026.05.16(토) 02:25,2026.05.16(토) 07:48,메이플스토리 월드,전체,ㄴ ㅏ 이제 집간다요,5.4,16,11,1194,0,
2026.05.16(토) 02:21,2026.05.16(토) 02:24,메이플스토리 월드,전체,ㄴ ㅏ 이제 집간다요,0,5,5,0,0,
