시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 19:25,LIVE,이터널 리턴,전체,LIVE,3.1,36,26,743,3,
2026.06.15(월) 12:00,2026.06.15(월) 14:18,이터널 리턴|talk,전체,오늘도 나는 고민을 한다,2.3,46,29,739,0,
2026.06.13(토) 10:01,2026.06.14(일) 00:36,이터널 리턴|슬레이 더 스파이어 2|talk,전체,카페를 보는날이에요,14.6,44,27,3857,1,
2026.06.11(목) 17:01,2026.06.12(금) 03:12,킵 토킹 앤 노바디 익스플로드|리그 오브 레전드|이터널 리턴|talk,전체,오늘 안에...폭탄 해체 할 수 있을까...? (w.쿄카),10.2,36,23,3049,6,
2026.06.10(수) 21:12,2026.06.11(목) 02:30,이터널 리턴,전체,10시 유니온,5.3,34,20,1014,0,
2026.06.10(수) 10:00,2026.06.10(수) 14:36,페르소나 5 더 로열,전체,개심시켜드립니다,4.6,20,15,874,0,
2026.06.09(화) 21:39,2026.06.10(수) 02:54,이터널 리턴,전체,WA! 유니온!,5.2,31,20,682,-1,
2026.06.09(화) 10:00,2026.06.09(화) 16:48,페르소나 5 더 로열|talk,전체,반갑다루,6.8,29,20,786,1,
2026.06.08(월) 14:00,2026.06.09(화) 01:18,이터널 리턴|림버스 컴퍼니|talk,전체,안녕하세요,11.3,47,31,2586,1,
2026.06.04(목) 15:54,2026.06.05(금) 08:12,종합 게임|이터널 리턴|talk,전체,카페보고 데모게임하기,16.3,59,33,4467,8,
2026.06.03(수) 10:08,2026.06.03(수) 16:48,이터널 리턴|모모도라: 문릿 페어웰|talk,전체,으앙,6.7,46,28,1168,0,
2026.06.03(수) 10:01,2026.06.03(수) 10:06,talk,전체,으앙,0.1,8,8,0,0,
2026.06.02(화) 10:01,2026.06.02(화) 14:06,이터널 리턴|모모도라: 문릿 페어웰|talk,전체,아침이야,4.1,43,25,856,0,
2026.06.02(화) 00:49,2026.06.02(화) 04:54,이터널 리턴,전체,딱 3판만함,4.1,34,22,715,-1,
2026.05.31(일) 20:35,2026.06.01(월) 04:12,페르소나 5 더 로열|talk,전체,해졌다,7.6,20,14,1382,0,
2026.05.31(일) 12:00,2026.05.31(일) 12:54,talk,전체,나다,0.9,26,19,314,1,
2026.05.31(일) 00:46,2026.05.31(일) 09:48,이터널 리턴,전체,자려고 누웠는데 갑자기,9,65,33,1861,5,
2026.05.30(토) 12:00,2026.05.30(토) 20:36,페르소나 5 더 로열|talk,전체,나는 다루야,8.6,27,20,1515,1,
2026.05.28(목) 00:38,2026.05.28(목) 08:00,이터널 리턴|talk,전체,일하기 싫어 자기 싫어,7.4,41,23,1456,2,
2026.05.27(수) 11:00,2026.05.27(수) 18:48,이터널 리턴|talk,전체,[1부] 하루에 1등 한번이라도 하기,7.8,59,34,1629,1,
2026.05.26(화) 10:59,2026.05.26(화) 22:54,이터널 리턴|talk,전체,사람은 왜 아침에 일어나야할까,11.9,43,29,3087,3,
2026.05.25(월) 14:01,2026.05.25(월) 18:06,talk,전체,빵 사고싶은 기분,4.1,35,27,1374,1,
2026.05.22(금) 08:26,2026.05.22(금) 17:06,이터널 리턴,전체,1등하고싶어요...,8.7,76,47,1805,6,
2026.05.21(목) 02:00,2026.05.21(목) 09:06,이터널 리턴|talk,전체,ㅇㅅㅇ,7.1,44,25,660,1,
2026.05.20(수) 11:00,2026.05.20(수) 18:48,이터널 리턴|슬레이 더 스파이어 2|서브노티카 2|talk,전체,섬갔다가 바다가기 2일차,7.8,52,30,1463,4,
2026.05.19(화) 11:00,2026.05.19(화) 14:48,이터널 리턴|서브노티카 2,전체,[1부] 1등할때까지 이리하기,3.8,35,22,552,0,
2026.05.18(월) 20:43,2026.05.19(화) 00:06,림버스 컴퍼니|talk,전체,버스타는날 2트,3.4,24,19,321,0,
2026.05.18(월) 14:01,2026.05.18(월) 16:54,talk,전체,버스타는날,2.9,50,30,749,0,
2026.05.17(일) 12:00,2026.05.18(월) 00:36,페르소나 5 더 로열,전체,괴도단이 존재한다고 생각하십니까,12.6,38,28,1838,2,
2026.05.16(토) 12:01,2026.05.16(토) 22:54,페르소나 5 더 로열|talk,전체,아침은.... 싫어...,10.9,27,20,1567,1,
