시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 06:05,2026.06.14(일) 15:30,데이 아 빌리언즈|종합 게임|스타크래프트 : 리마스터,전체,비디오 판독,9.4,21,15,1139,1,
2026.06.14(일) 03:43,2026.06.14(일) 06:00,데이 아 빌리언즈,전체,520% 깨러간다 (인터넷 이슈 죄송),2.3,17,13,265,0,
2026.06.14(일) 01:00,2026.06.14(일) 03:36,데이 아 빌리언즈|종합 게임,전체,앙코 사형,2.6,18,14,319,1,
2026.06.13(토) 07:43,2026.06.13(토) 16:48,성세천하: 여제의 탄생 Ⅱ,전체,무미랑은 독저항을 맞춰야 한다22,9.1,23,18,2165,0,
2026.06.13(토) 07:27,2026.06.13(토) 07:36,성세천하: 여제의 탄생 Ⅱ,전체,무미랑은 독저항을 맞춰야 한다,0.1,11,11,46,0,
2026.06.13(토) 07:13,2026.06.13(토) 07:24,성세천하: 여제의 탄생 Ⅱ,전체,구구가가가가!!,0.2,13,13,97,0,
2026.06.13(토) 02:34,2026.06.13(토) 07:06,종합 게임|명조:워더링 웨이브|성세천하: 여제의 탄생 Ⅱ,전체,구구가가 구구가가,4.5,24,17,1693,-2,
2026.06.12(금) 12:59,2026.06.12(금) 16:36,종합 게임|명조:워더링 웨이브,전체,엣지러너 어제 다 본 사람,3.6,13,9,360,1,
2026.06.10(수) 10:25,2026.06.10(수) 18:00,미설정|데이 아 빌리언즈,전체,악마적 카레라면,7.6,15,11,917,0,
2026.06.08(월) 12:59,2026.06.08(월) 17:36,데이 아 빌리언즈|종합 게임,전체,휴방이라 해놓고 방송 켜버리기,4.6,14,9,578,-1,
2026.06.07(일) 04:03,2026.06.07(일) 19:00,데이 아 빌리언즈|종합 게임|명조:워더링 웨이브,전체,달릴 마음이 없으면 레이스에 나오지 마 !,14.9,23,14,2085,0,
2026.06.06(토) 05:25,2026.06.06(토) 20:24,데이 아 빌리언즈|종합 게임|명조:워더링 웨이브,전체,2026.6.6,15,18,9,1613,3,
2026.06.03(수) 07:57,2026.06.03(수) 17:12,종합 게임|명조:워더링 웨이브|스타크래프트 : 리마스터|talk,전체,vote,9.2,23,14,1892,2,
2026.06.02(화) 13:58,2026.06.02(화) 18:48,미설정|명조:워더링 웨이브,전체,여고생이라 군대 하나도 모름! 같이 봐주실 오빠들 구함!,4.8,51,20,1570,5,
2026.06.02(화) 10:10,2026.06.02(화) 13:54,종합 게임,전체,게임하다가 11시에 용서받지못한자 시청 예정,3.7,17,11,792,1,
2026.06.01(월) 13:19,2026.06.01(월) 16:24,미설정,성인,Yellow sea,3.1,22,16,0,4,
2026.06.01(월) 10:32,2026.06.01(월) 13:12,종합 게임|명조:워더링 웨이브,전체,JUNE 1,2.7,16,12,406,0,
2026.05.30(토) 06:46,2026.05.30(토) 16:48,종합 게임|명조:워더링 웨이브,전체,summer,10,22,16,1344,0,
2026.05.29(금) 09:47,2026.05.29(금) 17:30,종합 게임|검은 신화: 오공,전체,2022 현대문학상,7.7,23,15,840,2,
2026.05.26(화) 14:29,2026.05.26(화) 19:18,종합 게임,전체,정말 랜덤한 시간의 마굴 오픈,4.8,22,10,734,0,
2026.05.24(일) 07:00,2026.05.24(일) 16:18,종합 게임|명조:워더링 웨이브|스타크래프트 : 리마스터,전체,석가탄신일에 절에 가서 육회비빔밥을 주문해도 괜찮을까,9.3,23,13,927,0,
