시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.13(토) 03:34,2026.06.13(토) 07:24,발로란트,전체,[V] 아섭에선 어떻게 해야하는 거지..? (시참=고정란),3.8,15,7,298,2,
2026.06.10(수) 08:30,2026.06.10(수) 11:30,로블록스,전체,[V] '로블록스'에서 뭘 해야할지 모르는 고양이 신님,3,8,6,82,-1,
2026.06.10(수) 03:38,2026.06.10(수) 08:30,로블록스|발로란트,전체,[V] 발로란트.. 뭘해도 어렵다.. (잠깐 시참x),4.9,11,6,479,8,
2026.06.08(월) 06:57,2026.06.08(월) 08:12,마인크래프트,전체,[V] 보통 난이도 & 야생 1일차 - 뭔지 다 까먹어버림;-;,1.2,6,4,33,1,
2026.06.08(월) 04:25,2026.06.08(월) 06:54,톰 클랜시의 레인보우 식스|발로란트,전체,[V] 한 치 앞도 알 수가 없는 신속의 세계 (시참ok / '!킬' 룰렛오픈),2.5,5,3,197,1,
2026.06.03(수) 05:02,2026.06.03(수) 10:42,리그 오브 레전드|붕괴: 스타레일,전체,[V] 붕스 메인 스토리 미는중,5.7,9,5,144,0,
2026.06.01(월) 06:49,2026.06.01(월) 12:30,붕괴: 스타레일|발로란트,전체,[V] 붕스 - 메인 스토리 스킵 2시간 해보기,5.7,11,6,259,5,
2026.05.27(수) 06:26,2026.05.27(수) 12:12,발로란트|오버워치,전체,[V] '킬까기 3일차' 하러 온 고양이 (시참ok / !킬),5.8,20,7,216,11,
2026.05.26(화) 07:59,2026.05.26(화) 12:00,발로란트,전체,[V] '킬까기' 하러 온 고양이 (시참ok / !킬),4,9,4,121,5,
2026.05.25(월) 10:56,2026.05.25(월) 14:36,발로란트,전체,[V] 신속에서 킬까기 하러 온 고양이 (시참 / !킬),3.7,7,4,272,1,
2026.05.24(일) 09:34,2026.05.24(일) 13:54,오버워치,전체,[V] 오버워치 시참 :3 (역할 고정 빠대),4.3,11,6,146,4,
2026.05.24(일) 05:54,2026.05.24(일) 09:30,붕괴: 스타레일,전체,[V] 붕스가 뭔지 다 까먹은 애 여깄다냥 :3 (스토리 최대한 스킵중),3.6,5,3,32,0,
2026.05.23(토) 06:22,2026.05.23(토) 14:24,붕괴: 스타레일,전체,[V] 붕스가 뭔지 다 까먹은 애 여깄음 :3 (1부),8,10,5,548,5,
2026.05.22(금) 10:43,2026.05.22(금) 14:30,발로란트,전체,[V] 시참 왔다냥 :3,3.8,7,4,106,3,
2026.05.22(금) 08:56,2026.05.22(금) 10:42,발로란트|톰 클랜시의 레인보우 식스 시즈 X,전체,[V] 무무무무무무 (내일부터 캐릭터 보일거다냥),1.8,8,4,31,1,
2026.05.21(목) 09:37,2026.05.21(목) 14:48,오버워치|톰 클랜시의 레인보우 식스 시즈 X,전체,[V] 브론즈 딜러의 험난한 여정 (내일부터 캐릭터 보일거다냥),5.2,7,4,131,2,
2026.05.21(목) 09:08,2026.05.21(목) 09:36,오버워치|톰 클랜시의 레인보우 식스 시즈 X,전체,[V] 레식 잠깐 하다가 옵치 할 예정 (내일부터 캐릭터 보일거),0.5,1,1,32,0,
2026.05.20(수) 10:04,2026.05.20(수) 12:54,종합 게임|Grand Theft Auto V,전체,[시참Day] 2부 - 그타 인핸스드 (녹화중),2.8,9,5,39,1,
2026.05.20(수) 07:26,2026.05.20(수) 10:00,종합 게임,전체,[시참Day] 1부 - 그저 레식 (녹화중),2.6,6,4,34,0,
2026.05.19(화) 05:13,2026.05.19(화) 07:54,젠레스 존 제로|발로란트|talk,전체,[🩷] 1부 - 잠깐 찍먹중인 게임 & 2일차 냉동 계정 유저의 스토리 2개 밀기 // 2부는 비밀,2.7,9,4,165,1,
2026.05.18(월) 06:26,2026.05.18(월) 13:00,오버워치,전체,[시참Day] 방송을 안키면 팔로우가 늘어나는 신기한 곳,6.6,12,7,253,2,
2026.05.15(금) 04:33,2026.05.15(금) 17:42,톰 클랜시의 레인보우 식스|발로란트|오버워치,전체,"[녹화중] 시참Day, 게임은 랜덤Day",13.1,14,7,300,9,
