시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 12:59,LIVE,talk,전체,LIVE,0.1,7,6,11,0,
2026.06.15(월) 10:47,2026.06.15(월) 12:48,2026 FIFA 북중미 월드컵,전체,일본VS네덜란드,2,77,40,29,5,
2026.06.14(일) 17:01,2026.06.14(일) 18:24,2026 FIFA 북중미 월드컵,전체,독일VS퀴라소,1.4,18,9,95,1,
2026.06.14(일) 12:59,2026.06.14(일) 15:24,talk,전체,일요일,2.4,7,5,111,0,
2026.06.13(토) 12:58,2026.06.13(토) 15:12,풋볼 매니저 26,전체,축알못에서 명장까지,2.2,10,7,70,0,
2026.06.13(토) 08:34,2026.06.13(토) 10:30,오버워치,전체,오버워치,1.9,12,9,230,0,
2026.06.13(토) 03:32,2026.06.13(토) 08:18,리그 오브 레전드|마인크래프트,전체,도파민,4.8,11,7,733,0,
2026.06.12(금) 16:44,2026.06.12(금) 19:24,talk,전체,토요일,2.7,7,5,19,0,
2026.06.12(금) 04:15,2026.06.12(금) 09:54,리그 오브 레전드,전체,금요일,5.6,7,5,246,0,
2026.06.12(금) 03:00,2026.06.12(금) 04:00,2026 FIFA 북중미 월드컵,전체,대한민국 화이팅,1,6,4,29,0,
2026.06.11(목) 19:44,2026.06.11(목) 21:06,2026 FIFA 북중미 월드컵,전체,대한민국 화이팅,1.4,11,6,24,1,
2026.06.11(목) 19:27,2026.06.11(목) 19:30,2026 FIFA 북중미 월드컵,전체,대한민국 화이팅,0,2,2,0,0,
2026.06.11(목) 17:46,2026.06.11(목) 19:24,유희왕 마스터 듀얼,전체,WCS,1.6,4,3,123,0,
2026.06.11(목) 07:57,2026.06.11(목) 14:06,유희왕 마스터 듀얼|마인크래프트,전체,이건 내가 엔더드래곤을 잡기까지의 이야기이다,6.1,13,8,515,0,
2026.06.11(목) 04:44,2026.06.11(목) 07:42,유희왕 마스터 듀얼,전체,wcs,3,7,5,207,0,
2026.06.10(수) 18:10,2026.06.10(수) 19:42,전략적 팀 전투 : 우주의 신들,전체,플레 가고싶은 청년,1.5,5,3,41,-1,
2026.06.10(수) 12:36,2026.06.10(수) 17:24,전략적 팀 전투 : 우주의 신들|유희왕 마스터 듀얼,전체,wcs,4.8,8,5,277,2,
2026.06.09(화) 12:55,2026.06.09(화) 14:48,마인크래프트,전체,엔더드래곤 잡고싶습니다,1.9,12,10,331,0,
2026.06.09(화) 11:02,2026.06.09(화) 12:48,길티기어 -스트라이브-|마인크래프트,전체,엔더드래곤 잡고싶습니다,1.8,12,7,304,0,
2026.06.09(화) 06:58,2026.06.09(화) 08:30,talk,전체,카페이름 추천받습니다,1.5,11,7,150,0,
2026.06.08(월) 13:13,2026.06.08(월) 14:18,마인크래프트,전체,마크좋아 청년,1.1,9,7,134,0,
2026.06.07(일) 12:32,2026.06.07(일) 14:30,유희왕 마스터 듀얼|마인크래프트|talk,전체,마크VS맨,2,9,5,200,1,
2026.06.07(일) 05:59,2026.06.07(일) 08:36,마인크래프트,전체,이건 내가 엔더드래곤을 잡기까지의 이야기이다,2.6,14,9,549,1,
2026.06.07(일) 01:45,2026.06.07(일) 05:24,마인크래프트,전체,이건 내가 엔더드래곤을 잡기까지의 이야기이다,3.6,13,7,334,1,
