시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.13(토) 13:01,2026.06.13(토) 15:42,트릭컬 리바이브,전체,트릭커르 스토오리 보기 하겠슴돠,2.7,4,2,96,0,
2026.06.04(목) 12:56,2026.06.04(목) 16:12,커피 토크 도쿄|트릭컬 리바이브,전체,또릭컬 쏘똬아리 보기하겠습니돰,3.3,4,2,95,0,
2026.05.27(수) 15:47,2026.05.27(수) 15:54,트릭컬 리바이브,전체,트릭컬 스토오리 보기 하겠습니돰,0.1,5,5,0,0,
2026.05.27(수) 14:00,2026.05.27(수) 15:42,트릭컬 리바이브,전체,트릭컬 스토오리 보기 하겠습니돰,1.7,6,2,28,0,
2026.05.21(목) 13:00,2026.05.21(목) 18:06,유희왕 마스터 듀얼,전체,맛스타 듀얼을 하봅시다~,5.1,10,7,695,1,
2026.05.14(목) 13:21,2026.05.14(목) 15:06,트릭컬 리바이브,전체,트릭트릭 컬컬 스토스토 리리 보기,1.7,3,1,8,0,
2026.05.04(월) 12:31,2026.05.04(월) 14:36,트릭컬 리바이브,전체,트릭트릭 컬컬 스토스토 리리 보기,2.1,9,5,311,0,
2026.04.29(수) 12:56,2026.04.29(수) 16:24,유희왕 마스터 듀얼,전체,오랜만에 하는 유희왕 맛스타 듀얼스~,3.5,8,5,455,3,
2026.04.23(목) 12:25,2026.04.23(목) 14:00,트릭컬 리바이브,전체,트릭컬 교주바라기 인어공주 보러왔습니담,1.6,4,2,67,0,
2026.04.17(금) 13:52,2026.04.17(금) 17:30,트릭컬 리바이브|talk,전체,대충 비비가 뚜댜뚜댜아아따아아아잇 당하는 화,3.6,6,3,190,0,
2026.04.14(화) 12:18,2026.04.14(화) 15:00,종합 게임,전체,밀린 스팀이 게임 좀 해보겠습니다.,2.7,6,3,254,0,
2026.04.10(금) 12:21,2026.04.10(금) 15:12,트릭컬 리바이브,전체,트릭컬 이벤트 스토오리 다 보깅,2.8,2,1,55,0,
2026.04.08(수) 12:43,2026.04.08(수) 15:06,데빌 커넥션|talk,전체,흠 어디 재밌난 게임은 없는겐가,2.4,5,3,40,0,
2026.04.05(일) 12:45,2026.04.05(일) 14:18,talk,전체,적당한 노가리와 카페보김,1.5,4,3,123,0,
2026.03.31(화) 12:49,2026.03.31(화) 16:30,유희왕 마스터 듀얼,전체,진짜 오랜만에 유희왕 맛스타 시참 하겠습니다.,3.7,12,7,544,0,
2026.03.28(토) 12:29,2026.03.28(토) 14:24,트릭컬 리바이브,전체,딸내미가 왕국 지키는 거 보러갑니다. [2.5주년 트릭컬 리바이브],1.9,3,2,81,0,
2026.03.27(금) 12:58,2026.03.27(금) 14:48,트릭컬 리바이브,전체,포도알 같은 네르의 눈알을 보러 갑니다.,1.8,5,2,19,0,
2026.03.25(수) 12:31,2026.03.25(수) 16:12,데빌 커넥션,전체,N 회차 퍼리게임 오늘 다 깨버리겠습니다,3.7,6,3,151,0,
2026.03.24(화) 12:51,2026.03.24(화) 14:48,데빌 커넥션,전체,미처 못 다한 퍼리게임 하것습니다.,1.9,4,3,17,1,
2026.03.19(목) 13:09,2026.03.19(목) 16:00,트릭컬 리바이브|talk,전체,그래서 포도알 같은 눈깔의 내르는 어디있지?!,2.8,5,3,202,0,
2026.03.16(월) 12:12,2026.03.16(월) 14:36,트릭컬 리바이브,전체,트릭컬 스토오리 보오오기잉 하게에엤숨돰,2.4,6,4,209,1,
2026.03.13(금) 12:53,2026.03.13(금) 15:06,데빌 커넥션,전체,뭔가 굉장히 수상한 게임,2.2,5,3,65,-1,
2026.03.12(목) 12:38,2026.03.12(목) 15:12,파피 플레이타임,전체,파피 플레이타임 5 오늘 다 깨깅,2.6,5,3,123,0,
2026.03.10(화) 13:20,2026.03.10(화) 15:24,파피 플레이타임,전체,파피 플레이타임 5 남은 거 좀 하겠습니담,2.1,4,2,103,-2,
2026.03.08(일) 12:03,2026.03.08(일) 14:12,영화|치지직,전체,괴물 같이보기 합니담.,2.1,6,3,267,0,
2026.03.01(일) 12:37,2026.03.01(일) 16:18,파피 플레이타임,전체,야심한 밤 파피 한 번 해보갔습니담,3.7,7,4,341,0,
2026.02.27(금) 13:03,2026.02.27(금) 15:00,트릭컬 리바이브,전체,킄콰 아멜리아 같이 보깅 [트릭컬리바이브],1.9,3,1,48,0,
2026.02.25(수) 12:54,2026.02.25(수) 18:06,유희왕 마스터 듀얼|트릭컬 리바이브,전체,트릭컬 태극 끝나기 전에 스토리 보깅,5.2,8,4,512,0,
2026.02.22(일) 11:04,2026.02.22(일) 13:48,talk,전체,제 2회 천하제일 쓸모없음 자랑대회 보기 및 카페보기,2.7,6,4,474,0,
2026.02.18(수) 12:35,2026.02.18(수) 16:54,종합 게임|talk,전체,설들은 잘 지내셨습니깜?,4.3,7,4,279,0,
2026.02.14(토) 13:31,2026.02.14(토) 17:48,종합 게임,전체,그래서 초코를 못 받으셨따고요?,4.3,4,3,93,0,
2026.02.14(토) 13:16,2026.02.14(토) 13:18,종합 게임,전체,그래서 초코를 못 받으셨따고요?,0,0,0,0,0,
2026.02.12(목) 12:19,2026.02.12(목) 15:12,종합 게임,전체,연애하려면 충전기를 들고 다녀야 하는 이유,2.9,5,3,58,0,
2026.02.09(월) 12:39,2026.02.09(월) 16:24,트릭컬 리바이브,전체,트릭컬 스토리 보깅 합니당~,3.7,4,3,250,-1,
2026.02.04(수) 12:38,2026.02.04(수) 17:30,고전 게임,전체,오랜만에 플래시 게임 좀 해봄유,4.9,5,3,199,1,
2026.01.31(토) 13:45,2026.01.31(토) 17:30,트릭컬 리바이브|talk,전체,진짜 혼자 예쁜며 다야?! [트릭컬리바이브],3.7,7,4,230,0,
2026.01.28(수) 13:17,2026.01.28(수) 19:00,유희왕 마스터 듀얼|talk,전체,야심한 밤 적당히 노가리 좀 까다가 가겠습니담,5.7,11,6,891,1,
2026.01.25(일) 11:08,2026.01.25(일) 14:54,트릭컬 리바이브,전체,크리트릭컬 스토리보고 카페 좀 보것습니담,3.8,4,3,351,0,
