시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 13:07,LIVE,스트레이,전체,LIVE,0.1,4,4,0,0,
2026.06.14(일) 14:27,2026.06.15(월) 03:30,온리 업!|팰월드|talk,전체,오랜만에 찾아온 인내심 기르기,13,20,13,4261,4,
2026.06.13(토) 06:57,2026.06.13(토) 22:00,발로란트|007 퍼스트 라이트,전체,잠입 호소인,15,22,14,3551,0,
2026.06.11(목) 06:58,2026.06.11(목) 21:30,007 퍼스트 라이트|talk,전체,목요일의 참외몬,14.5,14,11,2928,-2,
2026.06.09(화) 06:57,2026.06.09(화) 19:06,코어 키퍼|발로란트|용과 같이 극3 / 용과 같이3 외전 Dark Ties,성인,[다1] 다이아에 남을거라고 남을거라고 남을거라고 남을거라고,12.1,26,14,3890,6,
2026.06.07(일) 06:57,2026.06.07(일) 20:54,발로란트|용과 같이 극3 / 용과 같이3 외전 Dark Ties,성인,다이아1에 사는 사람,13.9,27,17,4583,7,
2026.06.06(토) 12:08,2026.06.06(토) 15:54,그라운디드 2,전체,[휴뱅] 따악 3시간만,3.8,12,11,1483,-1,
2026.06.05(금) 06:51,2026.06.05(금) 21:00,발로란트|그라운디드 2,전체,현재 다2. 내탓이오 내탓이오 내탓이오,14.1,20,14,5709,0,
2026.06.03(수) 05:48,2026.06.03(수) 19:36,발로란트|그라운디드 2,전체,현재 다2. 내탓이오내탓이오내탓이오,13.8,30,18,4043,4,
2026.06.01(월) 08:52,2026.06.01(월) 23:54,발로란트|그라운디드 2,전체,더 이상은 안된다. 벌레세계에서 시간 녹이는 날.,15,19,14,4512,-1,
2026.05.30(토) 02:23,2026.05.30(토) 16:24,발로란트|그라운디드 2,전체,현재 다2. 우울하지말자?,14,23,15,4312,3,
2026.05.29(금) 06:25,2026.05.29(금) 11:54,그라운디드 2,전체,[휴뱅] 아주아주잠깐 그디2,5.5,13,10,1162,0,
2026.05.28(목) 02:56,2026.05.28(목) 17:06,발로란트|그라운디드 2,전체,현재 다3.,14.2,23,15,4919,2,
2026.05.28(목) 02:51,2026.05.28(목) 02:54,발로란트,전체,현재 다3.,0,1,1,0,0,
2026.05.26(화) 02:59,2026.05.26(화) 17:30,발로란트|그라운디드 2,전체,현재 다2,14.5,23,14,4472,2,
2026.05.24(일) 16:07,2026.05.24(일) 21:12,그라운디드 2,전체,후열 : 벌레공포증 이겨내기 / 그디1 엔딩보고왔음,5.1,17,13,1865,1,
2026.05.23(토) 23:00,2026.05.24(일) 10:12,발로란트|그라운디드 2,전체,아 진짜 다3 가고싶다.,11.2,25,16,2924,7,
2026.05.22(금) 06:15,2026.05.22(금) 19:12,발로란트|서브노티카 2,전체,현재 다2,12.9,20,12,3328,2,
2026.05.21(목) 13:19,2026.05.21(목) 16:12,그라운디드,전체,[휴뱅] 포맷 후 방송 테스트,2.9,15,12,1378,0,
2026.05.20(수) 09:54,2026.05.20(수) 21:12,발로란트|그라운디드,전체,현재 다2 목표 다3ㅠㅅㅠ,11.3,24,16,3306,1,
2026.05.20(수) 06:57,2026.05.20(수) 09:48,발로란트,전체,현재 다2 목표 다3ㅠㅅㅠ,2.8,23,15,494,1,
2026.05.18(월) 06:55,2026.05.19(화) 04:30,발로란트|그라운디드,전체,오늘 목표 다3 승급하기 / 2부 : 그라운디드 사마귀 보스 잡아보기,21.6,23,14,5087,3,
2026.05.17(일) 10:39,2026.05.17(일) 18:24,그라운디드,전체,[휴뱅]에 진엔딩 보러 온 나,7.7,17,12,2932,0,
2026.05.16(토) 05:47,2026.05.16(토) 21:00,발로란트|그라운디드,전체,오늘 목표 : 발로 초1 승급하기 / 그라운디드 엔딩보기,15.2,24,16,4434,-2,
