시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 12:30,LIVE,음악/노래,전체,LIVE,1.5,23,20,526,0,
2026.06.15(월) 06:09,2026.06.15(월) 11:00,메이플스토리,전체,🩵 메이플 설치 24시간도 안된 뉴비 ... 눈뜨자마자 사냥하러와써여,4.8,40,27,1258,4,
2026.06.14(일) 13:59,2026.06.14(일) 19:48,메이플스토리|talk,전체,🩵 메이플 스 - 토 ~리 ~ 메~이플 스토오리 ~~~,5.8,54,33,2439,10,
2026.06.12(금) 04:28,2026.06.12(금) 06:06,음악/노래,전체,🩵 월드컵 후열짧뱅 ㅋ-ㅋ 이겨따 vV,1.6,22,18,336,1,
2026.06.12(금) 01:50,2026.06.12(금) 04:12,2026 FIFA 북중미 월드컵,전체,🩵 월드컵 첫경기 고화질로 같이봐요 !!,2.4,20,15,1067,3,
2026.06.11(목) 14:52,2026.06.11(목) 17:30,talk,전체,🩵 후열후열 후열뱅 =ㅅ=,2.6,25,20,892,1,
2026.06.11(목) 13:17,2026.06.11(목) 14:42,미설정,전체,🩵 헙 오늘 이숙캠 일찍 시작했구나 ㅇㅁㅇ,1.4,16,12,282,0,
2026.06.10(수) 12:30,2026.06.10(수) 23:36,엘든 링|talk,성인,🩵 오느른 영도데이에오 =ㅅ=,11.1,41,27,2699,10,
2026.06.09(화) 17:15,2026.06.09(화) 23:48,음악/노래,전체,🩵 뽀송뽀송해진 으너리 와써여 'ㅅ',6.5,29,22,2438,3,
2026.06.09(화) 13:47,2026.06.09(화) 16:00,음악/노래,전체,"🩵 신의상 풀트뱅 ,, 오늘은 제발제발제발제발제발 안터지게해주세요 ,,,",2.2,30,21,331,2,
2026.06.08(월) 12:32,2026.06.08(월) 22:48,종합 게임|폴리 브릿지|음악/노래|여동생 운전 가르치기,전체,🩵 으나에오 으나 'ㅅ',10.3,43,24,2329,4,
2026.06.07(일) 14:27,2026.06.07(일) 19:48,음악/노래|talk,전체,🩵 나나 신의상 들구 왓눈데 구경해줄사람 ㅎ-ㅎ,5.3,35,22,1074,-1,
2026.06.05(금) 11:49,2026.06.05(금) 16:54,리그 오브 레전드|스타듀 밸리,전체,🩵 갑자기 스타듀하고시퍼서 와따에오,5.1,21,15,664,0,
2026.06.04(목) 15:16,2026.06.04(목) 18:30,음악/노래|talk,전체,🩵 후열 으너리 ON,3.2,19,15,393,0,
2026.06.04(목) 13:23,2026.06.04(목) 15:06,talk,전체,🩵 이혼숙려캠프 가치봐용 'ㅅ',1.7,25,18,595,0,
2026.06.03(수) 14:35,2026.06.03(수) 18:06,리그 오브 레전드|talk,전체,🩵 방송벨튀 미안합미다 ....,3.5,24,18,878,1,
2026.06.03(수) 14:09,2026.06.03(수) 14:18,talk,전체,🩵 언제 터질지 모르는 시한폭탄 풀트뱅(찐막),0.1,15,14,6,0,
2026.06.03(수) 13:41,2026.06.03(수) 13:42,talk,전체,🩵 언제 터질지 모르는 시한폭탄 풀트뱅,0,8,8,0,0,
2026.06.03(수) 12:16,2026.06.03(수) 13:00,talk,전체,🩵 풀트 으너리가 와써이 =ㅅ=,0.7,20,15,211,0,
2026.06.02(화) 12:50,2026.06.02(화) 19:54,엘든 링|talk,성인,🩵 엘든링 법사 뉴비 와따에옹 2,7.1,30,22,994,2,
2026.06.02(화) 07:31,2026.06.02(화) 11:42,엘든 링,전체,🩵 엘든링 법사 뉴비 와따에옹,4.2,29,19,477,2,
2026.06.01(월) 12:30,2026.06.01(월) 17:54,talk,성인,🩵 으나에오 으나 앙녀어어엉,5.4,27,21,1547,1,
2026.05.31(일) 12:30,2026.05.31(일) 18:00,talk,전체,🩵 히히 잘 있었오 ? 보고...................타는 콜롬비아 수도입니다 ㅇ-<,5.5,31,21,5535,0,
2026.05.24(일) 07:10,2026.05.24(일) 10:36,음악/노래,전체,🩵 ㅁ ㅓ 리아 ㅍ ㅓ,3.4,20,16,986,2,
2026.05.23(토) 13:37,2026.05.23(토) 17:36,음악/노래,성인,🩵 아까 신랑 못찾아서 술 마시러 온 으너리 ;ㅅ;,4,19,14,0,0,
2026.05.23(토) 11:25,2026.05.23(토) 12:48,음악/노래,전체,🩵 풀트뱅 하러 왓어오 ㅎㅅㅎ,1.4,18,14,213,0,
2026.05.22(금) 10:03,2026.05.22(금) 17:12,음악/노래|talk,전체,🩵 으나에오 으나,7.1,24,17,1308,0,
2026.05.21(목) 08:01,2026.05.21(목) 14:18,리그 오브 레전드,전체,🩵 코스피 오르는만큼 내 티어도 올랐우면 조케따,6.3,19,13,747,0,
2026.05.20(수) 13:39,2026.05.20(수) 18:30,음악/노래,전체,🩵 얘드라. 앙녕.,4.8,26,19,1135,2,
2026.05.19(화) 09:44,2026.05.19(화) 12:12,음악/노래,전체,🩵 조금 더 놀고시퍼서 급하게 풀트 충전시켜옴 ㅋㅅㅋ,2.5,19,15,310,2,
2026.05.19(화) 06:42,2026.05.19(화) 08:54,음악/노래,전체,🩵 낮 풀트는 처음이라 //-// (ft.풀트영도데이),2.2,20,14,155,0,
2026.05.18(월) 11:00,2026.05.18(월) 17:42,엘든 링,전체,🩵 엘든링 성 탈출하러왓웁니다 𐔌՞. .՞𐦯,6.7,25,16,1448,4,
2026.05.17(일) 14:30,2026.05.17(일) 18:06,음악/노래,전체,🩵 으나에오 으나 𐔌՞. .՞𐦯,3.6,24,19,592,0,
2026.05.15(금) 12:15,2026.05.15(금) 14:48,음악/노래,성인,🩵 풀트뱅 으너리가 와써 𐔌՞. .՞𐦯,2.5,27,20,159,0,
2026.05.14(목) 15:24,2026.05.14(목) 17:00,talk,전체,🩵 후여르 𐔌՞. .՞𐦯,1.6,20,15,463,1,
2026.05.14(목) 13:26,2026.05.14(목) 15:12,talk,전체,🩵 이혼숙려캠프 가치봐용 𐔌՞. .՞𐦯,1.8,18,12,282,1,
2026.05.13(수) 11:30,2026.05.13(수) 17:06,음악/노래|프랫폴|talk,전체,🩵 히히 안뇽 𐔌՞. .՞𐦯,5.6,23,13,648,-1,
2026.05.12(화) 06:00,2026.05.12(화) 12:00,음악/노래,전체,🩵 낮뱅송으너리 와써이 𐔌՞. .՞𐦯,6,63,35,686,1,
2026.05.11(월) 12:30,2026.05.11(월) 17:18,talk,전체,🩵 영도데이가 왓써용용용 𐔌՞. .՞𐦯,4.8,24,16,1144,1,
2026.05.10(일) 14:31,2026.05.10(일) 17:18,음악/노래|talk,전체,🩵 으나으나으ㅡ나으나에오 𐔌՞. .՞𐦯,2.8,20,16,271,0,
2026.05.07(목) 12:31,2026.05.07(목) 19:00,음악/노래|프랫폴|talk,전체,🩵 으나에오 으나 𐔌՞. .՞𐦯,6.5,26,18,1368,1,
2026.05.06(수) 13:00,2026.05.06(수) 18:06,음악/노래|talk,전체,🩵 나 보구시포쏘? 𐔌՞. .՞𐦯,5.1,25,19,753,0,
2026.05.04(월) 17:14,2026.05.04(월) 20:36,음악/노래,전체,🩵 [228시간 노방종] 퇴근준비하쟈 𐔌՞. .՞𐦯,3.4,50,38,620,3,
2026.05.04(월) 07:25,2026.05.04(월) 17:06,종합 게임|음악/노래|프랫폴|talk,전체,🩵 [228시간 노방종] 공쥬 기상완뇨(찡긋) 𐔌՞. .՞𐦯,9.7,28,21,1294,1,
2026.05.03(일) 23:00,2026.05.04(월) 06:54,음악/노래,전체,🩵 [228시간 노방종] PLAYLIST 애니 & 힙합 & 팝송 뭘 좋아할지 몰라서 다 가져왔어 𐔌՞. .՞𐦯,7.9,31,20,51,2,
2026.05.03(일) 07:09,2026.05.03(일) 22:48,음악/노래|매디슨|슬레이 더 스파이어 2|talk,전체,🩵 [228시간 노방종] 생존완료 𐔌՞. .՞𐦯,15.6,42,24,2648,5,
2026.05.02(토) 22:17,2026.05.03(일) 06:54,음악/노래|크라임 씬 클리너,전체,🩵 [228시간 노방종] 힐링? 킬링? 청소게임 𐔌՞. .՞𐦯,8.6,33,20,93,1,
2026.05.02(토) 17:39,2026.05.02(토) 22:06,크라임 씬 클리너|베이비 스텝스|talk,전체,🩵 [228시간 노방종] 새벽이쟈나 𐔌՞. .՞𐦯,4.4,26,19,697,1,
2026.05.02(토) 15:29,2026.05.02(토) 17:24,talk,전체,🩵 [228시간 노방종] 밥먹으면서 같이봐용 𐔌՞. .՞𐦯,1.9,18,16,226,0,
2026.05.02(토) 06:50,2026.05.02(토) 15:24,리그 오브 레전드|음악/노래|talk,전체,🩵 [228시간 노방종] 공쥬기상완 . . . 𐔌՞. .՞𐦯,8.6,26,20,876,1,
2026.05.01(금) 21:49,2026.05.02(토) 06:24,음악/노래,전체,🩵 [228시간 노방종] JPOP 플리 듣고가세용 !-! 𐔌՞. .՞𐦯,8.6,29,19,113,4,
2026.05.01(금) 19:32,2026.05.01(금) 21:42,스타듀 밸리,전체,🩵 [228시간 노방종] 도파민디톡스 스타듀밸리 - 𐔌՞. .՞𐦯,2.2,25,18,381,0,
2026.05.01(금) 16:09,2026.05.01(금) 19:24,음악/노래|스타듀 밸리,전체,🩵 [228시간 노방종] 살아돌아왓읍니다 𐔌՞. .՞𐦯,3.2,24,20,381,1,
2026.05.01(금) 06:14,2026.05.01(금) 15:18,종합 게임|음악/노래|talk,전체,🩵 [205시간 노방종] 공듀님 기상완뇨 𐔌՞. .՞𐦯,9.1,35,23,2352,6,
2026.04.30(목) 21:48,2026.05.01(금) 05:24,talk,전체,🩵 [203시간 노방종] JPOP플리 공장모드 ON with 길냥월 - 𐔌՞. .՞𐦯,7.6,37,24,121,2,
2026.04.30(목) 06:10,2026.04.30(목) 21:42,종합 게임|온리 웨이 이즈 다운|리그 오브 레전드|음악/노래|스타듀 밸리|talk,전체,🩵 [174시간 노방종] 공쥬 기상완뇨 𐔌՞. .՞𐦯,15.5,44,24,2995,1,
2026.04.29(수) 21:43,2026.04.30(목) 05:36,음악/노래,전체,🩵 [174시간 노방종] JPOP 플리 들으면서 코코낸내 - - 𐔌՞. .՞𐦯,7.9,24,15,35,-1,
2026.04.29(수) 09:27,2026.04.29(수) 21:36,종합 게임|스타듀 밸리|PUBG: 배틀그라운드|talk,전체,🩵 [174시간 노방종] 일일 스타듀밸리 출근완뇨. 𐔌՞. .՞𐦯,12.1,36,20,1609,7,
2026.04.29(수) 05:49,2026.04.29(수) 09:12,스타듀 밸리|talk,전체,🩵 [174시간 노방종] 곤듀님 기상완뇨. 밥묵쨔 𐔌՞. .՞𐦯,3.4,20,16,352,-1,
2026.04.28(화) 21:32,2026.04.29(수) 05:30,음악/노래,전체,🩵 [174시간 노방종] JPOP 플리조아해 ?? 𐔌՞. .՞𐦯,8,27,16,157,3,
2026.04.28(화) 05:56,2026.04.28(화) 21:30,엘든 링|음악/노래|스타듀 밸리|talk,전체,🩵 [168시간 노방종] 이뿌니 기상완뇨 𐔌՞. .՞𐦯,15.6,36,22,2267,5,
2026.04.27(월) 21:44,2026.04.28(화) 05:36,음악/노래,전체,🩵 [168시간 노방종] JPOP 플리 듣고가세용 𐔌՞. .՞𐦯 zzZZ,7.9,22,12,80,1,
2026.04.27(월) 13:00,2026.04.27(월) 21:36,음악/노래|트웰브 미닛|talk,전체,🩵 [168시간 노방종] 으나에오 으나 𐔌՞. .՞𐦯,8.6,34,21,1599,1,
2026.04.24(금) 13:02,2026.04.24(금) 17:42,음악/노래|talk,전체,🩵 금요일이야 금요일 'ㅅ' !!,4.7,22,11,655,1,
2026.04.23(목) 13:02,2026.04.23(목) 18:24,음악/노래,전체,🩵 앙녕안ㅇ녕앙녕아아앙녕,5.4,28,17,706,2,
2026.04.22(수) 13:01,2026.04.22(수) 19:48,스타듀 밸리,전체,🩵 햄복스타듀밸리 히히 ㅎㅅㅎ,6.8,29,18,1008,2,
2026.04.21(화) 13:02,2026.04.21(화) 15:06,음악/노래,전체,🩵 풀트뱅 ON,2.1,19,14,264,0,
2026.04.20(월) 13:00,2026.04.20(월) 19:06,음악/노래,전체,🩵 으나에요 으나 ~,6.1,44,22,1216,4,
2026.04.19(일) 14:34,2026.04.19(일) 18:12,음악/노래|talk,전체,🩵 주말 끗 ㅠㅅㅠ,3.6,23,18,701,-1,
2026.04.17(금) 13:00,2026.04.17(금) 19:18,리그 오브 레전드,전체,🩵 협곡을 점령하러왔다.,6.3,22,13,578,0,
2026.04.16(목) 13:45,2026.04.16(목) 14:54,talk,성인,🩵 [600일 기념 600분 노방종 ;ㅅ;] 술묵쟈.,1.1,18,13,0,0,
2026.04.16(목) 07:00,2026.04.16(목) 12:54,음악/노래,전체,🩵 [600일 기념 600분 노방종 ;ㅅ;] 으나에오 으나,5.9,41,24,753,4,
2026.04.15(수) 13:01,2026.04.15(수) 18:36,스타듀 밸리|talk,전체,🩵 수요일이쟈나 'ㅅ',5.6,20,15,959,-2,
