시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 14:55,2026.06.14(일) 17:12,종합 게임|Qwilight,전체,막간,2.3,5,3,2,0,
2026.06.14(일) 07:35,2026.06.14(일) 13:00,고전 게임,전체,일요고전,5.4,38,28,120,1,
2026.06.13(토) 20:18,2026.06.13(토) 22:12,종합 게임|이지투온 리부트: R,전체,술깨기,1.9,4,3,0,0,
2026.06.13(토) 09:24,2026.06.13(토) 15:54,종합 게임|이지투온 리부트: R,전체,1부 : 리듬,6.5,11,5,402,1,
2026.06.12(금) 19:13,2026.06.12(금) 22:30,종합 게임|이지투온 리부트: R,전체,금,3.3,5,3,195,0,
2026.06.07(일) 15:52,2026.06.07(일) 20:06,종합 게임|이지투온 리부트: R,전체,막간,4.2,11,7,197,-1,
2026.06.07(일) 07:16,2026.06.07(일) 12:36,고전 게임,전체,일요고전,5.3,60,32,70,2,
2026.06.06(토) 18:13,2026.06.06(토) 21:42,종합 게임,전체,하고싶은거 하기,3.5,8,6,106,0,
2026.06.06(토) 09:11,2026.06.06(토) 14:42,종합 게임|Qwilight|이지투온 리부트: R,전체,1부 : 리듬,5.5,7,4,101,0,
2026.06.05(금) 19:26,2026.06.05(금) 23:48,종합 게임|이지투온 리부트: R,전체,금요일,4.4,6,4,144,0,
2026.06.03(수) 09:47,2026.06.03(수) 14:54,종합 게임|Qwilight|이지투온 리부트: R,전체,이것저것,5.1,10,6,60,0,
2026.06.02(화) 17:25,2026.06.02(화) 18:36,Qwilight,전체,평일습격,1.2,7,5,80,0,
2026.06.02(화) 16:26,2026.06.02(화) 17:24,이지투온 리부트: R,전체,평일습격,1,6,4,1,0,
2026.05.31(일) 06:37,2026.05.31(일) 11:18,고전 게임,전체,일요고전,4.7,45,29,215,0,
2026.05.30(토) 19:47,2026.05.31(일) 00:12,종합 게임|이지투온 리부트: R,전체,토요일,4.4,6,4,235,0,
2026.05.29(금) 18:32,2026.05.29(금) 21:18,이지투온 리부트: R|디제이맥스 리스펙트 V,전체,금요일,2.8,6,4,118,1,
2026.05.25(월) 11:02,2026.05.25(월) 20:00,고전 게임|종합 게임,전체,잡식게이머,9,21,12,495,0,
2026.05.24(일) 17:48,2026.05.24(일) 20:54,종합 게임|Qwilight|이지투온 리부트: R,전체,일요,3.1,8,4,37,0,
2026.05.24(일) 05:57,2026.05.24(일) 10:30,고전 게임,전체,일요고전,4.5,39,19,110,0,
2026.05.23(토) 17:03,2026.05.23(토) 20:54,종합 게임|이지투온 리부트: R,전체,1부 : 일단리듬 / 2부 : 하고싶은거,3.8,7,4,161,0,
2026.05.23(토) 06:44,2026.05.23(토) 09:18,포르자 호라이즌 6|Qwilight|이지투온 리부트: R,전체,일단리듬,2.6,7,5,20,0,
2026.05.22(금) 18:56,2026.05.22(금) 21:24,종합 게임|이지투온 리부트: R,전체,금요,2.5,10,5,75,0,
2026.05.22(금) 18:52,2026.05.22(금) 18:54,이지투온 리부트: R,전체,금요,0,2,2,0,0,
2026.05.17(일) 06:12,2026.05.17(일) 12:48,고전 게임|포르자 호라이즌 6|이지투온 리부트: R,전체,일요고전,6.6,41,25,148,1,
2026.05.16(토) 17:00,2026.05.16(토) 20:12,포르자 호라이즌 6|Qwilight|이지투온 리부트: R,전체,리듬후운전,3.2,7,4,146,-1,
2026.05.16(토) 07:42,2026.05.16(토) 11:48,포르자 호라이즌 6|이지투온 리부트: R,전체,보초전운,4.1,26,14,403,0,
2026.05.15(금) 21:35,2026.05.15(금) 22:18,종합 게임,전체,보초전운,0.7,4,3,2,0,
2026.05.15(금) 20:42,2026.05.15(금) 20:54,종합 게임,전체,보초전운,0.2,4,4,3,0,
