시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 09:17,LIVE,PUBG: 배틀그라운드,전체,LIVE,4.7,23,18,822,2,
2026.06.15(월) 04:21,2026.06.15(월) 09:12,PUBG: 배틀그라운드|talk,전체,잠안오면 배그 해야지 병원다녀왔슴댜 💛,4.8,22,15,890,1,
2026.06.14(일) 10:56,2026.06.14(일) 16:12,PUBG: 배틀그라운드|talk,전체,ㅇㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ,5.3,25,21,1028,2,
2026.06.13(토) 10:56,2026.06.13(토) 23:54,Grand Theft Auto V|PUBG: 배틀그라운드|talk,성인,다들 행복한 하루 보내셨나용~?💛 뭐해!! 안들어오고!!!!,13,37,27,3236,3,
2026.06.12(금) 10:52,2026.06.12(금) 20:42,Grand Theft Auto V|R.E.P.O.|talk,전체,앙뇽💛,9.8,26,19,1469,1,
2026.06.11(목) 12:47,2026.06.11(목) 13:12,멧챠 카멜레온,전체,색칠숨기중! 나차자 봐라~💛 데헷~💛 !시참 가능💛,0.4,18,13,31,0,
2026.06.11(목) 09:59,2026.06.11(목) 12:42,종합 게임|멧챠 카멜레온,전체,"어솨~ 아침뱅은 처음이지? 배그 ON 𐔌՞･·･՞𐦯💛 ( w. 제이 Y, 태하눌 )",2.7,22,18,191,0,
2026.06.10(수) 23:20,2026.06.11(목) 09:48,종합 게임|PUBG: 배틀그라운드,전체,어솨~ 아침뱅은 처음이지? 𐔌՞･·･՞𐦯💛,10.5,43,29,2518,6,
2026.06.10(수) 10:56,2026.06.10(수) 15:54,리그 오브 레전드|PUBG: 배틀그라운드|talk,전체,달하~ 𐔌՞･·･՞𐦯💛,5,24,20,1072,-3,
2026.06.09(화) 10:58,2026.06.09(화) 18:24,PUBG: 배틀그라운드|R.E.P.O.|talk,전체,아.... 킬......,7.4,27,21,1730,0,
2026.06.08(월) 05:42,2026.06.08(월) 13:30,Grand Theft Auto V,전체,GTA5 처음 영접 이게 모야? 💛 찐뉴비 핥짝 💛,7.8,36,28,2623,8,
2026.06.07(일) 10:59,2026.06.07(일) 17:30,Grand Theft Auto V|talk,성인,뭐하지?💛,6.5,32,22,1547,9,
2026.06.06(토) 09:52,2026.06.06(토) 15:42,PUBG: 배틀그라운드,전체,나는 오늘 배그를한다 💛 다시 열나면 방종할구임,5.8,28,19,930,1,
2026.06.04(목) 10:25,2026.06.04(목) 14:36,R.E.P.O.|talk,전체,다라다라~💛,4.2,29,24,1039,-1,
2026.06.02(화) 10:57,2026.06.02(화) 12:48,talk,전체,6월 벌칙 초 정하기~💛,1.8,17,15,684,0,
