시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 18:59,2026.06.14(일) 23:36,멧챠 카멜레온,전체,르잠이 없다~,4.6,24,17,164,1,
2026.06.13(토) 18:34,2026.06.13(토) 23:30,노움 강도단,전체,안녕하세요 강도입니다,4.9,20,15,274,-1,
2026.06.12(금) 18:58,2026.06.13(토) 01:36,데드 바이 데이라이트|노움 강도단|멧챠 카멜레온,전체,반갑다. 나는 벌레컷이라고 한다.,6.6,27,13,526,2,
2026.06.11(목) 18:57,2026.06.11(목) 23:30,데드 바이 데이라이트|오버워치,전체,솔큐전사 출격,4.5,27,14,406,-1,
2026.06.10(수) 18:59,2026.06.10(수) 23:24,데드 바이 데이라이트,전체,데바데의 고독한 늑대,4.4,26,19,1122,0,
2026.06.09(화) 18:56,2026.06.09(화) 23:12,데드 바이 데이라이트|오버워치,전체,플레 꿈나무,4.3,39,23,814,3,
2026.06.07(일) 18:55,2026.06.07(일) 23:12,데드 바이 데이라이트|오버워치,전체,생존마 꿈나무,4.3,33,22,932,1,
2026.06.06(토) 18:52,2026.06.07(일) 01:36,오버워치,전체,골드 지박령,6.7,12,8,477,0,
2026.06.05(금) 18:54,2026.06.06(토) 04:00,데드 바이 데이라이트|오버워치,전체,솔큐는 지옥이다,9.1,26,12,734,0,
2026.06.04(목) 18:55,2026.06.04(목) 23:12,오버워치,전체,골드남자,4.3,27,18,438,1,
2026.06.03(수) 18:55,2026.06.03(수) 23:06,데드 바이 데이라이트,전체,발전기좀 돌려줘,4.2,25,18,682,0,
2026.06.02(화) 18:51,2026.06.02(화) 23:12,오버워치,전체,"유연한 남탓, 정지된 사고",4.3,22,12,454,1,
2026.05.31(일) 18:38,2026.06.01(월) 00:36,오버워치,전체,실버는 안된다,6,22,14,458,0,
2026.05.30(토) 18:56,2026.05.30(토) 23:06,데드 바이 데이라이트,전체,어그로가 뭔가요? 먹는 건가요?,4.2,29,20,888,0,
2026.05.29(금) 18:58,2026.05.29(금) 23:54,오버워치,전체,실버가기싫어실버가기싫어실버가기싫어실버가기싫어실버가기싫어실버가기싫어실버가기싫어실버가기싫어실버가기싫어실버가기싫어실버가기싫어실버가기싫어실버가기싫어실버가기싫어실버가기싫어실버가기싫어,4.9,22,15,433,1,
2026.05.28(목) 18:57,2026.05.28(목) 23:12,데드 바이 데이라이트|오버워치,전체,골딱이의 데바데,4.2,32,17,482,-2,
2026.05.27(수) 18:52,2026.05.27(수) 23:12,오버워치,전체,골딱이 인생,4.3,17,13,995,1,
2026.05.26(화) 17:22,2026.05.26(화) 23:18,데드 바이 데이라이트|슬레이 더 스파이어 2,전체,생각하지 않는 생존자,5.9,37,17,870,1,
2026.05.23(토) 18:36,2026.05.23(토) 23:54,오버워치,전체,유연한 남탓,5.3,16,12,333,0,
2026.05.22(금) 18:57,2026.05.22(금) 23:06,데드 바이 데이라이트|오버워치,전체,트롤 아닙니다 그냥 못하는 겁니다,4.1,26,16,646,0,
2026.05.21(목) 18:57,2026.05.21(목) 23:18,데드 바이 데이라이트|오버워치,전체,데부데,4.3,22,15,911,0,
2026.05.20(수) 18:59,2026.05.20(수) 23:12,데드 바이 데이라이트|오버워치,전체,발전기 돌리다가 죽는 게임,4.2,21,13,560,0,
2026.05.19(화) 18:54,2026.05.19(화) 23:06,오버워치,전체,나보다 약한 녀석은 훈수 금지랄까?,4.2,19,14,445,1,
2026.05.17(일) 18:46,2026.05.17(일) 23:12,데드 바이 데이라이트,전체,데바데 빨랭 유저이자 오버워치 골드 오우너 랄까?,4.4,25,19,940,1,
2026.05.16(토) 18:50,2026.05.16(토) 23:06,데드 바이 데이라이트|오버워치,전체,"꽉막힌 사고, 유연한 남탓",4.3,22,14,772,0,
2026.05.15(금) 18:57,2026.05.15(금) 23:06,데드 바이 데이라이트|오버워치,전체,데부데,4.1,19,12,506,0,
