시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.13(토) 12:58,2026.06.13(토) 17:48,미설정|워크래프트 3: 리포지드|talk,전체,원랜디 생존기,4.8,15,11,1066,1,
2026.06.12(금) 10:37,2026.06.12(금) 17:54,미설정|전략적 팀 전투 : 우주의 신들|메이플스토리|talk,전체,한화생명 대전 가즈아 ㅣ HLE vs T1,7.3,16,10,2626,0,
2026.05.31(일) 06:00,2026.05.31(일) 09:24,워크래프트 3: 리포지드|talk,전체,안녕하세요,3.4,15,10,556,0,
2026.05.30(토) 07:01,2026.05.30(토) 09:42,전략적 팀 전투 : 우주의 신들|메이플스토리,전체,280 스트라이커의 삶,2.7,12,8,587,0,
2026.05.29(금) 06:12,2026.05.29(금) 08:24,전략적 팀 전투 : 우주의 신들,전체,골드의 삶,2.2,9,6,478,0,
2026.05.26(화) 10:29,2026.05.26(화) 14:42,전략적 팀 전투 : 우주의 신들|워크래프트 3: 리포지드,전체,원랜디 신맵 탐방,4.2,12,9,820,-1,
2026.05.25(월) 10:49,2026.05.25(월) 13:54,리그 오브 레전드|메이플스토리,전체,안녕하세요,3.1,17,11,1028,0,
2026.05.22(금) 10:46,2026.05.22(금) 21:42,메이플스토리|워크래프트 3: 리포지드,성인,원랜디 신맵 탐방,10.9,15,10,2281,2,
2026.05.17(일) 05:01,2026.05.17(일) 10:24,메이플스토리,전체,스트라이커의 삶,5.4,22,14,1386,2,
2026.05.15(금) 09:59,2026.05.15(금) 13:42,전략적 팀 전투 : 우주의 신들|talk,전체,한화생명 11연승 축하해,3.7,11,9,1323,0,
2026.05.13(수) 09:59,2026.05.13(수) 12:12,워크래프트 3: 리포지드,전체,원랜디 뉴비 생존기,2.2,16,9,361,2,
2026.05.10(일) 13:11,2026.05.10(일) 18:00,미설정|종합 게임|전략적 팀 전투 : 우주의 신들|메이플스토리|워크래프트 3: 리포지드,전체,생각해보니 썬데이메이플,4.8,13,9,1306,0,
2026.05.08(금) 13:50,2026.05.08(금) 17:18,종합 게임,전체,오늘은 진짜 사천왕잡는다,3.5,14,8,805,0,
2026.05.06(수) 13:03,2026.05.06(수) 17:00,워크래프트 3: 리포지드,전체,원랜디 알아보기,3.9,12,9,740,0,
2026.05.04(월) 09:54,2026.05.04(월) 13:48,리그 오브 레전드,전체,ewc 예선 KRX vs DNS - KT vs BFX - T1 vs BRO,3.9,11,7,788,0,
2026.05.02(토) 09:17,2026.05.02(토) 11:48,종합 게임,전체,식당에서 알바하는 법,2.5,10,7,250,0,
2026.04.30(목) 15:51,2026.04.30(목) 21:00,메이플스토리|워크래프트 3: 리포지드,전체,원랜디 생존철학,5.1,16,10,1429,1,
2026.04.29(수) 08:33,2026.04.29(수) 11:54,메이플스토리,전체,메린이의 생존철학 1. 사냥을 해라 2. 사냥을 해라 3. 사냥을 해라 4. 자석펫을 뽑아라,3.3,16,10,378,2,
2026.04.23(목) 09:30,2026.04.23(목) 13:54,종합 게임|워크래프트 3: 리포지드,전체,포켓몬스터 파이어레드 사처낭,4.4,12,8,632,0,
2026.04.19(일) 06:15,2026.04.19(일) 07:42,전략적 팀 전투 : 우주의 신들,전체,롤체새시즌찍먹,1.4,6,3,211,0,
2026.04.16(목) 05:47,2026.04.16(목) 11:36,종합 게임|talk,전체,롯리 eㅣ진다돈가스 맛평가,5.8,12,9,820,1,
2026.04.15(수) 17:21,2026.04.15(수) 19:42,워크래프트 3: 리포지드,전체,원랜디 공방,2.3,15,11,360,0,
2026.04.09(목) 04:35,2026.04.09(목) 08:00,포켓몬스터 파이어레드,전체,포켓몬스터 파이어레드,3.4,11,6,234,0,
2026.04.08(수) 07:14,2026.04.08(수) 12:24,워크래프트 3: 리포지드,전체,원랜디 알아보za,5.2,14,9,551,1,
2026.04.02(목) 01:22,2026.04.02(목) 04:24,워크래프트 3: 리포지드,전체,원랜디 알아보za,3,16,10,363,2,
2026.03.26(목) 08:27,2026.03.26(목) 10:18,슈퍼 마리오 메이커 2,전체,졸려서 조금만 슈마메,1.8,12,9,219,0,
2026.03.25(수) 00:50,2026.03.25(수) 04:42,종합 게임,전체,"""박도현"" “VIPER” 그는 누구인가. 한화생명의 정신적 고향인 대전광역시에서 태어난, 지금은 blg 바텀 라이너로 활약하며, 원딜 포지션의 정석이자 교과서, 아니 그 자체를",3.9,12,8,371,0,
2026.03.20(금) 10:28,2026.03.20(금) 11:12,워크래프트 3: 리포지드,전체,원랜디 딱 한판 비영연구소,0.7,10,7,127,0,
2026.03.19(목) 04:37,2026.03.19(목) 08:54,워크래프트 3: 리포지드,전체,원랜디 연습하기,4.3,14,10,702,0,
2026.03.11(수) 20:52,2026.03.12(목) 01:36,마인크래프트,전체,마크 뉴비 야생생존기,4.7,26,10,534,2,
2026.03.10(화) 10:06,2026.03.10(화) 15:12,미설정|전략적 팀 전투: 신화와 전설|talk,전체,슬픈 사연이에요,5.1,13,9,1424,1,
2026.03.05(목) 15:52,2026.03.05(목) 20:00,전략적 팀 전투: 신화와 전설|talk,전체,롤체 탈출기,4.1,14,10,2351,4,
2026.03.05(목) 12:34,2026.03.05(목) 15:48,종합 게임|전략적 팀 전투: 신화와 전설,전체,원랜디 탈출기,3.2,11,8,793,0,
2026.03.04(수) 09:12,2026.03.04(수) 12:18,종합 게임,전체,포알못 포켓몬스터 파이어레드 일판,3.1,11,8,578,1,
2026.03.01(일) 13:36,2026.03.01(일) 21:18,종합 게임,전체,포켓몬스터 파이어레드 일판,7.7,26,15,1146,1,
2026.02.27(금) 13:49,2026.02.27(금) 21:12,종합 게임|포켓몬스터 파이어레드|talk,전체,포켓몬 프레젠트 보고 파이어레드,7.4,24,15,1256,4,
2026.02.24(화) 20:22,2026.02.24(화) 22:36,전략적 팀 전투: 신화와 전설,전체,플레 1 등반기,2.2,14,7,414,3,
2026.02.23(월) 16:51,2026.02.23(월) 19:42,포켓몬 레전드 Z-A,전체,포켓몬스터 za 스토리,2.8,12,10,551,2,
2026.02.22(일) 20:04,2026.02.22(일) 22:18,포켓몬 레전드 Z-A,전체,포켓몬스터 za 스토리,2.2,9,7,255,0,
2026.02.20(금) 15:41,2026.02.20(금) 19:18,포켓몬 레전드 Z-A,전체,포켓몬스터 za 스토리,3.6,17,10,664,2,
2026.02.16(월) 12:01,2026.02.16(월) 14:06,모여봐요 동물의 숲,전체,동물의 숲에서 살아남기,2.1,15,10,235,0,
2026.02.15(일) 07:54,2026.02.15(일) 09:54,미설정|모여봐요 동물의 숲,전체,동물의 숲에서 살아남기,2,11,7,124,0,
2026.02.14(토) 10:43,2026.02.14(토) 14:12,미설정|워크래프트 3: 리포지드,전체,원랜디 초보,3.5,13,10,502,-1,
2026.02.07(토) 09:55,2026.02.07(토) 12:30,워크래프트 3: 리포지드,전체,원랜디 리포지드,2.6,12,9,723,0,
2026.02.05(목) 08:58,2026.02.05(목) 12:24,미설정|종합 게임|talk,전체,안녕하세요,3.4,12,8,1336,0,
2026.02.02(월) 10:59,2026.02.02(월) 13:06,전략적 팀 전투: 신화와 전설,전체,롤체고수만,2.1,13,9,581,0,
2026.02.01(일) 08:05,2026.02.01(일) 12:48,리그 오브 레전드|워크래프트 3: 리포지드,전체,GEN vs HLE,4.7,12,9,1551,0,
2026.01.26(월) 11:09,2026.01.26(월) 16:48,리그 오브 레전드|워크래프트 3: 리포지드,전체,BLG 짜요,5.6,15,11,1378,1,
2026.01.24(토) 06:00,2026.01.24(토) 13:00,전략적 팀 전투: 신화와 전설|워크래프트 3: 리포지드,전체,롤체고수만,7,17,12,2396,3,
2026.01.23(금) 10:41,2026.01.23(금) 15:18,미설정|종합 게임|리그 오브 레전드|마인크래프트,전체,반갑습니다,4.6,21,12,1187,-1,
2026.01.22(목) 11:56,2026.01.22(목) 15:06,워크래프트 3: 리포지드,전체,원랜디 뉴비만,3.2,17,12,464,2,
2026.01.22(목) 08:36,2026.01.22(목) 11:24,전략적 팀 전투: 신화와 전설,전체,롤체고수만,2.8,15,10,969,0,
2026.01.21(수) 01:29,2026.01.21(수) 14:18,종합 게임,전체,고전 명작 파이널판타지 1 생존기,12.8,17,12,4493,3,
2026.01.20(화) 13:51,2026.01.20(화) 17:54,이터널 리턴|슈퍼 마리오 메이커 2|talk,전체,슈마메 화 안내기 1일차,4,15,11,2273,0,
2026.01.16(금) 05:19,2026.01.16(금) 09:42,전략적 팀 전투: 신화와 전설|슈퍼 마리오 메이커 2|워크래프트 3: 리포지드,전체,슈마메뉴비만,4.4,19,13,1544,1,
2026.01.15(목) 19:07,2026.01.16(금) 01:06,전략적 팀 전투: 신화와 전설,전체,롤체고수만,6,23,9,1537,2,
2026.01.15(목) 04:19,2026.01.15(목) 09:24,전략적 팀 전투: 신화와 전설,전체,롤체고수만,5.1,17,13,2647,0,
2026.01.13(화) 10:31,2026.01.13(화) 14:12,전략적 팀 전투: 신화와 전설,전체,롤체고수만,3.7,11,8,1323,0,
2026.01.12(월) 02:42,2026.01.12(월) 03:54,전략적 팀 전투: 신화와 전설,전체,롤체고수만,1.2,8,4,225,0,
2026.01.11(일) 13:41,2026.01.11(일) 16:24,전략적 팀 전투: 신화와 전설,전체,롤체고수만,2.7,15,11,1468,0,
2026.01.10(토) 13:20,2026.01.10(토) 15:00,워크래프트 3: 리포지드,전체,원랜디 신맵 탐방,1.7,13,11,499,0,
2026.01.10(토) 11:59,2026.01.10(토) 13:12,워크래프트 3: 리포지드|talk,전체,잠많이잔사람,1.2,11,7,195,0,
2026.01.09(금) 07:12,2026.01.09(금) 14:12,미설정|리그 오브 레전드|전략적 팀 전투: 신화와 전설|talk,전체,안녕하세요,7,19,9,2609,2,
2026.01.07(수) 18:43,2026.01.08(목) 00:18,종합 게임,전체,스테퍼케이스: 초능력 추리게임,5.6,17,7,832,0,
2026.01.06(화) 13:28,2026.01.06(화) 16:48,종합 게임,전체,스테퍼케이스: 초능력 추리게임,3.3,17,9,1046,0,
2026.01.05(월) 11:58,2026.01.05(월) 14:36,미설정|종합 게임,전체,스테퍼케이스: 초능력 추리게임,2.6,12,9,872,-1,
2026.01.03(토) 16:02,2026.01.03(토) 21:54,미설정|워크래프트 3: 리포지드,전체,원랜디 신맵 탐방,5.9,16,11,2290,-1,
2026.01.01(목) 23:01,2026.01.02(금) 06:24,미설정|종합 게임|talk,전체,안녕하세요,7.4,13,9,1586,-1,
2026.12.30(화) 08:56,2026.12.30(화) 13:48,미설정|종합 게임|talk,전체,안녕하세요,4.9,15,10,1696,0,
2026.12.26(금) 08:56,2026.12.26(금) 15:48,미설정|마인크래프트|워크래프트 3: 리포지드|talk,전체,원랜디 리포지드,6.9,20,12,2204,0,
2026.12.24(수) 15:32,2026.12.24(수) 17:06,워크래프트 3: 리포지드,전체,원랜디 리포지드,1.6,11,9,372,0,
2026.12.22(월) 09:01,2026.12.22(월) 12:12,종합 게임,전체,추리게임: 오브라 딘 호의 귀환,3.2,12,9,719,0,
2026.12.22(월) 05:30,2026.12.22(월) 08:00,워크래프트 3: 리포지드,전체,원랜디 리포지드,2.5,13,10,420,1,
