시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 11:20,2026.06.15(월) 21:42,멧챠 카멜레온|명조:워더링 웨이브|talk,전체,[V] 첫 직관을 티젠전 갔는데 5꽉에 승리요정까지 하고 온 나! ʕ´•ᴥ•`ʔσ”♡,10.4,27,16,868,5,
2026.06.15(월) 09:02,2026.06.15(월) 11:06,talk,전체,[V] 첫 직관을 티젠전 갔는데 5꽉에 승리요정까지 하고 온 나! ʕ´•ᴥ•`ʔσ”♡,2.1,18,11,147,-1,
2026.06.13(토) 10:34,2026.06.13(토) 21:42,마인크래프트|PUBG: 배틀그라운드|talk,전체,[V] 다이아 캐려고 와따 ʕ´•ᴥ•`ʔσ”♡,11.1,23,15,766,1,
2026.06.13(토) 09:54,2026.06.13(토) 10:30,마인크래프트,전체,[V] 다이아 캐려고 와따 ʕ´•ᴥ•`ʔσ”♡,0.6,6,4,18,0,
2026.06.11(목) 23:59,2026.06.12(금) 07:24,마인크래프트|talk,전체,[V] ʕ´•ᴥ•`ʔσ”♡,7.4,28,14,340,7,
2026.06.11(목) 09:59,2026.06.11(목) 17:54,점프 킹|talk,전체,[V] 방송을 키려는데 송출컴이 아파하고 송출컴이 괜찮아지니 코피팡 터저셔 늦어진 방송 ʕ´•ᴥ•`ʔσ”♡,7.9,27,16,1034,5,
2026.06.10(수) 09:00,2026.06.10(수) 19:06,로스트아크|talk,전체,[V] 오늘은 즐거운 수요일~ ʕ´•ᴥ•`ʔσ”♡,10.1,25,15,1044,0,
2026.06.09(화) 19:01,2026.06.09(화) 21:36,미설정,성인,[V] 황해 같이보기! 김 먹방 레츠꼬! ʕ´•ᴥ•`ʔσ”♡,2.6,24,19,0,0,
2026.06.09(화) 09:00,2026.06.09(화) 18:48,PUBG: 배틀그라운드|talk,전체,[V] ʕ´•ᴥ•`ʔσ”♡,9.8,20,12,1111,-1,
2026.06.08(월) 19:05,2026.06.08(월) 23:18,talk,전체,[V] 사이버펑크 따로 같이보기 (각자 넷플릭스로 시청하기) ʕ´•ᴥ•`ʔσ”♡,4.2,19,15,464,0,
2026.06.08(월) 13:00,2026.06.08(월) 19:00,명조:워더링 웨이브|talk,전체,[V] 사펑 한번도 안본 뇌로 명조 콜라보 즐기기 ʕ´•ᴥ•`ʔσ”♡,6,15,10,417,0,
2026.06.06(토) 18:30,2026.06.06(토) 22:36,캡처드 2|talk,전체,[V] 드디어 그날이 왔습니다..7시 곰보겜 ʕ´•ᴥ•`ʔσ”♡,4.1,28,22,1078,0,
2026.06.06(토) 10:00,2026.06.06(토) 16:06,PUBG: 배틀그라운드|talk,전체,[V] 드디어 그날이 왔습니다..7시 곰보겜 ʕ´•ᴥ•`ʔσ”♡,6.1,26,19,791,1,
2026.06.04(목) 09:01,2026.06.04(목) 20:36,이터널 리턴|프래그마타|talk,전체,[V] ʕ´•ᴥ•`ʔσ”♡,11.6,22,13,1090,3,
2026.06.03(수) 09:01,2026.06.03(수) 19:24,이환|이터널 리턴|로스트아크|talk,전체,[V] ʕ´•ᴥ•`ʔσ”♡,10.4,34,24,867,-2,
2026.06.02(화) 08:59,2026.06.02(화) 21:06,이환|메이플스토리 월드|슬레이 더 스파이어 2|talk,전체,[V] ʕ´•ᴥ•`ʔσ”♡,12.1,26,15,1278,0,
2026.06.01(월) 16:37,2026.06.01(월) 19:42,메이플스토리 월드|talk,전체,[V] ʕ´•ᴥ•`ʔσ”♡,3.1,19,12,376,-1,
2026.06.01(월) 09:01,2026.06.01(월) 10:42,talk,전체,[V] ʕ´•ᴥ•`ʔσ”♡,1.7,11,7,133,1,
2026.05.31(일) 12:00,2026.05.31(일) 18:54,리그 오브 레전드|R.E.P.O.|talk,전체,[V] 오늘 꽃동부 레포하는날! ʕ´•ᴥ•`ʔσ”♡,6.9,28,19,401,5,
2026.05.30(토) 16:18,2026.05.30(토) 21:18,리그 오브 레전드|오버워치|talk,전체,[V] 그날이왔다.. ʕ´•ᴥ•`ʔσ”♡,5,33,20,659,0,
2026.05.30(토) 12:59,2026.05.30(토) 16:12,talk,전체,[V] 그날이왔다.. ʕ´•ᴥ•`ʔσ”♡,3.2,25,18,752,0,
2026.05.29(금) 09:06,2026.05.29(금) 21:54,마인크래프트|talk,전체,[V] 안녕하세요! 생일인데 축하 한마디 해주세요! ʕ´•ᴥ•`ʔσ”♡,12.8,35,20,2115,-1,
2026.05.28(목) 09:00,2026.05.28(목) 21:48,리그 오브 레전드|마인크래프트|talk,전체,[V[룰렛오픈] ʕ´•ᴥ•`ʔσ”♡,12.8,24,13,1488,0,
2026.05.27(수) 09:00,2026.05.27(수) 17:54,마인크래프트|talk,전체,[V[룰렛오픈] 눅눅하고 찝찝한데 꼬써라랑 놀자!! ʕ´•ᴥ•`ʔσ”♡,8.9,24,15,923,-1,
