시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 12:29,LIVE,스타크래프트 : 리마스터,전체,LIVE,1.7,49,35,1274,1,
2026.06.14(일) 12:17,2026.06.14(일) 15:36,스타크래프트 : 리마스터,전체,[신입] 스타 왕초보 (컴퓨터2판이김),3.3,34,26,1510,6,
2026.06.14(일) 12:01,2026.06.14(일) 12:12,talk,전체,[신입] 다음주 대박 소식,0.2,7,7,17,0,
2026.06.13(토) 13:55,2026.06.13(토) 17:54,스타크래프트 : 리마스터|talk,전체,[신입] 휴방인데 방송 몰래하기,4,21,14,2081,4,
2026.06.11(목) 12:47,2026.06.11(목) 15:42,승리의 여신: 니케|talk,전체,[신입] 오케이 치파오 반캠할게요 (바삭팝콘 공약 성공),2.9,26,19,813,-1,
2026.06.10(수) 12:36,2026.06.10(수) 15:24,종합 게임|talk,성인,[신입] 공겜데이..ㄷㄷ,2.8,25,19,988,1,
2026.06.09(화) 12:29,2026.06.09(화) 15:24,음악/노래|talk,전체,[신입] 내 고민좀 들어줄래..?,2.9,27,21,1678,3,
2026.06.08(월) 11:47,2026.06.08(월) 15:48,명조:워더링 웨이브|메이플스토리 월드|talk,전체,[신입] 오늘 하루는 어땠어?,4,35,21,2278,1,
2026.06.07(일) 12:03,2026.06.07(일) 15:12,명조:워더링 웨이브,전체,[신입] 처음해보는 명조 ㄷㄷ 이거 용량 왤케 끔..?,3.1,36,25,916,5,
2026.06.07(일) 10:39,2026.06.07(일) 11:54,명조:워더링 웨이브,전체,[신입] 처음해보는 명조 ㄷㄷ 이거 용량 왤케 끔..?,1.2,19,13,153,2,
2026.06.06(토) 14:15,2026.06.06(토) 17:06,메이플스토리 월드,전체,[신입] 자쿰퀘 할사람..?,2.8,35,26,619,1,
2026.06.06(토) 13:01,2026.06.06(토) 14:06,메이플스토리 월드,전체,[신입] 아니 내피씨가!!!!!!!!!!!!!!,1.1,21,18,265,1,
2026.06.06(토) 12:31,2026.06.06(토) 12:54,메이플스토리 월드|talk,전체,[신입] 좋은거 소개해줄게!,0.4,15,13,98,0,
2026.06.05(금) 12:27,2026.06.05(금) 17:30,종합 게임|talk,전체,[신입] 좋은거 들고왔어..💕,5,41,26,1904,-2,
2026.06.05(금) 02:40,2026.06.05(금) 05:54,메이플스토리 월드,전체,[신입] 메이플 데이트하자! 💕,3.2,19,13,870,1,
2026.06.04(목) 12:47,2026.06.04(목) 17:36,영화,성인,[신입] 나랑 영화관 데이트할래..?💕,4.8,113,60,1384,22,
2026.06.03(수) 13:52,2026.06.03(수) 16:24,talk,전체,[데뷔] 오리지널 라투디 공개!💕유입설명회 (젊탱버 등장),2.5,49,35,2511,7,
2026.05.28(목) 12:40,2026.05.28(목) 14:36,talk,전체,빙하기전 마지막 방송 .. 기다려줄꺼지?,1.9,27,21,1366,0,
2026.05.27(수) 12:53,2026.05.27(수) 15:48,메이플스토리 월드|talk,전체,10시 데뷔PV 공개 💕,2.9,33,27,1831,0,
2026.05.26(화) 12:15,2026.05.26(화) 16:00,메이플스토리 월드,전체,내일은 데뷔PV 공개날 (메이플),3.7,32,23,1233,2,
2026.05.25(월) 12:01,2026.05.25(월) 15:18,메이플스토리 월드,전체,알까기의 신 (메이플),3.3,40,28,1273,2,
2026.05.25(월) 05:57,2026.05.25(월) 08:30,메이플스토리 월드,전체,인방나로 사냥하러왔따 (메이플),2.5,25,17,676,0,
2026.05.24(일) 11:52,2026.05.24(일) 18:00,악의|종합 게임|메이플스토리 월드,전체,비상 공포게임의날!!!!!!!,6.1,39,27,1814,4,
2026.05.23(토) 14:25,2026.05.23(토) 16:48,승리의 여신: 니케|메이플스토리 월드,전체,인방법사 나가신다💕,2.4,37,22,790,0,
2026.05.21(목) 12:16,2026.05.21(목) 15:48,메이플스토리 월드,전체,빨리 와줄래..? (메이플플래닛),3.5,33,25,1316,-3,
2026.05.19(화) 12:40,2026.05.19(화) 14:54,메이플스토리 월드,전체,네! 제가 바로 일비 15분만에 먹은 1등입니다! (메이플 드롭스),2.2,36,23,551,0,
2026.05.18(월) 10:16,2026.05.18(월) 13:06,메이플스토리 월드,전체,N커넥트 일비 캐기전까지 노방종 (메이플플래닛),2.8,91,58,2281,30,
2026.05.17(일) 11:21,2026.05.17(일) 15:42,메이플스토리 월드,성인,날씨가 너무 추워서 전기장판을 틀었져,4.3,34,24,1017,2,
2026.05.15(금) 11:54,2026.05.15(금) 17:30,메이플스토리 월드,성인,플위3차까지 (메이플플래닛),5.6,30,21,1193,2,
2026.05.14(목) 12:21,2026.05.14(목) 15:48,메이플스토리 월드|talk,전체,잠깐 스포일러 ㅇ.< (6월3일 라투디 데뷔),3.4,39,27,975,2,
2026.05.12(화) 12:30,2026.05.12(화) 15:42,메이플스토리 월드,성인,안녕하세요 이 방송이 그렇게 핫하다구요?,3.2,31,22,1320,3,
2026.05.11(월) 12:08,2026.05.11(월) 16:06,메이플스토리 월드,성인,일단 무기를 만들어? (6월3일 라투디 데뷔),4,43,25,1645,1,
2026.05.11(월) 03:54,2026.05.11(월) 08:30,메이플스토리 월드,전체,비숍의 일기 (6월3일 라투디 데뷔),4.6,34,22,1630,-1,
2026.05.10(일) 10:19,2026.05.10(일) 18:24,메이플스토리 월드,전체,인방법사 4차하는 날 (메이플 플래닛),8.1,35,24,3022,2,
