시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.12(금) 09:00,2026.06.12(금) 17:24,talk,전체,같이 밥 먹어요,8.4,28,21,3402,-1,
2026.06.11(목) 09:00,2026.06.11(목) 15:54,리그 오브 레전드|talk,전체,안녕하세요 드디어 [1부 저챗 2부 롤],6.9,28,21,2651,1,
2026.06.10(수) 09:00,2026.06.10(수) 16:54,사니양 연구실|talk,전체,안녕하세요 [1부 저챗 2부 사니양 연구실],7.9,24,19,2794,1,
2026.06.09(화) 09:00,2026.06.09(화) 15:48,사니양 연구실|talk,전체,안녕하세요 [1부 저챗 2부 사니양연구실],6.8,27,22,1971,0,
2026.06.08(월) 09:00,2026.06.08(월) 15:12,talk,전체,안녕하세요 ㅎㅎ;;;,6.2,37,30,3189,0,
2026.06.05(금) 11:00,2026.06.05(금) 16:00,사니양 연구실|talk,전체,안녕하세요 좋은 저녁 [1부 저챗 2부 사니양연구실?],5,23,18,1409,0,
2026.06.04(목) 08:59,2026.06.04(목) 17:06,사니양 연구실|talk,전체,안녕하세요 오늘 할 게임은... [더보기],8.1,29,22,3574,1,
2026.06.03(수) 10:59,2026.06.03(수) 16:18,talk,전체,방송 2주년 신의상 및 굿즈 공개합니다 (버거63개뿌림),5.3,65,55,6598,19,
2026.06.02(화) 08:59,2026.06.02(화) 15:30,talk,전체,여기가 버거 63개 뿌리는 곳인가요 네,6.5,28,19,2328,7,
2026.05.30(토) 11:00,2026.05.30(토) 15:48,talk,전체,안녕하세용~~~ 좋은 주말ㅎㅎ,4.8,20,14,1554,1,
2026.05.29(금) 08:59,2026.05.29(금) 17:06,활협전|talk,전체,미역국 먹어요 [1부 저챗 2부 활협전],8.1,33,23,3230,3,
2026.05.28(목) 08:59,2026.05.28(목) 16:18,활협전|talk,전체,반갑습니다 [1부 저챗 2부 활협전],7.3,31,22,2000,3,
2026.05.26(화) 09:00,2026.05.26(화) 15:30,활협전|talk,전체,안녕하세요 [1부 저챗 2부 사랑의 활협전],6.5,33,25,1571,3,
2026.05.25(월) 08:59,2026.05.25(월) 16:36,활협전|talk,전체,"그건 그냥 붠버니가 아니었어, 사악한... 붠버니였어. 😱😱😱 [1부 저챗 2부 활협전]",7.6,33,24,2696,2,
2026.05.22(금) 09:00,2026.05.22(금) 15:42,활협전|talk,전체,반갑습니다 [1부 저챗 2부 활협전 (끝나고 후열저챗)],6.7,20,15,1461,1,
2026.05.21(목) 09:00,2026.05.21(목) 15:12,활협전|talk,전체,반갑습니다 [1부 저챗 2부 활협전],6.2,25,19,1756,1,
2026.05.20(수) 09:01,2026.05.20(수) 15:36,활협전|talk,전체,반갑 [1부 저챗 2부 활협전],6.6,27,22,2177,2,
2026.05.19(화) 10:18,2026.05.19(화) 15:24,활협전,전체,활협전처음이에요무협전혀몰라요삼국지도안봤어요살려주세요,5.1,28,21,1289,2,
2026.05.19(화) 08:59,2026.05.19(화) 10:12,talk,전체,안녕하세용가리 [1부 저챗 2부 활협전],1.2,17,13,298,1,
2026.05.18(월) 08:59,2026.05.18(월) 15:54,활협전|talk,전체,반갑습니다 [1부 저챗 2부 활협전],6.9,25,18,2340,2,
2026.05.16(토) 11:01,2026.05.16(토) 17:30,애니메이션|talk,전체,파워 디지몬 같이보기 38화부터 (파워디지몬 처음봄),6.5,51,25,2010,-1,
2026.05.16(토) 08:59,2026.05.16(토) 10:54,talk,전체,주말은 어떻게 보내는 편인가요? [1부 저챗 2부 파워 디지몬 같이보기],1.9,17,13,642,1,
2026.05.15(금) 09:00,2026.05.15(금) 15:30,애니메이션|talk,전체,반갑습니다 [1부 저챗 2부 파워 디지몬 같이보기],6.5,48,29,1564,5,
2026.05.14(목) 10:25,2026.05.14(목) 17:42,애니메이션,전체,파워 디지몬 같이보기 1화부터 (파워디지몬 처음봄),7.3,64,31,1969,11,
2026.05.14(목) 09:00,2026.05.14(목) 10:18,talk,전체,깡총아 진화시켜줭 ㅋㅋ ദ്ദി(•̀ ᗜ <) [1부 저챗 2부 파워 디지몬 같이보기],1.3,18,14,359,0,
2026.05.13(수) 09:00,2026.05.13(수) 17:00,종합 게임|talk,전체,도황 진짜 개간지네...,8,19,14,1416,-3,
2026.05.12(화) 09:00,2026.05.12(화) 16:00,종합 게임|talk,전체,안녕하세용 [1부 저챗 2부 딸키우기],7,20,15,1632,0,
2026.05.11(월) 09:00,2026.05.11(월) 13:42,talk,전체,안녕하세요,4.7,22,19,1896,0,
2026.05.08(금) 09:00,2026.05.08(금) 15:06,종합 게임|talk,전체,어버이날이래요 [1부 저챗 2부 딸키우기],6.1,16,12,1152,2,
2026.05.07(목) 09:00,2026.05.07(목) 15:54,화산의 딸|talk,전체,오버워치땡긴당ㅋㅋ [1부 저챗 2부 딸키우기],6.9,18,14,1623,-1,
2026.05.06(수) 09:00,2026.05.06(수) 15:12,화산의 딸|talk,전체,쥬스에 물타기 [1부 저챗 2부 화산의 딸],6.2,18,14,1357,0,
2026.05.05(화) 09:00,2026.05.05(화) 15:18,화산의 딸|talk,전체,안녕하세요 [1부 저챗 2부 화산의 딸],6.3,20,15,1886,0,
2026.05.03(일) 11:00,2026.05.03(일) 15:36,talk,전체,700일 방송 및 공지 방송입니다.,4.6,26,21,2072,-1,
2026.05.01(금) 09:00,2026.05.01(금) 12:30,융융 전파 신드롬|talk,전체,안녕하세요,3.5,19,15,1054,0,
2026.04.30(목) 09:00,2026.04.30(목) 17:30,talk,성인,선물을 주세요,8.5,25,20,799,1,
2026.04.29(수) 09:00,2026.04.29(수) 17:06,융융 전파 신드롬|talk,전체,안녕하세요 [1부 저챗 2부 융융 전파 신드롬],8.1,24,16,1889,-1,
2026.04.28(화) 09:00,2026.04.28(화) 15:42,융융 전파 신드롬|talk,전체,융융융융융융융융융융 [1부 저챗 2부 융융 전파 신드롬],6.7,23,16,1864,1,
2026.04.27(월) 09:00,2026.04.27(월) 14:36,talk,전체,여섯시 내버니,5.6,23,19,2335,0,
2026.04.24(금) 08:59,2026.04.24(금) 15:30,리그 오브 레전드|talk,전체,하이요 ㅋㅋ,6.5,22,17,2192,-1,
2026.04.23(목) 09:00,2026.04.23(목) 17:30,프래그마타|talk,전체,하이요 [1부 저챗 2부 프래그마타],8.5,22,16,2241,0,
2026.04.22(수) 09:00,2026.04.22(수) 16:12,프래그마타|talk,전체,안녕하세요 [1부 저챗 2부 프래그마타],7.2,21,17,2530,0,
2026.04.21(화) 09:00,2026.04.21(화) 15:36,프래그마타|talk,전체,ㄱ- [1부 저챗 2부 프래그마타],6.6,20,16,2598,0,
2026.04.20(월) 09:00,2026.04.20(월) 14:18,talk,전체,서브웨이 포장지 먹어도 되나요 제발요 급함,5.3,29,22,2777,-2,
2026.04.17(금) 08:59,2026.04.17(금) 18:30,리그 오브 레전드|talk,전체,I punch like King Kong to 깡총이,9.5,24,19,4650,-1,
2026.04.16(목) 09:00,2026.04.16(목) 14:54,포장마차 : 한국 길거리 음식 경영시뮬레이터|talk,전체,떡볶이 맛있게 만들어요 [1부 저챗 2부 포장마차 게임],5.9,24,19,1732,0,
2026.04.14(화) 10:10,2026.04.14(화) 17:06,종합 게임|talk,성인,내가 돌아왔다 [1부 저챗 2부 피어앤헝거],6.9,22,17,147,0,
2026.04.14(화) 09:01,2026.04.14(화) 09:48,talk,전체,반갑습니다 [1부 저챗 2부 피어앤헝거],0.8,15,12,233,0,
2026.04.13(월) 09:00,2026.04.13(월) 15:18,종합 게임|talk,성인,안녕하세요 [1부 저챗 2부 피어앤헝거],6.3,24,19,474,0,
2026.04.12(일) 09:00,2026.04.12(일) 16:30,종합 게임|talk,성인,안녕하세요 [1부 저챗 2부 피어앤헝거],7.5,20,15,378,1,
2026.04.11(토) 09:00,2026.04.11(토) 15:12,종합 게임|talk,성인,딸기농장에서 겨우 탈출했습니다... [1부 저챗 2부 피어앤헝거],6.2,21,15,394,1,
