시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 11:00,2026.06.14(일) 15:54,포켓몬 포코피아|talk,전체,범파~,4.9,20,12,1455,0,
2026.06.13(토) 11:00,2026.06.13(토) 15:30,포켓몬 포코피아|talk,전체,안녕,4.5,20,12,2044,0,
2026.06.11(목) 14:00,2026.06.11(목) 16:12,talk,전체,목요일 밤,2.2,19,17,1584,0,
2026.06.09(화) 14:00,2026.06.09(화) 16:00,talk,전체,머스크가 다 같은 머스크가 아니라니,2,21,17,1189,0,
2026.06.07(일) 10:59,2026.06.07(일) 15:54,talk,전체,ㅎㅇㅎㅇ,4.9,18,13,1245,0,
2026.06.06(토) 11:00,2026.06.06(토) 16:12,스타듀 밸리|talk,전체,지금부터 하루 시작.,5.2,16,12,1523,0,
2026.06.05(금) 21:12,2026.06.05(금) 23:12,talk,전체,이 시간에 왜 일어났을까,2,8,6,589,0,
2026.06.05(금) 14:00,2026.06.05(금) 16:24,talk,전체,안녕.,2.4,19,16,1271,0,
2026.06.01(월) 13:00,2026.06.01(월) 15:54,음악/노래|talk,전체,월요일 얏 호~,2.9,15,12,1493,0,
2026.05.30(토) 14:00,2026.05.30(토) 16:12,talk,전체,ㅎㅇㅎㅇ,2.2,20,17,1908,1,
2026.05.28(목) 11:00,2026.05.28(목) 15:54,마왕성 스토리|talk,전체,ㅎㅇㅎㅇ,4.9,18,14,2117,0,
2026.05.26(화) 14:00,2026.05.26(화) 16:00,talk,전체,화목토.,2,20,18,1343,-1,
2026.05.23(토) 14:00,2026.05.23(토) 16:24,talk,전체,그래서 오늘 뭐함?,2.4,16,14,1723,0,
2026.05.21(목) 11:00,2026.05.21(목) 15:36,마왕성 스토리|talk,전체,목요일의 공경민,4.6,16,15,1401,0,
2026.05.19(화) 14:00,2026.05.19(화) 16:24,talk,전체,네 안녕하세요~,2.4,17,14,1723,2,
2026.05.16(토) 13:59,2026.05.16(토) 16:24,talk,전체,토요일의 공경민 입니다.,2.4,18,15,1086,0,
2026.05.12(화) 11:00,2026.05.12(화) 16:30,마왕성 스토리|talk,전체,안녕하세요.,5.5,19,15,1904,-1,
2026.05.09(토) 14:00,2026.05.09(토) 16:36,talk,전체,토요일의 드래곤.,2.6,19,16,1266,0,
2026.05.07(목) 12:00,2026.05.07(목) 15:42,talk,전체,목요일의 공경민,3.7,19,17,2182,0,
2026.05.05(화) 14:01,2026.05.05(화) 16:24,talk,전체,어린이날 치비등장,2.4,21,19,1684,0,
2026.05.02(토) 14:00,2026.05.02(토) 16:36,talk,전체,공경민,2.6,17,15,1686,0,
2026.05.01(금) 14:00,2026.05.01(금) 16:54,포켓몬 포코피아|talk,전체,안녕하세요.,2.9,15,13,1437,0,
2026.04.28(화) 13:59,2026.04.28(화) 16:24,talk,전체,열심히 하자,2.4,19,16,1060,0,
2026.04.25(토) 14:00,2026.04.25(토) 16:36,talk,전체,방송을 할 수 있음에 감사하기.,2.6,19,16,1238,1,
2026.04.21(화) 14:00,2026.04.21(화) 16:36,talk,전체,방송을 키는게 어색,2.6,23,18,1565,1,
2026.04.18(토) 14:00,2026.04.18(토) 16:18,talk,전체,[ASMR] 안녕하세요,2.3,20,16,1137,0,
2026.04.16(목) 11:00,2026.04.16(목) 14:54,포켓몬 포코피아|talk,전체,좋은데~,3.9,18,15,1129,0,
2026.04.14(화) 14:00,2026.04.14(화) 16:06,talk,전체,흐물용,2.1,19,16,1440,0,
2026.04.12(일) 14:00,2026.04.12(일) 16:30,talk,전체,안녕,2.5,20,17,953,0,
2026.04.09(목) 11:00,2026.04.09(목) 15:54,포켓몬 포코피아|talk,전체,안녕,4.9,17,14,1846,0,
2026.04.07(화) 14:00,2026.04.07(화) 16:12,talk,전체,안녕하세요.,2.2,13,11,1170,0,
2026.04.05(일) 14:00,2026.04.05(일) 16:18,talk,전체,안녕?,2.3,18,15,859,0,
2026.04.03(금) 14:00,2026.04.03(금) 16:36,talk,전체,안녕하세요.,2.6,16,15,1431,1,
2026.04.01(수) 14:00,2026.04.01(수) 16:12,talk,전체,동생 소개팅 대타방송,2.2,25,19,1227,0,
2026.03.30(월) 14:09,2026.03.30(월) 16:42,포켓몬 포코피아|talk,전체,오늘 예쁘네,2.5,20,17,1472,0,
2026.03.29(일) 14:00,2026.03.29(일) 16:12,talk,전체,안녕하세요,2.2,19,16,996,1,
2026.03.27(금) 13:59,2026.03.27(금) 16:12,talk,전체,오랜만,2.2,18,14,1795,0,
2026.03.22(일) 14:00,2026.03.22(일) 16:12,포켓몬 포코피아|talk,전체,안녕하세요.,2.2,20,16,1095,0,
2026.03.20(금) 14:00,2026.03.20(금) 16:42,talk,전체,금요일의 공경민,2.7,19,15,1305,0,
2026.03.17(화) 13:59,2026.03.17(화) 16:18,포켓몬 포코피아|talk,전체,꾸벅꾸벅,2.3,13,10,1139,-1,
2026.03.16(월) 14:00,2026.03.16(월) 16:12,talk,전체,400팔의 드래곤.,2.2,17,16,1281,0,
2026.03.15(일) 14:00,2026.03.15(일) 16:18,포켓몬 포코피아|talk,전체,안녕하세요.,2.3,18,15,896,1,
2026.03.14(토) 14:57,2026.03.14(토) 16:18,음악/노래,전체,(짧방)화이트데이가 지나기 전에,1.3,18,15,651,2,
2026.03.12(목) 12:00,2026.03.12(목) 15:48,포켓몬 포코피아|talk,전체,채팅치면 용이 기억함.,3.8,18,14,1367,0,
2026.03.10(화) 14:00,2026.03.10(화) 16:18,talk,전체,안녕하세요.,2.3,18,15,1486,0,
2026.03.09(월) 14:00,2026.03.09(월) 16:42,talk,전체,급하게 방제 바꾸기.,2.7,19,16,1252,1,
2026.03.08(일) 14:00,2026.03.08(일) 16:36,포켓몬 포코피아|talk,전체,오랜만입니다.,2.6,19,16,1198,0,
2026.03.04(수) 14:00,2026.03.04(수) 17:06,포켓몬 포코피아|리애니멀,전체,리애니멀 엔딩까지.,3.1,20,15,1546,0,
2026.03.03(화) 14:14,2026.03.03(화) 16:42,리애니멀|talk,전체,밥 후딱 먹고 리애니멀,2.5,19,17,1211,0,
2026.03.01(일) 14:00,2026.03.01(일) 16:30,리애니멀|talk,전체,안녕하세요.,2.5,19,15,1312,0,
2026.02.26(목) 12:00,2026.02.26(목) 15:48,리애니멀|talk,전체,안녕하세요.,3.8,21,15,1899,0,
2026.02.25(수) 14:00,2026.02.25(수) 16:12,인사이드|talk,전체,단언컨대 가장 완벽한 하루.,2.2,18,16,1158,0,
2026.02.24(화) 14:30,2026.02.24(화) 16:42,talk,전체,실수로 휴방을 안잡은 날,2.2,21,19,1329,0,
2026.02.23(월) 14:00,2026.02.23(월) 16:30,인사이드|talk,전체,단언컨대 가장 완벽한 하루의 마무리.,2.5,17,14,1417,1,
2026.02.22(일) 14:00,2026.02.22(일) 16:30,talk,전체,[ASMR] 안녕하세요,2.5,21,18,1517,0,
2026.02.19(목) 14:00,2026.02.19(목) 16:42,인사이드|talk,전체,시간은 빠르고 방송은 짧다.,2.7,20,17,1376,-2,
2026.02.18(수) 14:00,2026.02.18(수) 16:06,talk,전체,집중하고 과도한 생각을 멈추게 해 줄 더 많은 편안하고 추억 돋는 포켓몬 음악.,2.1,22,18,1216,0,
2026.02.17(화) 12:00,2026.02.17(화) 16:12,talk,전체,즐거운 설날,4.2,21,18,2432,0,
2026.02.15(일) 14:09,2026.02.15(일) 16:30,talk,전체,첫 지각사유가 설거지라니,2.3,19,17,1021,0,
2026.02.14(토) 14:00,2026.02.14(토) 15:00,talk,전체,(진짜 짧방)초콜렛 주러 옴,1,17,15,873,0,
2026.02.12(목) 14:00,2026.02.12(목) 16:12,talk,전체,안녕?,2.2,13,11,993,0,
2026.02.11(수) 12:00,2026.02.11(수) 16:30,음악/노래|talk,전체,안녕?,4.5,20,18,1776,0,
2026.02.10(화) 13:58,2026.02.10(화) 16:48,talk,전체,다시보기 데워먹기는 이제 그만.,2.8,24,20,1624,0,
2026.02.03(화) 14:00,2026.02.03(화) 16:18,talk,전체,사주에 빠져버린..,2.3,24,21,1768,0,
2026.02.02(월) 14:00,2026.02.02(월) 16:18,talk,전체,2월의 공경민입니다.,2.3,21,18,1530,0,
2026.02.01(일) 14:00,2026.02.01(일) 16:30,talk,전체,2월의 공경민입니다.,2.5,21,17,1460,1,
2026.01.29(목) 10:00,2026.01.29(목) 15:30,talk,전체,지각지각,5.5,23,19,2234,0,
2026.01.29(목) 03:20,2026.01.29(목) 05:48,진・삼국무쌍: ORIGINS,전체,오리진하러옴,2.5,16,12,872,1,
2026.01.27(화) 13:58,2026.01.27(화) 16:30,진・삼국무쌍: ORIGINS|talk,전체,반갑습니다.,2.5,24,19,1255,0,
2026.01.26(월) 13:59,2026.01.26(월) 16:18,진・삼국무쌍: ORIGINS|talk,전체,담소나누기.,2.3,24,19,1272,0,
2026.01.25(일) 13:47,2026.01.25(일) 16:24,talk,전체,반갑습니다.,2.6,20,17,1430,0,
2026.01.21(수) 13:58,2026.01.21(수) 16:12,talk,전체,추운 날 담소나누기,2.2,21,18,1292,0,
2026.01.19(월) 13:59,2026.01.19(월) 16:12,talk,전체,좋은 하루의 시작,2.2,20,18,1338,0,
2026.01.18(일) 13:59,2026.01.18(일) 16:18,talk,전체,좋은 하루의 시작,2.3,21,18,1575,1,
2026.01.16(금) 13:59,2026.01.16(금) 14:48,talk,전체,안녕하세요 그.. 코노인데요,0.8,6,5,265,0,
2026.01.15(목) 13:59,2026.01.15(목) 16:00,talk,전체,빼입고 저챗하기.,2,24,16,1163,0,
2026.01.13(화) 13:14,2026.01.13(화) 16:30,talk,성인,위쳐 준비운동,3.3,19,15,309,0,
2026.01.12(월) 12:01,2026.01.12(월) 16:48,더 위쳐 3: 와일드 헌트|talk,성인,요즘 저챗,4.8,26,19,1557,1,
2026.01.11(일) 14:00,2026.01.11(일) 16:24,talk,전체,별이 빛나는 아름다운 밤이야이야,2.4,21,19,1679,0,
2026.01.08(목) 14:00,2026.01.08(목) 16:12,talk,전체,안녕하세요.,2.2,24,21,1473,0,
2026.01.07(수) 14:00,2026.01.07(수) 16:42,talk,전체,멘헤라 용,2.7,21,14,1791,0,
2026.01.05(월) 13:00,2026.01.05(월) 17:12,talk,전체,기리기리세이후,4.2,20,15,2231,0,
2026.01.04(일) 14:00,2026.01.04(일) 16:36,talk,전체,[ASMR] 목감기.,2.6,19,16,1645,0,
2026.01.01(목) 14:00,2026.01.01(목) 16:06,talk,전체,1월 1일 마지막까지.,2.1,22,19,1418,0,
2026.12.31(수) 14:00,2026.12.31(수) 16:18,talk,전체,새해 함께 맞이하기.,2.3,28,19,1233,0,
2026.12.30(화) 11:00,2026.12.30(화) 15:42,talk,전체,2025년 마지막 화요일.,4.7,15,12,2764,0,
2026.12.28(일) 14:00,2026.12.28(일) 16:24,talk,전체,[ASMR] 안녕.,2.4,16,14,1762,0,
2026.12.25(목) 14:00,2026.12.25(목) 15:06,talk,전체,[짧방]메리크리스마스~,1.1,16,14,890,0,
2026.12.24(수) 14:00,2026.12.24(수) 16:06,talk,전체,메리크리스마스 이브,2.1,16,14,1121,0,
2026.12.23(화) 14:00,2026.12.23(화) 15:00,talk,전체,"[짧, 언아카] 공경민의 화요 낭독회",1,10,8,218,0,
2026.12.22(월) 13:48,2026.12.22(월) 16:24,젤다무쌍 봉인 전기|talk,전체,조금이라도 빨리!!,2.6,13,10,1480,0,
2026.12.21(일) 14:00,2026.12.21(일) 16:36,삼국지14 with 파워업키트|talk,전체,할건해야지,2.6,15,13,1526,0,
2026.12.18(목) 13:59,2026.12.18(목) 17:24,젤다무쌍 봉인 전기|talk,전체,안녕하세요?,3.4,13,11,1874,0,
2026.12.17(수) 13:53,2026.12.17(수) 15:54,음악/노래,전체,휴방 바로 갚기 노래뱅,2,12,9,1069,0,
2026.12.16(화) 11:00,2026.12.16(화) 16:06,talk,전체,조기출근,5.1,15,12,3470,0,
2026.12.14(일) 14:00,2026.12.14(일) 17:00,talk,전체,[ASMR] 저챗해도될까요.,3,16,15,2057,0,
2026.12.13(토) 14:59,2026.12.13(토) 15:54,talk,전체,(짧) 나도 한다. 작업방송.,0.9,8,6,342,0,
2026.12.11(목) 13:51,2026.12.11(목) 16:30,talk,전체,최대한 빨리오기.,2.6,12,10,1877,1,
2026.12.09(화) 11:58,2026.12.09(화) 16:36,아웃라스트|talk,성인,공경민의 화요토크쇼,4.6,16,12,1663,1,
2026.12.08(월) 14:00,2026.12.08(월) 17:06,젤다무쌍 봉인 전기|talk,전체,피곤해서 눈이 부어버림.,3.1,18,14,1398,1,
