시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.13(토) 07:45,2026.06.13(토) 11:30,야구,전체,[한화편파] 알칸타라 vs 불꽃 일준영 - 리드오프 이진영,3.7,65,43,2201,1,
2026.06.12(금) 09:11,2026.06.12(금) 13:54,야구,전체,[한화편파] 이글스여! 비상하라아아아아!!!! - 에르난데스 vs 안우진,4.7,81,51,3139,5,
2026.06.11(목) 09:17,2026.06.11(목) 13:36,야구,전체,"[한화편파] 얘들아, 류대부님 경기다 득점지원 알지?",4.3,70,50,3270,5,
2026.06.10(수) 09:19,2026.06.10(수) 13:42,야구,전체,[한화편파] 수요일 승률 2할.... 근데 1선발 화이트... 그래도 이긴다고 해,4.4,65,49,3492,6,
2026.06.09(화) 09:16,2026.06.09(화) 14:00,야구,전체,[한화편파] 5월의 MVP! 돌아온 강백호! - 오늘도 이글스는 이긴다!,4.7,61,41,2357,4,
2026.06.07(일) 07:47,2026.06.07(일) 13:18,야구,전체,[한화편파] 오늘도 이겨야지? 이기자! 이긴다고해!!!,5.5,75,49,4458,7,
2026.06.06(토) 07:45,2026.06.06(토) 12:06,야구,전체,[한화편파] 바빕형 투수와 낯가림 이글스 - 리드오프 오재원,4.3,61,38,2756,2,
2026.06.05(금) 09:17,2026.06.05(금) 13:30,야구,전체,[한화편파] 강백호 햄스트링 불편감....,4.2,51,37,2531,2,
2026.06.03(수) 07:45,2026.06.03(수) 12:48,야구,전체,[한화편파] 왕서방... 올스타 가려면 잘 해야겠지?,5,64,40,3485,3,
2026.06.02(화) 09:18,2026.06.02(화) 13:30,야구,전체,[한화편파] 6월 시작은 승리로 기록하고 싶다,4.2,55,39,2618,3,
2026.05.31(일) 04:42,2026.05.31(일) 08:48,야구,전체,"[한화편파] 대수야, 오늘 잘 할 수 있지? 잘해야 돼. 잘하기로 하자.",4.1,74,52,3575,11,
2026.05.30(토) 07:40,2026.05.30(토) 12:36,야구,전체,[한화편파] 핑크 류현진의 홈 2연승 가기로 함. 아무튼 약속함,4.9,70,48,3362,5,
2026.05.29(금) 09:17,2026.05.29(금) 12:48,야구,전체,[한화편파] 오늘도 이기는걸로 약속함. 아무튼 함,3.5,60,43,2612,8,
2026.05.28(목) 09:15,2026.05.28(목) 14:18,야구,전체,[한화편파] 대만왕자와 돌아온 페문강노허,5,98,53,3872,15,
2026.05.27(수) 09:16,2026.05.27(수) 13:54,야구,전체,[한화편파] 어제 친 안타 오늘도 쳐야지?,4.6,64,47,2843,20,
2026.05.26(화) 09:19,2026.05.26(화) 12:48,야구,전체,[한화편파] 우취 안되고 가는거 이겨보즈아!!,3.5,49,28,1400,0,
2026.05.24(일) 04:40,2026.05.24(일) 08:54,야구,전체,[한화편파] 제에에에발!!! 오늘 꼭 이겨줘라아아아!!!!!,4.2,60,37,2191,8,
2026.05.23(토) 07:41,2026.05.23(토) 12:36,야구,전체,[한화편파] 4시환 복귀! 강백호 어깨 아파서 빠졌대요 ㅠㅠ,4.9,50,34,2531,1,
2026.05.22(금) 09:13,2026.05.22(금) 13:36,야구,전체,[한화편파] 대만 왕자 선발! 빠따들 정신 좀 차렸냐?! - 박상원 콜업,4.4,47,34,2090,1,
