시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 10:53,LIVE,리그 오브 레전드,전체,LIVE,3.2,28,23,487,0,
2026.06.14(일) 11:22,2026.06.14(일) 16:36,리그 오브 레전드,전체,🐹골드4🐹 곧 나미 700만점인데 골드에서 온몸 비트는 중인wwwww,5.2,21,16,586,0,
2026.06.12(금) 10:02,2026.06.12(금) 17:48,헬다이버즈 2,전체,🐹헬다2🐹 위-대한 슈퍼지구의 초 엘리트 특수부대원의 현란한 에임 현황,7.8,35,25,2592,11,
2026.06.11(목) 10:32,2026.06.11(목) 17:48,리그 오브 레전드,전체,🐹일반시참🐹 나랑 시참 할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?할래?,7.3,24,18,720,2,
2026.06.10(수) 10:00,2026.06.10(수) 15:00,리그 오브 레전드,전체,🐹골드4🐹 등산로가 내리막길만 있는 것에 대하여,5,21,16,874,-1,
2026.06.09(화) 05:31,2026.06.09(화) 16:54,리그 오브 레전드,전체,"🐹골드3🐹 🚨충격제보🚨단앙쥐, 오늘은 버스 없이 홀로 쟁기질하러 갑니다 🚜",11.4,31,20,1259,5,
2026.06.08(월) 09:27,2026.06.08(월) 18:18,리그 오브 레전드,전체,🐹일반시참🐹 ★디코 연결 폭주★ 단앙쥐와 함께하는 롤 버스 승차권 0원!🚨오늘만 이 구성!🚨 감동의 롤 시참 자리 단 '4개' ⚠️마감 임박⚠️,8.8,26,18,602,3,
2026.06.05(금) 11:30,2026.06.05(금) 15:42,종합 게임,전체,🐹갈틱폰 시참🐹 잊혀진 현대 미술에 다시 한번 한 획 긋는 친칠라,4.2,25,19,1492,2,
2026.06.04(목) 11:00,2026.06.04(목) 16:42,리그 오브 레전드,전체,🐹일반시참🐹 시참 전에 나 콩국수 먹어써! 시참 전에 나 콩국수 먹어써!,5.7,26,20,479,1,
2026.06.03(수) 11:30,2026.06.03(수) 17:00,매드 파더,전체,🐹매드 파더🐹 콩가루 집안 실시간 체험中,5.5,17,13,826,1,
2026.06.02(화) 11:39,2026.06.02(화) 18:54,리그 오브 레전드,전체,🐹자랭시참🐹 #자랭#5인큐#시참가능#에메부터#기사는#내가#아니긴#🌞,7.2,27,18,651,3,
2026.06.01(월) 11:00,2026.06.01(월) 17:30,리그 오브 레전드,전체,🐹골드4🐹 영웅은 나미 간접 너프 속에서 태어난다....🌟,6.5,19,14,970,0,
2026.05.31(일) 11:40,2026.05.31(일) 19:18,리그 오브 레전드,전체,"🐹일반시참🐹 야라분의 협곡 방파개, 앙쥐호 탑승권은 예약은 디코에 (찡긋)",7.6,26,19,846,5,
2026.05.30(토) 17:39,2026.05.30(토) 19:00,리그 오브 레전드,전체,🐹일반시참🐹 ★개☆고★수☆미★소☆녀★의☆시★참☆방★송☆,1.3,18,14,183,0,
2026.05.30(토) 11:41,2026.05.30(토) 17:36,리그 오브 레전드,전체,🐹일반시참🐹 ★개☆고★수☆미★소☆녀★의☆시★참☆방★송☆,5.9,27,20,582,2,
2026.05.29(금) 11:01,2026.05.29(금) 19:06,리그 오브 레전드,전체,🐹일반시참🐹 마음만은 나미 장인이라 라이엇에게 제국 뺏긴 유저의 시참방송,8.1,28,20,640,1,
2026.05.28(목) 10:32,2026.05.28(목) 17:00,몬스터 헌터 월드: 아이스본,전체,"🐹몬헌아본🐹 쌍칼의 흑염룡 vs 몬헌 최강 흑룡, 가슴이 웅장해지는 세계관 최강자들의 싸움",6.5,22,16,1539,1,
2026.05.25(월) 11:06,2026.05.25(월) 20:06,리그 오브 레전드,전체,🐹일반시참🐹시참시참빔🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟,9,27,20,1083,5,
2026.05.24(일) 11:33,2026.05.24(일) 18:42,몬스터 헌터 월드: 아이스본,전체,🐹몬헌아본🐹 알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알바알,7.1,24,18,1935,1,
2026.05.23(토) 11:25,2026.05.23(토) 20:18,리그 오브 레전드,전체,🐹일반시참🐹 화끈한 매력녀와 같이 할 수 있는 시참방송 #우나핫걸#친칠라#시참가능#디코이용#서폿내꺼#잔잔바리#대기시간#자니?#자는구나#대기있길래#연락했어,8.9,32,21,1023,1,
2026.05.22(금) 11:18,2026.05.22(금) 20:24,리그 오브 레전드,전체,"🐹일반시참🐹 🚨🚨킷타--! 오마에, 와타시의 동료가 되지 않을래? 뀨! 🐹 드디어 오픈 도어 해버린 www 다낭지의 시참방송!! 🚨🚨",9.1,30,23,916,-1,
2026.05.21(목) 11:00,2026.05.21(목) 18:54,리그 오브 레전드,전체,"🐹골드3🐹 그동안의 연패는 그저 주인공의 성장물의 흔한 시련일뿐, 하나의 역사를 써내려가주지 킄킄ㅋ긐ㄱ크긐긐갘그카카킄",7.9,22,16,981,1,
2026.05.19(화) 11:36,2026.05.19(화) 17:24,몬스터 헌터 월드: 아이스본,전체,🐹몬헌아본🐹 몹잡고 레벨업하고 몹잡고 레벨업하고 몹잡고 레벨업하고 몹잡고 레벨업하고 몹잡고 레벨업하고 몹잡고 레벨업하고 몹잡고 레벨업하고 몹잡고 레벨업하고 몹잡고 레벨업하고,5.8,26,18,1265,2,
2026.05.18(월) 11:30,2026.05.18(월) 17:00,몬스터 헌터 월드: 아이스본,전체,🐹몬헌아본🐹 바삭팝콘 오늘 마지막 판매 / 원래 모든 알바는 처음에 힘든걸 알고있지만 이건 솔직히 사장님이 너무한게 아닌가라고 생각되는 세계의 관하여,5.5,22,18,1296,0,
2026.05.16(토) 11:01,2026.05.16(토) 16:48,리그 오브 레전드,전체,🐹자랭시참🐹 #에메이상#승리지향#서폿은나#시참가능#디코확인#규칙읽어#공지읽어#매너게임,5.8,28,23,899,0,
2026.05.15(금) 10:45,2026.05.15(금) 18:06,리그 오브 레전드,전체,🐹일반시참🐹 장미처럼 쥰내 예쁜 미소녀랑 함께하는 시참방송,7.3,25,19,835,0,
2026.05.14(목) 10:58,2026.05.14(목) 18:36,리그 오브 레전드,전체,🐹일반시참🐹 장미처럼 쥰내 예쁜 미소녀랑 함께하는 시참방송,7.6,31,20,842,0,
2026.05.12(화) 10:59,2026.05.12(화) 15:48,리그 오브 레전드|talk,전체,🐹바삭팝콘X단앙쥐🐹 퍕콘이 ㅂㅏ삭 바삭팝콘 ㅇㅅㅇ! 바바바바삭팝콘 파파파팝콘 팝콘 바삭팝콘바삭팝콘바삭팝콘바삭팝콘바삭팝콘바삭팝콘바삭팝콘바삭팝콘바삭팝콘바삭팝콘바삭팝콘바삭팝콘바삭팝콘,4.8,23,17,1031,-1,
2026.05.11(월) 10:22,2026.05.11(월) 18:12,몬스터 헌터 월드: 아이스본,전체,"🐹몬헌아본🐹 몬헌 알바도 잡으면 현실 알바 경력 가능할지 조금 궁금해지고, 또 생각해봤는데 이정도 난이도면 가능하지 않을까 싶기도 해서 나중에 이력서 적을 때 써서 제출예정",7.8,27,19,1744,0,
2026.05.10(일) 11:31,2026.05.10(일) 17:18,몬스터 헌터 월드: 아이스본,전체,"🐹몬헌아본🐹 격앙 라잔, 오늘은 바삭팝콘마냥 부스러기로 만들어주지",5.8,26,20,1322,0,
2026.05.08(금) 12:42,2026.05.08(금) 20:12,리그 오브 레전드,전체,🐹자랭시참🐹 우리 팀 아무 걱정을 하덜덜을마 내가 지켜줄게 라고 말한 내가 어두운 부쉬안에서 활어회가 되어버린 건에 대하여 라서 시청자들이 조금 나를 안쓰럽게 바라보는 것 같다,7.5,25,16,767,0,
2026.05.08(금) 11:04,2026.05.08(금) 12:36,리그 오브 레전드,전체,🐹자랭시참🐹 우리 팀 아무 걱정을 하덜덜을마 내가 지켜줄게 라고 말한 내가 어두운 부쉬안에서 활어회가 되어버린 건에 대하여 라서 시청자들이 조금 나를 안쓰럽게 바라보는 것 같다,1.5,24,19,276,1,
2026.05.07(목) 04:55,2026.05.07(목) 13:12,리그 오브 레전드,전체,🐹골드1🐹이잉~~ 팀끼리 싸우지마잉이이잉~~!! 🥺내 심장 쿠크다스 돼버렷자나아아잉…💔화해 갈겨어어잉~~!! ✨,8.3,26,18,2065,0,
2026.05.06(수) 11:35,2026.05.06(수) 15:54,리그 오브 레전드,전체,🐹골드2🐹 나를 지켜봐줘,4.3,23,17,993,0,
2026.05.05(화) 11:31,2026.05.05(화) 18:48,리그 오브 레전드,전체,🐹일반시참🐹 ㅇㅅㅇ오눌은 롤린이날이에오! 뚜땨땨,7.3,32,23,1556,1,
2026.05.05(화) 07:05,2026.05.05(화) 11:24,리그 오브 레전드,전체,🐹일반시참🐹 ㅇㅅㅇ오눌은 롤린이날이에오! 뚜땨땨,4.3,26,20,701,1,
2026.05.04(월) 12:49,2026.05.04(월) 17:18,몬스터 헌터 월드: 아이스본,전체,🐹몬헌아본🐹 뽀대 간지 지존 헌터의 나쁜 공룡 혼내주기,4.5,29,23,1293,1,
2026.05.04(월) 11:29,2026.05.04(월) 12:42,몬스터 헌터 월드: 아이스본,전체,🐹몬헌아본🐹 뽀대 간지 지존 헌터의 나쁜 공룡 혼내주기,1.2,19,15,190,1,
2026.05.03(일) 07:59,2026.05.03(일) 18:06,몬스터 헌터 월드: 아이스본,전체,"🐹몬헌아본🐹 안 이슈왈드를 잡은 미소녀 헌터 단앙쥐, 새로운 악당 흑룡이 있다는 얘기에 다시 모험에 나서게 되는데...[더보기]",10.1,37,27,2553,2,
2026.05.02(토) 08:02,2026.05.02(토) 18:06,리그 오브 레전드,전체,🐹일반시참🐹 롤 패치되었다니 매 순간 오만하게 대혼란 느낄 예정,10.1,31,24,1451,0,
2026.04.29(수) 11:17,2026.04.29(수) 17:54,몬스터 헌터 월드: 아이스본,전체,🐹몬헌아본🐹 나 이제 몬헌 마스터☆개★고☆ 수★,6.6,30,23,1867,3,
2026.04.28(화) 11:00,2026.04.28(화) 19:30,리그 오브 레전드,전체,🐹자랭시참🐹 짠짠짠하게 자랭할래요 디코로 신청하세요오 #장윤정 #짠짠짠 #가사응용,8.5,28,20,1509,0,
2026.04.27(월) 09:12,2026.04.27(월) 20:24,리그 오브 레전드,전체,🐹자랭시참🐹 데덴찌 쨔랭 할 사람 여기 여기 붙어라,11.2,28,20,1902,1,
2026.04.26(일) 11:01,2026.04.26(일) 17:54,몬스터 헌터 월드: 아이스본,전체,🐹몬헌아본🐹 연약한 미소녀인 내가 전생했더니 최강 헌터가 된 일에 대하여,6.9,34,26,2152,-1,
2026.04.25(토) 11:30,2026.04.25(토) 21:36,리그 오브 레전드,전체,🐹일반시참🐹 #시참 #협곡 #5인큐 #디코 #규칙읽어 #공지읽어 #미소녀 #친칠라 #여스 #예쁜 #귀여운 #친절한 #상냥한 #섹시한 #깜찍한 #러블리 #즐거운,10.1,34,23,2184,1,
2026.04.24(금) 16:01,2026.04.24(금) 20:06,리그 오브 레전드,전체,"🐹자랭시참🐹 고객님 시참 문의는 디코 부탁드리고, 규칙과 공지를 읽어주세요라~",4.1,27,19,604,0,
2026.04.24(금) 12:12,2026.04.24(금) 15:54,리그 오브 레전드,전체,"🐹자랭시참🐹 고객님 시참 문의는 디코 부탁드리고, 규칙과 공지를 읽어주세요라~",3.7,30,23,772,1,
2026.04.23(목) 11:05,2026.04.23(목) 15:48,리그 오브 레전드,전체,🐹골드2🐹 나미 원챔 골드 산책 중,4.7,24,17,1148,1,
2026.04.22(수) 11:27,2026.04.22(수) 19:18,몬스터 헌터 월드: 아이스본,전체,🐹몬헌아본🐹 키보드 절대 폭력중 아닙니다 feat. 스페이스바,7.8,34,25,1927,0,
2026.04.20(월) 11:05,2026.04.20(월) 18:00,몬스터 헌터 월드: 아이스본,전체,"🐹몬헌아본🐹 드디어 수비대 무기 탈출하는 나, 몬헌밀당녀",6.9,39,30,2770,5,
2026.04.19(일) 15:29,2026.04.19(일) 18:36,몬스터 헌터 월드: 아이스본,전체,"🐹구구덕🐹 꾸덕꾸덕 합방 새내기 (W. 낭도람, 이세로, 조랭이01, 으닝이, 유키츠네, 현디아, 솔아, 나인, 카논제이, 감뇽)",3.1,34,26,1082,1,
2026.04.19(일) 12:46,2026.04.19(일) 15:18,구스 구스 덕,전체,"🐹구구덕🐹 꾸덕꾸덕 합방 새내기 (W. 낭도람, 이세로, 조랭이01, 으닝이, 유키츠네, 현디아, 솔아, 나인, 카논제이, 감뇽)",2.5,22,18,1079,4,
2026.04.19(일) 11:14,2026.04.19(일) 12:42,구스 구스 덕|몬스터 헌터 월드: 아이스본,전체,🐹몬헌월드🐹 기웃기웃하고 10시 구구덕 합방 예정,1.5,29,24,398,0,
2026.04.18(토) 10:25,2026.04.18(토) 19:24,리그 오브 레전드,전체,"🐹자랭시참🐹 자, 다들 안전벨트 꽉 잡으세요. 기사님 가시죠. ㅇㅅㅇ (내가 기사라고 안했다)",9,32,22,1711,0,
2026.04.16(목) 10:31,2026.04.16(목) 14:54,리그 오브 레전드,전체,🐹일반시참🐹 절대 솔랭 하려다가 팀원보고 시참으로 도망온거 진짜 아님 절대 아님,4.4,33,25,791,0,
2026.04.15(수) 11:08,2026.04.15(수) 15:06,리그 오브 레전드,전체,🐹골드1🐹 내 해일은 하늘을 뚫는 해일이다🌊,4,29,22,774,0,
2026.04.14(화) 10:29,2026.04.14(화) 18:06,몬스터 헌터 월드: 아이스본,전체,🐹몬헌월드🐹 고수가 된 줄 알았는데 또다시 뉴비가 되어버린 것에 대하여...더보기,7.6,34,23,2460,7,
2026.04.13(월) 11:27,2026.04.13(월) 17:48,몬스터 헌터 월드: 아이스본,전체,🐹몬헌월드🐹 공룡 잡고 남의 집 훔쳐보고 공룡 잡고 남의 고양이 냄새 맡고,6.3,28,21,1697,4,
2026.04.12(일) 11:12,2026.04.12(일) 18:36,미설정|몬스터 헌터 월드: 아이스본|몬스터 헌터: 월드,전체,🐹몬헌월드🐹☆ 몬★헌☆개★고☆수★,7.4,27,20,2332,6,
2026.04.11(토) 09:01,2026.04.11(토) 18:30,리그 오브 레전드,전체,🐹자랭시참🐹 ★☆난리났음☆★ 오마에!!! ♣오레노☆나카마니☆나레♣ ▶들어오면 바로 VIP해적단 가입됨 ₩모험혜택 지급,9.5,26,17,1167,1,
2026.04.10(금) 05:40,2026.04.10(금) 15:12,리그 오브 레전드,전체,🐹일반시참🐹 봄비처럼 싱그러운 미소녀와 즐기는 시참 뱅뱅뱅,9.5,28,17,1297,3,
2026.04.09(목) 11:29,2026.04.09(목) 15:18,그림/아트,전체,"🐹갈틱폰🐹 비가 오니, 운치있게 붓 좀 잡아봅니다",3.8,25,18,791,1,
2026.04.07(화) 10:56,2026.04.07(화) 18:54,몬스터 헌터: 월드,전체,🐹몬헌월드🐹 몬헌 4일차인데 이블린 견제가 심한 편www,8,24,18,2538,1,
2026.04.06(월) 08:51,2026.04.06(월) 17:42,몬스터 헌터: 월드,전체,🐹몬헌월드🐹 얼마나 세계관 1짱이 되고싶은지 감도 안오는 뉴비,8.8,24,18,3077,2,
2026.04.06(월) 08:18,2026.04.06(월) 08:48,몬스터 헌터: 월드,전체,🐹몬헌월드🐹 얼마나 세계관 1짱이 되고싶은지 감도 안오는 뉴비,0.5,9,8,139,0,
2026.04.05(일) 11:34,2026.04.05(일) 18:00,리그 오브 레전드,전체,🐹자랭시참🐹 쨔랭할랭말랭쨔랭할랭말랭쨔랭할랭말랭쨔랭할랭말랭쨔랭할랭말랭쨔랭할랭말랭쨔랭할랭말랭쨔랭할랭말랭쨔랭할랭말랭쨔랭할랭말랭쨔랭할랭말랭쨔랭할랭말랭쨔랭할랭말랭쨔랭할랭말랭쨔랭할랭말랭,6.4,26,17,709,3,
2026.04.03(금) 10:59,2026.04.03(금) 17:12,리그 오브 레전드,전체,🐹일반시참🐹 시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참시참,6.2,22,17,824,-1,
2026.04.02(목) 10:37,2026.04.02(목) 20:12,리그 오브 레전드,전체,🐹일반시참🐹 으흐흫ㅋㅋ흫 ㅎㅎ만우절 협곡 어디 한번 맛 좀 보겠습니다 으흐흐,9.6,26,19,1599,1,
2026.04.01(수) 09:46,2026.04.01(수) 20:36,몬스터 헌터: 월드,전체,🐹신입남캠🐹그동안 속여와서 죄송합니다. 몬헌월드로 보답할게요.,10.8,24,18,3370,4,
2026.03.30(월) 08:02,2026.03.30(월) 18:48,몬스터 헌터: 월드,전체,🐹몬헌월드🐹 몬스터 세계관에서 신인류 최강자 되어보기 1일차,10.8,24,19,3512,3,
2026.03.29(일) 11:36,2026.03.29(일) 17:30,그림/아트,전체,🐹갈틱폰🐹 가르티쿠포옹 잇쇼니 이케마쇼,5.9,26,20,2563,2,
2026.03.28(토) 10:19,2026.03.28(토) 20:30,리그 오브 레전드,전체,🐹일반시참🐹[Ang발신]★선택받은 자 모집중★ ☞접속시 팀운 무료체험!!※지금 확인하세요!!♨동료모집 마지막 기회♨이미 시작됨♨ ☞빨리 타☜,10.2,28,19,2461,5,
2026.03.26(목) 09:39,2026.03.26(목) 20:24,리그 오브 레전드,전체,🐹일반시참🐹 앙공주 오늘 귀 빠진 날🎉해피버스데이투🎂,10.7,31,20,2649,2,
2026.03.25(수) 11:30,2026.03.25(수) 18:00,리그 오브 레전드|음악/노래|talk,전체,🐹내일이 생일이라 인생 첫 노래뱅 해봅니다🐹,6.5,28,19,2521,5,
2026.03.24(화) 10:57,2026.03.24(화) 19:00,리그 오브 레전드,전체,🐹골드3🐹 전세계 골드들아 나에게 힘을줘!!!!!!!!!!!!!!!!!,8,21,15,1825,0,
2026.03.23(월) 07:58,2026.03.23(월) 15:12,리그 오브 레전드,전체,🐹일반시참🐹연약해서 지켜주고 싶어지는 친칠라 여스의 마음 따뜻해지는 시참 방송,7.2,30,23,1695,3,
2026.03.20(금) 11:06,2026.03.20(금) 18:48,리그 오브 레전드,전체,🐹일반시참🐹 돈구리오 일반시참 레스토랑,7.7,28,18,999,1,
2026.03.19(목) 10:29,2026.03.19(목) 18:48,종합 게임|리그 오브 레전드,전체,🐹갈틱폰🐹 [광고] 🎨미술관 OPEN! 화가님 긴급모집🚨 지금 시참하세요!,8.3,28,19,1795,3,
2026.03.18(수) 10:29,2026.03.18(수) 16:30,리그 오브 레전드,전체,🐹일반시참🐹 💖 「왕소심 미소녀 INFP의 두근두근 시참 뱅💌 고객님을 기다려요!🪄」,6,25,18,1382,1,
2026.03.17(화) 11:28,2026.03.17(화) 15:36,리그 오브 레전드,전체,🐹골드2🐹 올라갈게올라갈게올라갈게올라갈게올라갈게올라갈게올라갈게올라갈게올라갈게올라갈게올라갈게올라갈게올라갈게올라갈게올라갈게올라갈게올라갈게올라갈게올라갈게올라갈게올라갈게올라갈게올라갈게,4.1,23,17,936,0,
2026.03.16(월) 11:00,2026.03.16(월) 17:12,종합 게임|리그 오브 레전드,전체,"🐹골드2🐹나는 서포터, 우리의 해일은 골드를 뚫는 해일이다🌊",6.2,25,15,1780,1,
