시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 11:00,LIVE,로스트아크,전체,LIVE,2.3,28,24,804,0,
2026.06.12(금) 11:00,2026.06.12(금) 18:00,성세천하: 여제의 탄생 Ⅱ|로스트아크|talk,전체,유월시비비비릴,7,24,16,2292,3,
2026.06.11(목) 10:59,2026.06.11(목) 17:00,로스트아크,전체,유월시비릴,6,27,22,2559,1,
2026.06.10(수) 11:00,2026.06.10(수) 17:00,로스트아크,전체,유월시빌,6,32,23,1904,0,
2026.06.09(화) 11:00,2026.06.09(화) 17:06,로스트아크,전체,ㅋㅋ누가화요일까지숙제함,6.1,25,18,2000,1,
2026.06.08(월) 11:59,2026.06.08(월) 17:48,로스트아크,전체,얏호~☆⌒(*＾-゜)v,5.8,31,26,1713,0,
2026.06.07(일) 12:00,2026.06.07(일) 18:24,로스트아크,전체,자물쇠 해제를 원합니다.,6.4,71,37,1501,3,
2026.06.05(금) 11:00,2026.06.05(금) 18:24,로스트아크,전체,자물쇠 해제를 원합니다.,7.4,67,35,1629,0,
2026.06.04(목) 11:00,2026.06.04(목) 18:48,로스트아크,전체,자물쇠 해제를 원합니다.,7.8,42,30,1356,2,
2026.06.03(수) 11:00,2026.06.03(수) 18:36,로스트아크,전체,자물쇠 해제를 원합니다.,7.6,57,41,1917,3,
2026.06.02(화) 11:00,2026.06.02(화) 18:12,로스트아크,전체,어이 렁씨 여기 와서 아브나 캐 / 이봐 렁씨 앙 그만하고 아브나 캐 / 앙씨 렁 그만하고 아브나 캐 / 브씨 그 아만하고 렁앙나 캐 / 어이 아브씨 여기와서 렁이나 캐,7.2,45,33,1964,3,
2026.06.01(월) 11:01,2026.06.01(월) 17:30,로스트아크,전체,💚네이버사랑해💚,6.5,48,34,1576,0,
2026.05.31(일) 11:30,2026.05.31(일) 17:30,로스트아크,전체,어이 렁씨 여기와서 아브나 캐~,6,43,31,1974,2,
2026.05.30(토) 10:56,2026.05.30(토) 17:48,로스트아크,전체,어이 렁씨 여기와서 아브나 캐~,6.9,43,29,1992,-1,
2026.05.28(목) 11:31,2026.05.28(목) 17:24,로스트아크,전체,알아버렸다.(모름),5.9,33,24,1913,1,
2026.05.27(수) 11:55,2026.05.27(수) 17:48,로스트아크,전체,ʕ•̭͡•ʕ•̯ͦ͡•ʕ•̻̀•́ʔʕ•̼͛͡•ʕ-̺͛͡•ʔ•̮͛͡•ʔʕ•̮͡•ʔ,5.9,32,22,1669,0,
2026.05.26(화) 11:01,2026.05.26(화) 18:30,로스트아크,전체,안녕카츄ヾ(•ω•`)o,7.5,29,23,2485,3,
2026.05.23(토) 11:00,2026.05.23(토) 19:54,로스트아크,전체,안녕삐ヾ(•ω•`)o,8.9,41,27,2335,0,
2026.05.22(금) 11:00,2026.05.22(금) 19:24,로스트아크|레이튼 교수와 이상한 마을 HD|talk,전체,렁갱님 임플란트 비용은 보험청구가 어려우세용🙏🏻🙏🏻,8.4,25,19,3027,-1,
2026.05.21(목) 11:55,2026.05.21(목) 18:30,로스트아크,전체,목요렁,6.6,26,20,2664,1,
2026.05.20(수) 11:01,2026.05.20(수) 18:54,로스트아크,전체,수요일의 박렁이ʕっꈍᗜꈍςʔ,7.9,27,21,2262,-1,
2026.05.19(화) 11:00,2026.05.19(화) 16:48,talk,전체,렁치마인두(김치아님)₊˚⊹⋆,5.8,29,23,8398,0,
2026.05.18(월) 12:00,2026.05.18(월) 17:54,로스트아크|프래그마타|talk,전체,유후후,5.9,22,18,1374,1,
2026.05.17(일) 12:00,2026.05.17(일) 17:30,로스트아크,전체,안냐쨉째용,5.5,29,23,2204,1,
