시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 10:55,LIVE,로스트아크,전체,LIVE,3.3,20,14,495,0,
2026.06.14(일) 09:55,2026.06.14(일) 15:36,로스트아크,전체,[댕청미] 나브! 작은 헬퍼가 매운법!,5.7,19,13,1040,0,
2026.06.13(토) 09:50,2026.06.13(토) 16:48,로스트아크,전체,[댕청미] 나브! 작은 헬퍼가 매운법!,7,21,12,697,0,
2026.06.12(금) 11:34,2026.06.12(금) 15:06,로스트아크,전체,[댕청미] 익하브 암살팟!! 클골몰아주기빵!! (9시 모집후 출발!),3.5,15,9,396,3,
2026.06.10(수) 11:57,2026.06.10(수) 15:30,로스트아크,전체,[댕청미] 혹군의 로요일!!,3.5,11,7,416,0,
2026.06.09(화) 13:09,2026.06.09(화) 15:36,로스트아크,전체,[댕청미] 지가악!!!! 미안해요! (로아 밀린 숙제 할게용),2.4,11,8,364,0,
2026.06.08(월) 11:56,2026.06.08(월) 16:00,로스트아크,전체,[댕청미] 보노흰 파노노 파보보! 노흰파 흰흰보~ 보보노 파흰파~ 노보노~ 보파흰 흰파보 파보노 노보파 노노노~ 노파흰 흰보파 보파보 파파노~ 노보파 파파흰 보흰보 흰노보 노파보,4.1,21,14,290,3,
2026.06.07(일) 09:49,2026.06.07(일) 15:06,로스트아크,전체,[댕청미] 아브! 이 더럽고 치사하고 못생기고 변태같고 추한 악마야! (익스 나메 아브 트라이!),5.3,32,22,376,2,
2026.06.06(토) 09:53,2026.06.06(토) 17:00,로스트아크,전체,[댕청미] 아브! 이 더럽고 치사하고 못생기고 변태같은 악마야! (익스 나메 아브 트라이!),7.1,23,16,810,2,
2026.06.05(금) 10:50,2026.06.05(금) 17:00,로스트아크,전체,[댕청미] 아브! 이 더럽고 치사하고 못생긴 악마야! (익스 나메 아브 트라이!),6.2,20,15,571,1,
2026.06.03(수) 09:55,2026.06.03(수) 15:42,로스트아크,전체,[댕청미] 아브 가기전에 숙제 빼버리기! (로아 숙제뺄게용),5.8,13,8,530,2,
2026.06.02(화) 11:57,2026.06.02(화) 15:48,로스트아크,전체,[댕청미] 아브! 이 번주는 내가 봐준다.. (익하브 런치고 밀린 숙제 빼기!),3.8,14,11,646,2,
2026.06.01(월) 11:50,2026.06.01(월) 15:42,로스트아크,전체,[댕청미] 아브! 이 더럽고 치사한 악마자식! (익스 나메 아브 트라이!),3.9,22,13,782,0,
2026.05.31(일) 09:48,2026.05.31(일) 15:30,로스트아크,전체,[댕청미] 아브! 이 더러어운 악마자식! (익스 나메 아브 트라이!),5.7,21,13,695,1,
2026.05.30(토) 09:57,2026.05.30(토) 15:42,로스트아크,전체,[댕청미] 아브! 이 더러운 악마자식! (익스 나메 아브 트라이!),5.7,16,12,364,0,
2026.05.29(금) 11:45,2026.05.29(금) 16:18,로스트아크,전체,[댕청미] 아브! 결투를 신청하지! (익스 나메 아브 트라이!),4.5,14,8,989,0,
2026.05.27(수) 12:13,2026.05.27(수) 15:06,로스트아크,전체,[댕청미] 오늘은 익스 전 숙제 빼기!,2.9,14,8,312,0,
2026.05.26(화) 11:53,2026.05.26(화) 15:12,로스트아크,전체,[댕청미] 익하하하하하하하하하하하핳하 하브 도망!!,3.3,12,7,335,2,
2026.05.25(월) 11:06,2026.05.25(월) 16:30,로스트아크,전체,[댕청미] 익스 나메 아브? 한방이면 되지... 내가.. (로아 익스 나메 아브 트라이),5.4,11,7,306,1,
2026.05.24(일) 09:57,2026.05.24(일) 15:18,로스트아크,전체,[댕청미] 비명의 군주 vs 혹한의 군주 (익스 나메 아브 xm라이!!!),5.3,13,9,404,1,
2026.05.23(토) 09:53,2026.05.23(토) 16:06,로스트아크,전체,[댕청미] 비명의 군주 vs 혹한의 군주 (익스 나메 아브 츄라이!!!),6.2,14,8,1545,-1,
2026.05.22(금) 11:58,2026.05.22(금) 15:06,로스트아크,전체,[댕청미] 경주월드가서 비명의 군주하고 와서 목이 가버렸따! (익스 나메 아브 츄라이!!!),3.1,11,6,221,0,
2026.05.20(수) 11:58,2026.05.20(수) 15:36,로스트아크,전체,[댕청미] 혹군전 숙제들 빼기!!,3.6,11,6,329,2,
2026.05.19(화) 11:57,2026.05.19(화) 15:00,로스트아크,전체,[댕청미] 혹군 준비,3,10,6,149,2,
2026.05.18(월) 11:56,2026.05.18(월) 15:06,데드 애즈 디스코|로스트아크,전체,[댕청미] 세르카 나메2관 트라이 도와주러 갔다가 알고보니 내가 숙코였다는 것을 알게 된것에 대하여,3.2,14,10,557,1,
2026.05.17(일) 09:59,2026.05.17(일) 14:42,로스트아크|서브노티카 2,전체,[댕청미] 므오는 울부짖었다! 크앙! (1부 로아 숙제 / 2부 서브노티카2),4.7,14,8,329,3,
2026.05.16(토) 09:58,2026.05.16(토) 16:12,로스트아크,전체,[댕청미] 말랑말랑 세르카 나메 트라이!! (저는 도우미 입니다! 엩햄!),6.2,15,9,1088,0,
2026.05.15(금) 12:02,2026.05.15(금) 16:12,로스트아크,전체,[댕청미] 곰은 사람을 찢어 (로아 레이드 빼자!),4.2,13,9,631,2,
2026.05.13(수) 11:55,2026.05.13(수) 15:54,로스트아크,전체,[댕청미] 오레하하하하하하하 쿤겔겔겔겔겔겔겔겔 (로요일! 로아할게요!),4,11,7,510,0,
2026.05.12(화) 11:55,2026.05.12(화) 15:36,데드 스페이스|로스트아크,전체,[댕청미] 어떻게 비명이 므게게겍 (로아 일숙만 하고 데드스페이스 할게용),3.7,7,5,175,0,
2026.05.11(월) 11:51,2026.05.11(월) 15:30,데드 스페이스|로스트아크,전체,[댕청미] 개댕청 유령 므오는 오늘 공포게임을 할것이다! (일숙만 하고 데드스페이스 할게용),3.6,8,4,404,0,
2026.05.10(일) 09:52,2026.05.10(일) 15:06,로스트아크,전체,[댕청미] 으아아 오늘 심신미약 상태 (1부 로아 1710 도화가 레이드 / 2부 미정),5.2,12,8,472,2,
2026.05.09(토) 09:53,2026.05.09(토) 15:30,로스트아크,전체,[댕청미] 아바바바바박! 샥!! (로아 레이드 뺄게용),5.6,12,7,459,1,
2026.05.08(금) 10:54,2026.05.08(금) 16:36,로스트아크,전체,[댕청미] 곰에찢! 곰은 에기르를 찢어어어엇!!! (익스 나메 에기르 트라이 갈게용),5.7,17,12,510,0,
