시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 09:00,LIVE,승리의 여신: 니케|talk,전체,LIVE,5.2,12,10,961,-1,
2026.06.13(토) 09:00,2026.06.13(토) 15:54,talk,전체,suno로 공포특집 브금 만들어보기,6.9,12,9,1229,0,
2026.06.12(금) 09:00,2026.06.12(금) 15:54,성세천하: 여제의 탄생 Ⅱ|talk,전체,금요일 스하스하(o゜▽゜)o☆,6.9,15,11,1207,1,
2026.06.11(목) 09:16,2026.06.11(목) 19:00,승리의 여신: 니케|성세천하: 여제의 탄생 Ⅱ|talk,전체,모니에 교수님 아침 강의 들으러 왔어요,9.7,14,10,1813,0,
2026.06.11(목) 01:00,2026.06.11(목) 04:30,명조:워더링 웨이브|talk,전체,굿모닝☀️,3.5,14,10,419,-1,
2026.06.10(수) 10:00,2026.06.10(수) 17:54,승리의 여신: 니케|성세천하: 여제의 탄생 Ⅱ|talk,전체,드라마 보려고 휴방 반납,7.9,15,12,2046,1,
2026.06.09(화) 09:08,2026.06.09(화) 17:42,성세천하: 여제의 탄생|성세천하: 여제의 탄생 Ⅱ|talk,전체,말차 아이스크림 마시따,8.6,17,12,1966,1,
2026.06.08(월) 09:01,2026.06.08(월) 17:00,성세천하: 여제의 탄생|talk,전체,월요일 스하스하,8,16,12,1972,1,
2026.06.06(토) 10:02,2026.06.06(토) 18:24,펜티먼트|talk,전체,저녁 스하스하◝(⁰▿<),8.4,18,11,1632,6,
2026.06.06(토) 00:01,2026.06.06(토) 04:42,명조:워더링 웨이브|talk,전체,굿모닝,4.7,22,13,712,1,
2026.06.05(금) 09:00,2026.06.05(금) 17:36,펜티먼트|talk,전체,드디어 금요일!!!,8.6,16,11,1305,-1,
2026.06.04(목) 09:00,2026.06.04(목) 17:48,펜티먼트|talk,전체,비가 주륵주륵( ˊᵕˋ ٥)ﾟ,8.8,18,11,1624,0,
2026.06.03(수) 02:00,2026.06.03(수) 04:36,talk,전체,낮휴뱅송이에오,2.6,17,13,873,0,
2026.06.02(화) 09:01,2026.06.02(화) 16:42,펜티먼트|talk,전체,오늘은 진짜 짧고 굵은 저챗을꜀(.ᗜ. ꜆)꜄,7.7,15,11,1022,0,
2026.06.01(월) 09:12,2026.06.01(월) 16:00,talk,전체,월요일 스하스하스하스하스ㅏㅎ,6.8,18,13,2905,1,
2026.05.30(토) 09:09,2026.05.30(토) 18:12,펜티먼트|두근두근타운|talk,전체,이사하고 처음으로 밖에 나갔다 왔어요,9,16,12,1719,1,
2026.05.29(금) 10:01,2026.05.29(금) 17:30,명조:워더링 웨이브|두근두근타운|talk,전체,오늘 명조 끝장을 내보자,7.5,14,10,1487,2,
2026.05.29(금) 02:51,2026.05.29(금) 05:00,명조:워더링 웨이브|두근두근타운,전체,에필로그 보는데 컴퓨터가 터져버림,2.1,14,10,163,1,
2026.05.29(금) 01:50,2026.05.29(금) 02:36,명조:워더링 웨이브|talk,전체,지각이야!!!,0.8,9,6,101,0,
2026.05.28(목) 01:01,2026.05.28(목) 15:42,명조:워더링 웨이브|두근두근타운|talk,전체,아침 스하스하,14.7,21,14,2449,3,
2026.05.26(화) 09:31,2026.05.26(화) 17:36,명조:워더링 웨이브|talk,전체,1일 2방송,8.1,16,11,1426,2,
2026.05.26(화) 01:00,2026.05.26(화) 04:30,명조:워더링 웨이브|talk,전체,브런치뱅🥞,3.5,14,11,326,3,
2026.05.25(월) 09:01,2026.05.25(월) 16:36,명조:워더링 웨이브|메이플스토리 월드|talk,전체,스태식이 돌아왔구나,7.6,18,13,1283,5,
2026.05.24(일) 13:08,2026.05.24(일) 17:06,메이플스토리 월드|talk,전체,컴퓨터 설치하고 테스트 방송!,4,18,12,1278,1,
2026.05.23(토) 13:12,2026.05.23(토) 16:00,talk,전체,이사 끝내고 돌아왔습니다!!,2.8,12,10,940,0,
2026.05.23(토) 13:01,2026.05.23(토) 13:06,talk,전체,이사 끝내고 돌아왔습니다!!,0.1,9,9,0,0,
2026.05.23(토) 12:41,2026.05.23(토) 12:54,talk,전체,이사 끝내고 돌아왔습니다!!,0.2,7,3,0,0,
2026.05.19(화) 09:00,2026.05.19(화) 15:48,이환|두근두근타운|talk,전체,일찍 일어남 청년,6.8,17,12,934,-1,
