시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 11:00,LIVE,종합 게임|talk,전체,LIVE,3.2,13,9,682,-1,
2026.06.13(토) 11:00,2026.06.13(토) 18:54,이환|talk,전체,🍩🍩올100프로젝뜨🍩🍩 (๑╹∀╹๑) [ 오겜 : 이환 ],7.9,25,19,2455,3,
2026.06.12(금) 11:00,2026.06.12(금) 18:42,이환|talk,전체,🍩베이글🍩 중독 치료가능한가욥 (๑╹∀╹๑) [ 오겜 : 이환 ],7.7,34,23,2542,8,
2026.06.10(수) 11:00,2026.06.10(수) 19:48,원신|talk,전체,로엔은 애가 좀 무서워용 (๑╹∀╹๑) 원신사랑단 [ 오겜 : 원신 ],8.8,20,14,1620,2,
2026.06.09(화) 11:00,2026.06.09(화) 17:48,이환|talk,전체,까마귀런 이것저것의 날 (๑╹∀╹๑) [ 오겜 : 이환 ],6.8,33,22,1888,2,
2026.06.08(월) 11:02,2026.06.08(월) 20:00,이환|talk,전체,🍗치킨런 : 핑크퍼스를 털어라🍗9시에 시쟉 (๑╹∀╹๑) [ 오겜 : 이환 ],9,59,41,3604,17,
2026.06.06(토) 10:59,2026.06.06(토) 18:12,이환|talk,전체,🍩베이글 중독자🍩 (๑╹∀╹๑) [ 오겜 : 이환 ],7.2,39,25,2077,11,
2026.06.04(목) 10:59,2026.06.04(목) 16:12,이환|talk,전체,뽀르쉐 레이싱 긔? (๑╹∀╹๑) [ 오겜 : 이환 ],5.2,24,17,1840,1,
2026.06.03(수) 11:00,2026.06.03(수) 20:24,이환|talk,전체,🍅라리모 두 둥 등 장🍅 포르쉐는 어떤가용 (๑╹∀╹๑) [ 오겜 : 이환 ],9.4,34,23,2729,3,
2026.06.01(월) 11:00,2026.06.01(월) 20:30,이환|talk,전체,우왕 월요일이당 (๑╹∀╹๑) [ 오겜 : 이환 ],9.5,42,26,3013,6,
2026.05.31(일) 11:00,2026.05.31(일) 18:30,이환|talk,전체,라리모를 만나기 전 맵 100프로 만들기대작전 (๑╹∀╹๑) [ 오겜 : 이환 ],7.5,42,25,3085,7,
2026.05.30(토) 10:59,2026.05.30(토) 17:00,이환|talk,전체,라리모 나올때까지 이것저것까마귀런 (๑╹∀╹๑) [ 오겜 : 이환 ],6,35,22,2122,7,
2026.05.29(금) 11:00,2026.05.29(금) 18:12,이환|talk,전체,까마귀런하면서 캐릭터뽑기 [ 오겜 : 이환 ],7.2,20,14,2260,4,
2026.05.27(수) 11:01,2026.05.27(수) 20:30,이환|종합 게임|talk,전체,오늘은 갑자기 종겜데이 [ 오겜 : 에브리씽 이즈 크랩 ],9.5,25,10,1024,2,
2026.05.26(화) 11:00,2026.05.26(화) 19:48,원신|talk,전체,하이하이하이하이하이요! [ 오겜 : 원신 ],8.8,12,8,220,2,
2026.05.24(일) 11:01,2026.05.24(일) 17:36,이환|talk,전체,일요일 일요일 루나쨩 등장 \(`•ω•´)/*҉ [ 오겜 : 이환 ],6.6,29,17,1277,1,
2026.05.23(토) 11:00,2026.05.23(토) 18:06,이환|talk,전체,처음보는 이환특방 도키도키 [ 오겜 : 이환 ],7.1,26,15,1521,4,
2026.05.22(금) 11:01,2026.05.22(금) 17:30,원신|talk,전체,우와앗 오랜만에 마신임무!! 수메르 니콜 [ 오겜 : 원신 ],6.5,12,9,780,0,
2026.05.21(목) 11:00,2026.05.21(목) 20:30,이환|종합 게임|talk,전체,700팔로우 기념 공포게임 하는 날! ✧ ☆ ٩(`･ω･´) [ 오겜 : BACKROOM LOOP ],9.5,52,24,1633,8,
2026.05.18(월) 11:02,2026.05.18(월) 17:00,이환|talk,전체,저의 도시에도 눈이 올까요 오늘 서브퀘호로록 (๑╹∀╹๑) [ 오겜 : 이환 ],6,36,20,867,5,
2026.05.17(일) 11:00,2026.05.17(일) 18:00,이환|talk,전체,치즈까지 단 한발자국 (๑╹∀╹๑) [ 오겜 : 이환 ],7,56,25,1634,13,
2026.05.15(금) 10:59,2026.05.15(금) 15:18,이환|talk,전체,궤에에에에도 첫도전갈게용 (๑╹∀╹๑) [ 오겜 : 이환 ],4.3,21,16,1051,-1,
