시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 15:57,2026.06.15(월) 12:48,이스케이프 프롬 타르코프|Once Human|talk,전체,🍒가방정리하자!_컴ㄷ터가 아파요!🍒,20.8,39,20,3059,9,
2026.06.14(일) 13:23,2026.06.14(일) 15:30,이스케이프 프롬 타르코프|마인크래프트|talk,전체,🍒안녕 디지몬?포켓몬!🍒,2.1,14,10,364,0,
2026.06.13(토) 20:46,2026.06.14(일) 06:24,음악/노래|이스케이프 프롬 타르코프|마인크래프트,전체,🍒진짜 그냥 기절ㅇ 맞아!🍒,9.6,28,18,608,4,
2026.06.12(금) 23:08,2026.06.13(토) 16:06,음악/노래|이스케이프 프롬 타르코프|마인크래프트|talk,전체,"🍒노방종,,.,,언제끝나???🍒",17,26,17,794,4,
2026.06.11(목) 19:54,2026.06.12(금) 17:42,이스케이프 프롬 타르코프|마인크래프트|talk,전체,🍒우선... 수박부터 해결해 볼까?🍒,21.8,54,16,987,3,
2026.06.10(수) 09:33,2026.06.11(목) 14:06,이스케이프 프롬 타르코프|마인크래프트|talk,전체,🍒수박..뚜박..띠박!🍒,28.5,35,16,1647,1,
2026.06.09(화) 16:17,2026.06.10(수) 01:54,미설정|이스케이프 프롬 타르코프|마인크래프트,전체,🍒내가왓따 김보니!🍒,9.6,21,14,435,2,
2026.06.08(월) 12:19,2026.06.09(화) 16:06,이스케이프 프롬 타르코프|마인크래프트|talk,전체,🍒[혁명PD몬스터] 저도 선택 받고 싶어욤 ㅠㅡㅜ 🍒,27.8,46,18,1328,5,
2026.06.07(일) 12:02,2026.06.08(월) 12:12,미설정|이스케이프 프롬 타르코프|마인크래프트|talk,전체,🍒잡았다 !🍒,24.2,38,17,1333,4,
2026.06.06(토) 06:46,2026.06.07(일) 00:06,프래그마타|이스케이프 프롬 타르코프,전체,🍒어제....바로기절함🍒,17.3,27,15,522,0,
2026.06.05(금) 10:31,2026.06.05(금) 21:12,프랫폴|이스케이프 프롬 타르코프,전체,🍒저는 잠꾸러기 말도 잘안듣는 바보에요🍒,10.7,25,16,238,0,
2026.06.04(목) 07:07,2026.06.05(금) 09:48,프래그마타|이스케이프 프롬 타르코프,전체,🍒내가 구해줄게!같이 집가자🍒,26.7,29,15,659,3,
2026.06.04(목) 05:49,2026.06.04(목) 05:54,프래그마타,전체,🍒내가 구해줄게!같이 집가자🍒,0.1,5,5,0,0,
2026.06.04(목) 04:21,2026.06.04(목) 05:30,음악/노래|프래그마타,전체,🍒안녕 애둘아?🍒,1.1,11,9,90,1,
2026.06.03(수) 06:39,2026.06.04(목) 04:12,음악/노래|이스케이프 프롬 타르코프|talk,전체,🍒데헷>< 귀여운 뽀니 출근!🍒,21.5,32,20,1672,5,
2026.06.02(화) 09:28,2026.06.02(화) 20:54,이스케이프 프롬 타르코프,전체,🍒내가 노방종이라니...🍒,11.4,26,15,896,2,
2026.06.01(월) 15:05,2026.06.01(월) 23:18,이스케이프 프롬 타르코프|talk,전체,🍒저 쇄빙선 가요!🍒,8.2,31,16,725,0,
2026.05.31(일) 10:14,2026.06.01(월) 14:00,이스케이프 프롬 타르코프|talk,전체,🍒...데헷🍒,27.8,40,16,518,4,
2026.05.30(토) 10:50,2026.05.31(일) 10:06,로스트아크|이스케이프 프롬 타르코프|talk,전체,🍒노방종...입니다🍒,23.3,33,16,700,2,
2026.05.29(금) 10:00,2026.05.30(토) 02:54,이스케이프 프롬 타르코프,전체,🍒x타타타타ㅏ타타타🍒,16.9,31,14,305,-1,
2026.05.28(목) 03:08,2026.05.28(목) 22:06,이스케이프 프롬 타르코프|마인크래프트,전체,🍒청소두번하면 병원갈듯... 🍒,19,22,14,982,3,
2026.05.26(화) 08:47,2026.05.26(화) 17:42,이스케이프 프롬 타르코프|마인크래프트,전체,🍒휴뱅인데..다이아탈출은..해야지... 🍒,8.9,19,12,874,2,
2026.05.25(월) 14:02,2026.05.25(월) 20:30,이스케이프 프롬 타르코프,전체,🍒늦뱅온!🍒,6.5,21,13,394,1,
2026.05.24(일) 10:35,2026.05.25(월) 03:48,슬레이 더 스파이어|로스트아크|이스케이프 프롬 타르코프|마인크래프트,전체,🍒오빠 나 뭐 달라진거 없어?🍒,17.2,35,19,1256,5,
2026.05.23(토) 10:56,2026.05.23(토) 17:54,로스트아크,전체,🍒트라이..해볼까?🍒,7,24,15,254,0,
2026.05.22(금) 22:19,2026.05.23(토) 03:24,이스케이프 프롬 타르코프,전체,🍒예이아_벌칙은 노방종....🍒,5.1,22,14,468,1,
2026.05.22(금) 10:27,2026.05.22(금) 22:18,이스케이프 프롬 타르코프|마인크래프트,전체,🍒벌칙....머할까?🍒,11.8,31,16,672,2,
2026.05.21(목) 09:01,2026.05.22(금) 00:00,로스트아크|이스케이프 프롬 타르코프,전체,🍒나메.....트라잉..내가 할수잇을까?🍒,15,28,15,343,4,
2026.05.20(수) 08:16,2026.05.20(수) 18:12,로스트아크|이스케이프 프롬 타르코프,전체,🍒안뇽!🍒,9.9,22,15,479,-1,
2026.05.17(일) 10:38,2026.05.17(일) 19:36,미설정|이스케이프 프롬 타르코프,전체,🍒무기력...해요ㅠ🍒,9,22,17,494,-1,
2026.05.15(금) 09:57,2026.05.15(금) 17:36,이스케이프 프롬 타르코프|서브노티카 2,전체,🍒바다속이 궁금해요!🍒,7.6,16,14,242,1,
