시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 05:59,2026.06.14(일) 12:00,승리의 여신: 니케,전체,니케 스토리 어디부터 봐야하더라,6,20,16,696,2,
2026.06.13(토) 06:00,2026.06.13(토) 14:00,승리의 여신: 니케|로스트아크,전체,3시 니케 41-42 스토리 / 7시 로아 익나브 도와주기,8,44,22,1315,3,
2026.06.12(금) 11:56,2026.06.12(금) 17:54,로스트아크,전체,한주만 참으면 로아온이 어쩌고,6,28,21,1776,-1,
2026.06.11(목) 11:58,2026.06.11(목) 15:18,로스트아크,전체,보석 9렙 3개를 합성하면 손해라는데..,3.3,27,19,905,0,
2026.06.10(수) 12:00,2026.06.10(수) 15:48,로스트아크,전체,이번주도 등장한 레이드숙제열차,3.8,28,22,1227,0,
2026.06.07(일) 05:57,2026.06.07(일) 14:48,승리의 여신: 니케,전체,38지부터 스토리 보기,8.8,18,12,1065,2,
2026.06.06(토) 06:01,2026.06.06(토) 13:18,승리의 여신: 니케,전체,33지부터 스토리 보기,7.3,20,14,512,2,
2026.06.05(금) 12:00,2026.06.05(금) 16:24,로스트아크,전체,로아 최후의 장난감 익나브 ;;,4.4,40,23,1311,0,
2026.06.04(목) 11:59,2026.06.04(목) 15:18,로스트아크,전체,오늘이면 이번주 골드먹는 레이드 끝 ㅋㅋ,3.3,27,21,796,0,
2026.06.03(수) 11:56,2026.06.03(수) 15:00,로스트아크,전체,내일이면 골드먹는 레이드끝남 실화임,3.1,31,24,549,0,
2026.06.03(수) 05:59,2026.06.03(수) 10:00,로스트아크,전체,보석 언제까지 떨어짐?,4,37,26,1139,-1,
2026.05.31(일) 05:59,2026.05.31(일) 11:06,로스트아크,전체,자유시간 째깐이2,5.1,58,33,957,0,
2026.05.30(토) 06:00,2026.05.30(토) 10:42,로스트아크,전체,자유시간 째깐이,4.7,45,29,1216,1,
2026.05.29(금) 11:59,2026.05.29(금) 17:36,로스트아크,전체,오늘하면 골드먹는 레이드 끝,5.6,30,22,1568,2,
2026.05.28(목) 11:57,2026.05.28(목) 15:12,로스트아크,전체,종하종하나성나성,3.2,31,25,906,0,
2026.05.27(수) 11:59,2026.05.27(수) 16:12,로스트아크,전체,1750 2캐릭 레이드 같이 빼실분 구함,4.2,40,31,1472,0,
2026.05.25(월) 05:50,2026.05.25(월) 15:36,로스트아크,전체,발악단 기상 가능합니까,9.8,131,72,4137,4,
2026.05.24(일) 05:02,2026.05.24(일) 18:12,로스트아크,전체,일숙하고 나메트 계속 ㄱㄱ,13.2,108,49,2712,5,
2026.05.23(토) 12:02,2026.05.23(토) 17:06,로스트아크,전체,패턴깎기게임,5.1,42,32,1232,2,
2026.05.23(토) 05:58,2026.05.23(토) 09:06,로스트아크,전체,익나브 영상 못본 뇌 ;;,3.1,41,29,1061,0,
2026.05.22(금) 11:19,2026.05.22(금) 15:24,로스트아크,전체,여름감기 힘들다,4.1,28,21,702,1,
2026.05.21(목) 12:01,2026.05.21(목) 14:30,로스트아크,전체,in30 맛보게 해주세요 9시기준 16위임,2.5,32,24,626,0,
2026.05.20(수) 11:59,2026.05.20(수) 15:18,로스트아크,전체,하브mvp배경 없으면 익스나메 못감? 나 없는데,3.3,41,32,1123,0,
2026.05.18(월) 12:11,2026.05.18(월) 16:36,붉은사막,전체,개빡센 워료일이니까 붉은사막,4.4,19,15,643,2,
2026.05.17(일) 06:01,2026.05.17(일) 12:24,붉은사막,전체,아무생각없이 돌아다니는,6.4,31,24,575,0,
2026.05.16(토) 06:00,2026.05.16(토) 09:12,로스트아크,전체,이번주가 마지막 나기르래!!!!!,3.2,33,23,791,1,
2026.05.15(금) 11:59,2026.05.15(금) 15:30,로스트아크,전체,오늘 더위 머임 밤 맞나요,3.5,32,26,1391,0,
2026.05.14(목) 11:59,2026.05.14(목) 15:48,로스트아크,전체,같이 레이드 빼실분,3.8,47,32,1611,-1,
2026.05.13(수) 11:57,2026.05.13(수) 16:12,로스트아크,전체,퍄퍄퍄 in10배너 대박이쁨,4.2,37,27,1120,-1,
2026.05.10(일) 05:59,2026.05.10(일) 08:42,로스트아크,전체,고양이가 킹기만오면 자꾸 쩜프해..,2.7,49,35,673,1,
2026.05.08(금) 12:04,2026.05.08(금) 15:00,로스트아크,전체,오늘의 레이드 2캐릭,2.9,34,25,1049,0,
2026.05.07(목) 11:57,2026.05.07(목) 15:06,로스트아크,전체,오늘 하루도 고생 깐,3.1,33,25,969,-1,
2026.05.06(수) 11:58,2026.05.06(수) 14:54,로스트아크,전체,연휴 끝 다음날은 힘들구나ㅣ;;,2.9,28,21,716,-1,
2026.05.03(일) 05:59,2026.05.03(일) 11:54,붉은사막,전체,붉은사막 키 다 까먹음,5.9,28,22,330,1,
2026.05.02(토) 06:03,2026.05.02(토) 09:54,로스트아크,전체,먹던거 또먹기,3.8,38,28,1389,1,
2026.05.01(금) 11:59,2026.05.01(금) 14:54,로스트아크,전체,10작 2개 마무리를 위한 사투,2.9,30,21,776,-2,
2026.05.01(금) 05:56,2026.05.01(금) 09:06,로스트아크,전체,낮이라서 졸리면 개추,3.2,39,28,821,0,
2026.04.30(목) 11:56,2026.04.30(목) 17:12,승리의 여신: 니케|로스트아크,전체,종하종하 나성나성,5.3,31,23,1919,0,
2026.04.29(수) 11:59,2026.04.29(수) 15:06,로스트아크,전체,5월 1일 쉬는사람 잇나요,3.1,32,26,896,-2,
2026.04.26(일) 05:56,2026.04.26(일) 14:06,승리의 여신: 니케|로스트아크,전체,자유시간 째깐이,8.2,33,18,1288,-1,
2026.04.25(토) 05:59,2026.04.25(토) 13:00,로스트아크,전체,아가데헌 에기르 나이트메어 도전해보기,7,104,63,2055,2,
2026.04.24(금) 11:59,2026.04.24(금) 14:54,로스트아크,전체,6성당 ㅁㅊ ㅋㅋㅋㅋ,2.9,26,20,806,-1,
2026.04.23(목) 12:01,2026.04.23(목) 16:12,로스트아크,전체,6종하 가실분?,4.2,35,23,1233,0,
2026.04.22(수) 11:58,2026.04.22(수) 15:12,로스트아크,전체,6나르카 가실분?,3.2,31,23,573,2,
2026.04.22(수) 00:53,2026.04.22(수) 05:42,로스트아크,전체,2기가 고봉밥 패치 읽기,4.8,58,39,1496,0,
2026.04.20(월) 11:56,2026.04.20(월) 15:00,로스트아크,전체,님들아 저 4월22일 수요일 휴가씀,3.1,35,28,1946,-1,
2026.04.19(일) 05:59,2026.04.19(일) 10:42,로스트아크,전체,로스트악뀨,4.7,49,31,2607,2,
2026.04.18(토) 05:54,2026.04.18(토) 08:42,로스트아크,전체,증명 그만 좀 치세요 저 이번주 8천만실링써서 더 못씀,2.8,32,23,1031,1,
2026.04.17(금) 09:40,2026.04.17(금) 14:18,로스트아크,전체,라방 30분컷 예상,4.6,37,28,1791,0,
2026.04.16(목) 11:57,2026.04.16(목) 14:54,로스트아크,전체,"내일은 드디어 금요일,,",2.9,26,22,429,0,
2026.04.15(수) 11:59,2026.04.15(수) 14:54,로스트아크,전체,낙원 10등배너 왤케 이쁨 ㄷㄷ,2.9,32,24,522,0,
2026.04.13(월) 11:59,2026.04.13(월) 15:42,승리의 여신: 니케,전체,니케와 함께하는 자유시간 째깐이,3.7,18,13,682,6,
2026.04.12(일) 06:01,2026.04.12(일) 10:06,승리의 여신: 니케|로스트아크,전체,자유시간 째깐이,4.1,33,24,1037,0,
2026.04.11(토) 05:57,2026.04.11(토) 08:18,로스트아크,전체,평화가득 로스트아크,2.3,32,21,593,-1,
2026.04.10(금) 11:59,2026.04.10(금) 16:06,로스트아크,전체,데헌 증명 30위 안에 들게 해주세요,4.1,32,21,1112,2,
2026.04.09(목) 11:57,2026.04.09(목) 15:54,로스트아크,전체,아가데허니 등장,3.9,27,23,1012,0,
2026.04.08(수) 11:34,2026.04.08(수) 16:48,로스트아크,전체,오늘의 스타트 골드 1116골,5.2,31,24,1813,4,
2026.04.06(월) 11:59,2026.04.06(월) 15:42,붉은사막,전체,째깐이 하고싶은거 다해,3.7,14,11,214,0,
2026.04.05(일) 05:58,2026.04.05(일) 09:42,붉은사막,전체,불끈사막 메인 챕터 ㄱㄱ?,3.7,13,10,198,0,
2026.04.04(토) 12:07,2026.04.04(토) 16:18,붉은사막,전체,저녁불근사막,4.2,12,10,224,2,
2026.04.04(토) 05:58,2026.04.04(토) 09:18,로스트아크,전체,로아 일숙하고 붉사하러 ㄱㄱ,3.3,26,19,786,-1,
2026.04.03(금) 11:57,2026.04.03(금) 16:00,로스트아크,전체,모두 무기 강화 잘 붙게 해주세요,4,33,24,961,0,
2026.04.02(목) 11:56,2026.04.02(목) 16:12,로스트아크,전체,오늘 고대코어 무조건 먹음 ㄹㅇ,4.3,38,27,1242,0,
2026.04.01(수) 11:54,2026.04.01(수) 15:48,로스트아크,전체,로요일 본캐할때가 제일재밋음 ㄹㅇ,3.9,40,27,1124,1,
2026.03.29(일) 06:08,2026.03.29(일) 13:18,붉은사막,전체,조작법 다 까먹은 붉사 ㄱㄱ,7.2,19,14,492,2,
2026.03.28(토) 05:58,2026.03.28(토) 09:00,포켓몬 포코피아|로스트아크,전체,자유시간 째깐이,3,25,17,384,1,
2026.03.27(금) 11:58,2026.03.27(금) 18:18,로스트아크,전체,오늘은 쌀밥 먹고 왔음 진짜임,6.3,41,28,1522,-3,
2026.03.26(목) 11:56,2026.03.26(목) 15:06,로스트아크,전체,1750 배럭의 시대가 도래했도다,3.2,28,23,853,0,
2026.03.25(수) 11:33,2026.03.25(수) 16:12,로스트아크,전체,데헌은 좀 치는데 성당을 못함,4.6,32,23,1187,-2,
2026.03.24(화) 12:53,2026.03.24(화) 15:48,포켓몬 포코피아,전체,포코피아 네번째 도시 엔딩보나요,2.9,10,7,116,1,
2026.03.22(일) 05:57,2026.03.22(일) 14:06,포켓몬 포코피아,전체,네번째 도시 탐방하기,8.1,19,13,240,-2,
2026.03.21(토) 05:53,2026.03.21(토) 13:18,붉은사막|로스트아크,전체,자유시간 째깐이,7.4,22,16,1131,0,
2026.03.20(금) 11:58,2026.03.20(금) 17:36,로스트아크,전체,우당탕탕 로스트아크,5.6,34,25,1641,0,
2026.03.19(목) 11:55,2026.03.19(목) 15:18,로스트아크,전체,짤패 못외워서 머리에 뿔난 스머,3.4,36,27,828,0,
2026.03.18(수) 10:45,2026.03.18(수) 15:30,로스트아크,전체,바닥에 하루종일 누워있을 것만 같은 기분,4.7,38,26,2061,0,
2026.03.17(화) 13:21,2026.03.17(화) 16:30,포켓몬 포코피아,전체,뇌빼고 하는 짧방,3.1,12,8,138,-1,
2026.03.15(일) 05:57,2026.03.15(일) 11:12,로스트아크,전체,일숙하고 스토리 밀기...,5.2,30,24,2308,-1,
2026.03.14(토) 05:57,2026.03.14(토) 12:48,로스트아크,전체,어서오세요 오늘은 금요일,6.8,32,24,2192,1,
2026.03.13(금) 11:59,2026.03.13(금) 17:00,로스트아크,전체,어서오세요 오늘은 금요일,5,28,21,1241,0,
2026.03.12(목) 11:54,2026.03.12(목) 16:18,로스트아크,전체,이번주 스토리도 밀고 낙원도 해야함 ㄹㅇ,4.4,31,24,1398,-1,
2026.03.11(수) 10:49,2026.03.11(수) 17:36,로스트아크,전체,스토리 밀고 같이 레이드해요,6.8,39,28,1734,0,
2026.03.08(일) 06:00,2026.03.08(일) 12:00,포켓몬 포코피아,전체,포코피아 사이클로드,6,20,15,311,1,
2026.03.07(토) 14:28,2026.03.07(토) 20:42,포켓몬 포코피아,전체,포켓몬마크 3일차 새로운마을 복구하기,6.2,16,11,566,4,
2026.03.07(토) 06:00,2026.03.07(토) 08:36,로스트아크,전체,일숙하고 낙원지옥ㅋ,2.6,33,24,597,0,
2026.03.06(금) 09:57,2026.03.06(금) 20:48,포켓몬 포코피아|로스트아크,전체,4하종하4하종하하르카나르카,10.8,41,24,2646,2,
2026.03.05(목) 11:57,2026.03.05(목) 16:42,로스트아크,전체,4하종하4하종하하르카나르카,4.7,36,29,1558,-2,
