시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 12:00,LIVE,talk,전체,LIVE,1.3,17,13,591,0,
2026.06.12(금) 12:53,2026.06.12(금) 14:24,talk,전체,토크토크𓏼 ՞ ☕ ⑅ ͜˚̣,1.5,18,13,722,0,
2026.06.09(화) 10:31,2026.06.09(화) 16:24,캘러스|나이트 시큐리티|talk,전체,날씨가 풀렸다는데 나만 땀을 뻘뻘,5.9,21,16,2568,0,
2026.06.08(월) 10:30,2026.06.08(월) 16:12,곰아저씨 레스토랑|talk,전체,♡₍˄·͈-·͈˄*₎◞ ̑̑,5.7,18,14,2559,-2,
2026.06.06(토) 14:57,2026.06.06(토) 19:00,용과 같이 7 빛과 어둠의 행방 International|talk,전체,용7 스토리 미는 방꒰⑅՞. .՞꒱,4,18,15,1935,0,
2026.06.06(토) 10:38,2026.06.06(토) 14:48,talk|메탈슬러그 X,전체,방제를뭘적어야할지몰라서계속고민하다가그냥이렇게두기로했습니다( ◜ω◝ ),4.2,16,12,2692,-1,
2026.06.05(금) 14:18,2026.06.05(금) 17:42,용과 같이 7 빛과 어둠의 행방 International,전체,용7 스토리 미는 방꒰⑅՞. .՞꒱,3.4,16,13,1182,-1,
2026.06.05(금) 10:30,2026.06.05(금) 14:12,talk,전체,^ ̳ᴗ ̫ ᴗ ̳^금요일체고,3.7,15,12,1533,-1,
2026.06.04(목) 10:29,2026.06.04(목) 17:30,종합 게임|음악/노래|talk,전체,( ◜ω◝ )/같이 놀아요,7,22,13,3254,1,
2026.06.01(월) 13:34,2026.06.01(월) 15:30,용과 같이 7 빛과 어둠의 행방 International,전체,᯽혼자 용7 스토리 미는 방송᯽,1.9,16,14,808,0,
2026.06.01(월) 10:28,2026.06.01(월) 13:30,talk,전체,6월도 잘 부탁해요=^ ෆ ̫ ෆ ^=,3,18,14,1208,-4,
2026.05.30(토) 03:31,2026.05.30(토) 08:30,용과 같이 7 빛과 어둠의 행방 International,전체,᯽혼자 용같7 스토리 미는 방송᯽,5,18,13,1874,1,
2026.05.28(목) 12:05,2026.05.28(목) 15:06,용과 같이 7 빛과 어둠의 행방 International,전체,᯽혼자 용같7 스토리 미는 방송᯽,3,13,10,1271,1,
2026.05.23(토) 10:31,2026.05.23(토) 14:12,그림/아트|talk,전체,몸으로 말해요,3.7,19,12,840,2,
2026.05.22(금) 13:20,2026.05.22(금) 18:00,음악/노래|용과 같이 7 빛과 어둠의 행방 International|talk,전체,᯽뉴비의 용같7 스토리 미는 방송᯽,4.7,13,10,2045,0,
2026.05.22(금) 10:29,2026.05.22(금) 13:18,야근청소|talk,전체,오늘도 같이 놀아요^ ̳ට ̫ ට ̳^,2.8,14,11,1481,1,
2026.05.21(목) 10:39,2026.05.21(목) 17:42,talk,전체,일본가따와써^ ̳ ̫ ̳^,7,25,18,3193,2,
2026.05.18(월) 12:08,2026.05.18(월) 13:00,talk,전체,아졸려_(:3」z)_,0.9,14,11,375,0,
2026.05.15(금) 23:20,2026.05.16(토) 01:06,talk,전체,겟레디윗코코넛🥥,1.8,43,28,687,2,
