시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.13(토) 02:58,2026.06.13(토) 05:54,마인크래프트,전체,아 마크그렇게하는거 아닌데 아 ㅋㅋ,2.9,25,20,1175,3,
2026.06.11(목) 03:00,2026.06.11(목) 07:24,마인크래프트,전체,안녕하세요개순이TV입니다오늘해볼것은마인크래프트하드코어런,4.4,25,16,1705,0,
2026.06.10(수) 02:59,2026.06.10(수) 08:42,리그 오브 레전드|talk,전체,물범앞발로하는 프사그리기,5.7,21,16,1614,2,
2026.06.07(일) 02:59,2026.06.07(일) 07:48,talk,전체,물범앞발로하는 프사그리기,4.8,21,17,1369,0,
2026.06.05(금) 13:00,2026.06.05(금) 14:54,talk,전체,안녕하세요 방사능괴물키메라물범개인간개순이의방송입니다,1.9,15,12,662,-1,
2026.06.04(목) 02:59,2026.06.04(목) 06:18,P의 거짓,전체,소울겜Lv1인 내가 엘든링으로 단련한뒤 피구라 세카이의 만렙이됐다고요?! 에 그런거 무리무리!! ※무리가 아니었다?,3.3,26,18,757,1,
2026.06.03(수) 03:00,2026.06.03(수) 06:30,종합 게임|P의 거짓|talk,전체,10분만..,3.5,24,20,1052,1,
2026.06.02(화) 02:58,2026.06.02(화) 07:00,승리의 여신: 니케|talk,전체,스파게티추락사건에 대해 아시나요?,4,52,34,2271,8,
2026.05.31(일) 07:59,2026.05.31(일) 11:30,P의 거짓|talk,전체,안뇨ㅕㅇ하세요,3.5,20,15,1033,0,
2026.05.30(토) 11:29,2026.05.30(토) 14:30,talk,전체,저녁저챗방,3,19,14,1423,0,
2026.05.29(금) 02:59,2026.05.29(금) 06:36,종합 게임|talk,전체,개쳐무서운 공겜하는날..,3.6,29,21,1315,1,
2026.05.28(목) 04:58,2026.05.28(목) 08:18,종합 게임|큐브 이스케이프 컬렉션,전체,이빨 다뿌수는 큐브이스케이프를 할거예요,3.3,17,14,980,-1,
2026.05.25(월) 05:00,2026.05.25(월) 08:42,종합 게임|talk,전체,진짜 1분전에일어나다..,3.7,24,18,1668,2,
2026.05.24(일) 03:26,2026.05.24(일) 07:36,P의 거짓|talk,전체,개구라,4.2,19,14,774,0,
2026.05.24(일) 03:00,2026.05.24(일) 03:24,P의 거짓,전체,5월은 너의 거짓말,0.4,14,11,86,0,
2026.05.23(토) 03:00,2026.05.23(토) 07:00,talk,전체,일본여행 후기,4,19,15,1251,1,
2026.05.22(금) 02:59,2026.05.22(금) 04:36,talk,전체,슈뢰딩거에게 가서 전해라 개순이가 돌아왔다고 !!!!!!!!!!!!!!!!!!!!!!,1.6,23,18,627,0,
2026.05.12(화) 11:59,2026.05.12(화) 12:54,talk,전체,개순이 빙하기 전 마지막 .......,0.9,20,16,433,0,
2026.05.10(일) 23:59,2026.05.11(월) 04:42,엘든 링|talk,전체,개수니의 첫 아침방송 (근데 밤샌),4.7,49,26,1433,1,
2026.05.08(금) 12:59,2026.05.08(금) 19:06,엘든 링|talk,전체,1주년 2일째 ㅡ,6.1,26,21,1374,-1,
2026.05.07(목) 09:57,2026.05.07(목) 13:36,talk,전체,🎉개순이 1주년 기념방송!!!!!!🎉 여러분죄송하지만치지직에글하나만적겠습니다안녕티김아너를처음본순간부터좋아했어1주년전에고백하고싶었는데그땐바보같이용기가앖더라지금은이수많은치수들앞에서,3.6,32,24,3058,2,
2026.05.05(화) 03:10,2026.05.05(화) 08:36,엘든 링|talk,전체,어린이날이래,5.4,26,19,1760,1,
2026.05.02(토) 03:00,2026.05.02(토) 05:54,엘든 링|talk,전체,물범한마리를 조심하라고..?,2.9,25,20,551,0,
2026.05.01(금) 02:59,2026.05.01(금) 07:24,종합 게임|talk,전체,갓생 4일차,4.4,25,21,1977,2,
2026.04.28(화) 02:59,2026.04.28(화) 06:24,talk,전체,변기에넣고 내려,3.4,23,19,1274,0,
2026.04.25(토) 02:59,2026.04.25(토) 05:36,전략적 팀 전투 : 우주의 신들|talk,전체,세ㅣ프!!!,2.6,18,14,558,0,
2026.04.24(금) 06:00,2026.04.24(금) 08:48,talk,전체,세ㅣ프!!!,2.8,26,22,1016,0,
2026.04.23(목) 12:59,2026.04.23(목) 16:30,엘든 링|talk,전체,못말리는지각생멘헤라바보물범덩어리멍충이개순이,3.5,19,16,900,0,
2026.04.22(수) 02:59,2026.04.22(수) 08:06,엘든 링|talk,전체,나나나난나,5.1,25,21,841,2,
2026.04.21(화) 02:59,2026.04.21(화) 06:06,talk,전체,개순이지요~,3.1,26,21,932,2,
2026.04.19(일) 12:58,2026.04.19(일) 14:24,talk,전체,화장실에서 엄청난 자세로 미끄러져 넘어지다,1.4,22,16,494,0,
2026.04.18(토) 02:59,2026.04.18(토) 07:30,엘든 링|talk,전체,안뇽하세요?,4.5,30,21,1107,5,
2026.04.17(금) 02:59,2026.04.17(금) 05:06,VR챗,전체,6년만에 때밀러갑니다,2.1,16,15,605,0,
2026.04.16(목) 02:59,2026.04.16(목) 07:30,포장마차 : 한국 길거리 음식 경영시뮬레이터|talk,전체,마이크땜에 극대노,4.5,30,22,1670,3,
2026.04.15(수) 03:09,2026.04.15(수) 03:36,talk,전체,대 비상,0.4,19,15,247,0,
2026.04.15(수) 03:00,2026.04.15(수) 03:06,talk,전체,지짜졸려서 말안돼,0.1,10,10,0,0,
2026.04.14(화) 05:29,2026.04.14(화) 08:42,talk,전체,점심라디오,3.2,19,15,865,7,
2026.04.14(화) 02:59,2026.04.14(화) 05:00,VR챗,전체,개쑤니랑 개구리보러가요,2,18,15,592,3,
2026.04.12(일) 02:59,2026.04.12(일) 07:24,talk,전체,변수가 발생해버린 개순이,4.4,22,18,2161,-1,
2026.04.09(목) 12:59,2026.04.09(목) 15:12,talk,전체,졸린하루를 마무리해요 (개졸림ㅋㅋ),2.2,20,16,1177,0,
2026.04.07(화) 02:59,2026.04.07(화) 05:00,talk,전체,안녕하세요?,2,23,18,823,1,
2026.04.04(토) 05:20,2026.04.04(토) 07:48,붉은사막,전체,붉은사막 1일차 (개늦은 유행탑승ㅋㅋ),2.5,26,22,778,0,
2026.04.04(토) 02:59,2026.04.04(토) 05:12,붉은사막|talk,전체,개수니왔어염,2.2,24,19,986,0,
2026.04.02(목) 03:00,2026.04.02(목) 08:18,엘든 링|talk,전체,드디어 게임패드 산 사람,5.3,27,21,1404,1,
2026.04.01(수) 03:00,2026.04.01(수) 04:54,talk,전체,오늘 뭔날이지,1.9,23,18,907,-1,
2026.03.31(화) 03:00,2026.03.31(화) 07:18,talk,전체,개쑤니왔어요,4.3,28,22,1934,2,
2026.03.29(일) 03:00,2026.03.29(일) 05:48,엘든 링,전체,아빠게임패드 훔쳐와서 즐기는 엘든링 2일차,2.8,25,20,966,0,
2026.03.28(토) 03:00,2026.03.28(토) 09:00,엘든 링|talk,전체,아빠게임패드 훔쳐와서 즐기는 엘든링,6,29,21,2357,3,
2026.03.27(금) 07:29,2026.03.27(금) 07:36,talk,전체,re:제로부터 축하하는 600팔축하파티,0.1,19,19,0,0,
2026.03.27(금) 03:00,2026.03.27(금) 07:24,talk,전체,re:제로부터 축하하는 600팔축하파티,4.4,27,20,1696,1,
2026.03.26(목) 02:58,2026.03.26(목) 07:06,콘트라밴드 폴리스|talk,전체,양발운전의 화물운송기,4.1,27,18,1277,0,
2026.03.24(화) 03:00,2026.03.24(화) 06:24,유로 트럭 시뮬레이터 2|talk,전체,둥근해 또떳네 하,3.4,17,14,813,-2,
2026.03.22(일) 12:59,2026.03.22(일) 15:36,talk,전체,오늘은 진짜 일찍잔다..,2.6,23,18,1079,0,
2026.03.21(토) 13:00,2026.03.21(토) 15:18,talk,전체,밤개순이여요,2.3,19,16,863,0,
2026.03.18(수) 03:00,2026.03.18(수) 10:36,인왕 3,전체,첫 소울겜도전해보기,7.6,32,25,1975,4,
2026.03.17(화) 03:00,2026.03.17(화) 07:30,인왕 3|talk,전체,안녕 하세 요,4.5,35,25,1246,3,
2026.03.15(일) 11:58,2026.03.15(일) 13:54,talk,전체,다음주부터 달라집니다 다음주 : 다음주부터 달라집니다,1.9,23,18,690,0,
2026.03.14(토) 05:49,2026.03.14(토) 05:54,talk,전체,스팀구경하기,0.1,11,11,50,0,
2026.03.14(토) 02:59,2026.03.14(토) 05:48,talk,전체,🎵우이아 우이이아이우이아🎵 노래아시는분,2.8,19,13,1055,-1,
2026.03.12(목) 02:59,2026.03.12(목) 05:24,리그 오브 레전드|talk,전체,밥먹을거얌!!,2.4,21,16,633,0,
2026.03.11(수) 09:31,2026.03.11(수) 11:42,영화,전체,괴물 처음봐요 👀👀👀👀,2.2,24,18,742,0,
2026.03.10(화) 09:27,2026.03.10(화) 09:30,Grand Theft Auto V,성인,취미:사람치기,0,15,15,0,0,
2026.03.10(화) 09:22,2026.03.10(화) 09:24,Grand Theft Auto V,성인,취미:사람치기,0,3,3,0,0,
2026.03.10(화) 06:00,2026.03.10(화) 09:18,Grand Theft Auto V|talk,성인,개순이!!,3.3,20,15,91,2,
2026.03.08(일) 03:00,2026.03.08(일) 08:30,종합 게임|talk,전체,정말 우울한일이 일어났어요,5.5,30,21,3732,2,
2026.03.06(금) 02:59,2026.03.06(금) 05:48,talk,성인,화장실다녀올거임!!,2.8,29,22,1286,0,
2026.03.04(수) 04:22,2026.03.04(수) 04:30,Grand Theft Auto V,성인,GTA 처음하는사람 2일차,0.1,17,13,0,0,
2026.03.04(수) 03:00,2026.03.04(수) 04:18,Grand Theft Auto V|talk,성인,반갑소,1.3,18,15,254,1,
2026.03.03(화) 02:59,2026.03.03(화) 04:48,Grand Theft Auto V|talk,성인,GTA 태어나서 처음하는사람,1.8,21,16,734,0,
2026.02.28(토) 04:18,2026.02.28(토) 08:24,Grand Theft Auto V,성인,GTA 태어나서 처음하는사람,4.1,26,21,1672,5,
2026.02.28(토) 02:58,2026.02.28(토) 04:12,Grand Theft Auto V|talk,전체,어옹피곤해,1.2,25,16,715,2,
2026.02.27(금) 02:59,2026.02.27(금) 07:30,종합 게임|talk,전체,개쑤니,4.5,20,17,1170,1,
2026.02.26(목) 03:00,2026.02.26(목) 06:24,쿼런틴 존: 더 라스트 체크|talk,전체,밥을먹어요,3.4,23,17,498,1,
2026.02.25(수) 12:58,2026.02.25(수) 14:30,talk,전체,정말아름다운날이야이런날에너같은티김이들은기름속에서튀겨져야해,1.5,19,15,437,0,
2026.02.21(토) 03:00,2026.02.21(토) 07:30,talk,전체,11시간수면 완,4.5,23,18,1877,2,
2026.02.20(금) 03:00,2026.02.20(금) 05:18,talk,전체,개쑤니,2.3,30,22,971,0,
2026.02.19(목) 04:09,2026.02.19(목) 07:06,쿼런틴 존: 더 라스트 체크|talk,전체,내맘에안들면 전부사형,2.9,21,17,643,0,
2026.02.19(목) 02:59,2026.02.19(목) 04:06,쿼런틴 존: 더 라스트 체크|talk,전체,밥먹는방송,1.1,21,14,418,1,
2026.02.18(수) 02:58,2026.02.18(수) 06:54,유로 트럭 시뮬레이터 2|talk,전체,강남다녀왔어요,3.9,32,22,2013,3,
2026.02.17(화) 02:59,2026.02.17(화) 05:30,talk|VR챗,전체,새해복많이받으세요옹,2.5,17,14,853,1,
2026.02.16(월) 04:58,2026.02.16(월) 07:06,VR챗,전체,설날에 머할거야,2.1,20,17,1043,2,
2026.02.14(토) 02:58,2026.02.14(토) 06:00,talk,전체,약국 율무차는 왜 초록색일까?,3,20,16,1137,0,
2026.02.12(목) 02:58,2026.02.12(목) 06:42,talk,전체,몸살나서 피자가게알바 퇴사했어요,3.7,23,19,1533,1,
2026.02.11(수) 03:57,2026.02.11(수) 06:00,종합 게임|VR챗,전체,전 개잘굽는 나,2,23,20,784,-2,
2026.02.11(수) 03:15,2026.02.11(수) 03:42,talk,전체,강남다녀왔어요,0.4,16,14,116,0,
2026.02.11(수) 02:59,2026.02.11(수) 03:06,talk,전체,강남다녀왔어요,0.1,12,12,0,0,
2026.02.10(화) 02:59,2026.02.10(화) 05:00,talk,전체,밥가져와야지!!!!,2,27,21,780,1,
2026.02.06(금) 02:59,2026.02.06(금) 05:24,talk,전체,어둠의 암흑 개순이,2.4,20,16,884,0,
2026.02.05(목) 02:58,2026.02.05(목) 06:00,talk,전체,오직 개순이만,3,27,19,912,0,
2026.02.04(수) 04:54,2026.02.04(수) 08:24,애니메이션,전체,엘자가좋아요,3.5,27,18,710,-1,
2026.02.04(수) 02:59,2026.02.04(수) 04:48,리그 오브 레전드|talk,전체,내맘에안들면 다 격리야,1.8,26,17,415,0,
2026.02.03(화) 04:41,2026.02.03(화) 06:48,쿼런틴 존: 더 라스트 체크|talk,전체,히히,2.1,21,18,631,0,
2026.02.03(화) 02:59,2026.02.03(화) 04:36,talk,전체,히히,1.6,21,17,572,1,
2026.01.31(토) 02:59,2026.01.31(토) 10:12,이용약관에 동의하고 싶어|talk,전체,노는게제일좋아,7.2,24,19,2238,1,
2026.01.30(금) 02:58,2026.01.30(금) 06:54,리그 오브 레전드|talk,전체,배부른개순이,3.9,24,19,1035,5,
2026.01.29(목) 03:52,2026.01.29(목) 06:36,애니메이션,전체,개십덕의리제로보기,2.7,29,22,712,7,
2026.01.29(목) 02:59,2026.01.29(목) 03:48,talk,전체,내가 일어나는시간이아침이야,0.8,17,12,190,1,
2026.01.28(수) 04:05,2026.01.28(수) 08:06,종합 게임|talk,전체,..........안녕하세요1일차신입물범개순이입니다,4,21,18,1264,-1,
2026.01.27(화) 05:58,2026.01.27(화) 09:54,종합 게임|talk,전체,안녕하세요개순이에요,3.9,21,16,984,2,
2026.01.24(토) 02:58,2026.01.24(토) 05:48,종합 게임|이스케이프 프롬 덕코프|talk,전체,개순이와요,2.8,23,18,959,-2,
