시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 11:26,LIVE,눈 떠보니 미녀 벙커에 갇혔습니다|talk,전체,LIVE,1.9,17,12,394,0,
2026.06.14(일) 08:34,2026.06.14(일) 15:00,종합 게임|talk,전체,좋은아침~! 아 일찍 온거라니까? 진짜로 진짜 일찍이라니까?,6.4,19,11,1214,-1,
2026.06.13(토) 11:39,2026.06.13(토) 17:48,종합 게임|talk,전체,공모전 준비 썰+250만원을 내야만 수업을 들을 수 있다고 해서 그냥 인사하고 나온 썰을 풀어보도록 하겠다 (!굿즈),6.1,17,13,1123,0,
2026.06.11(목) 12:24,2026.06.11(목) 18:18,talk,전체,상담받고 왔습니다 앞으로 조금 바빠질지도? (!굿즈),5.9,17,13,1465,-1,
2026.06.08(월) 10:34,2026.06.08(월) 15:48,이환|talk,전체,월월월월워루어ㅏ우러~~오앙왕왕왕오ㅓㅏㅇ~!!월요일~!! (!굿즈),5.2,21,14,946,0,
2026.06.07(일) 11:07,2026.06.07(일) 18:48,이환|talk,전체,오늘은 주말의 밤이니 끝내주는 영도데이 (!굿즈),7.7,26,18,1858,8,
2026.06.06(토) 13:10,2026.06.06(토) 15:42,이환,전체,빚쟁이인 나는 이환을 켰어 그리고 내일도 로동을 하러 가야해 (!굿즈),2.5,17,13,399,2,
2026.06.06(토) 10:20,2026.06.06(토) 13:06,미설정|talk,성인,황해 한 번도 안 본 뇌인데 이게 그르케 재밌나요/. 흐음 그정둔가 함 말아보죠 머 (!굿즈),2.8,22,9,1,0,
2026.06.06(토) 08:49,2026.06.06(토) 10:12,talk,전체,헤이~ 종말이들 주말을 즐겨보자고! 일단 이환을 켜! 일단 빚쟁이라 커피 낋이고 왔다 (!굿즈),1.4,11,9,268,0,
2026.06.05(금) 11:32,2026.06.05(금) 14:42,종합 게임|talk,전체,오늘은 즐거운 주말이야1!! (!굿즈),3.2,17,13,748,0,
2026.06.04(목) 01:56,2026.06.04(목) 03:54,이환|talk,전체,휴방인데 보고싶어서 방송을 켰어~ (!굿즈),2,22,12,293,0,
2026.06.01(월) 11:14,2026.06.01(월) 17:30,talk,전체,다들 퇴근했니~! 오늘도 고생했어!(!굿즈),6.3,21,14,1168,6,
2026.05.31(일) 05:16,2026.05.31(일) 08:24,이환|talk,전체,주말에 끝내주게 어떻게든 놀기 위해서 일찍 일어났다(!굿즈),3.1,27,18,610,1,
2026.05.30(토) 12:38,2026.05.30(토) 16:42,바이오하자드 레퀴엠|talk,전체,알바 면접보고 왔뎌요오오~ (!굿즈),4.1,23,16,882,3,
2026.05.29(금) 10:10,2026.05.29(금) 18:24,talk,전체,끝내주는 주말을 보낼 준비하자~(!굿즈),8.2,67,37,4137,75,
2026.05.28(목) 11:33,2026.05.28(목) 14:12,talk,전체,나 왔어어ㅓ~!!! 보고 싶었어!!!! (!굿즈),2.6,12,10,623,-1,
2026.05.25(월) 10:15,2026.05.25(월) 15:30,이환|talk,전체,주님! 오늘도 정의로운 도둑농이 되게해주세요!! 아멘! 부처님 쌀먹하고 왔습니다,5.2,22,15,1131,5,
2026.05.23(토) 12:28,2026.05.23(토) 17:24,이환|talk,전체,우나 오늘 30분잤나 우웅 졸려써 아까 집 옴,4.9,23,11,806,4,
2026.05.22(금) 10:57,2026.05.22(금) 14:30,이환|소닉 오리진스|talk,전체,오늘은~ 신나는 주말이애오!!! 오앙오아오아왕왕왕왕!!12,3.5,20,13,555,1,
2026.05.21(목) 10:21,2026.05.21(목) 16:24,붉은사막|talk,전체,붉은색 푸른색~ 어쩌구 저쩌구 내가 피지컬 뇌지컬 다 되는데 그냥 손가락이 안 따라주는거라서 어쩔 수 없지 않냐며 그런 나에게 피지컬 게임 붉은사막 협업이 오고,6,19,14,1387,2,
2026.05.18(월) 10:11,2026.05.18(월) 15:42,이환|종합 게임|talk,전체,오늘은 월요일 월우러우러울월우러울어월월!@!!오아오아옹왕와오아 멍멍멍멍! (!굿즈),5.5,38,18,1379,4,
2026.05.17(일) 08:26,2026.05.17(일) 16:18,이환|발로란트|talk,전체,머리가 어질어질해에ㅔ (!굿즈),7.9,22,14,1826,1,
2026.05.16(토) 08:49,2026.05.16(토) 15:12,talk,전체,나른한 오후에 홍찬 한 잔~ 너와 함께🫖(!굿즈),6.4,23,14,1198,-1,
2026.05.15(금) 11:03,2026.05.15(금) 17:24,바이페드|발로란트,전체,아앙~ 오늘 미소녀와 합.방.이.라.구👩‍❤️‍👩w.얀별(!굿즈),6.3,13,10,446,0,
