시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 04:59,2026.06.14(일) 14:00,로스트아크,전체,이피는 이제 여유롭고 좋쟈나? 즐겨도 대~ ♪₍₍ (̨̡ ‾᷄へ‾᷅)̧̢ ₎₎♪,9,21,14,1522,1,
2026.06.13(토) 04:59,2026.06.13(토) 10:36,로스트아크,전체,스커 레이드 숙련도 테스트 하는날 (의외로 잘할수도 있잖아!!),5.6,17,12,1308,1,
2026.06.12(금) 09:00,2026.06.12(금) 15:36,로스트아크,전체,90시간만에 혹군딴 꽃이피! 여유롭게 레이드 돌려야지~ (레이드 숙련도는 랜덤입니다^^*),6.6,21,14,1197,1,
2026.06.11(목) 09:00,2026.06.11(목) 17:48,로스트아크,전체,띠...띠바... 안갈거라고...! 안할거라고...!,8.8,74,36,1491,6,
2026.06.10(수) 09:00,2026.06.10(수) 15:06,로스트아크,전체,오늘은 이피피 자존감 하락될 시 피이~ 하고 울음!!,6.1,31,20,1040,2,
2026.06.07(일) 04:59,2026.06.07(일) 15:30,로스트아크,전체,수명 10년은 줄은 것 같아서 오늘까지 하고 안되면 포기한다 혹브...,10.5,56,30,1675,4,
2026.06.06(토) 04:59,2026.06.06(토) 10:48,로스트아크,전체,영도최저) 오늘은 진짜 딴다 혹군!!,5.8,29,18,1126,0,
2026.06.05(금) 09:01,2026.06.05(금) 16:42,로스트아크,전체,영도최저) 혹군드가자!!! 오늘금지어:잘한다못한다,7.7,22,15,816,2,
2026.06.04(목) 09:00,2026.06.04(목) 16:12,로스트아크,전체,몽가몽가 오랜만인것 같은 꽃이피의 레이드! ㅅㄹㄷ는??,7.2,18,12,897,0,
2026.06.03(수) 04:59,2026.06.03(수) 12:54,로스트아크,전체,빠보들아 가쟈! 이피와 아브렐슈드의 몽환으로,7.9,33,21,1570,3,
2026.05.31(일) 06:00,2026.05.31(일) 17:18,로스트아크,전체,컨디션은 최악 그러나 할수있나..? 혹군 연습 4일차♥,11.3,26,15,1425,2,
2026.05.30(토) 05:01,2026.05.30(토) 14:42,로스트아크,전체,꽃이피의 스커 할수있슴미다!! 진짜? 혹군 연습 3일차♥,9.7,24,15,1568,3,
2026.05.29(금) 08:52,2026.05.29(금) 16:24,로스트아크,전체,모두 꽃이피는 안된다고 한다. 그치만 꽃이피의 스트라이커는 도전한다!! 혹군 연습 2일차♥,7.5,29,19,1211,-2,
2026.05.28(목) 09:01,2026.05.28(목) 15:54,음악/노래|로스트아크,전체,오늘도 꽃이피랑 진짜 신나게 놀 자신 있는 사람만!!,6.9,19,12,1078,1,
2026.05.27(수) 08:58,2026.05.27(수) 14:54,로스트아크,전체,수요일은 빠른퇴근이 하고싶은 날... 왜냐하면.... ㅅㄹㄷ 리셋되는 날이니까......,5.9,14,10,1138,0,
2026.05.26(화) 09:04,2026.05.26(화) 13:42,로스트아크,전체,가뽀까예? 뭐든지예!! 원래 남들 다 하지말란다고 할때 해야 재밌는거임!!,4.6,25,15,795,0,
2026.05.25(월) 08:01,2026.05.25(월) 11:00,로스트아크,전체,짧뱅/기습뱅] 생존신고!!,3,17,12,400,0,
2026.05.20(수) 09:00,2026.05.20(수) 14:42,로스트아크,전체,비가 오는데예~ 꽃이피 레이드도 ....,5.7,15,10,764,0,
2026.05.19(화) 04:59,2026.05.19(화) 12:18,talk,전체,꽃이피는 사실 선태받은 아이들이였을지도 모른다! 너도?!,7.3,16,8,950,1,
2026.05.15(금) 09:00,2026.05.15(금) 19:54,로스트아크,전체,핫도그 못 먹어서 초예민한 꽃이피와 레이드 갈사람(근데 잘하지는 않음),10.9,27,14,1438,6,
2026.05.14(목) 09:00,2026.05.14(목) 16:06,로스트아크|talk,전체,꽃이피 << 꾀병 심함,7.1,17,10,1393,3,
2026.05.13(수) 09:00,2026.05.13(수) 14:18,로스트아크,전체,롸롸롸롸 꽃이피 오늘도 롸 실력 초기화 되는 날!!,5.3,15,10,1058,-1,
