시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.13(토) 11:47,2026.06.13(토) 16:48,블루 아카이브|talk,전체,[신입]게릴라릴라 바닐라 (ᐢ꜆. ̫.꜀ᐢ),5,29,18,1519,3,
2026.06.13(토) 03:35,2026.06.13(토) 07:36,블루 아카이브|음악/노래|talk,전체,[신입]그냥 바보 입니다... ㅠㅠㅠ(ᐢ꜆. ̫.꜀ᐢ),4,19,10,498,1,
2026.06.12(금) 10:55,2026.06.12(금) 14:54,미설정,성인,[신입]불금에 황해 같이보기!(ᐢ꜆. ̫.꜀ᐢ),4,9,5,151,2,
2026.06.12(금) 04:05,2026.06.12(금) 05:42,미설정|talk,전체,[신입]아침 잠 깨면서 월드컵 대기방(ᐢ꜆. ̫.꜀ᐢ),1.6,7,5,289,-2,
2026.06.12(금) 01:31,2026.06.12(금) 04:00,2026 FIFA 북중미 월드컵,전체,[신입]아침 잠 깨면서 월드컵 대기방(ᐢ꜆. ̫.꜀ᐢ),2.5,8,5,104,2,
2026.06.12(금) 00:40,2026.06.12(금) 01:30,talk,전체,[신입]아침 잠 깨면서 월드컵 대기방(ᐢ꜆. ̫.꜀ᐢ),0.8,5,3,89,0,
2026.06.11(목) 10:57,2026.06.11(목) 14:42,블루 아카이브|talk,전체,[신입]오늘도 힐링하고 가세뇨!(ᐢ꜆. ̫.꜀ᐢ),3.7,35,17,1242,3,
2026.06.10(수) 10:58,2026.06.10(수) 14:18,talk,전체,[신입]나른한 수요일 잘 보내고 있나요?(ᐢ꜆. ̫.꜀ᐢ),3.3,13,8,538,0,
2026.06.07(일) 02:55,2026.06.07(일) 10:06,블루 아카이브|그림/아트|talk,전체,[신입]점메추! 점심 메뉴 고민 타파 방(ᐢ꜆. ̫.꜀ᐢ),7.2,28,18,1157,4,
2026.06.06(토) 02:52,2026.06.06(토) 08:54,블루 아카이브|talk,전체,[신입]다들 점심 먹었나요?(ᐢ꜆. ̫.꜀ᐢ),6,39,23,1118,6,
2026.06.05(금) 11:00,2026.06.05(금) 15:06,승리의 여신: 니케|talk,전체,[신입]불금에 같이 놀아뇨!(ᐢ꜆. ̫.꜀ᐢ),4.1,9,5,171,0,
2026.06.02(화) 14:12,2026.06.02(화) 16:18,블루 아카이브|승리의 여신: 니케|talk,전체,[신입]자기 전에 인사하기(ᐢ꜆. ̫.꜀ᐢ),2.1,14,7,196,2,
2026.06.01(월) 10:12,2026.06.01(월) 15:12,포켓로그|talk,전체,[신입]월요병 퇴치방(ᐢ꜆. ̫.꜀ᐢ),5,12,8,2144,3,
2026.05.30(토) 03:16,2026.05.30(토) 07:06,talk,전체,[신입]즐겁따! 토요일 같이 점심 먹쟈!(ᐢ꜆. ̫.꜀ᐢ),3.8,15,8,1001,1,
2026.05.29(금) 10:57,2026.05.29(금) 16:12,승리의 여신: 니케|talk,전체,[신입]불타는 금요일 같이 놀아요!(ᐢ꜆. ̫.꜀ᐢ),5.2,11,7,638,-1,
2026.05.25(월) 03:34,2026.05.25(월) 07:06,오버워치|talk,전체,[신입]즐거운 연휴!!(ᐢ꜆. ̫.꜀ᐢ),3.5,16,10,495,5,
2026.05.25(월) 02:59,2026.05.25(월) 03:00,talk,전체,[신입]즐거운 일요일!(ᐢ꜆. ̫.꜀ᐢ),0,3,3,0,0,
2026.05.24(일) 02:58,2026.05.24(일) 09:48,음악/노래|talk,전체,[신입]즐거운 일요일!(ᐢ꜆. ̫.꜀ᐢ),6.8,21,12,1934,4,
2026.05.23(토) 03:00,2026.05.23(토) 08:00,승리의 여신: 니케|talk,전체,[신입]즐거운 토요일이에뇨!(ᐢ꜆. ̫.꜀ᐢ),5,15,10,427,5,
2026.05.20(수) 13:07,2026.05.20(수) 16:00,그림/아트,전체,[신입]노래 들을면서 시청자 그려주기(신청곡 가능)(ᐢ꜆. ̫.꜀ᐢ),2.9,12,9,520,4,
2026.05.20(수) 10:58,2026.05.20(수) 13:00,그림/아트,전체,[신입]노래 들을면서 그림 그리는 방(신청곡 가능)(ᐢ꜆. ̫.꜀ᐢ),2,9,5,266,2,
2026.05.19(화) 10:59,2026.05.19(화) 15:54,승리의 여신: 니케|talk,전체,[신입]너무 더워뇨!(ᐢ꜆. ̫.꜀ᐢ),4.9,10,6,1033,1,
2026.05.16(토) 02:58,2026.05.16(토) 09:18,종합 게임|talk,전체,[신입]공겜 하기 전 예열 ㅠㅠㅠ(ᐢ꜆. ̫.꜀ᐢ),6.3,12,8,1225,3,
2026.05.14(목) 10:50,2026.05.14(목) 12:36,talk,전체,[신입]컨디션이 안좋아서 짧뱅이에뇨(ᐢ꜆. ̫.꜀ᐢ),1.8,8,5,160,0,
