시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.13(토) 13:43,2026.06.13(토) 18:12,talk,전체,안뇽..ㅋㅋ,4.5,39,28,1670,5,
2026.06.12(금) 13:27,2026.06.12(금) 19:48,로블록스|talk,전체,안녕.,6.3,32,24,3718,1,
2026.06.10(수) 17:27,2026.06.10(수) 17:36,talk,전체,김유잉 방송으로 오세요 술먹방하고있슺니다w유잉,0.1,14,12,32,1,
2026.06.10(수) 13:04,2026.06.10(수) 14:36,talk,전체,잠실올림픽경기장에왔습니다w유잉,1.5,29,24,671,3,
2026.06.10(수) 12:38,2026.06.10(수) 13:00,talk,전체,잠실올림픽경기장에왔습니다w유잉,0.4,23,21,271,-1,
2026.06.09(화) 13:59,2026.06.09(화) 21:48,종합 게임|로블록스|메이플스토리 월드|talk,전체,ㅎㅎ,7.8,47,24,2697,2,
2026.06.06(토) 14:32,2026.06.06(토) 21:36,인터넷 카페 시뮬레이터 2|talk,전체,하이여~~~~~~~~,7.1,38,25,3198,2,
2026.06.05(금) 15:28,2026.06.05(금) 21:18,메이플스토리 월드|talk,전체,안녕,5.8,42,33,3478,3,
2026.06.04(목) 15:11,2026.06.04(목) 21:42,메이플스토리 월드|talk,전체,인방해적의 하루,6.5,40,29,3651,2,
2026.06.04(목) 14:21,2026.06.04(목) 14:54,메이플스토리 월드|talk,전체,인방해적의 하루,0.5,21,16,252,0,
2026.06.03(수) 14:29,2026.06.03(수) 21:30,메이플스토리 월드|talk,성인,하잉,7,54,33,1518,6,
2026.06.02(화) 11:31,2026.06.02(화) 16:54,메이플스토리 월드|talk,전체,안녕하쉥?,5.4,37,26,2646,2,
2026.06.01(월) 14:40,2026.06.02(화) 00:24,리그 오브 레전드|메이플스토리 월드|talk,전체,인방해적,9.7,43,25,3481,4,
2026.05.29(금) 12:01,2026.05.29(금) 21:30,종합 게임|메이플스토리 월드,전체,하이여,9.5,43,28,3583,1,
2026.05.27(수) 09:31,2026.05.27(수) 20:12,메이플스토리 월드,전체,하이여,10.7,56,33,4771,10,
2026.05.26(화) 08:37,2026.05.26(화) 18:54,메이플스토리 월드|talk,전체,하이여,10.3,45,30,2961,6,
2026.05.22(금) 12:57,2026.05.23(토) 02:24,미설정|디콜레이트 데코레이션|메이플스토리 월드|talk,전체,하잉,13.5,57,31,4354,8,
2026.05.21(목) 12:18,2026.05.21(목) 21:48,talk,전체,하잉,9.5,31,23,5835,3,
2026.05.19(화) 12:52,2026.05.19(화) 20:24,서브노티카 2|talk,전체,하이염 화욜 ^^,7.5,31,24,4523,0,
2026.05.18(월) 11:56,2026.05.18(월) 19:30,서브노티카 2|talk,성인,안녕~,7.6,37,27,3453,2,
2026.05.15(금) 14:42,2026.05.16(토) 06:42,서브노티카 2|talk,전체,안녕,16,37,24,6365,3,
2026.05.14(목) 12:49,2026.05.14(목) 21:54,메이플스토리 월드|PUBG: 배틀그라운드|talk,전체,안녕,9.1,36,27,3369,4,
2026.05.12(화) 15:24,2026.05.13(수) 01:54,메이플스토리 월드|PUBG: 배틀그라운드|talk,성인,안녕,10.5,34,24,4458,3,
2026.05.09(토) 15:01,2026.05.09(토) 19:06,리그 오브 레전드|PUBG: 배틀그라운드|talk,성인,안녕^^,4.1,25,18,1244,6,
2026.05.08(금) 13:30,2026.05.08(금) 20:00,Ib|talk,전체,안녕,6.5,33,20,2204,0,
2026.05.06(수) 13:43,2026.05.06(수) 20:48,종합 게임|talk,전체,안녕,7.1,29,21,2596,-1,
2026.05.05(화) 15:41,2026.05.05(화) 23:12,로블록스|talk,전체,안녕,7.5,31,20,3206,0,
2026.04.30(목) 21:50,2026.05.01(금) 00:36,talk,성인,안녕,2.8,48,32,820,5,
2026.04.30(목) 13:16,2026.04.30(목) 21:48,종합 게임|로블록스|talk,전체,안녕,8.5,35,22,3095,-1,
2026.04.28(화) 12:21,2026.04.28(화) 19:54,talk,성인,안녕,7.5,63,44,688,13,
2026.04.27(월) 14:21,2026.04.27(월) 21:42,리그 오브 레전드|talk,전체,안녕,7.3,50,35,2448,8,
2026.04.24(금) 14:05,2026.04.24(금) 20:00,로블록스|talk,전체,형님들 반갑습니다 BJ늑구형2입니다,5.9,21,15,1527,3,
2026.04.23(목) 12:34,2026.04.23(목) 21:24,종합 게임|로블록스|talk,성인,ㅡ.ㅡ,8.8,36,24,4349,2,
2026.04.22(수) 13:31,2026.04.22(수) 19:30,마녀의 집 MV|talk,전체,ㅡ.ㅡ,6,38,24,3045,1,
2026.04.21(화) 16:29,2026.04.21(화) 20:18,talk,전체,ㅡ.ㅡ,3.8,28,22,2388,-1,
2026.04.17(금) 10:27,2026.04.17(금) 12:12,talk,성인,나 . 시차 적응중,1.7,28,22,624,2,
