시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 02:08,2026.06.15(월) 10:06,메이플스토리|talk,전체,뜨뜻한 월요일 －O－,8,119,59,3564,13,
2026.06.14(일) 02:12,2026.06.14(일) 10:36,메이플스토리 월드|talk,전체,노곤노곤 일요이루 ...( ＿ ＿)ノ｜,8.4,55,36,2538,7,
2026.06.13(토) 02:06,2026.06.13(토) 10:30,엘든 링|talk,전체,도망친 자에게 낙원이 있을 것인가,8.4,33,24,2851,-1,
2026.06.11(목) 02:12,2026.06.11(목) 11:12,메이플스토리 월드|talk,전체,안녕하시오,9,70,42,3653,2,
2026.06.10(수) 02:13,2026.06.10(수) 09:00,메이플스토리 월드|talk,전체,으흐흐흐흐 으흐 흐흐흐,6.8,61,36,2260,7,
2026.06.09(화) 02:15,2026.06.09(화) 11:24,메이플스토리 월드|talk,전체,샤워까지 마친 부지런한 청년,9.1,38,26,2560,7,
2026.06.08(월) 02:06,2026.06.08(월) 10:12,메이플스토리 월드|talk,전체,아사이볼 월요일,8.1,77,37,2612,2,
2026.06.07(일) 05:32,2026.06.07(일) 10:30,이환,전체,이환 하다가 방송 터짐 ;ㅅ;,5,43,28,1103,6,
2026.06.07(일) 02:17,2026.06.07(일) 05:18,이환|talk,전체,밥 볶다 온 청년,3,70,32,748,7,
2026.06.06(토) 02:45,2026.06.06(토) 10:48,그림/아트|음악/노래|talk,전체,방송 터짐 청년,8,27,18,2749,1,
2026.06.06(토) 02:14,2026.06.06(토) 02:42,그림/아트|talk,전체,주말에 하는 방송,0.5,13,11,121,-1,
2026.06.05(금) 02:16,2026.06.05(금) 12:06,메이플스토리 월드|talk,전체,해피해피해피 금요일,9.8,38,25,2680,3,
2026.06.04(목) 02:11,2026.06.04(목) 08:54,메이플스토리 월드|talk,전체,아 춥다,6.7,40,27,2112,3,
2026.06.03(수) 03:03,2026.06.03(수) 10:30,메이플스토리 월드|talk,전체,춥다춥다춥다춥다 덥다 ꜀( ՞ . ̫ . ՞ ꜀ ) ꜆,7.4,49,36,2851,6,
2026.06.02(화) 02:07,2026.06.02(화) 10:36,메이플스토리 월드|talk,전체,아침은 토마토 ꜀( ՞ . ̫ . ՞ ꜀ ) ꜆,8.5,59,39,3336,12,
2026.06.01(월) 03:07,2026.06.01(월) 11:48,메이플스토리 월드|talk,전체,그렇게 3개월이 흐른 뒤 ꜀( ՞ . ̫ . ՞ ꜀ ) ꜆,8.7,45,32,4415,1,
