시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 12:00,LIVE,미설정|talk,성인,LIVE,2.2,22,16,0,1,
2026.06.14(일) 11:59,2026.06.14(일) 18:24,8번 출구|Grand Theft Auto V|talk,성인,우웨에에 으으엑 우웩 게로 .. ᕬ⑅ᕬ,6.4,24,16,3313,1,
2026.06.12(금) 11:59,2026.06.12(금) 19:06,Grand Theft Auto V|talk,성인,전설의 쌀먹촉각슈트 방송 .. ᕬ⑅ᕬ,7.1,25,17,100,3,
2026.06.11(목) 13:41,2026.06.11(목) 17:24,Grand Theft Auto V|talk,성인,장래희망은 갱스터입니다 .. ᕬ⑅ᕬ,3.7,30,20,100,1,
2026.06.11(목) 12:00,2026.06.11(목) 13:36,talk,전체,장래희망은 갱스터입니다 .. ᕬ⑅ᕬ,1.6,42,31,1464,5,
2026.06.10(수) 17:30,2026.06.10(수) 17:36,talk,전체,착한방 .. ᕬ⑅ᕬ,0.1,20,20,0,0,
2026.06.10(수) 11:59,2026.06.10(수) 17:24,Grand Theft Auto V|talk,성인,닌텐도 다이렉트 가티봐요 .. ᕬ⑅ᕬ,5.4,26,20,3142,1,
2026.06.09(화) 13:32,2026.06.09(화) 15:24,talk,전체,닌텐도 다이렉트 가티봐요 .. ᕬ⑅ᕬ,1.9,23,18,1647,2,
2026.06.08(월) 12:00,2026.06.08(월) 17:30,포켓몬 챔피언스|포켓몬스터 소드 · 실드|talk,전체,아가 퇴마되어서 착해요 .. ᕬ⑅ᕬ,5.5,21,15,2620,0,
2026.06.07(일) 11:59,2026.06.07(일) 16:54,포켓몬 챔피언스|포켓몬스터 소드 · 실드|talk,전체,"오늘 하루종일 한 일 : 샤워하기, 잠자기 .. ᕬ⑅ᕬ",4.9,22,17,2544,2,
2026.06.06(토) 11:22,2026.06.06(토) 19:06,포켓몬스터 소드 · 실드|talk,전체,뒷켓몬 .. ᕬ⑅ᕬ,7.7,22,16,4056,3,
2026.06.05(금) 11:59,2026.06.05(금) 17:48,포켓몬 챔피언스|포켓몬스터 소드 · 실드|talk,전체,북끄러움이 없는 버튜버 .. ᕬ⑅ᕬ,5.8,25,19,3533,2,
2026.06.04(목) 11:57,2026.06.04(목) 16:54,포켓몬 챔피언스|포켓몬스터 소드 · 실드|talk,전체,자해보다 마운자로가 더 아픈데요?ㅜㅜ .. ᕬ⑅ᕬ,4.9,27,18,2157,5,
2026.06.02(화) 12:00,2026.06.02(화) 17:48,포켓몬스터 소드 · 실드|talk,전체,아 우울해 압수당했어요 .. ᕬ⑅ᕬ,5.8,20,16,2352,3,
2026.05.31(일) 12:00,2026.05.31(일) 17:48,포켓몬스터 소드 · 실드|talk,전체,아픈거 아픈거 날아가라 ㅠ .. ᕬ⑅ᕬ,5.8,22,18,2869,2,
2026.05.30(토) 12:00,2026.05.30(토) 17:18,종합 게임|포켓몬 챔피언스|talk,전체,모니터뒤에뚱뚱한돼지한마리있을것같다구요? 어케앎;;; .. ᕬ⑅ᕬ,5.3,25,20,3620,-1,
2026.05.28(목) 12:00,2026.05.28(목) 17:06,종합 게임|포켓몬 챔피언스|talk,전체,마스터볼인데 서울숲 얼리입장권 주시긔ㅋㅋ .. ᕬ⑅ᕬ,5.1,20,15,2537,0,
2026.05.27(수) 11:59,2026.05.27(수) 17:24,포켓몬 챔피언스|길 고양이 이야기2|talk,전체,매일 매일을 씻는 날로 선언합니다 .. ᕬ⑅ᕬ,5.4,20,12,2286,0,
2026.05.25(월) 11:59,2026.05.25(월) 17:54,포켓몬 챔피언스|talk,전체,비싼걸 먹은 다음날에는 화장실을 가기가싫어요 .. ᕬ⑅ᕬ,5.9,25,18,2525,-1,
2026.05.22(금) 19:33,2026.05.22(금) 19:36,talk,전체,키스하러옴 .. ᕬ⑅ᕬ,0,20,20,4,0,
2026.05.22(금) 12:00,2026.05.22(금) 19:24,길고양이 이야기|talk,전체,사람이면 똑같은 실수를 반복하지 않는다 .. ᕬ⑅ᕬ,7.4,20,12,2998,1,
2026.05.20(수) 14:23,2026.05.20(수) 17:30,포켓몬스터 레츠고! 피카츄|talk,전체,어라..? 왜 시간이... .. ᕬ⑅ᕬ,3.1,21,17,1010,0,
2026.05.20(수) 12:54,2026.05.20(수) 14:18,talk,전체,어라..? 왜 시간이... .. ᕬ⑅ᕬ,1.4,21,18,751,1,
2026.05.19(화) 12:00,2026.05.19(화) 17:12,포켓몬스터 레츠고! 피카츄|talk,전체,너는 정말로 바보로구나 .. ᕬ⑅ᕬ,5.2,24,18,2187,1,
2026.05.18(월) 11:59,2026.05.18(월) 18:06,포켓몬스터 레츠고! 피카츄|talk,전체,흠냐냐 흠냐냐아 대역죄인등장 .. ᕬ⑅ᕬ,6.1,25,19,2787,-1,
2026.05.17(일) 11:59,2026.05.17(일) 16:48,포켓몬 챔피언스|talk,전체,18시간 잤어 .. ᕬ⑅ᕬ,4.8,26,20,2158,2,
2026.05.15(금) 12:00,2026.05.15(금) 19:18,융융 전파 신드롬|포켓몬 챔피언스|친구모아 아일랜드 두근두근 라이프|테일즈런너|talk,전체,에로선생님도스승의은혜를받아도될까요? .. ᕬ⑅ᕬ,7.3,25,18,3568,1,
