시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 12:34,LIVE,리그 오브 레전드,전체,LIVE,1.6,15,12,372,-1,
2026.06.14(일) 11:30,2026.06.14(일) 16:54,리그 오브 레전드,전체,증강 칼바람 시참~!,5.4,25,17,763,6,
2026.06.11(목) 11:30,2026.06.11(목) 15:36,리그 오브 레전드|PUBG: 배틀그라운드,전체,유사저챗,4.1,14,10,510,2,
2026.06.09(화) 11:30,2026.06.09(화) 16:06,리그 오브 레전드|오버워치,전체,늅늅이 빠대,4.6,15,10,991,2,
2026.06.08(월) 11:30,2026.06.08(월) 17:24,리그 오브 레전드|talk,전체,일단 솔랭 쪼끔...,5.9,16,12,1504,0,
2026.06.07(일) 11:30,2026.06.07(일) 15:36,리그 오브 레전드,전체,저는 잔잔하고요 노래는 안 잔잔해요,4.1,16,12,1413,1,
2026.06.04(목) 11:30,2026.06.04(목) 15:36,리그 오브 레전드,전체,갑자기 롤 하고 싶어짐,4.1,21,14,836,1,
2026.06.02(화) 11:30,2026.06.02(화) 15:30,종합 게임|리그 오브 레전드,전체,Heavy Rain,4,14,10,678,0,
2026.06.01(월) 11:30,2026.06.01(월) 14:06,리그 오브 레전드,전체,솔랭,2.6,21,14,622,0,
2026.05.31(일) 11:39,2026.05.31(일) 16:36,리그 오브 레전드,전체,자랭 시참~~~~!!!!!,4.9,23,16,954,1,
2026.05.31(일) 11:31,2026.05.31(일) 11:36,리그 오브 레전드,전체,자랭 시참~~~~!!!!!,0.1,8,8,0,0,
2026.05.28(목) 11:30,2026.05.28(목) 15:42,종합 게임|리그 오브 레전드|talk,전체,나 너구리 아니다 🦝,4.2,15,11,1108,0,
2026.05.24(일) 11:30,2026.05.24(일) 15:42,리그 오브 레전드,전체,솔랭 ಠ益ಠ,4.2,17,11,1143,-2,
2026.05.22(금) 14:05,2026.05.22(금) 15:00,리그 오브 레전드,전체,금요일이닷 (´｡• ᵕ •｡`),0.9,13,11,368,0,
2026.05.22(금) 11:30,2026.05.22(금) 14:00,리그 오브 레전드,전체,금요일이닷 (´｡• ᵕ •｡`),2.5,12,9,577,0,
2026.05.21(목) 13:31,2026.05.21(목) 15:06,리그 오브 레전드,전체,솔랭 (๑ᵔ⤙ᵔ๑),1.6,15,12,500,1,
2026.05.21(목) 11:30,2026.05.21(목) 13:30,리그 오브 레전드,전체,솔랭 (๑ᵔ⤙ᵔ๑),2,16,11,443,0,
2026.05.19(화) 11:30,2026.05.19(화) 14:06,겟 투 워크|리그 오브 레전드,전체,회사주세요,2.6,20,12,275,1,
2026.05.18(월) 12:00,2026.05.18(월) 16:18,리그 오브 레전드,전체,솔랭.....,4.3,17,14,1182,0,
2026.05.17(일) 11:30,2026.05.17(일) 16:00,리그 오브 레전드,전체,룰렛 마지막 날 ૮ ˶ᵔ ᵕ ᵔ˶ ა,4.5,20,15,1278,2,
2026.05.14(목) 11:30,2026.05.14(목) 15:00,리그 오브 레전드,전체,솔랭,3.5,18,11,810,2,
2026.05.13(수) 11:30,2026.05.13(수) 16:06,리그 오브 레전드|PUBG: 배틀그라운드|talk,전체,안뇽하세요,4.6,13,10,887,2,
2026.05.12(화) 11:31,2026.05.12(화) 16:54,겟 투 워크|리그 오브 레전드,전체,겟 투 워크를 해보자...,5.4,20,12,1945,1,
2026.05.10(일) 11:30,2026.05.10(일) 15:06,리그 오브 레전드,전체,"스트리머 내전 (w. 농권, 럭슈, 시브, 이테리)",3.6,17,10,908,-1,
2026.05.07(목) 11:10,2026.05.07(목) 15:06,리그 오브 레전드|데드 바이 데이라이트,전체,데바데 합방,3.9,16,12,824,4,
2026.05.06(수) 11:30,2026.05.06(수) 14:06,리그 오브 레전드,전체,연승 내놔,2.6,13,10,563,2,
2026.05.05(화) 11:30,2026.05.05(화) 16:24,종합 게임|리그 오브 레전드,전체,거북이,4.9,18,12,1449,0,
