시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 10:56,LIVE,PUBG: 배틀그라운드|talk,전체,LIVE,3.2,32,26,1642,2,
2026.06.11(목) 13:16,2026.06.11(목) 15:18,talk,전체,노오라아쥬우,2,20,17,932,0,
2026.06.11(목) 05:54,2026.06.11(목) 06:54,talk,전체,방가방가 할룽,1,27,23,446,0,
2026.06.09(화) 08:58,2026.06.09(화) 17:36,용과 같이 극2|슬레이 더 스파이어 2|talk,전체,갈치조림먹꾸 신난 나에요,8.6,26,18,2035,1,
2026.06.08(월) 12:53,2026.06.08(월) 19:24,마인크래프트|슬레이 더 스파이어 2,전체,ㅋㅋㅋ짜다짜다,6.5,23,17,1551,0,
2026.06.08(월) 11:06,2026.06.08(월) 12:48,미설정,전체,몽정기2 나이거첨보는데 여고생이 교생꼬시는 영화 맞나요??,1.7,26,23,540,-1,
2026.06.08(월) 09:58,2026.06.08(월) 11:00,talk,전체,찌각아니지러ㅏㅇ ~~!,1,24,20,596,0,
2026.06.05(금) 15:52,2026.06.05(금) 18:42,talk,전체,일하고왓저,2.8,18,16,416,0,
2026.06.04(목) 06:56,2026.06.04(목) 17:54,마인크래프트|talk,전체,오늘 탈출하고 나쪽이 자유 일주일가질게,11,25,19,2709,-2,
2026.06.03(수) 12:01,2026.06.03(수) 18:30,마인크래프트,전체,"또푸아,, 국이 짜다,,,,",6.5,25,18,1340,1,
2026.06.03(수) 06:28,2026.06.03(수) 11:48,마인크래프트|talk,전체,"또푸아,, 국이 짜다,,,,",5.3,27,20,1564,0,
2026.06.02(화) 06:57,2026.06.02(화) 18:12,프랫폴|마인크래프트|talk,전체,또풍업고튀ㅇJ,11.2,28,20,2733,0,
2026.06.01(월) 18:38,2026.06.01(월) 18:54,마인크래프트,전체,"[짜다서버] 탈출실패공약 촉,,슈,,,",0.3,16,15,46,0,
2026.06.01(월) 06:58,2026.06.01(월) 18:36,마인크래프트|talk,전체,dm..gmgm,11.6,31,21,4225,5,
2026.05.28(목) 09:59,2026.05.28(목) 11:24,종합 게임|talk,전체,졸려죽엉,1.4,28,23,475,0,
2026.05.28(목) 03:40,2026.05.28(목) 09:54,talk,전체,파워디지몬 같이보기 막차,6.2,58,42,1570,4,
2026.05.28(목) 02:58,2026.05.28(목) 03:36,talk,전체,반갑또푸 오느른 디지몬보는날 지각안해찌,0.6,18,13,187,1,
2026.05.27(수) 06:10,2026.05.27(수) 15:06,다잉 라이트 2: 스테이 휴먼|서브노티카 2|talk,전체,냣호 오느른 바다탐험하눈날,8.9,26,21,2115,-1,
2026.05.27(수) 05:58,2026.05.27(수) 06:06,talk,전체,냣호 오느른 바다탐험하눈날,0.1,14,13,23,0,
2026.05.26(화) 11:27,2026.05.26(화) 16:48,용과 같이 극2|talk,전체,반갑또풍씽ㅋㅋ,5.3,23,17,1637,-1,
2026.05.26(화) 09:05,2026.05.26(화) 10:12,talk,전체,파워 디지몬 같이보기 막차,1.1,40,36,322,0,
2026.05.26(화) 04:07,2026.05.26(화) 09:00,talk,전체,파워 디지몬 같이보기 막차,4.9,45,33,1380,8,
2026.05.26(화) 03:39,2026.05.26(화) 04:00,talk,전체,aldksgkqslek미안합니다죄송합니다 하 나도 이런 내자신이 실허,0.3,37,31,214,1,
2026.05.25(월) 09:57,2026.05.25(월) 16:48,더 게임 오브 라이프 포 닌텐도 스위치|talk,전체,만ㄴ나면반갑따고 뽑ㅃ는 안해줄거지룽,6.8,29,21,1911,2,
