시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 09:01,LIVE,데모 게임|talk,전체,LIVE,5.1,28,22,916,5,
2026.06.14(일) 15:03,2026.06.14(일) 17:30,메이플스토리 월드|talk,전체,[논아카] 새벽 뒷겜 불독법사 레벨링,2.4,28,22,497,1,
2026.06.14(일) 09:01,2026.06.14(일) 15:00,죽이는 마법소녀|talk,전체,마법소녀가 되어보자💖,6,32,24,1749,-1,
2026.06.12(금) 09:01,2026.06.12(금) 15:06,던전앤파이터|talk,전체,던파 진각성 월드컵!,6.1,62,38,1561,8,
2026.06.11(목) 09:02,2026.06.11(목) 16:54,다크 소울 2|talk,전체,"감사한 답변, 감사드립니다!",7.9,32,23,1808,4,
2026.06.10(수) 09:00,2026.06.10(수) 15:30,얍얍|talk,전체,오늘은 7시 합방!,6.5,25,19,989,-1,
2026.06.09(화) 10:55,2026.06.09(화) 15:00,talk,성인,[손캠] 2천 팔로얏~호 자축술뱅🥳,4.1,35,27,301,3,
2026.06.08(월) 09:01,2026.06.08(월) 15:24,메이플스토리 월드|talk,전체,와 곧 2000팔로워!??,6.4,49,33,1199,12,
2026.06.07(일) 06:16,2026.06.07(일) 16:42,던전앤파이터|talk,전체,늦었슴다..!!,10.4,79,53,2146,21,
2026.06.06(토) 04:03,2026.06.06(토) 13:18,던전앤파이터|talk,전체,던플릭스 같이봐요..!,9.2,66,39,1043,16,
2026.06.05(금) 09:02,2026.06.05(금) 14:30,데모 게임|talk,전체,태초의 지구부터 시작하는 종합게임들,5.5,31,20,634,0,
2026.06.04(목) 08:56,2026.06.04(목) 16:24,다크 소울 2|talk,전체,고양이 안아주는 날 안아줬다가 물린 청년,7.5,32,23,1904,7,
2026.06.03(수) 09:04,2026.06.03(수) 14:54,숲속의 작은 마녀|talk,전체,마법소녀 특강있는 날🩷,5.8,30,22,847,1,
2026.06.02(화) 09:00,2026.06.02(화) 15:42,데드 바이 데이라이트|No.13813|talk,전체,새벽게임은 숙취다.,6.7,30,24,1464,4,
2026.06.01(월) 08:59,2026.06.01(월) 20:30,베이비 스텝스|talk,전체,컴퓨터 먼지를 닦다가 문뜩 깨달았다.,11.5,31,21,1702,1,
2026.05.30(토) 06:03,2026.05.30(토) 10:06,젠레스 존 제로,전체,빌리야!!!!!! 와주냐!!!!!!!!!,4,25,17,385,3,
2026.05.29(금) 09:02,2026.05.29(금) 15:12,던전앤파이터|talk,전체,넥슨 RPG순례 콘텐츠 - 던전앤파이터 편,6.2,37,24,1073,4,
2026.05.28(목) 09:01,2026.05.28(목) 15:36,마비노기|talk,전체,넥슨 RPG순례 콘텐츠 - 마비노기 편,6.6,36,28,917,13,
2026.05.27(수) 09:00,2026.05.27(수) 17:12,메이플스토리 월드|talk,전체,넥슨 RPG순례 콘텐츠 - 메이플 플래닛 편,8.2,37,25,1271,12,
2026.05.26(화) 09:01,2026.05.26(화) 15:36,바람의나라|talk,전체,넥슨 RPG순례 콘텐츠 - 바람의 나라 편,6.6,33,25,1010,16,
2026.05.25(월) 09:03,2026.05.25(월) 15:00,마법 주문 팀|데빌 메이 크라이 5 스페셜 에디션|talk,전체,무친 더위,5.9,23,19,1333,-1,
2026.05.24(일) 09:01,2026.05.24(일) 14:18,데빌 메이 크라이 5|talk,전체,플레이엑스포 후기,5.3,26,20,725,1,
2026.05.23(토) 08:50,2026.05.23(토) 15:06,데빌 메이 크라이 5|talk,전체,데빌 메이 크라이 처음하는 뇌,6.3,26,17,839,0,
2026.05.22(금) 09:02,2026.05.22(금) 14:12,젠레스 존 제로|캡처드 2|talk,전체,결국 스위치2 사옴,5.2,22,18,942,-2,
2026.05.21(목) 09:02,2026.05.21(목) 16:36,다크 소울 2|talk,전체,주옥될뻔했습니다,7.6,31,21,1634,1,
2026.05.19(화) 09:02,2026.05.19(화) 17:54,이환|승리의 여신: 니케|talk,전체,서브컬쳐게임 어떤거 해보셨나요?,8.9,42,24,1757,9,
2026.05.18(월) 09:05,2026.05.18(월) 15:24,데모 게임|talk,전체,ai로 실시간 번역이 가능할까?,6.3,24,20,1065,0,
2026.05.16(토) 03:21,2026.05.16(토) 10:00,젠레스 존 제로|talk,전체,쪤존제!!,6.6,27,19,430,4,
2026.05.15(금) 08:58,2026.05.15(금) 13:00,마인크래프트|talk,전체,탈출하고 일찍 퇴근해보겠습니다^^7,4,24,18,717,1,
2026.05.14(목) 09:04,2026.05.14(목) 14:48,다크 소울 2|talk,전체,커피 도핑합니다,5.7,30,22,874,1,
2026.05.13(수) 08:59,2026.05.13(수) 18:12,마인크래프트|talk,전체,팬카페 탐방기,9.2,28,18,1172,-1,
2026.05.12(화) 09:03,2026.05.12(화) 15:48,마인크래프트|Remove: 범죄는 흔적을 남긴다|talk,전체,어떻게 노래제목이 INFP,6.7,30,21,1547,1,
2026.05.11(월) 09:01,2026.05.11(월) 16:18,마인크래프트|talk,전체,게임 선물받기가 벌칙이다.,7.3,27,20,1065,3,
2026.05.09(토) 03:33,2026.05.09(토) 07:18,젠레스 존 제로|talk,전체,Z좋은 Z주말 Z젠존제,3.7,22,18,367,0,
2026.05.08(금) 09:01,2026.05.08(금) 14:54,종합 게임|talk,전체,뿌라이데이,5.9,22,15,641,1,
2026.05.07(목) 09:00,2026.05.07(목) 14:36,다크 소울 2|talk,전체,"내가 피하고 싶었던 오늘은, 누군가 간절히 바라던 어쩌구",5.6,35,26,1998,5,
2026.05.05(화) 08:59,2026.05.05(화) 13:18,몬스터 헌터 와일즈|바들바들|talk,전체,[어린이날] 잼익지의 고민상담소,4.3,28,22,1389,7,
2026.05.04(월) 08:58,2026.05.04(월) 16:48,종합 게임|talk,전체,시참으로 대회까지 나간다면?,7.8,25,19,919,0,
2026.05.03(일) 04:48,2026.05.03(일) 11:24,talk,전체,1.5배속 레미 후반부 같이보기,6.6,17,14,531,2,
2026.05.02(토) 07:11,2026.05.02(토) 14:00,데드 스페이스|talk,전체,상태이상: 출혈 디버프,6.8,27,19,981,-1,
2026.05.01(금) 08:59,2026.05.01(금) 16:00,데드 스페이스|talk,전체,우주에서 능지처참 하는 게임,7,22,17,935,0,
2026.04.30(목) 09:05,2026.04.30(목) 16:30,폭풍의 메이드|talk,전체,오늘하루 냥체+메이드복,7.4,28,22,887,0,
2026.04.28(화) 09:00,2026.04.28(화) 15:00,종합 게임|클로버핏|talk,전체,오늘은 명탐정,6,25,19,1066,1,
2026.04.26(일) 02:46,2026.04.26(일) 08:48,talk,전체,꼬마 마법사 레미 같이보기(배속주의),6,26,17,1364,5,
2026.04.25(토) 07:41,2026.04.25(토) 12:18,종합 게임|젠레스 존 제로|talk,전체,패러디 게임특집,4.6,22,15,277,0,
2026.04.24(금) 09:01,2026.04.24(금) 14:42,종합 게임|talk,전체,서일코 다녀왔습니다!,5.7,25,18,1038,0,
2026.04.22(수) 09:01,2026.04.22(수) 18:00,피크|talk,전체,6시 반 피크합방 벌칙은 냥냥메이드 (w.원두김/눙하),9,24,18,1131,2,
2026.04.21(화) 09:01,2026.04.21(화) 14:12,talk,전체,오늘은 시시콜콜한 토크하는 날,5.2,31,23,1742,0,
2026.04.20(월) 09:14,2026.04.20(월) 15:42,데모 게임|종합 게임|talk,전체,밥 먹고 차마 뛸 수가 없었던 지각생..,6.5,26,20,822,1,
2026.04.18(토) 09:00,2026.04.18(토) 16:36,젠레스 존 제로|몬스터 헌터 와일즈|talk,전체,결국 빵 못 먹음,7.6,26,18,736,5,
2026.04.17(금) 09:01,2026.04.17(금) 21:18,본 오브 브레드 : 반죽이의 대모험|음악/노래|talk,전체,하나를 완벽하게 끝낸다는 것,12.3,20,13,795,0,
2026.04.15(수) 09:08,2026.04.15(수) 15:06,종합 게임|talk,전체,피로누적이슈..,6,24,20,922,-1,
2026.04.14(화) 09:02,2026.04.14(화) 18:12,제로 ~붉은 나비~ REMAKE|talk,성인,언니 어디가.. 사진찍어야지..,9.2,23,17,239,3,
2026.04.13(월) 09:02,2026.04.13(월) 13:54,블랙 아카데미|talk,전체,누구보다 마법소녀다운 하루,4.9,27,21,1175,0,
2026.04.12(일) 06:32,2026.04.12(일) 13:06,젠레스 존 제로|talk,전체,기쁜 날 퍼마시고 술병 난 사람,6.6,30,22,713,-3,
2026.04.09(목) 09:01,2026.04.09(목) 12:30,talk,전체,오늘은 영도데이,3.5,31,25,1295,4,
2026.04.08(수) 09:02,2026.04.08(수) 15:30,데모 게임|talk,전체,사냥만 하던 몬스터 얼굴을 기억하고 있을까?,6.5,24,18,844,1,
2026.04.07(화) 09:01,2026.04.07(화) 15:06,제로 ~붉은 나비~ REMAKE|talk,성인,리메이크 두 번 된 공포게임,6.1,28,21,78,2,
2026.04.06(월) 09:00,2026.04.06(월) 15:06,고 어헤드|talk,전체,방송알람 반응속도 테스트,6.1,30,25,1875,1,
2026.04.04(토) 06:31,2026.04.04(토) 11:18,젠레스 존 제로|talk,전체,젠존젠제레젠젠제,4.8,26,17,351,0,
2026.04.03(금) 09:40,2026.04.03(금) 15:42,종합 게임|talk,전체,모든 걸 다 부순다,6,25,20,1021,-1,
2026.04.03(금) 09:03,2026.04.03(금) 09:36,talk,전체,모든 걸 다 부순다,0.5,21,16,220,0,
2026.04.02(목) 09:01,2026.04.02(목) 15:48,서브리미널|talk,전체,제주도 다녀온 마법소녀,6.8,28,21,1235,0,
2026.03.31(화) 11:58,2026.03.31(화) 13:42,talk,성인,들킨 것 같으니 어쩔수없지,1.7,19,14,0,0,
2026.03.30(월) 09:04,2026.03.30(월) 14:06,종합 게임|talk,전체,이틀 휴방이래요,5,25,20,1313,2,
2026.03.28(토) 07:00,2026.03.28(토) 11:54,젠레스 존 제로|talk,전체,궁우 뽑는 날,4.9,20,15,452,0,
2026.03.27(금) 09:04,2026.03.27(금) 17:06,음악/노래|페이퍼 트레일|talk,전체,대. 명. 절. 뺘뾰대전 시즌7,8,28,19,1269,0,
2026.03.26(목) 09:01,2026.03.26(목) 17:00,베리 베리 베리|talk,전체,밥 먹는 시간 빼면 거의 24시간 잔 사람,8,27,21,1296,1,
2026.03.24(화) 09:01,2026.03.24(화) 12:54,종합 게임|talk,전체,드디어 마참내!,3.9,27,21,526,0,
2026.03.23(월) 09:02,2026.03.23(월) 13:06,데모 게임|talk,전체,생각보다 작업이 너무 오래걸린 나머지,4.1,30,22,1410,0,
2026.03.22(일) 08:33,2026.03.22(일) 13:24,젠레스 존 제로|talk,전체,한 숨 자버렸더니 지금이다.,4.8,27,19,769,1,
2026.03.21(토) 09:03,2026.03.21(토) 15:30,마인크래프트,전체,[너동서버] 8시 기지방어전 준비!,6.4,21,15,444,2,
2026.03.20(금) 09:02,2026.03.20(금) 17:24,비츠 앤 밥스|마인크래프트|talk,전체,새벽에 너무 불태웠다..,8.4,21,15,655,2,
2026.03.19(목) 09:00,2026.03.19(목) 20:42,비츠 앤 밥스|마인크래프트|talk,전체,졸음을 물리치기 위한 리듬게임,11.7,22,14,1400,3,
2026.03.18(수) 09:00,2026.03.18(수) 17:12,마인크래프트|talk,전체,벚꽃시즌 음식 먹어보기,8.2,19,14,1255,2,
2026.03.17(화) 08:55,2026.03.17(화) 15:00,마인크래프트|talk,전체,미소녀 만날 생각에 설레여서 빨리 옴(5분),6.1,22,16,492,2,
2026.03.16(월) 09:02,2026.03.16(월) 15:42,종합 게임|talk,전체,시간표가 늦은 이유,6.7,26,18,1315,7,
2026.03.15(일) 07:31,2026.03.15(일) 13:30,젠레스 존 제로|talk,전체,기습!!!,6,34,22,926,2,
2026.03.12(목) 09:03,2026.03.12(목) 14:12,스시 벤,전체,VR스시집 오픈!,5.1,22,17,575,1,
2026.03.11(수) 09:01,2026.03.11(수) 14:24,데모 게임|talk,전체,일상 속에서 주위를 둘러보면 보이는 것,5.4,26,22,1233,-2,
2026.03.10(화) 10:56,2026.03.10(화) 15:42,마인크래프트,전체,[API 방해ON] 마인크래프트 점프맵 w.잡종회,4.8,24,19,1135,6,
2026.03.09(월) 09:01,2026.03.09(월) 13:06,talk,전체,모처럼 잔잔히 수다떠는 날,4.1,34,27,1471,3,
2026.03.07(토) 04:45,2026.03.07(토) 11:06,젠레스 존 제로|talk,전체,"젠존제, 엔젤디 픽업!? 당장 뽑아보자",6.3,29,21,1002,2,
2026.03.06(금) 09:01,2026.03.06(금) 15:24,몬스터 헌터 와일즈|talk,전체,대략 1년만에 몬스터 헌터,6.4,34,27,1441,9,
2026.03.05(목) 09:00,2026.03.05(목) 13:54,talk|The Star Named EOS - 별을 향한 여정,전체,한때 사진 찍는 취미가 있었더랬지,4.9,26,20,856,2,
2026.03.04(수) 10:54,2026.03.04(수) 13:42,종합 게임|talk,전체,[환:장] 어떤 것에 지나치게 몰두하여 정신을 못 차리는 지경이 됨,2.8,26,22,842,0,
2026.03.04(수) 09:00,2026.03.04(수) 10:48,종합 게임|talk,전체,[환:장] 어떤 것에 지나치게 몰두하여 정신을 못 차리는 지경이 됨,1.8,23,18,691,0,
2026.03.03(화) 09:01,2026.03.03(화) 15:00,종합 게임|talk,전체,팬카페 개편 공지,6,30,21,1179,1,
2026.03.02(월) 05:07,2026.03.02(월) 11:06,프로젝트 좀보이드|talk,전체,리벤지 좀보이드 방해API 합방 (w.눙하/원두),6,34,23,639,1,
2026.02.28(토) 04:05,2026.02.28(토) 08:18,젠레스 존 제로|talk,전체,주말 점심의 젠존제,4.2,20,16,478,2,
2026.02.27(금) 09:00,2026.02.27(금) 15:30,종합 게임|talk,전체,게임으로 잔잔하게 힐링하기,6.5,23,18,1239,-1,
2026.02.26(목) 09:02,2026.02.26(목) 13:54,P의 거짓|talk,전체,오늘은 진짜 오래 걸릴지도 몰라요,4.9,25,21,693,0,
2026.02.25(수) 09:01,2026.02.25(수) 14:54,데모 게임|음악/노래|talk,전체,데모게임 신작 플레이하기,5.9,27,20,1060,0,
2026.02.24(화) 09:01,2026.02.24(화) 14:48,종합 게임|talk,전체,그렇게 50만이 넘었습니다..,5.8,32,25,1234,2,
2026.02.21(토) 04:00,2026.02.21(토) 10:12,젠레스 존 제로|talk,전체,주말에는 젠존제!,6.2,30,24,1193,7,
2026.02.20(금) 09:01,2026.02.20(금) 15:54,P의 거짓|talk,전체,숏츠에 많은 관심주셔서 감사합니다!!,6.9,27,21,881,12,
2026.02.19(목) 09:01,2026.02.19(목) 15:54,파피 플레이타임|talk,전체,파피야 이제 놀이 끝내자,6.9,27,22,1093,7,
2026.02.18(수) 09:00,2026.02.18(수) 16:06,툼 레이더|talk,전체,"설연휴 마지막 날, 기분이 챱츄하다",7.1,25,21,1308,3,
2026.02.17(화) 09:00,2026.02.17(화) 15:30,툼 레이더|talk,전체,새복복!,6.5,28,22,895,0,
2026.02.16(월) 09:01,2026.02.16(월) 15:30,툼 레이더|talk,전체,새해 복 많이 받으세요!,6.5,27,22,1132,1,
