시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 22:10,LIVE,이터널 리턴,전체,LIVE,0.1,4,3,12,0,
2026.06.14(일) 21:05,2026.06.15(월) 03:00,종합 게임|이터널 리턴|talk,전체,슬슬 여름 맞는듯 ㅇㅇ;;,5.9,11,7,761,0,
2026.06.13(토) 21:05,2026.06.14(일) 04:18,talk|TRPG,전체,해피버스데이 나~~🎉🎉🎉,7.2,18,10,350,1,
2026.06.12(금) 17:59,2026.06.13(토) 03:18,림버스 컴퍼니|talk|TRPG,전체,[림티알 22:30] 어제 하던거 이어서 ㄱㄱ,9.3,14,8,411,1,
2026.06.12(금) 00:52,2026.06.12(금) 03:12,TRPG,전체,림버스 TRPG 이해태 상향하기(브레인 스토밍),2.3,12,10,354,0,
2026.06.11(목) 21:03,2026.06.12(금) 00:48,림버스 컴퍼니,전체,쉬었음 우두<<<드디어 일하냐???,3.8,17,13,321,-1,
2026.06.10(수) 21:06,2026.06.11(목) 00:42,림버스 컴퍼니|talk,전체,오늘 저녁은 짬뽕 먹었습니다,3.6,13,8,350,0,
2026.06.09(화) 17:47,2026.06.10(수) 02:30,림버스 컴퍼니|talk,전체,[1원 영도] 집에 나 혼자임 ㅎ,8.7,21,13,1391,0,
2026.06.08(월) 21:05,2026.06.09(화) 03:00,talk,전체,"""내가 돌아왔다.""",5.9,13,11,1185,1,
2026.06.01(월) 21:07,2026.06.02(화) 02:18,섀터드 픽셀 던전|talk,전체,할 건 없는데 그냥 켰음,5.2,11,8,581,1,
2026.05.31(일) 21:08,2026.06.01(월) 03:06,벤토 블록스|림버스 컴퍼니|talk,전체,거굴철이 쓰러지지 않아,6,15,10,675,1,
2026.05.30(토) 21:05,2026.05.31(일) 02:06,벤토 블록스|림버스 컴퍼니|talk,전체,저녁에 삼겹살 먹었지롱롱롱,5,16,9,640,0,
2026.05.29(금) 21:31,2026.05.30(토) 02:12,림버스 컴퍼니|talk,전체,드디어 기어나온 어스름밤,4.7,16,11,982,0,
2026.05.29(금) 13:54,2026.05.29(금) 16:24,이터널 리턴,전체,아니 드롭스 쌀먹할랬는데 어디갔냐고,2.5,10,8,218,0,
2026.05.26(화) 21:24,2026.05.27(수) 01:36,림버스 컴퍼니|talk,전체,구구가가,4.2,17,13,880,3,
2026.05.25(월) 21:16,2026.05.26(화) 01:36,림버스 컴퍼니|talk,전체,오티아스 화상 효과 떳냐?????????????,4.3,16,11,1173,0,
2026.05.24(일) 21:13,2026.05.25(월) 04:24,테이블탑 시뮬레이터|talk|TRPG,전체,오티아스 pv 이제야 보는 청년,7.2,14,9,505,0,
2026.05.21(목) 21:12,2026.05.22(금) 01:42,슬레이 더 스파이어 2|talk,전체,ㅁㄴㅇㄹ,4.5,12,9,607,1,
2026.05.19(화) 21:12,2026.05.20(수) 01:18,다이스 이터: 초능력 추리 카드게임|talk,전체,드디어 다이스 이터 하러 기어나온 어스름밤,4.1,11,8,486,0,
2026.05.18(월) 21:01,2026.05.19(화) 03:00,저 못 믿으세요?|종합 게임|talk,전체,드디어 기어나온 어스름밤,6,11,8,564,0,
2026.05.16(토) 21:04,2026.05.17(일) 01:42,이환,전체,요즘 말 많은 씹덕 GTA 찍먹해보기,4.6,9,7,689,0,
