시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 10:58,LIVE,헬다이버즈 2,전체,LIVE,3.2,9,6,28,0,
2026.06.14(일) 19:07,2026.06.14(일) 23:06,PUBG: 배틀그라운드|talk,전체,새벽 게릴라 빼꼼,4,10,6,205,0,
2026.06.13(토) 19:37,2026.06.14(일) 00:24,오버워치|PUBG: 배틀그라운드|talk,전체,자다깼는데 잠이 안와서 잠깐왔다 랄까나,4.8,12,8,159,0,
2026.06.13(토) 04:50,2026.06.13(토) 08:06,PUBG: 배틀그라운드,전체,M249 주세요 달라고!!!!,3.3,12,7,120,0,
2026.06.12(금) 02:47,2026.06.12(금) 07:48,PUBG: 배틀그라운드|talk,전체,금요일은 하태하태,5,25,15,330,6,
2026.06.11(목) 09:25,2026.06.11(목) 12:30,더 파이널스|오버워치|talk,전체,방갑다!,3.1,6,4,70,0,
2026.06.10(수) 03:17,2026.06.10(수) 05:42,PUBG: 배틀그라운드,전체,점심 배그 잠깐 (짧),2.4,11,7,85,0,
2026.06.09(화) 00:21,2026.06.09(화) 06:36,오버워치|PUBG: 배틀그라운드|talk,전체,다들 출근했겠지?,6.2,18,12,580,0,
2026.06.07(일) 10:29,2026.06.07(일) 14:24,백룸: 이스케이프 투게더|오버워치|talk,전체,아니 갑자기 백룸에 들어가고싶지 뭐야,3.9,12,9,166,0,
2026.06.06(토) 23:47,2026.06.07(일) 03:12,오버워치|talk,전체,좋은아침,3.4,12,8,313,-1,
2026.06.05(금) 02:55,2026.06.05(금) 10:06,007 퍼스트 라이트,전체,에이전트 더블애플 목격자를 다 없애러왔다,7.2,12,9,227,0,
2026.06.04(목) 10:51,2026.06.04(목) 13:48,더 헤드라이너스|talk,전체,8시 합방 낋여옴,2.9,7,5,157,0,
2026.06.03(수) 02:59,2026.06.03(수) 13:36,오버워치|007 퍼스트 라이트|talk,전체,화창한 낮,10.6,11,7,301,1,
2026.06.02(화) 10:32,2026.06.02(화) 13:54,007 퍼스트 라이트|talk,전체,좋은 저녁 이야요,3.4,13,9,328,0,
2026.06.01(월) 12:27,2026.06.01(월) 16:36,커피 토크 도쿄|PUBG: 배틀그라운드|talk,전체,3일만의 배그,4.1,12,8,331,0,
2026.05.30(토) 08:13,2026.05.30(토) 18:30,마인크래프트,전체,[캔디크러쉬] 블럭깎는 사과,10.3,15,8,671,5,
