시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 09:34,2026.06.15(월) 14:00,종합 게임|멧챠 카멜레온,전체,사후 세계 액션 로그라이크,4.4,7,3,69,-2,
2026.06.14(일) 22:37,2026.06.15(월) 01:06,2026 FIFA 북중미 월드컵,전체,2026 북중미 월드컵 코드디부아르vs에콰도르,2.5,27,14,87,7,
2026.06.14(일) 22:00,2026.06.14(일) 22:36,미설정,전체,2026 북중미 월드컵 코드디부아르vs에콰도르,0.6,6,4,16,0,
2026.06.14(일) 19:11,2026.06.14(일) 22:00,2026 FIFA 북중미 월드컵,전체,2026 북중미 월드컵 일본vs네덜란드 대기중,2.8,19,8,141,0,
2026.06.14(일) 19:02,2026.06.14(일) 19:06,talk,전체,2026 북중미 월드컵 일본vs네덜란드 대기중,0.1,6,6,1,0,
2026.06.14(일) 16:59,2026.06.14(일) 19:00,2026 FIFA 북중미 월드컵,전체,2026 북중미 월드컵 독일vs퀴라소,2,10,6,59,4,
2026.06.14(일) 11:47,2026.06.14(일) 16:54,종합 게임|멧챠 카멜레온,전체,15세게임입니다 미소녀 뱀서류,5.1,8,4,261,0,
2026.06.13(토) 21:26,2026.06.14(일) 00:06,2026 FIFA 북중미 월드컵,전체,모르코VS 브라질 북중미 축구 같이보기,2.7,9,5,211,1,
2026.06.13(토) 21:09,2026.06.13(토) 21:24,미설정|talk,전체,모르코VS 브라질 북중미 축구 같이보기,0.2,23,12,39,0,
2026.06.13(토) 19:07,2026.06.13(토) 21:06,2026 FIFA 북중미 월드컵,전체,카타르VS 스위스 북중미 축구 같이보기,2,11,8,213,3,
2026.06.13(토) 13:52,2026.06.13(토) 19:06,이환|종합 게임|talk,전체,짠,5.2,7,4,380,1,
2026.06.12(금) 23:11,2026.06.13(토) 03:06,2026 FIFA 북중미 월드컵,전체,월드컵 미국VS 파리과리,3.9,367,114,507,52,
2026.06.12(금) 21:03,2026.06.12(금) 23:06,몬스터 빅팜: 방치형 즐거운 시간|talk,전체,미국vs파리과이 개막식 대기방,2,11,5,8,0,
2026.06.12(금) 17:31,2026.06.12(금) 21:00,2026 FIFA 북중미 월드컵,전체,캐나다 vs 보스니아 북중미 월드컵 같이보기,3.5,22,13,316,11,
2026.06.12(금) 16:38,2026.06.12(금) 17:30,이환,전체,폰즈 2배 이벤트 참지 못하지,0.9,2,1,22,0,
2026.06.12(금) 04:14,2026.06.12(금) 11:00,명조:워더링 웨이브|승리의 여신: 니케|talk,전체,모바일겜,6.8,11,5,220,1,
2026.06.12(금) 01:00,2026.06.12(금) 04:12,2026 FIFA 북중미 월드컵,전체,9시50분 대한민국vs체코,3.2,10,8,359,0,
2026.06.11(목) 21:09,2026.06.12(금) 01:00,미설정|몬스터 빅팜: 방치형 즐거운 시간,전체,방치형 농사 힐링 게임,3.8,9,3,158,1,
2026.06.11(목) 20:56,2026.06.11(목) 21:06,2026 FIFA 북중미 월드컵,전체,FIFA 북중미 월드컵 멕시코 vs 남아공 정전.... 다시 켰어요,0.2,3,2,0,0,
2026.06.11(목) 18:56,2026.06.11(목) 20:48,2026 FIFA 북중미 월드컵,전체,FIFA 북중미 월드컵 멕시코 vs 남아공 가즈아,1.9,14,5,0,2,
2026.06.10(수) 14:57,2026.06.10(수) 17:30,패스 오브 엑자일 2,전체,얼음몽크 마샬 1차전직 2차전직예정,2.5,3,2,21,-1,
2026.06.10(수) 08:19,2026.06.10(수) 13:06,명조:워더링 웨이브,전체,명조-데니아편,4.8,9,4,133,0,
2026.06.09(화) 11:42,2026.06.09(화) 15:42,미설정|종합 게임|talk,전체,히든싱어 8 왕중왕전 같이보기,4,5,3,99,2,
2026.06.09(화) 08:04,2026.06.09(화) 11:36,명조:워더링 웨이브,전체,3장 에필로그 히유키,3.5,5,3,79,0,
