시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 06:50,2026.06.14(일) 18:12,데드 바이 데이라이트|음악/노래|이터널 리턴|프레디의 피자가게|그랜드체이스 클래식|talk,전체,[V] 강아쥐 건물이 잊혀지지않아..,11.4,23,12,2063,1,
2026.06.13(토) 03:31,2026.06.13(토) 16:48,종합 게임|프레디의 피자가게|마인크래프트|그랜드체이스 클래식|talk,전체,[V] 집을 짓는다 했지만 그게 정상적이라고는 안함,13.3,19,9,1133,4,
2026.06.12(금) 08:52,2026.06.12(금) 16:12,그랜드체이스 클래식,전체,[V] 우와 축구 승리!!,7.3,26,14,1294,1,
2026.06.10(수) 07:56,2026.06.10(수) 18:18,그랜드체이스 클래식|007 퍼스트 라이트,전체,[V] 007에서 울먹해져버렸던 개구리,10.4,26,14,1307,0,
2026.06.09(화) 08:40,2026.06.09(화) 17:12,그랜드체이스 클래식|007 퍼스트 라이트,전체,[V] 헤로롱 점검전에 다받기,8.5,22,12,838,1,
2026.06.07(일) 02:50,2026.06.07(일) 16:48,종합 게임|그랜드체이스 클래식,전체,[V] 오늘 12시뱅이라구..?,14,23,15,2275,0,
2026.06.06(토) 07:00,2026.06.06(토) 16:24,이환|데드 바이 데이라이트|이터널 리턴|사이퍼즈|테일즈런너|그랜드체이스 클래식,전체,[V] 방송전엔 노래절대 부르지않기...ㅠ,9.4,19,11,1883,6,
2026.06.05(금) 08:51,2026.06.05(금) 16:30,종합 게임|데드 바이 데이라이트|그랜드체이스 클래식|talk,전체,[V] 시청자 팬닉 공모 많관부!,7.6,19,13,1901,1,
2026.06.03(수) 08:50,2026.06.03(수) 19:12,종합 게임|그랜드체이스 클래식,전체,[V] 왜 왜.. 숙제가 초기화?,10.4,30,16,2280,2,
2026.06.02(화) 02:50,2026.06.02(화) 17:00,종합 게임|데드 바이 데이라이트|그랜드체이스 클래식|서브노티카 2|talk,전체,[V] 심해 공포라고 아시나요..?,14.2,22,12,1691,3,
2026.05.31(일) 07:22,2026.05.31(일) 15:48,리테일 헬|테일즈런너|그랜드체이스 클래식|talk,전체,[V] 그체에서 쿠폰이 또이써?!,8.4,22,14,1128,7,
2026.05.31(일) 06:55,2026.05.31(일) 07:18,그랜드체이스 클래식,전체,[V] 그체에서 쿠폰이 또이써?!,0.4,13,10,118,0,
2026.05.30(토) 02:54,2026.05.30(토) 14:54,이환|종합 게임|구스 구스 덕|하우스 플리퍼|테일즈런너|그랜드체이스 클래식|talk,전체,[V] 테런 뉴비 달료,12,23,14,2204,6,
