시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 08:02,2026.06.14(일) 13:42,패스 오브 엑자일 2,전체,야생의 마피를 주웠다!! 하지만 약하다!!!,5.7,12,9,674,-1,
2026.06.13(토) 08:00,2026.06.13(토) 23:24,패스 오브 엑자일 2,전체,"현재 34딥, 딱..! 200딥만 벌자",15.4,17,10,1646,1,
2026.06.12(금) 08:13,2026.06.12(금) 15:06,패스 오브 엑자일 2,전체,"현재 4딥, 딱..! 100딥만 벌자",6.9,16,9,749,0,
2026.06.12(금) 08:00,2026.06.12(금) 08:12,패스 오브 엑자일 2,전체,"현재 4딥, 딱..! 100딥만 벌자",0.2,5,5,15,0,
2026.06.11(목) 08:01,2026.06.11(목) 16:06,패스 오브 엑자일 2,전체,제발 나도 신성오브 나도 돈 벌고싶어 ㅠㅠ,8.1,12,7,770,2,
2026.06.09(화) 08:00,2026.06.09(화) 14:18,패스 오브 엑자일 2,전체,제발 나도 신성오브 나도 돈 벌고싶어 ㅠㅠ,6.3,12,8,837,0,
2026.06.07(일) 08:00,2026.06.07(일) 15:48,패스 오브 엑자일 2,전체,"나님 이제 ""강함""",7.8,13,7,694,0,
2026.06.06(토) 08:00,2026.06.06(토) 14:00,패스 오브 엑자일 2,전체,이제 빌드 바꿔보자!!!!!! 두가자!!!,6,10,7,312,-1,
2026.06.05(금) 08:00,2026.06.05(금) 12:00,패스 오브 엑자일 2,전체,드디어 나도 엔드 컨텐츠 해본다!!!,4,10,5,126,-1,
2026.06.04(목) 08:00,2026.06.04(목) 13:48,패스 오브 엑자일 2,전체,난 쓰레기야.. 난 쓰레기야.. 난 쓰레기야.. 난 쓰레기야..,5.8,10,6,435,1,
2026.06.02(화) 08:00,2026.06.03(수) 00:54,패스 오브 엑자일 2,전체,[스피릿 워커] 포켓몬 마스터 여정,16.9,14,8,1075,-1,
2026.05.31(일) 07:59,2026.05.31(일) 16:06,패스 오브 엑자일 2,전체,이거 길들이기 스킬잼 어떻게 하나 더 얻나요?,8.1,11,7,322,0,
2026.05.30(토) 08:00,2026.05.30(토) 22:18,패스 오브 엑자일 2,전체,늅의 새로운 시즌 달리기!,14.3,13,6,766,0,
2026.05.29(금) 08:00,2026.05.29(금) 14:00,러스트|에이펙스 레전드|talk,전체,안녕~,6,8,5,257,0,
2026.05.28(목) 08:00,2026.05.28(목) 10:12,로드 96|talk,전체,ㅎㅇ,2.2,6,5,95,0,
2026.05.27(수) 08:05,2026.05.27(수) 13:48,초자연 작전팀|에이펙스 레전드|이스케이프 프롬 타르코프|마인크래프트|talk,전체,하잉!,5.7,11,5,284,1,
2026.05.24(일) 08:08,2026.05.24(일) 13:06,이스케이프 프롬 타르코프|talk,전체,잠꾸러기,5,10,7,396,0,
2026.05.23(토) 08:00,2026.05.23(토) 13:06,더 롱 다크|리그 오브 레전드|전략적 팀 전투 : 우주의 신들,전체,2호기 출발 게임 증말 살벌하네,5.1,10,5,288,0,
2026.05.22(금) 08:06,2026.05.22(금) 13:24,더 롱 다크,전체,더운 날 추운곳으로 대피하기,5.3,15,11,1147,1,
2026.05.20(수) 08:05,2026.05.20(수) 13:42,리그 오브 레전드|아크 레이더스|에이펙스 레전드|talk,전체,오쒸; 오늘 휴방 아니다,5.6,10,6,132,0,
2026.05.17(일) 08:00,2026.05.17(일) 17:48,리그 오브 레전드|에이펙스 레전드|서브노티카 2|PUBG: 배틀그라운드|talk,전체,핑겜 데이,9.8,10,5,769,0,
2026.05.16(토) 08:00,2026.05.16(토) 13:06,이환|에이펙스 레전드|talk,전체,아,5.1,7,5,344,1,
